ECG,EDA,RR
32300,56645,30900
32268,56545,30983
32512,56583,30596
32952,56519,30859
33620,56548,30860
34068,56556,30810
33876,56560,30797
33360,56580,30745
32416,56608,30556
32024,56621,30612
32185,56609,30662
32375,56596,30636
32664,56560,30684
33152,56549,30507
33724,56526,30365
33784,56520,30431
33497,56525,30437
32840,56495,30389
32284,56581,30414
32144,56572,30324
32248,56583,30034
32516,56563,30050
32825,56535,30148
33164,56492,30098
33344,56485,30068
33293,56487,29821
33144,56488,29948
33012,56530,29924
32800,56536,29873
32656,56545,29794
32612,56540,29782
32756,56520,29550
32948,56497,29660
33192,56391,29605
33284,56455,29652
33276,56393,29312
33508,56455,29477
33752,56455,29421
33242,56501,29404
32832,56519,29213
32540,56508,29272
32340,56503,29229
32400,56468,29242
32804,56425,28856
33164,56423,29028
33168,56396,29024
33180,56420,28967
33556,56437,29002
33246,56468,28721
32821,56445,28736
32588,56461,28746
32324,56468,28694
32504,56439,28692
32816,56404,28655
32976,56356,28380
33016,56391,28335
33108,56350,28392
33208,56420,28339
33016,56432,28250
32793,56440,28029
32620,56447,28164
32400,56423,28102
32502,56405,28096
32924,56361,27689
33184,56365,27854
33424,56327,27850
33288,56356,27820
33048,56390,27812
32556,56423,27424
32072,56421,27381
32128,56420,27364
32300,56397,27461
32548,56364,27390
33256,56327,27364
33685,56327,26988
33304,56319,27119
32672,56327,27121
32472,56372,27062
32212,56385,27015
32212,56399,26977
32292,56384,26985
32412,56375,26821
32924,56342,26549
33476,56317,26646
33588,56284,26657
33452,56292,26590
32932,56281,26568
32625,56324,26438
32574,56311,26121
32565,56361,26268
32793,56359,26033
33008,56327,26141
32820,56311,26169
32812,56291,26101
32524,56273,26044
32748,56260,26028
33064,56289,25974
33073,56301,25909
32732,56324,25851
32272,56327,25799
32277,56327,25401
32476,56285,25625
32656,56288,25607
32884,56256,25511
33064,56184,25534
33056,56244,25376
32880,56252,25268
32692,56271,25080
32412,56292,25172
32244,56295,25160
32324,56311,25157
32472,56294,24768
32596,56256,24925
32864,56235,24888
32996,56210,24805
32924,56204,24791
32984,56224,24717
32796,56257,24303
32352,56236,24338
32168,56276,24350
32124,56249,24317
32168,56263,24232
32280,56245,24260
32868,56210,24241
33312,56196,24176
33332,56157,24144
33129,56197,24064
33032,56224,23980
32644,56196,23945
32284,56249,23876
32244,56260,23780
32360,56236,23532
32456,56215,23649
32772,56140,23636
33084,56175,23645
33364,56164,23617
33576,56173,23521
33212,56196,23457
32564,56221,23493
32252,56234,23372
32248,56231,23134
32392,56220,23203
32708,56184,23261
32896,56167,23224
33020,56148,23220
33264,56140,23217
33384,56145,23148
33293,56175,23162
32912,56136,23165
32612,56197,23140
32560,56180,23053
32608,56164,22958
32725,56167,22693
32772,56120,22755
32893,56114,22763
33036,56109,22749
32984,56078,22741
32904,56144,22736
32792,56167,22760
32404,56182,22753
