ECG,EDA,RR
33021,46980,22757
32448,46988,22990
31988,47020,23061
31696,47039,23149
31616,47021,23144
31516,46976,23339
31416,46972,23446
31332,46948,23524
31469,46980,23713
31700,46972,23588
31672,46977,23854
31448,46989,23968
31095,46964,24084
30712,46983,24047
30608,46999,24208
30748,47024,24455
30944,47016,24577
31140,46988,24711
31344,46965,24898
31520,46967,24765
31492,46972,24910
31328,46996,25177
31178,47013,25309
31000,47032,25463
31095,47031,25677
31073,47012,25648
30768,46981,25617
30736,46976,25858
31048,46965,26001
31188,46964,26104
31112,46952,26346
30952,46977,26201
30794,47001,26338
30624,47021,26560
30600,47008,26634
30732,47012,26808
30916,46978,26896
31085,46964,26983
31340,46903,26877
31396,46951,27069
31208,46960,27239
31104,46972,27306
30920,47005,27409
30712,47022,27492
30692,47021,27693
30828,47013,27684
30976,47005,27806
31176,46971,27836
31388,46952,27760
31392,46944,27749
31350,46956,27867
31296,46961,27967
31116,46999,28113
30873,47009,28140
30800,47015,28240
30860,47007,28201
30968,46996,28260
31168,46956,28400
31425,46943,28422
31572,46948,28636
31508,46943,28391
31360,46953,28620
31128,46983,28637
30828,47007,28679
30748,47012,28729
30825,46996,28839
30952,46988,28742
31236,46953,28865
31509,46945,28948
31584,46929,28999
31529,46943,29047
31393,46941,29233
31240,46979,29188
30988,46949,29092
30928,47007,29297
30976,46989,29312
31097,46980,29535
31300,46948,29317
31548,46940,29484
31624,46927,29569
31540,46932,29657
31384,46951,29799
31198,46964,29772
30936,46983,29708
30836,46983,29726
30884,46951,29899
30984,46932,29956
31212,46944,30084
31444,46929,30116
31544,46924,30062
31520,46919,30233
31448,46943,30287
31272,46966,30361
31013,46993,30404
30932,46973,30491
30997,46983,30452
31076,46941,30637
31288,46948,30701
31573,46920,30612
31696,46911,30808
31660,46917,30879
31596,46925,31071
31412,46956,30928
31164,46972,31063
31088,46968,31136
31204,46975,31330
31340,46956,31165
31572,46909,31322
31881,46895,31432
31980,46894,31456
31969,46911,31544
31921,46893,31649
31749,46904,31724
31512,46961,31697
31448,46967,31861
31568,46964,31926
31680,46948,31980
31912,46917,32008
32208,46881,32145
32348,46871,32191
32348,46887,32292
32277,46892,32484
32096,46919,32468
31829,46940,32429
31760,46903,32592
31840,46910,32660
31972,46885,32735
32192,46881,32953
32469,46876,32980
32576,46860,33009
32529,46860,32989
32396,46879,33156
32176,46913,33191
31880,46932,33308
31760,46926,33497
31832,46868,33431
31948,46908,33550
32178,46877,33586
32448,46855,33672
32560,46852,33762
32516,46847,33854
32416,46855,34005
32231,46892,34124
32028,46905,34169
31940,46897,34126
31980,46903,34240
32092,46877,34348
32316,46852,34404
