ECG,EDA,RR
33300,48408,34504
33284,48416,34478
33164,48425,34445
32896,48456,34479
32628,48488,34500
32552,48496,34609
32604,48454,34576
32688,48493,34532
32892,48468,34582
33180,48391,34592
33256,48413,34625
33220,48465,34728
33081,48468,34863
32841,48508,34874
32620,48540,34880
32580,48540,34824
32624,48519,34877
32704,48516,34889
32908,48500,34933
33228,48481,34988
33376,48484,35044
33332,48492,35085
33196,48502,35158
33000,48492,35260
32728,48519,35300
32588,48536,35332
32600,48564,35372
32696,48575,35372
32864,48516,35449
33140,48501,35472
33316,48528,35516
33316,48551,35551
33208,48560,35450
32986,48590,35537
32676,48566,35508
32540,48629,35708
32560,48615,35749
32712,48621,35742
32988,48596,35732
33332,48584,35741
33472,48573,35812
33408,48596,35836
33272,48604,35824
33076,48615,35985
32712,48669,35935
32596,48678,35932
32664,48679,36117
32796,48671,36034
32973,48644,36108
33216,48631,36103
33308,48631,36117
33260,48647,36156
33216,48647,36284
33036,48668,36376
32704,48708,36319
32560,48725,36324
32556,48724,36356
32653,48676,36425
32900,48701,36428
33241,48676,36452
33376,48684,36624
33356,48682,36601
33252,48696,36567
33044,48740,36605
32773,48759,36679
32712,48792,36703
32736,48775,36687
32796,48772,36821
33016,48743,36800
33316,48741,36797
33420,48741,36852
33376,48748,36895
33300,48757,36893
33110,48732,36895
32817,48821,37048
32645,48832,36969
32692,48825,37012
32752,48821,37005
32948,48796,37156
33228,48772,37078
33392,48775,37092
33405,48797,37135
33352,48811,37137
33160,48825,37142
32776,48868,37255
32586,48877,37255
32556,48897,37316
32664,48831,37316
32900,48846,37285
33208,48834,37271
33357,48832,37296
33312,48794,37326
33237,48856,37336
32976,48895,37356
32664,48932,37356
32486,48937,37348
32476,48902,37339
32588,48924,37461
32752,48916,37425
33080,48892,37396
33252,48877,37421
33236,48903,37390
33164,48917,37456
32956,48956,37508
32628,48991,37501
32440,48992,37424
32496,48991,37438
32638,48985,37444
32892,48961,37447
33273,48944,37471
33485,48944,37477
33464,48967,37456
33328,48970,37434
33120,49013,37561
32836,48999,37508
32660,49044,37469
32678,49032,37508
32832,49053,37505
33084,49028,37476
33437,48997,37581
33572,48999,37544
33594,49012,37498
33412,49029,37528
33104,49020,37480
32788,49088,37543
32636,49108,37588
32670,49113,37580
32760,49096,37568
32940,49086,37607
33296,49069,37607
33452,49008,37543
33437,49060,37533
33368,49080,37534
33204,49108,37548
32836,49141,37526
32660,49156,37502
32708,49156,37510
32836,49148,37511
32992,49084,37516
33320,49116,37516
33449,49108,37549
33424,49116,37541
33356,49140,37551
33208,49180,37568
32893,49204,37559
32688,49199,37572
32636,49224,37556
32733,49207,37540
32956,49188,37548
33264,49172,37559
33440,49159,37620
33402,49111,37580
33312,49193,37560
33172,49225,37561
32864,49244,37607
32668,49204,37596
32640,49222,37609
32724,49264,37615
32808,49255,37623
33040,49225,37612
33252,49174,37601
33268,49224,37600
33096,49253,37625
32746,49281,37661
32224,49320,37663
31872,49324,37668
31784,49330,37655
31840,49324,37656
31984,49303,37701
32416,49285,37724
32889,49284,37724
33324,49287,37701
33697,49309,37724
33824,49349,37745
33748,49381,37733
33943,49372,37727
34944,49399,37723
36816,49389,37741
38704,49368,37753
40528,49340,37729
41704,49332,37711
41872,49356,37846
41324,49348,37853
40400,49403,37781
39276,49432,37751
38384,49446,37780
37706,49448,37720
36952,49440,37860
36436,49415,37824
36124,49396,37776
35808,49391,37774
35436,49351,37743
34900,49372,37751
34292,49404,37753
33668,49474,37733
33196,49497,37716
32848,49493,37709
32524,49492,37676
32412,49464,37679
32472,49456,37678
32420,49448,37719
32264,49456,37742
32080,49408,37789
31821,49436,37799
31418,49520,37748
31140,49543,37703
31021,49517,37784
31077,49501,37724
31274,49516,37676
31616,49436,37676
31836,49437,37695
31792,49486,37701
31676,49452,37728
31448,49517,37717
31100,49573,37716
30914,49543,37745
30980,49580,37732
31102,49591,37725
31200,49572,37712
31489,49543,37696
31736,49543,37698
31749,49543,37676
31644,49550,37660
31496,49588,37649
31252,49623,37714
31084,49641,37712
31118,49633,37655
31228,49636,37561
31373,49605,37554
31693,49540,37571
31888,49591,37549
31908,49591,37537
31832,49619,37516
31632,49639,37512
31304,49621,37478
31040,49685,37492
31060,49695,37465
31264,49693,37429
31496,49661,37420
31820,49644,37463
32020,49632,37448
32039,49640,37432
31901,49661,37372
31716,49680,37352
31484,49735,37337
31384,49736,37351
31376,49743,37368
31416,49729,37420
31576,49714,37357
31840,49692,37361
32016,49681,37357
32066,49685,37408
31988,49717,37412
31872,49743,37392
31588,49772,37383
31376,49772,37345
31416,49799,37314
31568,49774,37305
31748,49765,37293
31976,49737,37296
32164,49732,37319
32136,49742,37355
32092,49689,37394
31972,49768,37444
31640,49807,37444
31444,49821,37469
31368,49831,37476
31365,49821,37371
31488,49790,37406
31848,49780,37428
32188,49766,37468
