ECG,EDA,RR
32984,50156,34688
32756,50183,34726
32604,50152,34884
32552,50204,34956
32533,50212,34964
32544,50126,35124
32800,50164,35188
33100,50164,35444
33120,50165,35428
33061,50164,35526
33020,50215,35620
32768,50244,35670
32520,50268,35722
32436,50259,35884
32540,50263,36020
32764,50215,36135
33032,50229,36205
33232,50223,36305
33244,50229,36357
33248,50244,36369
33192,50252,36475
32856,50292,36581
32516,50311,36716
32568,50254,36812
32712,50311,36889
32824,50300,36972
33024,50279,36960
33216,50269,36980
33268,50287,37058
33144,50277,37127
33002,50311,37296
32664,50342,37335
32444,50308,37390
32520,50364,37501
32620,50364,37553
32705,50326,37639
32972,50332,37804
33181,50327,37916
33236,50319,38012
33188,50340,38064
32976,50367,38149
32642,50394,38150
32516,50412,38216
32560,50400,38404
32580,50415,38437
32558,50404,38497
32708,50375,38561
32769,50356,38636
32712,50372,38722
32476,50372,38811
32224,50407,38896
31884,50439,38984
31920,50452,39073
32456,50469,39139
32976,50422,39200
33424,50439,39358
33941,50424,39452
34356,50431,39527
34616,50436,39581
35360,50439,39628
37004,50479,39708
38452,50503,39814
39684,50516,39892
40808,50500,40002
41152,50516,40071
40676,50500,40142
40040,50452,40224
39480,50469,40295
38893,50473,40349
38336,50488,40409
37544,50514,40471
36660,50532,40528
35940,50557,40536
35464,50548,40664
35152,50550,40741
34941,50532,40837
34842,50511,40876
34784,50508,40954
34512,50509,41030
34068,50488,41073
33644,50533,41145
33212,50577,41200
32776,50589,41269
32481,50580,41351
32248,50585,41397
32072,50567,41468
32048,50543,41549
32068,50548,41565
32040,50540,41668
32044,50551,41743
31960,50532,41812
31612,50612,41884
31334,50623,41965
31192,50591,42037
31328,50620,42108
31604,50604,42154
31960,50589,42196
32196,50562,42247
32148,50587,42315
32004,50591,42353
31780,50623,42452
31460,50618,42513
31188,50661,42572
31204,50671,42625
31304,50636,42681
31464,50639,42736
31864,50620,42780
32092,50621,42813
32124,50623,42861
32036,50580,42902
31825,50655,42965
31512,50676,43015
31236,50695,43061
31296,50695,43158
31560,50676,43193
31776,50695,43260
32092,50599,43308
32380,50645,43346
32344,50649,43404
32073,50663,43391
31908,50684,43446
31708,50724,43525
31596,50729,43589
31648,50743,43616
31584,50729,43652
31628,50640,43700
31845,50693,43740
32172,50684,43788
32365,50633,43836
32324,50687,43824
32150,50713,43885
31865,50752,43956
31672,50733,43996
31660,50766,44039
31664,50767,44085
31812,50749,44136
32244,50677,44180
32445,50719,44237
32452,50717,44280
32412,50669,44329
32428,50756,44396
32216,50788,44457
31825,50741,44512
31712,50797,44577
31744,50807,44633
31860,50788,44716
32196,50764,44773
32469,50750,44797
32576,50748,44852
32336,50772,44916
32164,50788,44975
31926,50815,45052
31740,50847,45126
31708,50823,45188
31924,50847,45260
32004,50821,45317
32216,50799,45397
32424,50788,45484
32504,50799,45591
32368,50807,45671
32140,50820,45740
31900,50844,45784
31720,50804,45876
31593,50864,45948
31736,50863,46009
31920,50855,46060
32148,50823,46127
32340,50820,46198
32386,50823,46264
32341,50792,46333
32176,50861,46396
31877,50884,46452
31655,50857,46503
31684,50911,46574
31736,50900,46637
31856,50823,46679
32148,50852,46716
32392,50844,46796
32464,50805,46828
32464,50861,46856
32384,50879,46911
32084,50852,46952
31860,50935,47016
31810,50919,47064
31868,50925,47085
32008,50908,47140
32344,50879,47164
32608,50879,47213
32652,50852,47239
32562,50892,47284
32504,50916,47322
32272,50936,47333
32129,50951,47360
32148,50940,47400
32229,50951,47436
32408,50884,47472
32756,50918,47504
33120,50839,47439
33192,50907,47461
33181,50904,47495
33236,50933,47524
33068,50956,47590
32832,50983,47572
32688,50999,47588
32728,50944,47677
32888,50969,47717
33213,50929,47740
33376,50864,47724
33584,50925,47704
33888,50935,47705
33852,50941,47764
33412,50972,47799
32964,51013,47820
32880,51004,47844
32724,50996,47836
32660,50980,47837
33052,50951,47823
33392,50918,47797
33480,50951,47781
33416,50901,47804
33256,50973,47676
33004,51015,47637
32820,51028,47655
32772,51028,47700
32828,51030,47633
32976,51013,47596
33260,50972,47572
33452,50960,47432
33404,50964,47383
33326,50982,47322
33196,50951,47261
32889,51038,47192
32568,51055,47139
32545,51049,47084
32684,51045,47050
32880,51036,46968
33156,51000,46932
33368,50999,46822
33348,50951,46713
33240,51012,46686
33129,51028,46628
32877,50996,46535
32662,51066,46407
32676,51078,46317
32864,51068,46229
33012,51053,46052
33236,51046,45999
33300,51023,45920
33200,51032,45813
33000,51044,45687
32880,51063,45565
32612,51087,45452
32360,51111,45319
32364,51116,45212
32608,51111,45076
32824,51071,44960
33100,51063,44825
33300,51060,44712
33200,51063,44574
33000,51044,44451
32892,51092,44304
32672,51125,44177
32468,51117,44004
32496,51135,43850
32640,51132,43741
32824,51127,43607
33088,51111,43472
33316,51039,43308
33324,51092,43174
33320,51101,43031
33260,51124,42887
33000,51156,42719
32728,51183,42569
32689,51175,42413
32824,51159,42260
33025,51150,42112
33348,51135,41961
33600,51116,41821
33620,51103,41656
33572,51132,41508
33365,51151,41348
32976,51188,41193
32676,51205,41068
32648,51204,40912
32768,51203,40748
32904,51172,40600
33200,51161,40429
33536,51148,40300
33636,51148,40151
33556,51148,40052
33449,51156,39884
33140,51207,39709
32888,51229,39583
32798,51236,39449
32780,51236,39284
32976,51149,39126
