ECG,EDA,RR
30560,19479,19722
30652,19429,19748
30636,19444,19680
30584,19458,19691
30436,19502,19599
30276,19495,19636
30260,19510,19556
30292,19505,19583
30352,19504,19487
30560,19483,19550
30692,19426,19552
30760,19418,19483
30720,19441,19508
30680,19456,19390
30524,19490,19462
30400,19518,19469
30392,19531,19372
30428,19489,19407
30492,19479,19340
30660,19456,19403
30792,19418,19343
30788,19423,19412
30756,19432,19402
30692,19428,19409
30500,19476,19408
30344,19505,19410
30298,19480,19378
30292,19485,19412
30297,19487,19401
30464,19425,19333
30596,19428,19411
30596,19403,19374
30572,19420,19453
30500,19439,19436
30312,19455,19423
30172,19485,19468
30100,19475,19402
30140,19485,19499
30172,19465,19534
30304,19417,19495
30432,19399,19522
30440,19405,19574
30420,19427,19564
30388,19415,19561
30236,19450,19620
30132,19474,19544
30152,19490,19601
30224,19457,19620
30352,19457,19644
30634,19409,19676
30900,19399,19584
30972,19429,19676
31072,19409,19592
31140,19436,19689
31058,19442,19612
31072,19477,19725
31152,19460,19705
31290,19463,19729
31452,19459,19754
31720,19399,19691
32018,19393,19808
32180,19414,19796
32288,19383,19781
32392,19420,19816
32360,19444,19858
32348,19471,19881
32456,19472,19831
32608,19449,19844
32820,19428,19944
33128,19401,19980
33356,19401,19884
33440,19369,19970
33488,19382,19904
33492,19424,20042
33368,19420,19985
33262,19445,20081
33216,19477,20111
33192,19444,20064
33224,19432,20113
33376,19424,20038
33492,19365,20183
33488,19382,20226
33452,19364,20229
33398,19398,20254
33212,19412,20272
33048,19439,20313
33028,19446,20238
33052,19484,20298
33096,19404,20250
33240,19392,20369
33364,19410,20335
33408,19348,20420
33365,19374,20445
33248,19368,20461
33072,19428,20473
32900,19409,20476
32888,19430,20552
32952,19416,20512
32996,19411,20576
33182,19389,20489
33308,19339,20622
33332,19356,20655
33320,19365,20588
33232,19356,20662
33072,19396,20635
32936,19413,20738
32940,19428,20727
32984,19398,20661
33036,19401,20807
33184,19378,20836
33332,19331,20772
33389,19332,20855
33384,19339,20848
33336,19378,20849
33152,19379,20873
33004,19413,20798
33028,19428,20949
33044,19391,20914
33064,19387,20864
33212,19359,20997
33340,19321,21015
33336,19335,20875
33292,19349,21029
33216,19337,21023
33040,19377,21012
32864,19405,21068
32800,19414,21050
32808,19384,20964
32848,19381,21111
32996,19349,21138
33152,19309,21163
33180,19309,21181
33156,19334,21100
33109,19389,21172
32925,19363,21081
32784,19392,21248
32780,19406,21259
32776,19376,21225
32824,19351,21262
32976,19340,21176
33100,19316,21343
33092,19337,21341
33024,19305,21314
32986,19338,21365
32816,19350,21304
32644,19371,21423
32646,19393,21433
32676,19381,21309
32692,19376,21477
32848,19314,21440
32972,19313,21523
32968,19306,21486
32954,19337,21413
32868,19311,21581
32664,19357,21609
32520,19391,21540
32512,19364,21590
32556,19355,21663
32620,19344,21540
32786,19321,21692
32900,19338,21716
32920,19286,21610
32872,19300,21733
32832,19342,21749
32668,19371,21636
32520,19358,21798
32516,19357,21780
32546,19349,21837
32640,19348,21692
32812,19313,21860
32960,19333,21872
32992,19281,21777
32965,19289,21889
32912,19312,21910
32760,19365,21824
32656,19351,21886
32624,19364,21785
32624,19372,21925
32688,19382,21956
32878,19294,21863
32988,19280,21961
33004,19293,21921
33008,19296,21860
32984,19299,21972
32836,19333,21940
32712,19360,21836
32676,19394,21988
32724,19343,21967
32788,19337,21859
32944,19291,21952
33080,19273,22011
33132,19275,21828
33134,19296,21940
33096,19332,21961
32924,19322,21973
32812,19339,21850
32812,19344,21986
32836,19348,21993
32920,19330,21821
33112,19327,21977
33280,19269,21970
33292,19263,21832
33292,19284,21888
33276,19302,21919
33088,19371,21809
32960,19337,21937
32936,19349,21926
33005,19353,21814
33064,19346,21922
33232,19335,21849
33372,19268,21778
33376,19269,21892
33360,19284,21813
33332,19333,21737
33152,19317,21860
33012,19356,21804
33036,19362,21794
33060,19378,21778
33116,19307,21813
33284,19274,21838
33408,19264,21744
33440,19276,21764
33396,19307,21700
33320,19284,21816
33116,19334,21827
32957,19332,21730
32924,19343,21812
32945,19367,21749
32976,19309,21746
33128,19284,21657
33256,19287,21778
33249,19260,21745
33236,19264,21807
33196,19297,21812
33024,19348,21641
32876,19325,21806
32836,19334,21801
32876,19365,21679
32925,19301,21807
33088,19292,21821
33212,19288,21738
33212,19255,21786
33184,19258,21802
33124,19294,21823
32969,19311,21832
32824,19348,21750
32776,19367,21772
32812,19328,21765
32856,19332,21834
33036,19276,21836
33180,19289,21709
33180,19253,21823
33124,19283,21702
33045,19277,21819
32904,19322,21732
32768,19356,21842
32708,19329,21751
32716,19353,21816
32741,19298,21753
32904,19285,21864
33048,19292,21815
33012,19252,21799
32940,19279,21862
32860,19273,21875
32616,19319,21898
32432,19352,21880
32429,19324,21884
32432,19329,21809
32456,19311,21895
32608,19297,21894
32780,19253,21800
32856,19260,21876
32872,19289,21767
32864,19271,21920
32744,19316,21933
32648,19360,21834
32660,19320,21876
32720,19335,21791
32756,19290,21909
32916,19273,21860
33032,19266,21948
33009,19290,21904
32992,19248,21810
32952,19284,21964
32836,19327,21920
32700,19322,21836
32752,19334,22002
32840,19333,21989
32968,19346,21847
33176,19289,21991
33332,19281,21968
33308,19247,21976
33264,19271,22008
33172,19301,21953
32964,19301,22004
32816,19338,21904
32816,19359,22080
32836,19311,22051
32924,19294,21945
33088,19268,22093
33232,19271,22040
33220,19245,21941
33212,19256,22116
33169,19278,22070
33014,19330,21948
32892,19311,22124
32876,19341,22141
32893,19346,22070
32940,19289,22100
33101,19269,22014
33196,19274,22071
33236,19240,22111
33216,19251,22044
33136,19309,22156
32932,19296,22116
32788,19318,21995
32784,19322,22168
32788,19347,22186
32797,19287,22034
32900,19277,22174
32873,19262,22164
32700,19239,22104
32369,19255,22172
31852,19278,22204
31140,19302,22026
30376,19329,22202
29676,19342,22140
29156,19308,22090
28884,19301,22216
29124,19268,22152
29756,19271,22096
30432,19245,22236
31663,19256,22196
33048,19294,22124
34612,19332,22243
36412,19328,22232
38621,19352,22252
41308,19364,22279
44268,19413,22125
46868,19269,22270
48176,19270,22240
48172,19284,22276
46940,19315,22154
45692,19359,22257
44096,19316,22272
42952,19342,22135
42508,19346,22221
42176,19380,22199
41316,19295,22184
40232,19301,22178
39232,19293,22112
38160,19247,22210
36944,19244,22141
35692,19282,22089
34453,19331,22177
33356,19314,22110
32556,19325,22085
31928,19320,21996
31404,19306,22134
31172,19277,22093
31016,19263,22088
30880,19284,22065
30748,19252,22108
30636,19280,22130
30392,19322,22098
30220,19348,22181
30145,19323,22186
30128,19329,22172
30172,19303,22261
30340,19293,22212
30456,19252,22360
30487,19245,22396
30500,19275,22313
30453,19266,22362
30276,19300,22348
30148,19332,22475
30168,19335,22412
30220,19343,22332
30324,19291,22508
30528,19273,22552
30658,19261,22468
30668,19240,22514
30648,19252,22469
30604,19293,22561
30444,19298,22481
30320,19332,22566
30345,19314,22540
30412,19325,22407
30504,19279,22474
30688,19268,22334
30856,19236,22420
30904,19245,22377
30924,19278,22392
30868,19273,22332
30712,19309,22408
30572,19344,22440
30540,19311,22320
30568,19316,22410
30608,19313,22260
30778,19258,22412
30944,19250,22306
30954,19232,22424
30940,19241,22433
30916,19268,22287
30748,19324,22359
30588,19307,22280
30529,19314,22428
30540,19332,22295
30605,19277,22452
30744,19267,22381
30864,19281,22468
30856,19248,22344
30832,19266,22520
30772,19260,22438
30596,19299,22559
30476,19344,22418
30456,19306,22600
30488,19298,22604
30556,19293,22471
30744,19263,22662
30828,19252,22709
30828,19257,22556
30816,19263,22746
30756,19262,22757
30564,19292,22653
30424,19303,22826
30430,19321,22868
30441,19307,22721
30480,19300,22864
30664,19253,22868
30804,19236,22882
30848,19245,22914
30852,19254,22805
30804,19287,23012
30640,19328,22967
30556,19300,22939
30565,19322,23088
30688,19325,22986
30834,19324,23136
31040,19253,23050
31224,19247,23096
31316,19244,23147
31366,19257,23036
31360,19262,23198
31268,19292,23094
31220,19316,23236
31304,19354,23133
31464,19300,23297
31624,19287,23165
31928,19295,23358
32152,19232,23389
32244,19241,23304
32340,19247,23408
32388,19280,23366
32334,19335,23478
32348,19305,23510
32452,19318,23449
32576,19318,23524
32757,19308,23557
33028,19302,23407
33276,19228,23587
33343,19239,23463
33420,19263,23650
33408,19258,23680
33230,19308,23633
33125,19335,23732
33101,19298,23650
33112,19319,23735
33140,19303,23685
33252,19244,23758
33340,19247,23768
33280,19230,23829
33156,19231,23708
33056,19256,23910
32868,19293,23898
32716,19331,23968
32680,19297,24000
32668,19301,23913
32684,19282,24015
32796,19274,23938
32888,19220,24001
32896,19225,23980
32852,19237,24116
32776,19270,24096
32612,19288,24117
32448,19329,24208
32464,19293,24120
32504,19295,24246
32590,19284,24262
32760,19287,24302
32880,19236,24309
32900,19250,24348
32876,19218,24225
32824,19258,24398
32668,19289,24390
32544,19306,24297
32517,19316,24467
32560,19326,24455
32676,19256,24345
32792,19247,24527
32924,19221,24516
32924,19230,24388
32900,19245,24510
32852,19236,24549
32686,19270,24449
32546,19300,24540
32532,19277,24553
32565,19279,24685
32608,19269,24525
32788,19249,24700
32944,19200,24692
32940,19209,24622
32884,19223,24629
32840,19261,24743
