ECG,EDA,RR
32572,25456,36383
32504,25460,36247
32404,25461,36256
32320,25479,36149
32184,25505,36180
32132,25522,36253
32164,25522,36213
32220,25524,36044
32268,25504,36064
32356,25479,36150
32448,25472,36172
32142,25466,36108
32332,25464,36108
32344,25485,35856
32184,25512,35980
32092,25529,35914
32108,25536,35888
32132,25529,35864
32204,25508,35956
32336,25489,35964
32416,25479,36056
32392,25470,36117
32352,25477,35983
32344,25488,36028
32168,25521,35996
32112,25535,35865
32116,25542,35837
32108,25537,35857
32148,25513,35924
32304,25495,35972
32425,25473,35860
32416,25467,35831
32364,25469,35828
32312,25485,35705
32212,25521,35832
32100,25531,35671
32096,25537,35780
32116,25535,35564
32156,25514,35739
32304,25485,35613
32364,25463,35700
32377,25464,35620
32348,25465,35680
32352,25487,35712
32256,25515,35530
32184,25530,35624
32186,25530,35621
32184,25530,35413
32201,25515,35628
32316,25487,35575
32420,25460,35430
32412,25462,35596
32388,25460,35469
32356,25482,35288
32253,25509,35414
32144,25527,35489
32180,25533,35476
32272,25532,35444
32309,25508,35452
32380,25488,35425
32468,25464,35308
32424,25456,35444
32364,25464,35396
32342,25485,35375
32312,25511,35148
32272,25524,35256
32268,25528,35429
32280,25529,35330
32344,25510,35348
32488,25479,35103
32568,25460,35149
32536,25460,35335
32492,25461,35202
32452,25482,35307
32360,25512,35072
32312,25525,35214
32336,25538,35335
32317,25530,35293
32352,25516,35212
32500,25480,35249
32620,25474,35242
32616,25471,34999
32605,25468,35157
32552,25495,35237
32460,25528,35207
32400,25537,35068
32392,25536,35185
32420,25536,34967
32477,25524,35096
32617,25492,35180
32464,25476,35101
32684,25483,35109
32636,25484,35169
32596,25501,35036
32508,25537,34964
32452,25548,35044
32509,25555,35030
32517,25554,35049
32568,25540,34800
32740,25509,34886
32844,25490,34985
32816,25503,35047
32764,25502,35025
32760,25514,35016
32668,25544,34984
32592,25564,34980
32632,25572,34861
32520,25579,34761
32752,25557,34752
32928,25528,34812
33016,25508,34820
33008,25516,34801
32946,25521,34767
32928,25536,34584
32828,25560,34512
32704,25580,34592
32700,25591,34664
32720,25586,34676
32761,25572,34721
