ECG,EDA,RR
33096,25431,51677
33260,25432,51664
33214,25438,51608
32992,25457,51572
32720,25484,51463
32844,25486,51581
33000,25492,51613
32988,25492,51639
32904,25467,51621
32924,25436,51576
33036,25421,51528
33164,25426,51548
33100,25421,51579
32894,25441,51485
32728,25472,51508
32800,25485,51462
32840,25485,51447
32817,25479,51532
32740,25457,51532
33056,25443,51524
33224,25420,51513
33232,25416,51510
32992,25420,51489
32868,25442,51492
32800,25467,51492
32764,25484,51442
32836,25480,51448
32876,25473,51463
32908,25448,51460
32976,25428,51436
32872,25414,51439
32924,25410,51424
32908,25428,51441
32912,25441,51444
33076,25465,51409
33024,25486,51381
32960,25488,51396
32916,25473,51353
32960,25461,51284
32920,25436,51244
32992,25413,51176
32962,25413,51336
32964,25413,51364
32876,25444,51288
32701,25465,51268
32648,25485,51228
32644,25486,51189
32768,25481,51255
32860,25460,51264
32929,25429,51260
32864,25422,51231
32837,25420,51181
32688,25423,51111
32648,25444,51092
32588,25464,51168
32848,25489,51127
32784,25485,51096
32592,25481,51109
32544,25463,51047
32728,25445,50956
32692,25424,50964
32704,25422,51044
32800,25435,51079
32716,25452,51052
32548,25479,51054
32412,25485,50957
32536,25495,50928
32748,25480,50940
32776,25476,50911
32822,25442,50857
32808,25428,50912
32764,25429,50918
32773,25440,50804
32940,25456,50663
32780,25487,50414
32612,25505,50740
32621,25511,50776
32832,25503,50750
32724,25481,50676
32588,25454,50629
32684,25445,50612
32829,25445,50524
33152,25450,50500
33156,25478,50556
32885,25504,50494
32688,25515,50368
32672,25521,50413
32756,25519,50388
32813,25500,50004
32868,25479,50364
32872,25464,50348
32860,25463,50260
32916,25468,50287
32960,25494,50247
32892,25513,50119
32824,25532,49916
32880,25533,50105
32928,25526,50124
32965,25512,50091
33076,25495,50036
33101,25479,49973
33044,25479,49892
33084,25490,49948
32936,25503,49940
32756,25540,49901
32728,25548,49870
32692,25556,49856
32696,25542,49832
32584,25532,49788
32772,25509,49662
32956,25496,49359
33045,25495,49700
33076,25504,49698
33022,25524,49556
32632,25556,49525
32476,25575,49497
32536,25575,49541
32616,25564,49543
32544,25556,49504
32616,25530,49476
32680,25513,49080
32584,25522,49040
32476,25529,49407
32448,25550,49373
32388,25576,49253
32380,25596,49221
32660,25588,49244
32808,25584,49249
32804,25575,49233
32848,25552,49218
32880,25537,49180
32736,25545,49141
32820,25549,49108
32876,25564,49083
32836,25600,49056
32628,25617,49056
32584,25612,49012
