ECG,EDA,RR
33440,26613,37269
33512,26610,37188
33496,26629,37244
33384,26630,37312
33012,26663,37166
32732,26684,37300
32828,26680,37111
32992,26676,37061
33116,26673,37132
33316,26644,37116
33453,26628,37112
33484,26631,37084
33469,26631,36941
33368,26642,36881
32964,26665,36864
32687,26680,36919
32780,26694,36899
33020,26692,36888
33237,26678,36856
33420,26655,36860
33476,26635,36986
33444,26631,36852
33388,26643,36788
33332,26655,36733
33152,26677,36759
32996,26700,36781
32933,26704,36780
32876,26693,36737
32844,26687,36500
32908,26671,36575
32984,26644,36716
32988,26644,36536
32960,26649,36633
32920,26668,36420
32816,26692,36471
32656,26711,36536
32600,26714,36430
32596,26712,36521
32606,26704,36447
32756,26677,36476
32912,26662,36396
32948,26661,36372
32936,26658,36420
32916,26679,36189
32772,26698,36260
32688,26727,36372
32676,26726,36381
32708,26720,36261
32758,26715,36292
32916,26689,36289
33076,26666,36038
33124,26669,36168
33144,26669,36196
33176,26682,36201
33072,26714,36196
32968,26727,35949
32936,26724,36033
32968,26726,36093
32988,26717,36124
33098,26686,36144
33224,26668,36012
33252,26669,35944
33288,26673,35975
33240,26684,36007
33036,26704,35981
32864,26727,35842
32724,26737,35975
32836,26726,35872
33012,26713,35820
33240,26692,35860
33460,26671,35860
33540,26668,35837
33516,26680,35644
33448,26688,35664
33260,26708,35820
33124,26725,35629
33080,26737,35697
33082,26724,35673
33120,26721,35436
33240,26692,35520
33368,26677,35640
33404,26674,35492
33304,26677,35425
33244,26684,35509
33125,26710,35261
32968,26728,35332
32904,26732,35420
32804,26726,35335
32548,26727,35326
32272,26692,35325
31936,26679,35166
31332,26675,35288
30809,26676,35167
30240,26692,35191
29596,26726,35175
29172,26745,34932
28988,26753,34908
29381,26740,34919
30004,26732,34912
31088,26708,34886
32368,26685,34804
33704,26689,34814
35268,26708,34784
36824,26725,34772
38760,26742,34860
41224,26756,34692
43824,26766,34770
45732,26772,34793
46416,26772,34782
45780,26746,34664
44620,26737,34567
43604,26731,34496
42672,26740,34540
42228,26757,34512
42276,26740,34492
41941,26748,34414
40932,26768,34328
39660,26759,34204
38608,26749,34205
37668,26708,34300
36716,26692,34177
35660,26692,34080
34704,26698,34029
33824,26700,33996
32976,26732,34036
32264,26749,33948
31700,26748,33936
31304,26750,33845
31081,26740,33828
31012,26701,33820
30956,26695,33808
30816,26686,33887
30556,26690,33913
30470,26704,33799
30456,26736,33774
30416,26748,33735
30476,26750,33752
30536,26746,33792
30560,26728,33852
30644,26700,33883
30757,26686,33892
30766,26681,33721
30748,26689,33720
30688,26697,33687
30608,26719,33700
30544,26738,33684
30592,26735,33766
30624,26736,33857
30673,26724,33738
30772,26692,33669
30836,26668,33652
30876,26673,33700
30802,26676,33543
30788,26689,33509
30649,26717,33481
30552,26724,33559
30564,26733,33578
30544,26733,33404
30584,26710,33428
30606,26688,33401
30676,26676,33188
30868,26653,33197
30988,26665,33252
31100,26681,33164
31056,26695,33155
30872,26721,33153
30784,26722,32953
30828,26720,32940
30908,26696,33004
31110,26655,33029
31172,26661,32964
31074,26660,32961
31020,26660,32962
31008,26670,32797
30952,26700,32852
30932,26718,32861
31016,26712,32829
31020,26709,32809
31060,26688,32812
31130,26668,32804
31192,26645,32788
31164,26655,32610
31116,26653,32621
31024,26661,32775
30888,26692,32647
30756,26703,32718
30732,26705,32579
30784,26706,32676
30842,26698,32644
30912,26657,32740
30976,26638,32591
30816,26645,32775
30764,26649,32668
30824,26660,32760
30804,26679,32760
30780,26706,32625
30832,26707,32777
30880,26697,32669
30840,26687,32775
30952,26659,32620
31172,26644,32664
31128,26642,32716
31040,26645,32828
31084,26653,32746
30978,26680,32756
30872,26695,32816
30908,26701,32661
30920,26693,32801
31028,26678,32801
31300,26652,32677
31573,26638,32751
31690,26631,32821
31772,26636,32760
31792,26648,32836
31792,26677,32673
31809,26692,32696
31952,26692,32876
32096,26684,32882
32220,26678,32773
32406,26645,32788
32524,26631,32857
32552,26624,32699
32604,26631,32729
32588,26641,32878
32600,26666,32847
32780,26686,32708
33066,26686,32796
33278,26684,32903
33428,26668,32782
33580,26641,32844
33680,26620,32881
33652,26619,32708
33588,26625,32729
33504,26642,32775
33296,26667,32929
33124,26672,32927
33040,26679,32908
33020,26672,32794
32973,26649,32904
33024,26628,32917
33024,26614,32879
32968,26609,32758
32892,26605,32934
32868,26616,32797
32736,26641,32784
32633,26661,32920
32656,26661,32991
32712,26652,32957
32744,26636,32994
32816,26609,32928
32896,26597,32878
32848,26593,32912
32800,26584,32909
32760,26599,33001
32584,26607,33031
32384,26645,32912
32432,26645,33076
32544,26637,33038
32620,26621,32904
32756,26592,33071
32828,26574,32976
32748,26568,33091
32700,26575,32941
32692,26591,32983
32588,26615,33160
32484,26631,33142
32400,26628,33052
32376,26628,33140
32434,26600,33196
32628,26585,33019
32844,26565,33055
32800,26557,33131
32704,26562,33237
32684,26575,33252
32556,26599,33272
32509,26608,33204
32496,26614,33185
32556,26607,33232
32601,26591,33218
32632,26564,33237
32624,26545,33228
32632,26549,33041
32640,26551,33041
32610,26564,33065
32504,26592,33252
32425,26596,33097
32400,26608,33124
32244,26603,33158
32156,26586,33199
32288,26552,33194
32452,26543,33000
32576,26537,33009
32673,26540,33101
32700,26554,33189
32568,26578,33111
32492,26597,33152
32473,26596,33174
32488,26586,32988
32516,26572,33020
32669,26544,32978
32728,26533,33152
32680,26525,32974
32660,26525,32993
32632,26540,32965
32520,26564,33000
32448,26580,33048
32432,26572,33191
32468,26576,33125
32502,26557,32997
32608,26530,32988
32800,26519,33012
32796,26512,33031
32705,26520,33148
32644,26527,33221
32404,26552,33221
32372,26560,33198
32424,26569,33095
32480,26557,33177
32568,26548,33124
32700,26525,33127
32712,26509,33132
32728,26503,33137
32748,26503,33275
32728,26513,33300
32624,26541,33304
32560,26560,33250
32576,26558,33208
32600,26552,33124
32536,26520,33260
32584,26502,33348
32724,26495,33358
32812,26486,33353
32804,26494,33387
32724,26512,33300
32616,26533,33252
32596,26548,33377
32684,26548,33228
32769,26537,33225
32837,26525,33252
32976,26503,33416
33064,26487,33372
33016,26479,33304
33012,26476,33313
32965,26493,33392
32804,26518,33412
32705,26535,33233
32728,26532,33263
32744,26532,33254
32792,26511,33399
32941,26481,33359
33080,26468,33369
33076,26471,33400
33026,26465,33399
33033,26485,33250
32916,26513,33342
32864,26523,33336
32776,26530,33335
32700,26521,33380
32817,26503,33369
33052,26474,33360
33216,26459,33352
33252,26450,33162
33172,26455,33172
33176,26468,33168
33121,26491,33244
33028,26503,33332
32988,26511,33264
33000,26503,33172
33008,26481,33181
33160,26461,33210
33240,26448,33231
33232,26442,33232
33244,26444,33246
33136,26457,33081
32868,26492,33151
32824,26499,33181
32912,26495,33231
32972,26481,33092
33064,26465,33114
33269,26442,33124
33300,26429,33140
33252,26429,33133
33228,26433,33118
33164,26445,33102
33028,26471,33097
32988,26482,33093
33032,26452,32902
33092,26473,32908
33164,26449,32903
33304,26429,32954
33424,26405,33028
33392,26413,33029
33372,26414,32928
33276,26435,32860
33092,26456,32927
33001,26464,32976
32996,26464,33023
33052,26463,32928
33104,26443,32951
33256,26420,32989
33320,26406,32804
33317,26396,32798
33332,26402,32804
33248,26415,32815
33044,26441,32890
32948,26449,32798
32976,26448,32808
33056,26441,32775
33156,26430,32762
33300,26402,32764
33276,26391,32756
33108,26381,32753
33062,26381,32746
33024,26404,32741
32964,26430,32724
32944,26428,32740
33032,26437,32786
33056,26424,32840
33088,26412,32829
33260,26382,32861
33320,26366,32673
33260,26364,32684
33168,26375,32808
33032,26381,32840
32733,26404,32837
32696,26420,32700
32900,26420,32797
32988,26409,32633
33038,26396,32636
33248,26366,32725
33300,26353,32814
33317,26344,32790
33244,26351,32689
33144,26369,32683
33021,26391,32766
33000,26400,32759
32960,26404,32756
32944,26390,32748
33028,26372,32745
33181,26343,32575
33257,26329,32579
33216,26333,32568
33136,26337,32575
33072,26342,32584
32961,26369,32757
32900,26382,32608
32956,26380,32696
32976,26372,32708
33004,26359,32656
33117,26332,32668
33200,26313,32657
33173,26306,32679
33100,26309,32708
33012,26319,32716
32880,26345,32714
32740,26361,32570
32652,26365,32524
32580,26357,32549
32588,26339,32553
32662,26308,32546
32740,26293,32628
32696,26292,32719
32628,26300,32693
32620,26316,32630
32564,26340,32604
32452,26344,32628
32480,26348,32703
32540,26337,32700
32648,26324,32701
32792,26292,32550
32860,26280,32557
32704,26276,32526
32688,26277,32536
32786,26292,32534
32724,26319,32682
32690,26326,32724
32692,26324,32708
32612,26320,32647
32636,26301,32586
32852,26276,32573
33088,26263,32671
33181,26256,32526
33160,26263,32493
33152,26279,32580
32960,26294,32666
32764,26311,32560
32856,26305,32604
32977,26296,32628
33088,26279,32644
33248,26252,32464
33340,26237,32474
33264,26239,32482
33244,26233,32512
33208,26252,32578
33120,26269,32631
33068,26279,32576
33052,26284,32597
33008,26272,32457
33056,26252,32404
33166,26228,32422
33256,26215,32487
33218,26212,32584
33181,26216,32438
33136,26229,32516
32988,26250,32500
32937,26262,32529
32980,26262,32374
32950,26260,32349
32984,26235,32356
33044,26207,32420
33108,26188,32509
33152,26183,32484
33072,26199,32484
33044,26209,32495
32876,26230,32492
32628,26241,32484
32428,26242,32444
32172,26237,32332
31708,26218,32445
31312,26190,32276
30780,26182,32248
30100,26180,32263
29484,26181,32260
29037,26205,32360
28878,26230,32408
29212,26239,32417
29896,26238,32417
30988,26224,32405
32288,26212,32277
33848,26196,32273
35428,26180,32292
37060,26178,32372
39188,26181,32380
41716,26244,32367
44064,26232,32372
45564,26245,32364
45932,26281,32356
44728,26265,32214
43464,26230,32180
42552,26201,32213
41728,26189,32208
41352,26181,32196
41236,26180,32317
40912,26195,32312
39960,26223,32312
38896,26233,32271
38036,26209,32244
37124,26205,32263
36200,26182,32235
35304,26161,32161
34436,26140,32050
33592,26137,32032
32950,26148,32109
32400,26161,32140
31784,26188,32157
31296,26192,32173
31028,26199,32096
30900,26186,32069
30892,26172,32140
31012,26141,32014
31037,26120,32004
30940,26127,32105
30812,26125,32169
30681,26145,32101
30496,26172,32177
30436,26170,32181
30492,26175,32252
30532,26160,32305
30592,26148,32334
30720,26118,32198
30808,26100,32212
30796,26107,32326
30733,26108,32417
30692,26118,32308
30548,26151,32404
30438,26159,32432
30449,26154,32263
30596,26145,32329
30713,26129,32477
30868,26100,32413
30984,26092,32335
31004,26082,32413
30992,26092,32391
30980,26106,32366
30880,26133,32377
30852,26145,32357
30868,26141,32340
30924,26136,32321
31009,26116,32303
31132,26085,32122
31138,26070,32245
31080,26068,32231
31096,26079,32124
31128,26089,32212
31096,26116,32034
31100,26125,32076
31028,26132,32156
31024,26119,32164
31136,26101,32004
31288,26072,31996
31260,26056,32009
31308,26054,32156
31316,26057,32180
31300,26072,32108
31232,26101,32056
31100,26109,32116
30952,26112,32154
31000,26108,32163
31116,26087,32193
31328,26059,32208
31476,26050,32036
31504,26045,32064
31423,26048,32097
31300,26061,32220
31152,26088,32221
31068,26105,32185
31100,26103,32225
31124,26093,32325
31182,26072,32361
31304,26044,32212
31384,26030,32263
31358,26038,32460
31277,26045,32352
31164,26053,32484
31012,26085,32348
30997,26100,32528
31064,26097,32493
31064,26085,32577
31062,26070,32448
31152,26040,32545
31268,26034,32612
31284,26035,32556
31358,26032,32644
31364,26052,32712
31384,26077,32736
31353,26091,32598
31432,26085,32797
31552,26082,32759
31676,26069,32808
31956,26038,32828
32160,26025,32844
32164,26024,32676
32117,26030,32766
32137,26050,32889
32192,26078,32856
32288,26085,32804
32384,26085,32861
32524,26073,32898
32661,26062,32868
32916,26034,32958
