ECG,EDA,RR
32712,22948,35742
32664,22959,35713
32736,22919,35752
32896,22892,35719
32944,22882,35516
32940,22909,35588
32976,22905,35604
32932,22936,35586
32832,22951,35566
32760,22972,35460
32688,22951,35453
32604,22944,35428
32536,22918,35500
32452,22887,35536
32172,22905,35556
31668,22897,35417
31116,22908,35327
30432,22932,35321
29624,22949,35272
29056,22960,35404
28736,22956,35382
28738,22953,35359
29276,22924,35420
30176,22908,35376
30988,22902,35381
31952,22910,35264
33080,22922,35201
33892,22959,35064
35152,22980,35049
36856,22999,35052
39036,22977,35036
41136,22980,35249
42600,22950,35260
42752,22942,35245
41672,22968,35213
40816,22962,35204
40396,22965,35164
40154,22970,35097
40188,22995,35044
40200,22985,35033
39916,22990,34981
39152,22962,35094
38221,22935,34996
37568,22925,34972
36956,22913,35012
36364,22922,34996
35684,22914,34981
34874,22938,34930
34032,22957,34916
33317,22983,34870
32720,22988,34943
32284,22972,34957
31996,22937,34997
31804,22916,34980
31602,22904,34964
31444,22911,34940
31396,22912,34852
31200,22943,34751
31020,22958,34740
30928,22969,34864
30892,22965,34823
30828,22959,34820
30824,22936,34961
30920,22909,34932
30976,22902,34823
30980,22910,34692
30956,22916,34935
30857,22943,34941
30736,22963,34934
30729,22964,34919
30768,22964,34884
30788,22953,34878
30908,22919,34786
30984,22898,34938
31085,22887,34909
31117,22902,34841
31169,22911,34848
31072,22935,34732
30872,22951,34721
30784,22954,34701
30808,22957,34673
30928,22948,34517
31057,22912,34731
31172,22911,34709
31188,22906,34684
31213,22903,34652
31264,22919,34501
31252,22949,34564
31088,22964,34668
31044,22966,34593
31200,22964,34500
31284,22952,34453
31344,22928,34439
31436,22900,34480
31472,22894,34400
31512,22897,34361
31520,22907,34417
31404,22933,34404
31244,22956,34311
31161,22971,34446
31200,22960,34444
31200,22956,34311
31280,22924,34280
31408,22904,34204
31460,22897,34203
31520,22902,34193
31516,22906,34332
31380,22941,34491
31194,22959,34399
31154,22967,34372
31212,22969,34265
31280,22956,34277
31368,22940,34543
31490,22900,34529
31464,22898,34564
31408,22898,34703
31380,22905,34622
31310,22939,34504
31180,22966,34696
31160,22965,34711
31140,22965,34710
31168,22951,34742
31317,22924,34781
31493,22903,34823
31540,22897,34858
31584,22904,34884
31633,22913,34929
31556,22945,34948
31468,22958,34980
31420,22976,35013
31448,22965,35011
31488,22960,35021
31648,22934,35032
31864,22911,35012
32004,22899,35080
32068,22903,35116
32124,22913,35122
32116,22943,35154
32060,22973,35240
32128,22975,35300
32217,22978,35316
32302,22964,35303
32472,22946,35316
32676,22908,35264
32848,22895,35353
32974,22919,35376
33036,22927,35425
33028,22942,35444
33000,22967,35429
33065,22974,35396
33220,22974,35607
33364,22964,35477
33528,22938,35431
33704,22911,35445
33832,22918,35316
33860,22921,35559
33852,22916,35468
33748,22941,35519
33620,22964,35549
33572,22988,35513
33560,22984,35584
33512,22967,35718
33528,22943,35737
33536,22914,35737
33392,22916,35610
33220,22917,35515
33028,22924,35680
32728,22948,35680
32448,22981,35612
32300,22982,35704
32276,22978,35812
32284,22970,35631
32325,22926,35500
32408,22912,35469
32340,22905,35487
32244,22927,35748
32192,22916,35748
32092,22944,35639
31988,22979,35721
31924,22980,35658
31929,22972,35874
31909,22960,35860
32000,22925,35836
32144,22915,35800
32173,22901,35836
32148,22900,35742
32084,22912,35724
31948,22941,35624
31780,22964,35873
31724,22972,35876
31784,22972,35872
31877,22956,35783
31996,22924,35813
32128,22916,36004
32184,22895,35856
32192,22895,35815
32164,22900,35676
32028,22948,35703
31900,22954,35908
31857,22959,35908
31884,22951,35892
31940,22937,35898
32064,22913,35852
32193,22898,35884
32224,22887,35847
32200,22911,35857
32209,22917,35868
32128,22943,35628
32012,22960,35810
31997,22973,35580
32024,22957,35809
32052,22944,35807
32133,22915,35784
32302,22898,35756
32352,22910,35736
32296,22915,35680
32237,22925,35684
32112,22941,35612
31968,22960,35604
31988,22969,35624
32048,22966,35653
32092,22951,35565
32192,22913,35676
32388,22890,35409
32444,22908,35417
32424,22889,35629
32410,22901,35532
32344,22933,35540
32200,22948,35569
32172,22955,35521
32228,22948,35521
32261,22938,35461
32396,22908,35573
32548,22892,35641
32648,22891,35652
32649,22894,35448
32620,22903,35296
32452,22940,35557
32296,22964,35513
32244,22961,35496
32249,22954,35448
32300,22935,35422
32412,22911,35444
32604,22895,35620
32664,22884,35500
32632,22895,35413
32622,22901,35400
32512,22929,35334
32392,22956,35497
32369,22959,35492
32388,22949,35484
32416,22940,35484
32576,22909,35455
32740,22892,35324
32768,22882,35493
32768,22888,35313
32768,22899,35500
32668,22932,35356
32520,22941,35411
32480,22956,35260
32437,22948,35150
32484,22940,35077
32620,22917,35301
32748,22889,35284
32800,22891,35270
32772,22888,35236
32780,22901,35224
32677,22928,35197
32572,22955,35156
32540,22956,35028
32544,22965,34980
32588,22942,35057
32696,22914,35101
32804,22885,35045
32846,22892,34888
32818,22901,34711
32850,22912,34919
32744,22940,34912
32617,22964,34844
32576,22953,34788
32625,22950,34681
32676,22937,34848
32824,22908,34637
32972,22884,34460
32984,22895,34685
32988,22897,34553
32940,22908,34565
32796,22934,34544
32644,22948,34301
32592,22953,34492
32640,22948,34480
32672,22940,34476
32768,22909,34320
32898,22896,34183
32960,22893,34353
32952,22903,34304
32892,22911,34345
32768,22933,34199
32676,22955,34055
32692,22961,34086
32684,22955,34218
32736,22944,34180
32836,22905,34161
32972,22887,34138
33036,22877,34115
33040,22885,34048
33012,22898,33964
32916,22924,33992
32788,22938,34084
32736,22949,33942
32772,22958,33905
32832,22951,33833
32928,22902,33711
33042,22908,33906
33048,22895,33883
32989,22900,33843
32932,22903,33740
32858,22928,33728
32760,22949,33677
32758,22951,33700
32788,22948,33820
32820,22949,33713
32984,22916,33558
33085,22884,33666
33088,22901,33656
33082,22892,33625
33044,22903,33600
32929,22927,33560
32856,22945,33429
32837,22951,33590
32848,22948,33469
32900,22932,33343
33028,22904,33228
33132,22894,33418
33133,22889,33364
33104,22884,33280
33076,22901,33405
32944,22926,33271
32820,22949,33164
32808,22947,33256
32868,22949,33257
32904,22930,33216
33020,22905,33135
33116,22891,33172
33120,22882,33210
33080,22878,33167
33068,22892,33071
32988,22935,33052
32836,22951,32968
32804,22956,32932
32848,22943,33006
32868,22932,32998
32974,22903,32973
33076,22881,32936
33061,22876,32806
33017,22876,32908
32972,22904,32895
32808,22937,32932
32608,22954,32888
32580,22958,32844
32564,22955,32732
32550,22940,32767
32645,22913,32668
32712,22890,32598
32689,22900,32748
32636,22904,32733
32596,22916,32702
32508,22928,32579
32388,22970,32680
32376,22964,32551
32445,22952,32574
32516,22940,32526
32684,22919,32560
