ECG,EDA,RR
33872,38848,31548
33794,38903,31574
33732,38919,31574
33760,38913,31600
33840,38905,31627
33980,38919,31644
34020,38892,31646
33988,38900,31685
33948,38898,31705
33900,38888,31724
33880,38878,31730
33800,38907,31751
33744,38908,31780
33744,38917,31782
33866,38909,31806
33960,38910,31818
33988,38900,31835
33964,38900,31853
33925,38889,31816
33888,38887,31877
33908,38895,31897
33868,38892,31904
33816,38900,31908
33828,38863,31932
33920,38895,31960
34020,38892,31964
34032,38899,31960
34020,38856,31981
34012,38883,32004
33956,38889,32002
33910,38884,32021
33833,38884,32031
33804,38895,32039
33809,38884,32056
33884,38887,32060
34012,38900,32072
34028,38893,32082
34032,38903,32108
33968,38889,32092
33933,38881,32117
33872,38887,32127
33804,38894,32125
33728,38893,32145
33740,38900,32167
33840,38911,32145
33924,38864,32175
33965,38895,32181
33956,38884,32189
33920,38893,32180
33873,38856,32204
33840,38845,32210
33776,38889,32229
33752,38890,32236
33736,38887,32218
33828,38878,32236
33908,38876,32252
33944,38884,32263
33888,38868,32252
33848,38868,32281
33804,38858,32297
33764,38876,32289
33692,38830,32316
33632,38878,32324
33668,38872,32320
33728,38870,32344
33816,38887,32357
33860,38881,32366
33800,38876,32376
33768,38864,32374
33740,38863,32395
33752,38861,32409
33648,38860,32420
33552,38866,32408
33561,38868,32444
33628,38877,32458
33724,38868,32477
33761,38816,32471
33764,38857,32495
33724,38849,32518
33716,38852,32502
33644,38853,32544
33584,38857,32557
33528,38853,32568
33540,38864,32567
33600,38822,32601
33684,38855,32620
33700,38844,32628
33716,38846,32656
33664,38845,32689
33600,38823,32692
33516,38837,32732
33432,38822,32756
33384,38850,32748
33436,38804,32820
33472,38836,32833
33560,38837,32820
33596,38840,32864
33552,38828,32887
33528,38791,32884
33512,38815,32945
33469,38815,32972
33376,38812,32997
33356,38813,33025
33396,38831,33021
33508,38820,33031
33560,38812,33105
33628,38804,33127
33616,38806,33149
33576,38791,33148
33544,38783,33206
33520,38788,33224
33496,38791,33254
