ECG,EDA,RR
33230,45104,33799
33238,45097,33845
33301,45108,33866
33416,45114,33772
33442,45036,33815
33360,45108,33785
33428,45097,33781
33420,45100,33844
33368,45092,33892
33308,45108,33765
33208,45104,33788
33244,45052,33796
33216,45109,33789
33260,45115,33877
33316,45054,33813
33328,45097,33756
33432,45084,33806
33389,45094,33783
33324,45045,33852
33324,45076,33759
33224,45089,33794
33220,45078,33817
33224,45097,33830
33256,45092,33748
33288,45080,33780
33200,45100,33765
33241,45071,33853
33324,45063,33742
33288,45063,33757
33172,45010,33783
33136,45063,33759
33124,45077,33812
33121,45080,33821
33244,45060,33743
33288,45071,33763
33252,45031,33776
33256,45063,33749
33298,45046,33827
33264,45028,33777
33168,45058,33740
33128,45057,33764
33008,45063,33752
33020,45063,33848
32956,45077,33800
32828,45063,33777
32604,45053,33758
32700,45020,33852
32864,45044,33752
32844,45037,33722
32708,45013,33765
32676,45058,33736
32904,45056,33752
33344,45076,33776
33644,45031,33834
33856,45089,33837
33969,45103,33843
34364,45092,33712
35168,45127,33724
36000,45113,33732
36376,45117,33741
35544,45164,33724
35068,45181,33701
35664,45185,33697
36924,45180,33716
38052,45180,33733
39454,45114,33745
40940,45111,33724
40692,45124,33716
38992,45121,33676
36900,45140,33704
34809,45140,33752
33234,45143,33634
32208,45159,33676
31684,45085,33665
31476,45132,33729
31308,45134,33704
31225,45128,33687
31176,45137,33543
31200,45053,33552
31172,45124,33566
31068,45117,33551
31060,45128,33533
31004,45120,33482
31036,45116,33561
31132,45109,33580
31196,45100,33437
31220,45111,33457
31124,45097,33412
31168,45088,33433
31124,45103,33452
31160,45036,33436
31104,45097,33448
31038,45092,33415
31088,45085,33383
31152,45081,33422
31168,45081,33413
31164,45063,33265
31240,45063,33252
31152,45073,33226
31182,45013,33252
31108,45077,33249
31076,45063,33220
31105,45085,33174
31088,45031,33166
31176,45063,33196
31242,45056,33210
31288,45063,33123
31192,45044,32999
31308,45040,32996
31221,45048,33003
31010,45061,32971
31104,45019,32894
31152,45060,32908
31268,45057,32960
31284,45063,32948
31180,44996,32771
31132,45044,32801
31260,45041,32797
31266,45028,32772
31264,45020,32756
31206,45048,32720
31184,45056,32693
31144,45049,32805
31204,45038,32730
31308,45048,32620
31260,45044,32624
31160,44981,32647
31252,45029,32659
31248,45025,32625
31256,45041,32608
31204,45007,32708
31276,45041,32718
31313,45042,32657
31376,45039,32570
31405,45044,32574
31320,45040,32585
31304,44969,32694
31390,45044,32528
31440,45032,32549
31400,45049,32583
31305,44989,32542
31324,45044,32532
31388,45028,32559
31552,45046,32647
31568,44983,32488
31484,45029,32519
31532,45040,32570
31516,44972,32616
31588,45024,32458
31536,45006,32495
31425,45028,32487
31348,45032,32522
31452,45020,32485
31588,45050,32426
31640,45000,32420
31696,45040,32433
31646,45026,32468
31624,45024,32460
31692,45032,32434
31776,45003,32544
31676,45041,32533
31726,45047,32437
31764,45045,32391
31852,45002,32431
32020,45050,32430
32041,45044,32410
32132,45036,32410
32224,45049,32372
32268,44975,32437
32252,45033,32452
32324,45024,32339
32342,45049,32364
32380,44997,32368
32436,45041,32368
32505,45017,32477
32596,45043,32343
32704,45007,32314
32748,45036,32352
32863,45016,32321
32869,45008,32389
32836,45044,32431
32904,45024,32341
32869,45041,32309
32997,45032,32300
33094,45046,32340
33173,44975,32306
33204,45036,32317
33300,45028,32369
33320,45047,32440
33408,44983,32415
33352,45037,32269
33364,45039,32268
33440,44981,32292
33516,45036,32313
33544,45037,32336
33624,45041,32361
33668,45012,32345
33711,45032,32320
33700,45018,32359
33696,45020,32340
33646,45041,32362
33612,44972,32476
33652,45044,32442
33744,45036,32404
33720,45008,32384
33748,45030,32369
33760,44984,32484
33812,45024,32442
33772,45016,32367
33689,45024,32388
33620,45031,32421
33574,45020,32433
33620,45044,32422
33688,45044,32478
33689,45033,32572
33728,45029,32477
33700,44996,32474
33652,45021,32492
33576,44988,32487
33508,44960,32625
33532,45031,32565
33452,45024,32495
33416,45031,32513
33524,45030,32672
33557,45002,32646
33565,45030,32532
33556,44964,32588
33560,45031,32576
33496,44996,32638
33480,45039,32736
33476,45031,32573
33448,45024,32615
33392,45044,32668
33474,45004,32651
33560,45036,32677
33524,45041,32724
33496,45024,32792
