ECG,EDA,RR
32520,37084,32981
32372,37096,33005
32456,37097,33019
32532,37097,33021
32688,37092,33007
32896,37093,32997
33428,37056,33000
33980,37091,32996
34668,37095,32988
34965,37101,32976
35200,37109,32977
35612,37109,32965
36416,37127,32924
37548,37108,32890
38340,37148,32872
37984,37165,32887
37096,37188,32900
37068,37188,32924
37604,37182,32889
38216,37172,32895
38832,37164,32884
39912,37143,32877
40608,37135,32862
39780,37143,32791
38124,37153,32782
36352,37140,32740
34480,37160,32736
33032,37177,32714
32072,37175,32694
31504,37157,32677
31265,37165,32709
31077,37156,32718
30940,37161,32709
30904,37160,32666
30980,37169,32668
31064,37165,32600
31096,37165,32580
31048,37117,32574
31016,37149,32564
30936,37157,32592
30864,37119,32613
30772,37140,32588
30720,37143,32588
30780,37159,32594
30820,37148,32588
30924,37149,32580
30992,37148,32530
31045,37148,32530
30984,37143,32501
30932,37143,32514
30916,37136,32519
30920,37141,32553
30941,37121,32530
30964,37149,32519
31020,37152,32529
31156,37157,32470
31244,37159,32441
31256,37156,32426
31212,37153,32404
31184,37137,32412
31172,37135,32431
31080,37132,32396
31040,37144,32380
31020,37148,32356
31092,37118,32343
31204,37148,32263
31317,37146,32248
31264,37145,32236
31180,37128,32270
31104,37143,32256
31089,37127,32226
31041,37132,32214
31013,37101,32204
31008,37141,32196
31052,37151,32176
31156,37125,32166
31188,37140,32175
31100,37126,32144
31040,37143,32108
31064,37127,32108
30992,37127,32111
30949,37121,32133
30920,37137,32157
30912,37137,32152
30924,37132,32157
31004,37142,32132
31024,37127,32128
30989,37136,32182
30941,37125,32198
30924,37132,32214
30900,37087,32164
30880,37127,32213
30808,37137,32231
30820,37140,32255
30904,37144,32231
30984,37148,32225
31052,37143,32247
30996,37101,32274
30944,37133,32279
30876,37132,32310
30864,37128,32353
30844,37096,32341
30736,37149,32384
30720,37156,32439
30752,37148,32445
30810,37156,32484
30876,37144,32480
30800,37153,32493
30782,37151,32493
30793,37140,32556
30736,37148,32607
30664,37105,32617
30625,37156,32646
30620,37161,32676
30668,37118,32697
30792,37148,32734
30886,37157,32756
30900,37124,32736
30848,37144,32736
30828,37148,32788
30853,37145,32807
30821,37156,32840
30804,37154,32884
30876,37163,32908
30964,37164,32924
31077,37168,32944
31152,37147,32976
31180,37159,32988
31273,37141,32990
31308,37141,32967
31360,37148,32960
31460,37161,33025
31536,37113,33044
31740,37156,33052
31990,37161,33068
32249,37164,33076
32513,37164,33044
32706,37136,33020
32824,37141,33040
32924,37127,33018
33088,37148,33032
33224,37149,33056
33300,37127,33105
33420,37159,33029
33576,37151,32998
33760,37141,33046
33892,37148,33071
33952,37145,33044
34040,37127,33053
34116,37097,33001
34192,37118,32961
34200,37127,33017
34173,37127,33004
34213,37127,32929
34268,37127,32900
34444,37125,32908
34552,37124,32959
34484,37121,32931
34432,37095,32925
34452,37085,32860
34456,37114,32903
34420,37101,32871
34352,37119,32868
34368,37113,32785
34452,37121,32837
34548,37121,32761
34596,37120,32765
34576,37109,32796
34464,37111,32772
34464,37108,32751
34385,37117,32753
34332,37103,32669
34288,37116,32660
34268,37119,32671
34320,37119,32638
34396,37113,32699
34452,37116,32696
34420,37105,32695
34360,37100,32663
34308,37104,32668
34304,37103,32615
34248,37076,32609
34172,37118,32642
34140,37108,32647
34188,37108,32628
34280,37115,32632
34332,37127,32560
34268,37121,32606
34196,37106,32620
34149,37100,32612
34112,37108,32596
34060,37093,32608
33988,37113,32615
33980,37108,32550
34000,37109,32548
34088,37104,32598
34097,37109,32584
34068,37110,32594
34076,37095,32588
34072,37101,32581
34040,37096,32592
34000,37093,32543
33928,37095,32529
33908,37077,32599
33952,37095,32593
34016,37085,32592
34088,37093,32577
34036,37095,32584
34048,37086,32584
34044,37084,32580
34036,37069,32568
33968,37080,32564
33864,37076,32575
33776,37066,32581
33860,37087,32535
33948,37097,32525
33996,37084,32509
33948,37069,32500
33900,37073,32519
33872,37066,32559
33820,37064,32558
33814,37066,32548
33782,37071,32512
33804,37080,32493
33881,37080,32536
33960,37047,32532
33974,37071,32518
33901,37069,32527
33920,37075,32513
33904,37060,32480
33850,37054,32468
33756,37063,32452
33648,37077,32452
33604,37070,32440
33688,37067,32430
33780,37068,32458
33844,37070,32486
33789,37055,32478
33756,37060,32448
33772,37067,32455
33684,37023,32414
33576,37052,32402
33476,37063,32439
33460,37054,32431
33500,37072,32421
33568,37064,32424
33584,37060,32413
33564,37031,32404
33480,37055,32405
33392,37036,32373
33356,37021,32372
33286,37053,32381
33252,37053,32392
33236,37056,32372
33268,37052,32377
33324,37052,32368
33376,37036,32329
33364,37046,32301
33420,37033,32292
33481,37028,32328
33541,37036,32348
33500,37047,32316
33448,37023,32324
33428,37047,32279
33564,37040,32284
33648,37044,32321
33644,37037,32302
33620,37032,32308
33580,37020,32263
33596,37028,32244
33676,37035,32292
33632,37028,32281
33576,37023,32288
33568,37030,32253
33629,37036,32220
33736,37021,32284
33776,37025,32285
33748,37023,32273
33692,37021,32244
33645,37013,32241
33620,36980,32287
33565,37015,32277
33460,37008,32263
33518,37023,32263
33624,37020,32224
33696,37020,32214
33765,37013,32277
33684,37016,32263
33620,37012,32217
33588,36999,32240
33560,36999,32268
33528,36999,32261
33457,36999,32261
33416,36999,32277
33456,37009,32224
33548,36999,32276
33660,36994,32263
33668,36992,32233
33612,36988,32225
33586,36976,32277
33564,36987,32272
33522,36988,32269
33440,36991,32268
33444,36953,32229
33468,36967,32229
33573,36991,32263
33660,36986,32256
33584,36978,32263
33509,36968,32209
33432,36975,32200
33356,36967,32241
33272,36961,32256
33076,36973,32240
32784,36972,32240
32724,36965,32255
32924,36973,32196
33048,36972,32196
32984,36973,32228
32988,36957,32241
33388,36961,32227
34044,36953,32220
34528,36961,32247
34784,36980,32229
35164,36989,32233
35760,36999,32197
36788,36999,32191
37860,37006,32228
38288,37015,32218
37352,37033,32225
36280,37052,32228
36240,37047,32197
36772,37045,32172
37632,37048,32200
38668,37034,32216
40224,37008,32216
40880,37008,32201
39880,36999,32201
38400,37017,32192
36600,37007,32164
34868,37008,32130
33596,37013,32153
32696,37007,32169
32100,37031,32141
31776,37028,32153
31681,37025,32100
31684,37006,32140
31652,37015,32129
31596,37012,32121
31532,37007,32122
31518,36991,32116
31428,36995,32089
31324,36999,32064
31308,36999,32064
31372,36996,32077
31457,36996,32073
31572,36999,32117
31640,36991,32116
31608,36997,32105
31606,36984,32108
31580,36973,32117
31552,36957,32116
31444,36977,32125
31404,36985,32125
31420,36941,32125
31452,36981,32114
31572,36972,32117
31656,36968,32125
31704,36925,32127
31661,36956,32103
31589,36947,32066
31536,36949,32088
31488,36957,32100
31408,36942,32087
31488,36967,32064
31584,36960,32053
31756,36956,32033
31864,36948,32021
31928,36943,32006
31901,36948,31984
31857,36924,31983
31798,36942,31972
31732,36940,31908
31680,36933,31952
31668,36951,31940
31752,36945,31936
31873,36944,31940
31936,36948,31940
31920,36925,31924
31832,36932,31924
31744,36925,31931
31688,36920,31909
31622,36932,31890
31577,36920,31931
31640,36936,31947
31712,36936,31895
31726,36932,31948
31776,36929,31962
31744,36911,31957
31764,36924,31942
31744,36924,31935
31736,36917,31980
31636,36916,32005
31532,36924,32014
31508,36951,32030
31524,36943,31990
31572,36942,32007
31620,36925,32044
31553,36933,32021
31488,36912,32052
31560,36917,32097
31652,36924,32112
31656,36929,32104
31500,36932,32116
31460,36916,32128
31488,36901,32139
31592,36940,32156
31668,36929,32127
31676,36927,32140
31760,36909,32177
31792,36925,32196
31716,36912,32212
31597,36939,32204
31460,36928,32223
31520,36941,32242
31756,36935,32205
31904,36942,32204
31961,36934,32233
31950,36924,32288
31864,36917,32301
31728,36934,32303
31672,36933,32317
31684,36936,32337
31636,36932,32359
31724,36940,32372
31863,36944,32397
31864,36943,32368
31748,36956,32396
31704,36944,32384
31572,36936,32425
31628,36934,32485
31677,36940,32493
31716,36926,32532
31925,36941,32533
32068,36905,32540
32116,36943,32585
32204,36910,32644
32420,36932,32692
32664,36932,32735
32832,36932,32773
33120,36924,32813
33180,36932,32866
33240,36929,32925
33433,36921,32980
33616,36933,33000
33822,36935,33044
33960,36924,33108
33924,36921,33169
33956,36920,33167
34181,36915,33194
34332,36916,33250
34608,36902,33387
34812,36911,33445
34878,36916,33404
34902,36908,33460
34932,36889,33532
35018,36902,33662
35056,36908,33741
35176,36905,33764
35272,36895,33824
35348,36896,33904
35320,36892,33897
35202,36900,33956
35072,36906,33968
34996,36909,34028
35028,36905,34128
35144,36900,34223
35300,36913,34262
35376,36871,34311
35324,36892,34358
35205,36889,34404
35204,36893,34478
35100,36887,34436
34912,36896,34495
34926,36900,34615
35012,36896,34564
35104,36894,34577
35256,36900,34628
35260,36892,34663
35204,36887,34716
35224,36876,34764
35212,36869,34759
35103,36879,34828
34952,36868,34863
34814,36871,34881
34864,36884,34945
35064,36871,35052
35088,36871,35084
35040,36869,35105
35040,36871,35111
34964,36858,35128
34872,36853,35142
34764,36871,35068
34720,36880,35117
34768,36871,35128
34848,36884,35145
34956,36887,35161
34964,36861,35176
34912,36871,35206
34917,36868,35215
34924,36868,35249
34940,36863,35292
34892,36871,35343
34849,36871,35412
34816,36878,35396
34876,36880,35419
34929,36840,35416
34981,36868,35414
34916,36863,35429
34799,36871,35470
34752,36863,35392
34752,36853,35385
34716,36871,35372
34576,36846,35424
34486,36868,35511
34508,36871,35516
34576,36852,35508
34664,36868,35477
34660,36864,35472
34624,36868,35481
34672,36860,35512
34700,36853,35532
34616,36871,35436
34492,36871,35412
34440,36871,35476
34500,36869,35540
34712,36885,35496
34728,36844,35517
34661,36865,35436
34692,36864,35455
34578,36863,35528
34481,36858,35510
34380,36868,35420
34284,36871,35472
34336,36869,35524
34452,36871,35503
34488,36849,35513
34472,36870,35414
34272,36864,35383
34068,36853,35508
33992,36855,35479
34016,36855,35378
33948,36856,35409
33880,36871,35484
33896,36872,35445
33924,36856,35476
33972,36847,35328
33984,36869,35447
33984,36860,35444
33992,36869,35416
33920,36839,35436
33920,36863,35293
34052,36863,35364
34088,36871,35369
34056,36871,35396
34100,36871,35380
34196,36865,35368
34256,36871,35316
34188,36852,35308
34094,36868,35328
34004,36829,35223
33976,36855,35172
33956,36854,35191
33848,36868,35166
33840,36868,35125
33912,36871,35188
34016,36852,35229
34020,36869,35204
33924,36856,35140
33896,36861,35125
33904,36855,35110
33932,36847,35078
33888,36858,35071
33796,36863,35056
33808,36860,35044
33872,36869,35033
33784,36841,35020
33792,36860,35004
33749,36828,34989
33645,36858,34934
33632,36861,34912
33668,36812,34911
33501,36848,34902
33372,36868,34804
33424,36870,34785
33448,36861,34758
33512,36871,34682
33596,36824,34711
33656,36861,34708
33653,36861,34749
33584,36855,34681
33548,36837,34681
33488,36852,34581
33400,36867,34525
33436,36871,34541
33504,36850,34567
33573,36836,34522
33553,36865,34516
33540,36871,34405
33576,36868,34331
33552,36860,34428
33388,36847,34397
33241,36855,34260
32944,36844,34237
32580,36861,34298
32356,36839,34252
32416,36853,34236
32640,36836,34145
32613,36836,34176
32572,36836,34143
32972,36840,34143
33876,36845,34050
34542,36847,33983
34688,36864,34046
35152,36841,34047
35616,36890,34001
36228,36895,33976
37108,36889,33964
38028,36905,33943
37560,36927,33964
36064,36937,33833
35156,36956,33900
34972,36964,33860
35311,36975,33876
35804,36959,33772
37172,36940,33789
39036,36918,33824
39109,36916,33780
37976,36917,33752
36576,36918,33765
35276,36929,33663
34104,36917,33640
33108,36933,33696
32472,36939,33680
31988,36953,33661
31572,36956,33637
31332,36949,33625
31224,36949,33612
31184,36957,33608
31120,36948,33594
31076,36937,33528
31044,36957,33460
31022,36916,33466
30948,36944,33512
30938,36941,33476
31008,36956,33503
31096,36959,33464
31084,36934,33468
31085,36925,33442
30976,36925,33414
30904,36924,33405
30900,36932,33408
30876,36897,33339
30864,36935,33266
30972,36946,33316
31044,36927,33287
31120,36939,33225
31065,36932,33270
30984,36937,33252
30972,36889,33201
30920,36924,33197
30940,36927,33111
30952,36920,33064
30916,36925,33084
30908,36927,33069
30988,36932,33024
31076,36887,32999
31064,36929,32892
31056,36909,32935
31092,36901,32873
31150,36901,32825
31068,36904,32797
30912,36908,32753
30824,36925,32722
30804,36925,32639
30892,36916,32583
31008,36922,32600
31020,36919,32551
30839,36871,32508
30748,36905,32500
30792,36901,32396
30821,36892,32423
30740,36900,32404
30680,36908,32369
30648,36865,32359
30741,36909,32264
30844,36901,32309
30840,36861,32240
30768,36897,32239
30697,36888,32277
30696,36901,32231
30750,36888,32231
30672,36895,32229
30624,36910,32164
30684,36872,32208
30720,36919,32176
30732,36900,32172
30728,36903,32140
30769,36903,32112
30745,36857,32096
30700,36889,32125
30649,36894,32103
30572,36892,32060
30500,36904,32025
30520,36893,31998
30584,36871,32025
30656,36900,31997
30716,36903,31978
30688,36905,31956
30681,36901,31873
30732,36900,31870
30680,36893,31868
30660,36916,31826
30652,36863,31796
30738,36911,31770
30805,36910,31736
30852,36893,31672
30924,36911,31658
31036,36895,31650
31012,36895,31611
31040,36852,31585
31156,36895,31552
31052,36886,31513
30928,36904,31476
30920,36885,31456
31097,36903,31460
31308,36889,31428
31392,36903,31403
31408,36900,31376
31416,36885,31348
31452,36884,31333
31456,36889,31308
31484,36893,31289
31456,36900,31277
31585,36896,31237
