ECG,EDA,RR
31880,21511,34741
31920,21505,34547
32013,21538,34671
32160,21529,34746
32252,21520,34412
32228,21525,34512
32200,21526,34498
32129,21516,34588
32036,21511,34669
31940,21543,34449
31936,21519,34547
32008,21511,34456
32092,21509,34402
32204,21512,34472
32292,21543,34514
32273,21520,34362
32232,21556,34442
32152,21533,34332
32060,21522,34452
31960,21506,34236
31968,21534,34379
32092,21520,34348
32172,21523,34213
32269,21524,34318
32392,21556,34293
32416,21525,34204
32388,21511,34348
32308,21552,34148
32193,21524,34222
32120,21519,34106
32084,21505,34157
32142,21509,34156
32194,21533,34042
32332,21519,34096
32420,21529,34095
32396,21511,33957
32304,21559,34029
32201,21543,33861
32128,21531,34001
32044,21525,33973
32016,21522,33848
32036,21510,33926
32136,21511,33888
32244,21550,33978
32368,21545,33748
32368,21547,33840
32320,21530,33717
32217,21520,33844
32096,21527,33783
31976,21516,33823
31965,21504,33628
32045,21545,33488
32148,21532,33685
32240,21521,33705
32352,21527,33487
32324,21534,33626
32236,21527,33556
32189,21519,33400
32084,21511,33543
31980,21556,33601
32036,21541,33398
32089,21534,33480
32180,21524,33352
32292,21524,33421
32392,21516,33183
32392,21525,33327
32312,21521,33236
32244,21508,33319
32132,21549,33196
32017,21522,33341
32000,21521,33108
32060,21511,33205
32160,21511,33078
32276,21530,33098
32384,21521,33161
32392,21557,32952
32332,21549,33030
32284,21537,33080
32184,21521,32789
32144,21521,32902
32188,21502,32996
32208,21541,32754
32264,21525,32847
32376,21527,32823
32496,21518,32656
32544,21513,32740
32503,21556,32656
32380,21520,32703
32248,21520,32508
32184,21511,32590
32186,21542,32566
32224,21516,32447
32312,21524,32472
32448,21508,32341
32544,21511,32346
32574,21551,32163
32496,21533,32333
32404,21524,32218
32348,21511,32326
32264,21502,32072
32296,21507,32148
32364,21503,32143
32432,21540,32089
32552,21536,31951
32624,21520,31988
32628,21524,31772
32588,21511,31936
32464,21551,31799
32360,21527,31903
32268,21513,31721
32276,21503,31623
32361,21539,31768
32464,21521,31639
32580,21510,31697
32692,21548,31681
32676,21521,31460
32644,21511,31613
32592,21509,31468
32465,21524,31585
32404,21500,31586
32398,21528,31482
32472,21511,31308
32584,21503,31236
32716,21542,31413
32792,21517,31355
32764,21508,31309
32716,21541,31252
32652,21511,31100
32548,21497,31271
32456,21521,31133
32456,21502,31260
32526,21516,31152
32592,21501,31228
32704,21501,31078
32824,21534,30943
32864,21513,31096
32821,21503,31052
32720,21532,30944
32592,21517,31056
32440,21498,30860
32384,21493,30805
32444,21540,30945
32560,21529,30908
32660,21510,30876
32764,21503,30740
32792,21535,30704
32734,21516,30830
32672,21498,30780
32576,21542,30832
32484,21500,30655
32477,21498,30590
32568,21488,30740
32652,21526,30604
32748,21507,30725
32860,21496,30552
32864,21538,30516
32808,21509,30492
32724,21492,30628
32628,21529,30588
32520,21502,30476
32540,21484,30630
32596,21524,30398
32676,21508,30378
32788,21531,30365
32904,21505,30343
32929,21494,30480
32877,21526,30436
32788,21503,30354
32680,21485,30497
32596,21522,30388
32604,21495,30264
32665,21485,30249
32716,21493,30244
32813,21535,30255
32904,21503,30224
32840,21492,30194
32740,21508,30181
32624,21480,30164
32480,21518,30148
32392,21484,30109
32389,21521,30128
32488,21489,30120
32596,21501,30142
32720,21484,30107
32864,21502,30087
32852,21481,30086
32787,21493,30048
32662,21525,30060
32553,21489,30036
32416,21474,30023
32393,21511,30180
32420,21488,30154
32485,21522,30117
32592,21493,30045
32688,21480,30054
32692,21516,30014
32668,21486,29996
32584,21520,30075
32476,21488,30028
32408,21468,29941
32408,21481,29944
32484,21473,29933
32594,21500,29909
32744,21484,29904
32836,21524,29878
32832,21497,29872
32788,21474,29866
32716,21497,29861
32532,21470,30028
32440,21511,30032
32472,21485,30013
32524,21469,29973
32592,21503,29924
32704,21479,30020
32796,21465,29956
32824,21484,29863
32772,21471,29852
32710,21506,29992
32644,21470,30000
32620,21463,29980
32708,21475,29984
32821,21462,29983
32972,21495,29953
33108,21479,29956
33168,21504,29964
33180,21488,29912
33288,21465,29929
33464,21493,29947
33604,21473,29993
33782,21501,29948
34160,21473,29937
34616,21519,29840
35124,21482,29768
35736,21482,29913
36392,21468,29822
37028,21480,29896
37612,21471,29934
38212,21495,29872
38896,21479,29970
39516,21454,29845
40120,21504,29769
40508,21476,29749
40384,21525,29752
39736,21487,29798
38856,21467,29912
37684,21477,29932
36360,21462,29924
35129,21497,29920
33984,21473,29866
33000,21446,29994
32396,21488,29844
32164,21463,29812
32118,21450,29801
32184,21494,29820
32236,21471,29985
32240,21457,29985
32136,21492,29966
32016,21462,29904
31877,21451,29924
31756,21477,29898
31704,21455,29908
31772,21462,30053
31829,21443,30039
31932,21484,29960
32040,21464,29865
31984,21453,29840
31876,21445,30006
31728,21480,30016
31600,21453,30004
31534,21436,30011
31544,21466,30014
31596,21453,30028
31712,21444,29869
31882,21465,30021
32024,21456,30032
32056,21445,30052
31985,21475,30044
31932,21444,30070
31844,21440,30078
31742,21437,30100
31732,21453,30116
31776,21436,30117
31845,21473,29957
32000,21454,29996
32064,21440,30030
32032,21468,30040
32076,21444,30020
31976,21469,30056
31948,21445,30065
31856,21428,30068
