ECG,EDA,RR
33196,30822,22397
33150,30824,22367
33040,30845,22330
32980,30837,22255
32976,30828,22100
33068,30838,22029
33031,30842,21988
33054,30828,21898
33045,30838,21838
33084,30861,21836
33064,30871,21842
32904,30851,21679
32872,30857,21651
33144,30861,21558
32960,30871,21496
32777,30871,21556
33053,30853,21527
33108,30856,21341
33332,30865,21328
33388,30887,21260
33580,30860,21221
33568,30877,21284
33476,30885,21100
33416,30887,21095
33472,30895,21049
33472,30872,20974
33620,30892,20912
33848,30900,20972
34040,30893,20927
34304,30912,20922
34496,30920,20869
34900,30917,20845
35064,30927,20800
35448,30924,20756
35760,30917,20725
36140,30920,20668
36540,30930,20649
37012,30937,20620
37540,30932,20566
38096,30929,20517
38588,30945,20504
38917,30948,20383
38884,30941,20418
38384,30949,20372
37600,30941,20245
36664,30941,20181
35668,30948,20158
34492,30951,20180
33616,30964,20154
33212,30954,20100
32540,30967,20097
32160,30982,20071
31860,30951,20001
32412,30957,19980
32414,30959,20060
32488,30964,20065
32440,30976,20001
32228,30961,19961
32112,30983,19940
32340,30989,19893
32320,30976,19850
32252,30995,19751
32340,30979,19782
32332,30983,19772
32160,30996,19749
32312,30992,19700
32256,30999,19645
32396,31005,19677
32276,31001,19614
32220,30997,19744
32368,31016,19712
32358,30997,19616
32332,31024,19493
32120,31004,19537
32344,31028,19512
32344,31015,19438
32392,31027,19414
32532,31015,19420
32500,31036,19423
32408,31020,19360
32392,31034,19370
32332,31018,19340
32472,31032,19328
32444,31049,19290
32356,31023,19270
32424,31037,19295
32390,31052,19280
32288,31036,19284
32332,31044,19266
32336,31047,19204
32352,31063,19181
32292,31073,19244
32416,31046,19313
32272,31060,19309
32165,31064,19284
32448,31050,19104
32280,31055,19089
32628,31071,19081
32916,31068,19125
32844,31079,19090
32708,31084,19061
32724,31077,19046
32664,31085,18996
32622,31058,18956
32668,31080,18996
32520,31092,18951
32676,31072,18971
32708,31084,18920
32776,31084,18860
32756,31103,18818
32748,31087,18790
32712,31109,18760
32636,31077,18759
32428,31093,18724
32740,31105,18756
32776,31089,18831
32684,31087,18653
32470,31117,18589
32480,31100,18639
32655,31102,18551
32924,31124,18513
32896,31102,18527
32888,31111,18624
32712,31116,18608
32569,31103,18589
32888,31116,18420
32972,31120,18372
33152,31111,18335
33060,31132,18312
33292,31117,18284
33272,31125,18252
33348,31140,18239
33228,31127,18214
33309,31140,18192
33200,31103,18229
33213,31121,18220
32900,31132,18158
32964,31147,18112
33124,31145,18102
33181,31148,18082
33338,31137,18063
33412,31128,18045
33320,31148,18031
33253,31156,18053
33400,31147,18075
33444,31145,18145
33349,31133,18110
33324,31159,18076
33272,31143,18052
33480,31157,18056
33412,31172,17861
33342,31161,17820
33246,31173,17791
33284,31149,17798
33100,31167,17780
32941,31175,17721
32976,31161,17728
33044,31175,17704
33064,31165,17690
33044,31182,17714
33156,31192,17681
33092,31170,17676
33024,31172,17797
32968,31190,17728
33040,31185,17569
32794,31169,17518
32620,31185,17513
32836,31167,17567
33152,31185,17551
33246,31208,17527
33205,31170,17447
32960,31196,17431
33097,31204,17492
32974,31190,17529
32628,31196,17365
32572,31205,17313
32640,31200,17277
32732,31209,17329
32780,31209,17285
32740,31204,17247
32616,31231,17256
32620,31209,17274
32478,31222,17294
32600,31216,17309
32476,31207,17116
32397,31221,17080
32394,31238,17078
32438,31213,17100
32408,31224,17093
32424,31215,17024
32252,31235,17030
32430,31251,17012
32312,31220,16985
32192,31239,16964
32104,31215,16965
31976,31226,17045
31968,31236,17013
32064,31237,16895
32224,31247,16924
32424,31260,16872
32409,31238,16850
32477,31247,16801
32452,31256,16800
32568,31239,16761
32386,31256,16805
32100,31263,16765
32012,31236,16771
32184,31260,16724
32184,31239,16691
32160,31268,16636
32492,31272,16617
32425,31270,16556
32508,31254,16448
32512,31258,16430
32456,31269,16400
32417,31256,16362
32364,31268,16375
32312,31270,16261
32344,31272,16345
32497,31284,16304
32472,31283,16213
32448,31295,16126
32279,31269,16084
32436,31286,16071
32476,31289,16080
32568,31271,16047
32484,31285,16043
32512,31295,15836
32376,31255,15751
32660,31284,15779
32868,31300,15789
32620,31311,15721
32549,31310,15740
32524,31285,15805
32340,31299,15616
32345,31302,15506
32608,31305,15580
32600,31288,15514
32730,31307,15540
32812,31316,15604
32748,31321,15589
32745,31299,15551
32664,31313,15503
32584,31328,15468
32580,31303,15352
32772,31319,15297
32804,31320,15309
32816,31306,15255
32584,31328,15239
32504,31332,15209
32772,31325,15223
32674,31334,15321
32660,31333,15250
32612,31343,15088
32316,31316,15043
32420,31321,15137
32445,31333,15095
32352,31349,15078
32308,31327,15100
32177,31332,15079
32524,31362,15050
32520,31351,14994
32544,31357,15024
32612,31355,14988
32480,31340,14983
32212,31346,14974
32508,31359,14970
32508,31340,14922
32228,31356,14859
32200,31380,14869
32273,31364,14840
32376,31380,14856
32432,31359,14820
32524,31360,14888
32456,31375,14849
32396,31352,14829
32586,31373,14827
32496,31382,14757
32473,31375,14743
32656,31396,14756
32697,31369,14682
32668,31389,14675
32661,31392,14677
32628,31367,14663
32676,31391,14620
32732,31369,14608
32700,31388,14584
32652,31380,14573
32672,31405,14533
32660,31413,14524
32532,31401,14529
32324,31420,14525
32174,31404,14479
32396,31420,14442
32584,31388,14376
32542,31404,14343
32857,31396,14363
33012,31405,14312
33080,31421,14311
33162,31415,14308
33052,31431,14260
32920,31444,14220
32872,31423,14232
32760,31436,14182
32536,31415,14169
32692,31432,14156
32829,31448,14165
32869,31420,14126
32888,31436,14236
32856,31451,14177
32780,31449,14174
32728,31461,14173
32492,31437,14140
32712,31446,14066
32884,31455,14053
32828,31436,14120
33044,31462,14093
32972,31446,14081
32860,31458,14070
32840,31457,14037
32908,31471,13990
32828,31484,14017
32792,31466,13948
32882,31487,13945
32828,31473,13879
32848,31485,13842
33048,31471,13833
33058,31478,13850
33044,31488,13846
32996,31480,13795
33136,31488,13741
32952,31487,13735
32948,31496,13708
33136,31505,13740
33206,31508,13844
32912,31488,13684
33036,31491,13676
33016,31521,13676
32946,31508,13781
33056,31519,13722
32960,31513,13674
33004,31535,13590
32972,31511,13580
32924,31516,13564
32825,31524,13612
32954,31512,13612
33096,31525,13619
33076,31511,13621
33128,31540,13588
33108,31524,13591
32884,31544,13580
32924,31528,13497
33144,31537,13419
32973,31533,13380
32852,31540,13359
32692,31527,13344
32553,31554,13324
32832,31532,13370
32870,31550,13362
33012,31540,13284
33216,31566,13200
33233,31553,13166
33144,31567,13196
32820,31565,13145
32968,31554,13165
32836,31564,13205
33088,31551,13205
33181,31586,13277
32936,31573,13243
32964,31577,13199
33076,31580,13186
33018,31588,13112
33182,31576,13119
33136,31584,13087
33121,31562,13090
33088,31578,13122
33304,31572,13074
33333,31582,13064
33432,31601,13081
33472,31586,13034
33508,31611,13078
33384,31589,13189
33204,31607,13126
32960,31589,13104
32968,31589,13095
33060,31589,13028
33080,31597,13022
33080,31589,13014
33230,31613,12924
33040,31608,12954
33361,31623,12957
33492,31629,12975
33376,31612,13005
33425,31621,12936
33285,31626,13015
33512,31616,12916
33180,31630,12949
33188,31614,12958
33336,31623,12935
33408,31651,12949
33544,31629,12939
33588,31639,12943
33632,31623,12983
33584,31644,13172
33520,31628,13060
33604,31648,13037
33696,31631,13020
33588,31648,13028
33576,31655,13081
33868,31633,12937
34056,31652,12988
34188,31648,13054
34344,31666,13184
34712,31653,13122
34828,31668,13127
34908,31647,13062
35040,31669,13026
35181,31662,13053
35600,31663,13008
35924,31676,12954
36313,31661,13014
36360,31682,12992
36932,31676,13141
37356,31674,13125
37800,31676,13123
38264,31672,13106
38540,31676,13063
38980,31680,13145
38844,31681,13221
38460,31689,13146
37588,31692,13093
36790,31696,13133
35884,31694,13153
34964,31690,13168
34096,31697,13163
33384,31686,13092
33228,31695,13111
32980,31693,13160
33164,31714,13243
33212,31701,13382
33332,31709,13386
33552,31724,13290
33324,31706,13232
33080,31703,13206
33128,31692,13218
33020,31708,13236
32664,31700,13261
33196,31719,13297
33260,31735,13418
33324,31712,13391
33312,31734,13406
33119,31721,13480
33092,31740,13439
33016,31719,13527
32960,31718,13500
32960,31713,13536
32886,31716,13542
32800,31732,13674
32800,31729,13727
32772,31742,13668
33032,31727,13596
32892,31749,13680
32564,31751,13726
32856,31724,13710
33132,31743,13791
33088,31751,13840
32964,31736,13952
33049,31751,13967
32916,31745,13985
33060,31767,14030
33016,31746,14029
33192,31750,13988
33206,31776,14009
33265,31748,14078
33192,31764,14138
33016,31766,14193
33112,31751,14063
33228,31761,14227
32940,31767,14205
32960,31775,14198
32864,31789,14276
32852,31767,14286
33056,31782,14188
33136,31760,14082
33116,31783,14082
33084,31791,14108
33292,31766,14240
33374,31773,14257
33337,31745,14211
33032,31798,14205
33520,31806,14211
33540,31784,14217
33440,31815,14240
33132,31786,14259
33248,31800,14301
33260,31782,14295
33036,31788,14254
33196,31813,14296
33416,31804,14284
33624,31816,14278
33434,31797,14275
33573,31808,14212
33572,31796,14179
33518,31808,14200
33472,31812,14194
33580,31791,14324
33560,31805,14331
33445,31820,14274
33356,31804,14332
33524,31820,14278
33717,31828,14278
33796,31823,14311
33440,31828,14310
33500,31806,14298
33736,31815,14298
33936,31831,14412
33860,31824,14476
33544,31828,14338
33644,31844,14455
33588,31821,14434
33928,31833,14374
33808,31826,14367
33972,31840,14308
33910,31848,14279
33628,31823,14259
33944,31837,14278
34044,31855,14279
34008,31833,14290
33920,31833,14280
34000,31862,14306
34044,31847,14432
33708,31855,14441
34071,31839,14356
34052,31852,14450
33872,31861,14452
33720,31840,14394
33776,31857,14466
33932,31866,14502
33664,31852,14509
33828,31876,14428
33900,31857,14420
33844,31867,14365
33652,31885,14478
33556,31859,14480
33628,31870,14463
33724,31884,14470
33548,31860,14474
33092,31871,14543
33357,31879,14625
