ECG,EDA,RR
32732,29044,30599
32732,29055,30712
32640,29056,30668
32556,29040,30610
32448,29056,30664
32412,29047,30638
32492,29042,30536
32508,29063,30463
32548,29062,30437
32612,29063,30580
32648,29056,30559
32620,29069,30546
32652,29063,30520
32628,29055,30485
32568,29071,30500
32564,29060,30413
32613,29047,30328
32704,29071,30333
32712,29063,30292
32732,29079,30349
32756,29072,30351
32680,29076,30383
32662,29078,30385
32628,29071,30284
32564,29061,30277
32548,29052,30290
32637,29055,30324
32741,29084,30176
32832,29083,30234
32944,29060,30297
33048,29085,30236
32992,29077,30271
32952,29076,30284
32992,29068,30156
32976,29087,30114
32956,29086,30136
32958,29074,30252
32908,29087,30214
32929,29086,30245
33024,29081,30160
33088,29092,30105
33096,29095,30145
33164,29087,30229
33169,29046,30189
33088,29099,30168
32960,29092,30215
32912,29092,30245
32860,29089,30169
32852,29097,30117
32932,29101,30084
32888,29096,30074
32880,29101,30089
32784,29095,30164
32816,29101,30103
32840,29101,30156
32718,29093,30175
32688,29100,30276
32624,29088,30236
32660,29110,30284
32752,29110,30248
32892,29103,30222
32936,29092,30177
32956,29108,30192
33016,29107,30209
33008,29101,30221
32976,29095,30317
32912,29115,30279
32932,29100,30308
32989,29105,30228
33064,29112,30357
33104,29116,30335
33072,29111,30380
33116,29101,30294
33128,29112,30243
33148,29112,30282
33124,29105,30327
33071,29106,30382
33080,29114,30424
33088,29117,30286
33213,29119,30464
33320,29117,30441
33350,29122,30408
33344,29125,30488
33292,29111,30446
33241,29119,30369
33184,29111,30405
33184,29120,30516
33324,29117,30496
33356,29116,30477
33417,29121,30420
33454,29136,30556
33400,29128,30510
33360,29131,30573
33328,29127,30529
33264,29117,30477
33253,29136,30465
33356,29127,30516
33629,29132,30612
33952,29130,30583
34240,29145,30575
34452,29140,30622
34628,29143,30502
34792,29137,30540
35016,29149,30661
35276,29142,30650
35668,29143,30617
36136,29143,30663
36628,29149,30626
37132,29138,30580
37740,29157,30682
38392,29145,30680
38888,29161,30727
