ECG,EDA,RR
32764,25926,34944
32704,25927,35172
32764,25931,35126
32832,25919,35010
32908,25927,35056
33028,25937,35108
33065,25947,35084
33052,25934,35063
32988,25930,34876
32884,25936,35092
32784,25935,35065
32748,25928,34917
32796,25925,34984
32844,25928,34960
33008,25934,35040
33208,25938,35013
33288,25943,35008
33284,25935,34889
33288,25936,34969
33160,25938,34981
32976,25941,35015
32924,25943,34968
33044,25945,34969
33332,25945,34721
33644,25948,34855
33984,25950,34742
34304,25947,34925
34669,25952,34886
34964,25950,34889
35316,25958,34862
35665,25962,34797
36216,25936,34752
36832,25944,34626
37532,25956,34856
38316,25976,34780
39200,25949,34620
39920,25956,34812
40448,25960,34655
40509,25983,34552
40064,25946,34798
39132,25956,34721
38164,25976,34592
37104,25949,34629
36013,25948,34529
35008,25958,34725
34132,25965,34676
33344,25965,34583
32804,25965,34644
32480,25958,34529
32304,25957,34716
32140,25949,34656
32072,25953,34529
32073,25948,34684
32104,25957,34640
32138,25956,34439
32200,25957,34560
32204,25960,34590
32116,25957,34612
32032,25958,34455
31916,25957,34516
31752,25953,34561
31652,25952,34412
31660,25959,34477
31716,25959,34308
31782,25964,34408
31957,25960,34308
32013,25967,34506
31980,25961,34450
31932,25959,34348
31860,25960,34364
31752,25959,34293
31696,25957,34468
31712,25959,34451
31800,25963,34285
31896,25964,34503
32058,25975,34447
32140,25969,34293
32104,25967,34324
32060,25962,34253
31964,25966,34463
31868,25968,34408
31836,25970,34277
31864,25967,34441
31948,25964,34409
32012,25964,34340
32212,25973,34278
32292,25970,34382
32252,25974,34224
32216,25971,34295
32168,25968,34341
32072,25960,34197
32001,25975,34224
32036,25975,34096
32141,25970,34304
32228,25972,34067
32358,25977,34311
32448,25977,34239
32369,25980,34132
32284,25976,34084
32252,25975,34186
32152,25978,34100
32128,25974,34034
32208,25978,33927
32342,25977,34085
32448,25977,34012
32564,25978,33895
32656,25982,34031
32612,25982,34033
32560,25985,33927
32488,25971,33958
32420,25982,33964
32348,25981,33967
32420,25969,33837
32512,25972,33902
32637,25982,33924
32784,25990,33744
32800,25984,33828
32791,25989,33894
32740,25970,33862
32692,25982,33661
32576,25989,33773
32552,25979,33744
32629,25983,33808
32664,25980,33729
32800,25985,33671
33005,25998,33588
33080,25986,33720
33072,25984,33630
33084,25986,33725
33049,25986,33608
32980,25985,33592
32920,25977,33684
32970,25978,33605
33056,25991,33680
33140,25992,33660
33292,25997,33462
33400,25988,33604
33425,25991,33650
33364,25988,33568
33324,25978,33404
33216,25986,33503
33156,25988,33592
33176,25991,33511
33202,25983,33532
33332,25991,33367
33505,25993,33457
33549,25996,33500
33524,25997,33301
33496,25984,33517
33396,25992,33441
33300,25992,33458
33284,25983,33284
33313,25984,33398
33412,25989,33390
33476,26001,33235
33597,26000,33420
33600,26004,33388
33500,26004,33236
33420,25992,33319
33328,25991,33348
33174,25991,33213
33040,25986,33369
33052,25988,33295
33084,25996,33152
33148,25991,33192
33260,25992,33175
33368,25998,33134
33380,26004,33153
33344,26004,33151
33228,25998,33237
33049,25991,33084
32856,25996,33164
32824,25998,33199
32780,25997,33006
32816,25996,33204
32916,26009,33144
32900,26006,32991
32825,26009,33036
32712,26004,33122
32576,26001,32942
32384,26000,33104
32293,25997,33071
32272,25990,32968
32292,25996,33013
32344,25999,32865
32436,26007,33056
32500,26002,32971
32433,26000,32831
32332,26007,32972
32209,25998,32854
32052,25996,32952
31968,25999,32775
31936,25999,32940
31992,25993,32917
32040,26004,32772
32169,26004,32829
32197,26004,32884
32168,26004,32903
32084,25999,32851
32020,25999,32702
31888,26002,32735
31828,26000,32674
31873,26002,32794
31960,25997,32739
32064,25997,32647
32196,26007,32708
32229,26005,32761
32208,26010,32628
32160,26000,32796
32108,26007,32763
31974,26002,32775
31880,25994,32671
31941,25994,32718
32001,26000,32621
32108,26002,32681
32246,26006,32524
32345,26009,32670
32302,26008,32526
32264,26005,32682
32208,26008,32660
32072,26004,32637
32004,26000,32590
32060,26000,32479
32148,26004,32605
32224,26009,32604
32357,26000,32574
32444,26012,32496
32372,26015,32574
32310,26008,32391
32212,26005,32526
32020,26005,32371
31952,26005,32551
31972,26002,32404
32040,26004,32545
32156,26013,32505
32308,26012,32532
32360,26008,32312
32380,26012,32519
32356,26019,32463
32304,26005,32309
32204,26005,32413
32136,26002,32303
32192,26015,32329
32236,26009,32276
32326,26019,32373
32450,26017,32279
32469,26021,32344
32404,26013,32263
32353,26016,32449
32288,26020,32423
32218,26004,32420
32148,26014,32238
32172,26020,32432
32276,26017,32406
32336,26013,32427
32464,26023,32238
32510,26021,32419
32488,26021,32415
32400,26021,32392
32360,26013,32415
32256,26006,32440
32180,26013,32252
32213,26012,32341
32216,26012,32400
32300,26015,32421
32444,26023,32353
32468,26022,32396
32460,26022,32341
32432,26017,32392
32388,26016,32288
32260,26012,32423
32176,26013,32319
32200,26015,32335
32284,26012,32292
32352,26023,32437
32486,26023,32448
32532,25993,32437
32508,26022,32437
32388,26022,32426
32320,26024,32271
32176,26017,32324
32128,26012,32263
32153,26017,32326
32228,26015,32428
32312,26015,32378
32436,26023,32328
32508,26023,32276
32496,26012,32417
32460,26023,32421
32352,26020,32321
32208,26015,32308
32121,26012,32271
32148,26016,32444
32180,26019,32408
32265,26008,32407
32432,26017,32263
32544,26017,32428
32500,26025,32253
32454,26012,32449
32389,26006,32391
32268,26016,32244
32236,26016,32311
32292,26022,32237
32361,26005,32412
32430,26012,32391
32520,26025,32228
32624,26016,32420
32628,26018,32399
32544,26010,32359
32420,26012,32386
32272,26013,32260
32184,26020,32373
32225,26010,32413
32356,26020,32246
32485,26020,32302
32684,26024,32253
32752,26017,32388
32720,26017,32386
32672,26020,32263
32576,26018,32380
32416,26008,32391
32321,26008,32263
32324,26015,32408
32332,26015,32272
32408,26020,32476
32556,26014,32423
32604,26016,32285
32529,26023,32421
32436,26012,32308
32352,26015,32452
32248,26013,32469
32204,26011,32413
32272,26010,32319
32349,26012,32514
32508,26008,32460
32688,26020,32344
32780,26023,32412
32692,26021,32353
32608,26014,32552
32528,26018,32536
32436,26012,32548
32385,26013,32548
32372,26006,32402
32408,26017,32486
32508,26015,32397
32628,26016,32472
32708,26018,32476
32753,26016,32585
32704,26017,32636
32668,26012,32610
32532,26020,32644
32460,26015,32452
32448,26013,32592
32504,26012,32572
32596,26011,32579
32752,26013,32472
32784,26017,32608
32736,26019,32481
32652,26016,32652
32556,26020,32492
32493,26008,32700
32492,26019,32679
32572,26011,32725
32580,26014,32519
32604,26013,32676
32708,26016,32536
32722,26020,32741
32704,26016,32716
32728,26016,32580
32712,26020,32623
32588,26012,32736
32544,26006,32684
32496,26010,32660
32536,26016,32576
32616,26009,32780
32732,26012,32726
32840,26012,32592
32832,26020,32804
32800,25977,32742
32692,26009,32775
32464,26009,32702
32312,26010,32758
32272,26013,32782
32356,26020,32633
32516,26005,32775
32728,26015,32775
32868,26020,32647
32884,26014,32737
32817,26018,32812
32745,26018,32845
32660,26012,32835
32576,26008,32775
32564,26005,32838
32544,26016,32781
32644,26013,32784
32732,26016,32703
32792,26021,32748
32732,26023,32700
32684,26012,32805
32612,26014,32692
32500,26008,32836
32480,26012,32887
32481,26015,32775
32540,26012,32816
32644,26017,32722
32830,26020,32919
32910,26028,32837
32884,26014,32919
32856,26020,32966
32796,26021,32940
32613,26017,32980
32488,26015,32959
32516,26008,32985
32524,26015,32980
32612,26012,32985
32768,26020,32976
32884,26018,32857
32889,26015,32903
32896,26013,32865
32868,26009,32920
32752,26016,32862
32660,26017,32974
32668,26020,32872
32704,26021,33111
32725,26013,33068
32772,26022,33047
32808,26025,33055
32796,26017,32959
32784,26021,33136
32732,26017,33124
32696,26013,33136
32700,26021,33116
32800,26011,33005
32872,26017,33124
32892,26021,33071
32888,26028,33159
32908,26023,33136
32936,26020,33164
32880,26022,33140
32804,26020,33196
32708,26017,33100
32632,26020,33188
32660,26019,33069
32728,26020,33197
32890,26020,33191
33052,26021,33064
33120,26023,33161
33144,26031,33228
33088,26025,33156
32989,26022,33172
32825,26029,33052
32732,26023,33262
32776,26020,33204
32790,26021,33044
32832,26029,33244
32961,26031,33217
33018,26027,33048
32981,26031,33222
32908,26029,33236
32932,26039,33072
32934,26036,33121
32916,26023,33068
32864,26029,33260
32836,26031,33232
32808,26036,33192
32920,26043,33176
33016,26036,33113
32992,26028,33214
32960,26039,33102
32866,26036,33144
32684,26036,33101
32602,26030,33149
32669,26038,33092
32776,26033,33316
32932,26037,33250
33148,26048,33129
33270,26038,33176
33292,26035,33108
33137,26032,33212
32872,26046,33105
32608,26038,33224
32444,26045,33117
32484,26050,33316
32584,26049,33323
32644,26046,33349
32716,26044,33341
32804,26049,33268
32752,26053,33317
32728,26047,33191
32700,26055,33324
32676,26040,33180
32726,26049,33349
32784,26046,33382
32832,26060,33303
32880,26052,33360
32977,26057,33255
32996,26063,33332
32994,26046,33295
32964,26055,33361
32788,26057,33472
32541,26057,33420
32404,26058,33484
32432,26047,33373
32468,26052,33445
32576,26054,33356
32752,26064,33528
32904,26068,33422
32916,26073,33645
32860,26077,33619
32716,26063,33598
32560,26063,33574
32536,26062,33478
32616,26068,33716
32688,26064,33692
32768,26066,33584
32984,26077,33754
33125,26080,33754
33096,26082,33813
32960,26068,33799
32936,26075,33836
32960,26080,33831
32984,26078,33704
33032,26083,33775
33144,26086,33733
33304,26079,33858
33576,26084,33941
33860,26095,33960
34044,26093,33981
34328,26085,33892
34780,26081,33921
35132,26094,33892
35512,26096,34117
36100,26112,34121
36789,26116,34076
37596,26129,34177
38404,26092,34136
39172,26100,34148
39916,26111,34124
40576,26119,34232
41028,26153,34197
41117,26095,34268
40701,26103,34397
39864,26124,34436
38992,26112,34284
37928,26125,34504
36732,26135,34564
35488,26108,34658
34292,26117,34652
33208,26118,34544
32404,26111,34637
31956,26105,34636
31792,26108,34732
31932,26113,34671
32136,26116,34911
32132,26119,34944
32048,26118,34908
31968,26116,34909
31870,26119,34880
31768,26119,35084
31684,26118,34953
31598,26119,35178
31548,26114,35045
31548,26119,35268
31512,26118,35159
31588,26124,35241
31680,26078,35174
31712,26135,35462
31648,26131,35484
31556,26131,35526
31396,26133,35552
31284,26127,35466
31264,26132,35717
31308,26129,35681
31408,26136,35716
31500,26140,35764
31648,26141,35742
31748,26137,35647
31762,26155,35964
31692,26149,35939
31660,26148,35997
31564,26145,36013
31548,26138,36024
31624,26148,36078
31728,26152,36182
31784,26149,36132
31880,26156,36205
31956,26160,36222
31924,26162,36132
31884,26162,36231
31856,26161,36321
31768,26157,36272
31712,26163,36338
31733,26156,36287
31768,26158,36423
31844,26159,36502
31960,26166,36485
32064,26177,36532
32058,26172,36518
32024,26168,36567
31992,26169,36580
31976,26175,36610
31936,26167,36630
31941,26174,36615
32016,26175,36420
32072,26177,36743
32213,26177,36473
32320,26184,36665
32374,26188,36526
32372,26185,36744
32345,26187,36660
32256,26188,36804
32196,26194,36756
32232,26189,36861
32276,26188,36835
32372,26185,36920
32540,26190,36910
32656,26196,36993
32677,26199,37057
32650,26199,37070
32656,26197,37149
32580,26199,36883
32524,26202,37225
32568,26196,37184
32696,26201,37285
32828,26207,37213
32980,26212,37172
33040,26213,37230
33026,26216,37184
32985,26213,37300
32924,26204,37293
32864,26213,37332
32844,26221,37244
32884,26212,37340
32972,26220,37228
33093,26223,37336
33288,26224,37206
33376,26238,37405
33396,26217,37365
33352,26229,37390
33268,26225,37380
33136,26231,37451
33094,26224,37529
33184,26225,37456
33216,26228,37372
33336,26238,37430
33524,26242,37476
33644,26246,37542
33629,26241,37485
33568,26236,37562
33494,26233,37492
33396,26247,37435
33325,26232,37443
33360,26245,37340
33432,26244,37552
33476,26244,37488
33592,26245,37558
33704,26247,37504
33676,26256,37543
33596,26258,37280
33512,26256,37579
33424,26244,37412
33328,26254,37493
33316,26261,37484
33332,26252,37572
33364,26258,37404
33448,26260,37540
33489,26266,37652
33448,26268,37689
33416,26263,37743
33305,26266,37590
33132,26268,37751
32968,26271,37863
32934,26268,37817
32976,26271,37924
33004,26278,37884
33060,26286,37876
33064,26289,37942
32976,26280,37997
32896,26271,37814
32725,26279,37938
32568,26279,38124
32442,26277,37932
32392,26284,38109
32392,26276,38188
32404,26287,37948
32472,26288,38121
32484,26290,38151
32432,26290,38270
32324,26289,38420
32212,26290,38332
32048,26280,38293
31944,26288,38313
31936,26292,38392
31980,26292,38516
31992,26292,38212
32044,26294,38388
32116,26302,38448
32078,26293,38542
32012,26303,38618
31908,26300,38348
31776,26297,38600
31672,26295,38459
31668,26300,38572
31744,26301,38572
31792,26302,38646
31932,26305,38704
32000,26304,38668
32040,26302,38596
32037,26304,38591
31978,26309,38421
31856,26303,38797
31776,26310,38653
31780,26310,38606
31793,26308,38613
31880,26308,38430
32016,26313,38780
32096,26319,38686
32077,26312,38772
32047,26320,38663
31996,26312,38693
31896,26318,38644
31888,26316,38552
31904,26316,38535
31944,26313,38604
32022,26322,38662
32112,26318,38597
32116,26322,38607
32044,26320,38591
32047,26327,38612
31950,26317,38567
31870,26317,38657
31808,26322,38558
31820,26330,38607
31920,26325,38260
32064,26325,38574
32208,26335,38532
32298,26333,38584
32244,26330,38517
32220,26339,38449
32164,26335,38401
32022,26331,38228
31956,26329,38428
31948,26326,38470
32020,26332,38542
32096,26334,38467
32224,26340,38484
32268,26348,38437
32196,26338,38335
32096,26340,38375
32028,26348,38295
31916,26338,38348
31840,26340,38308
31844,26341,38279
31884,26345,38108
31992,26345,38456
32076,26349,38359
32088,26348,38247
32118,26345,38348
32092,26344,38299
32028,26349,38207
31880,26346,38193
31798,26344,38188
31808,26347,38217
31858,26346,37996
31944,26357,38324
32068,26356,38247
32120,26359,38298
32081,26365,38217
32088,26359,38185
31980,26354,38183
31862,26361,38180
31780,26363,38151
31828,26361,38055
31864,26358,38005
31944,26359,37879
32080,26361,38056
32168,26369,37952
32148,26360,37957
32068,26361,37989
32000,26363,38113
31908,26365,38039
31912,26361,38108
31912,26361,38015
31948,26364,38082
32028,26367,37976
32152,26370,38022
32188,26372,37928
32193,26370,37958
32133,26372,37654
32028,26375,37866
31924,26375,37973
31916,26364,37655
31905,26372,37809
31968,26375,37721
32056,26375,37886
32220,26375,37749
32304,26384,37692
32310,26386,37664
32276,26386,37608
32181,26380,37614
32100,26375,37481
32088,26380,37772
32105,26378,37680
32140,26382,37548
32216,26381,37592
32356,26384,37612
32428,26390,37485
32388,26351,37581
32340,26390,37527
32272,26388,37516
32136,26385,37500
32113,26374,37436
32100,26381,37177
32117,26392,37412
32190,26386,37345
32337,26388,37097
32488,26390,37343
32484,26396,37272
32460,26400,37216
32384,26397,37104
32240,26392,36932
32180,26391,37168
32184,26380,37097
32244,26396,37022
32344,26397,36951
32542,26405,36939
32628,26399,36940
32604,26405,36852
32552,26403,36837
32448,26408,36689
32332,26400,36633
32236,26401,36687
32272,26405,36576
32288,26407,36572
32348,26405,36555
32468,26407,36380
32568,26409,36495
32580,26412,36404
32532,26405,36278
32460,26408,36221
32444,26412,36245
32404,26405,36154
32444,26407,36070
32544,26415,36102
32617,26410,35925
32784,26415,36013
32816,26423,35950
32816,26386,35904
32740,26423,35760
32680,26414,35780
32556,26420,35744
32456,26405,35636
