ECG,EDA,RR
31556,23986,41465
31596,23986,41647
31660,23970,41696
31752,23972,41789
31904,23980,41956
32000,23975,41596
32008,23980,41892
31917,23986,41839
31856,23988,41944
31756,23961,42020
31748,23965,42029
31820,23964,42125
31952,23967,41908
32044,23972,42063
32184,23968,42064
32240,23972,42143
32230,23972,42232
32192,23970,41793
32124,23967,42183
32004,23974,42308
31960,23973,41884
31996,23976,42085
32065,23973,42137
32176,23951,42128
32336,23960,42272
32384,23968,42268
32345,23964,42288
32296,23952,42176
32240,23965,42184
32092,23973,42200
32040,23943,42271
32104,23944,42220
32204,23951,42345
32336,23960,42351
32524,23953,42324
32676,23952,42247
32652,23949,42460
32600,23942,42040
32533,23956,42338
32413,23943,42477
32360,23941,42080
32408,23943,42416
32500,23954,42412
32628,23950,42305
32756,23950,42436
32776,23956,42503
32796,23964,42111
32744,23962,42443
32670,23934,42100
32572,23928,42359
32576,23929,42448
32640,23932,42460
32732,23935,42529
32856,23937,42164
33052,23946,42401
33216,23953,42285
33200,23950,42484
33112,23952,42604
32988,23924,42172
32941,23919,42396
32944,23927,42444
33036,23917,42544
33129,23935,42605
33232,23940,42550
33416,23945,42520
33468,23920,42492
33444,23924,42554
33420,23927,42469
33432,23916,42463
33353,23917,42516
33344,23911,42452
33392,23910,42575
33480,23919,42382
33620,23919,42532
33772,23941,42393
33840,23917,42580
33765,23941,42341
33661,23934,42490
33568,23909,42498
33387,23901,42360
33340,23902,42473
33428,23932,42311
33492,23932,42537
33632,23906,42503
33794,23910,42404
33821,23910,42312
33768,23924,42396
33676,23916,42457
33581,23909,42332
33452,23908,42503
33436,23898,42135
33436,23895,42388
33504,23931,42426
33580,23916,42300
33660,23911,42464
33677,23907,42397
33584,23905,42143
33436,23905,42452
33249,23900,42391
33064,23899,42480
32956,23893,42094
32954,23895,42461
32977,23900,42455
33016,23892,42461
33076,23892,42276
33044,23889,42455
32961,23899,42481
32824,23897,42476
32660,23892,42159
32468,23882,42540
32360,23887,42534
32360,23884,42409
32396,23889,42565
32428,23892,42604
32556,23890,42423
32602,23890,42612
32536,23892,42502
32372,23892,42567
32184,23885,42673
31960,23888,42728
31786,23891,42503
31812,23895,42712
31892,23905,42773
31980,23903,42524
32060,23903,42789
32076,23891,42631
32020,23887,42820
31940,23878,42759
31844,23880,42788
31697,23870,42854
31632,23874,42800
31676,23874,42887
31760,23876,42940
31820,23879,42880
31968,23878,42940
32060,23876,43013
32040,23876,42781
31964,23876,43009
31897,23877,42975
31772,23877,42980
31752,23880,42837
31808,23882,43014
31908,23887,43060
32036,23880,42950
32200,23885,43096
32284,23887,42980
32250,23884,42868
32128,23889,43062
32008,23883,43093
31882,23883,43068
31852,23879,42784
31892,23879,43088
31968,23857,43150
32096,23857,42804
32253,23860,43140
32357,23860,43088
32384,23855,43000
32308,23869,43166
32236,23864,43081
32132,23862,43120
32064,23859,42818
32128,23860,43055
32204,23854,43156
32288,23857,43185
32401,23853,43015
32468,23848,42824
32393,23856,43192
32360,23845,43015
32276,23847,43188
32136,23846,42954
32068,23842,43056
32145,23853,43184
32184,23850,42998
32292,23855,43195
32380,23873,43144
32440,23872,43070
32396,23852,43191
32281,23866,43128
32208,23859,43158
32004,23860,43045
31924,23839,43188
31980,23845,43052
32092,23838,43199
32232,23843,43112
32258,23865,42878
32292,23868,43250
32368,23863,43080
32208,23840,43260
32120,23859,43215
32248,23852,43080
32132,23849,43316
31719,23853,43321
31960,23855,43221
32284,23860,43092
32564,23860,43367
32689,23858,43388
32788,23836,43500
32692,23856,43372
32520,23858,43584
32308,23846,43501
32305,23852,43641
32252,23851,43736
32224,23847,43647
32120,23847,43893
32512,23848,43933
32540,23832,44018
32556,23829,44036
32476,23839,43986
32428,23837,44162
32268,23836,44100
32236,23838,44406
32300,23844,44487
32372,23832,44488
32468,23836,44669
32620,23838,44784
32648,23841,44881
32604,23844,44738
32505,23842,45093
32377,23840,45164
32212,23834,45220
32164,23845,45412
32216,23815,45456
32352,23819,45493
32496,23824,45733
32620,23826,45852
32672,23830,45988
32628,23832,46015
32520,23825,46172
32372,23825,46022
32204,23828,46369
32148,23832,46391
32200,23838,46612
32304,23842,46740
32437,23839,46552
32585,23837,46958
32616,23825,47069
32532,23821,47047
32460,23829,47272
32364,23833,47239
32212,23837,47412
32169,23829,47164
32184,23832,47528
32260,23810,47668
32377,23812,47500
32556,23819,47780
32632,23815,47868
32640,23818,47933
32564,23816,47972
32492,23818,48080
32356,23818,47821
32300,23826,48112
32336,23824,48253
32468,23829,48180
32600,23837,48358
32692,23812,48361
32680,23815,48292
32604,23813,48460
32544,23817,48508
32432,23827,48469
32340,23826,48560
32336,23827,48637
32408,23822,48580
32526,23802,48680
32679,23825,48423
32836,23836,48776
32925,23833,48721
32880,23831,48817
32789,23828,48800
32644,23816,48512
32512,23813,48903
32500,23821,48839
32512,23828,48860
32616,23820,48588
32700,23821,48944
32864,23829,48948
32912,23836,48877
32868,23833,48620
32796,23800,48876
32696,23800,48978
32584,23798,48954
32584,23806,48885
32668,23807,48948
32756,23811,48612
32892,23809,48952
33069,23812,48849
33133,23809,48920
33044,23822,48702
32916,23812,48888
32797,23821,48751
32620,23804,48804
32572,23815,48629
32632,23816,48772
32744,23826,48732
32840,23828,48497
32996,23801,48631
33060,23829,48590
33016,23826,48556
32932,23826,48544
32812,23793,48425
32686,23794,48478
32672,23795,48064
32712,23812,48372
32836,23820,48357
32960,23831,48220
33108,23826,48264
33140,23828,48135
33104,23829,48206
33036,23820,48032
32952,23820,47750
32824,23820,48076
32760,23813,47988
32772,23815,47964
32884,23801,47804
33012,23807,47904
33156,23807,47812
33176,23814,47711
33157,23804,47744
33104,23801,47668
33036,23797,47678
32888,23788,47324
32836,23793,47500
32902,23794,47512
32944,23793,47492
33000,23801,47380
33116,23800,47348
33152,23800,47276
33080,23796,47188
32996,23798,47079
32864,23798,47100
32672,23806,47005
32632,23819,47012
32648,23821,46904
32736,23822,46884
32836,23828,46748
33000,23821,46724
33080,23811,46419
33064,23804,46594
32948,23802,46453
32800,23805,46239
32672,23810,46327
32660,23820,46189
32732,23814,46177
32852,23817,45990
32960,23796,45831
33080,23799,45855
33104,23806,45710
33053,23815,45708
32972,23804,45573
32932,23804,45212
32808,23809,45396
32792,23815,45264
32864,23816,45212
32936,23828,45000
33040,23828,45008
33144,23829,44773
33196,23823,44532
33185,23825,44712
33084,23816,44616
32952,23821,44290
32824,23823,44452
32760,23814,44320
32804,23792,44004
32892,23789,44057
32980,23809,43953
33116,23806,43932
33128,23811,43708
33052,23812,43740
32921,23805,43364
32784,23811,43591
32632,23812,43388
32560,23816,43240
32624,23821,43276
32728,23823,43168
32876,23821,43005
33052,23829,42932
33116,23826,42895
33084,23828,42676
32980,23821,42749
32836,23822,42407
32696,23815,42541
32636,23810,42359
32636,23808,42445
32688,23814,42020
32814,23810,42148
32932,23810,42057
33000,23804,42016
32916,23808,41806
32797,23806,41828
32692,23804,41605
32576,23804,41784
32560,23799,41466
32590,23802,41497
32704,23801,41396
32832,23828,41204
32980,23822,41140
33008,23815,41300
32946,23808,41190
32852,23807,41040
32730,23830,40836
32608,23829,40859
32564,23825,40743
32624,23823,40828
32676,23829,40455
32812,23833,40564
32984,23815,40455
33056,23810,40336
32992,23808,40344
32857,23814,40260
32736,23807,40327
32608,23833,40128
32576,23820,39821
32640,23820,39686
32768,23825,39933
32868,23833,39755
33024,23832,39848
33053,23838,39449
32992,23844,39652
32904,23837,39708
32784,23820,39605
32632,23814,39428
32560,23815,39240
32596,23816,39373
32668,23815,39276
32788,23829,39303
32928,23825,39159
33029,23825,38820
33060,23822,39066
33025,23815,38914
32980,23831,39060
32904,23806,38804
32904,23840,38842
33052,23831,38756
33332,23823,38597
33704,23837,38724
34128,23836,38407
34524,23826,38535
34908,23830,38369
35300,23835,38404
35704,23834,38384
36125,23832,38421
36680,23837,38192
37372,23857,38212
38150,23879,38260
39068,23821,38004
40012,23828,38085
40732,23824,38036
41168,23824,37900
41228,23828,37926
40736,23825,37844
39712,23828,37905
38608,23827,37844
37351,23828,37688
36048,23826,37723
34936,23838,37685
34040,23836,37720
33200,23856,37716
32584,23852,37588
32244,23849,37311
32004,23829,37492
31816,23829,37584
31782,23826,37172
31788,23837,37416
31828,23836,37388
31905,23840,37374
32046,23842,37064
32028,23838,37285
31934,23837,37136
31800,23844,37193
31668,23834,37169
31524,23836,37029
31481,23838,37148
31512,23837,36855
31600,23840,37021
31716,23847,37116
31840,23846,37025
31904,23845,36852
31848,23844,36934
31761,23846,36905
31660,23847,36864
31512,23840,36588
31488,23847,36724
31576,23845,36887
31680,23844,36701
31837,23849,36753
32004,23857,36837
32044,23867,36572
31996,23846,36668
31904,23844,36740
31824,23852,36629
31696,23853,36580
31644,23861,36511
31712,23844,36558
31816,23853,36636
31908,23861,36260
32036,23860,36593
32089,23875,36205
32068,23852,36444
31996,23858,36157
31936,23858,36278
31800,23867,36317
31796,23852,36341
31901,23855,36260
32012,23855,36174
32168,23869,36228
32329,23863,36272
32384,23878,36101
32341,23876,36166
32276,23879,36164
32212,23872,36013
32084,23861,36036
32064,23860,36124
32124,23854,35789
32208,23872,35943
32332,23870,35980
32488,23890,35933
32508,23893,35984
32476,23864,35620
32376,23870,35804
32332,23868,35847
32212,23873,35520
32192,23871,35743
