ECG,EDA,RR
33520,11656,14956
33336,11680,14980
33316,11685,14966
33144,11703,14979
33356,11703,15018
33428,11692,14982
33674,11657,14958
33856,11628,14940
33852,11645,14982
33628,11655,14985
33408,11691,14961
33420,11709,14963
33360,11730,14896
33268,11733,14786
33152,11757,14825
33248,11643,14883
33668,11617,14876
33530,11606,14868
33312,11596,14764
33000,11663,14726
33616,11643,14849
32976,11661,14792
33300,11695,14771
33380,11686,14734
33248,11669,14742
33109,11723,14714
33068,11660,14689
32354,11650,14663
31068,11628,14607
30312,11650,14624
29620,11659,14557
29008,11672,14532
28748,11684,14505
28777,11689,14492
28904,11750,14460
29000,11711,14430
29032,11668,14389
28860,11644,14343
28652,11613,14309
28080,11624,14274
27558,11632,14223
27816,11657,14172
28344,11679,14132
29560,11680,14092
32780,11662,14086
37124,11640,14019
40636,11615,13990
42528,11681,13965
43604,11693,13895
43728,11685,13806
43424,11698,13757
43060,11734,13692
42964,11748,13683
43332,11726,13660
43352,11697,13611
43328,11653,13574
42832,11796,13515
41932,11722,13470
41256,11641,13455
40669,11641,13500
39638,11642,13417
38856,11773,13375
37824,11791,13341
36924,11805,13297
36212,11764,13284
35568,11721,13253
34909,11664,13210
34468,11650,13182
33905,11636,13147
33224,11649,13111
32528,11668,13073
31960,11692,13041
31493,11701,12976
31192,11704,12929
31088,11697,12900
31124,11757,12870
31192,11732,12857
31128,11629,12835
30948,11623,12808
30778,11698,12766
30648,11710,12764
30512,11718,12772
30300,11721,12740
30292,11727,12719
30438,11700,12689
30492,11678,12630
30632,11720,12598
30652,11669,12572
30488,11653,12544
30396,11656,12522
30152,11673,12501
30105,11705,12508
30208,11733,12463
30128,11713,12450
30348,11703,12391
30252,11684,12375
30513,11661,12352
30528,11643,12349
30584,11638,12325
30372,11649,12313
30316,11730,12292
30180,11735,12274
30086,11753,12262
30041,11760,12249
29952,11745,12235
29916,11729,12234
30212,11707,12224
30380,11664,12204
30176,11668,12195
30316,11682,12184
30144,11675,12207
30052,11707,12213
29696,11773,12197
29512,11749,12193
29839,11728,12190
30336,11695,12188
30312,11755,12174
30472,11694,12164
30329,11675,12155
30084,11661,12166
30004,11681,12207
29732,11762,12203
29676,11760,12193
29812,11748,12190
29764,11729,12192
29818,11699,12200
30060,11679,12204
30152,11749,12213
29988,11717,12212
29396,11717,12211
29404,11710,12228
29517,11730,12239
29565,11739,12231
29496,11743,12237
29324,11793,12257
29444,11766,12263
29694,11742,12285
29290,11719,12300
29340,11705,12317
29202,11722,12333
28968,11723,12353
28641,11733,12370
28896,11761,12391
28560,11771,12420
28684,11752,12428
28684,11714,12493
28764,11780,12484
28551,11716,12507
28372,11687,12517
28508,11693,12520
27908,11720,12509
27948,11745,12516
27592,11767,12519
27568,11780,12536
27380,11783,12558
27544,11731,12541
27633,11704,12545
27888,11676,12517
27740,11735,12499
27436,11705,12548
27173,11727,12530
27010,11732,12500
26702,11854,12490
26780,11816,12462
26892,11772,12461
26952,11744,12419
27320,11704,12393
27524,11681,12363
27480,11780,12327
27272,11748,12305
27250,11759,12282
27233,11763,12270
27132,11772,12277
27124,11769,12231
27352,11822,12189
27558,11789,12164
27752,11754,12135
27901,11743,12096
28028,11720,12048
28100,11717,12005
28097,11727,12003
28224,11756,11946
28334,11827,11891
28548,11813,11849
28864,11776,11813
29260,11757,11763
29704,11715,11714
30060,11770,11658
30237,11735,11614
30404,11735,11564
30561,11754,11508
30808,11790,11460
31000,11801,11407
31396,11784,11349
31941,11772,11304
32449,11821,11239
32884,11743,11190
33192,11737,11137
33396,11712,11081
33608,11719,11030
33736,11741,10971
34020,11911,10915
34444,11863,10863
34720,11871,10816
34860,11844,10768
34920,11783,10715
35140,11761,10656
35284,11723,10605
35332,11725,10541
35349,11725,10489
35464,11871,10440
35824,11848,10379
36028,11803,10314
36188,11887,10277
36396,11865,10218
36536,11837,10154
36568,11797,10120
36612,11766,10068
36684,11774,10017
36588,11818,9945
36502,11830,9900
36436,11858,9846
36332,11840,9823
36220,11844,9777
36276,11804,9724
36568,11774,9680
36776,11824,9633
36724,11786,9587
36596,11789,9518
36512,11783,9473
36436,11819,9425
36285,11823,9382
36324,11848,9349
36476,11824,9310
36428,11805,9262
36524,11786,9225
36428,11929,9189
36420,11778,9169
36536,11767,9149
36684,11748,9113
36577,11929,9089
36268,11884,9064
36208,11855,9060
36181,11823,9052
36116,11816,9036
36220,11869,9021
36344,11797,9006
36260,11776,8997
36016,11739,9005
36064,11857,9005
35972,11840,8999
35740,11831,9028
35724,11834,9036
35680,11828,9047
35636,11876,9060
35680,11811,9095
35680,11771,9100
35980,11748,9111
35860,11823,9127
35932,11782,9108
35680,11796,9074
35392,11815,9127
35424,11915,9121
35352,11862,9126
35524,11843,9145
35424,11800,9188
35228,11821,9161
34904,11768,9150
34760,11894,9156
34640,11797,9180
34756,11800,9228
35216,11923,9188
35424,11893,9175
35472,11855,9191
35444,11850,9207
35432,11917,9244
35260,11833,9249
35252,11785,9282
35116,11779,9310
35008,11771,9360
34772,11886,9377
34544,11863,9381
34340,11873,9394
34388,11847,9452
34528,11837,9499
34692,11888,9541
34809,11801,9563
34936,11760,9632
34964,11852,9679
34768,11793,9679
34604,11799,9730
34392,11902,9747
34252,11859,9789
34281,11921,9823
34348,11864,9847
34456,11817,9903
34588,11847,9882
34588,11793,9937
34452,11863,9947
34324,11815,9995
34212,11804,10001
34025,11921,10020
33888,11882,10029
33840,11887,10053
33936,11841,10067
34110,11877,10122
34200,11817,10147
34268,11775,10157
34196,11848,10173
33992,11810,10215
33916,11804,10253
33824,11918,10257
33652,11879,10276
33668,11883,10302
33820,11844,10325
33989,11892,10368
34056,11820,10405
34040,11786,10429
33972,11775,10476
33828,11836,10513
33744,11839,10552
33677,11836,10565
33532,11908,10620
33548,11867,10655
33596,11844,10696
33592,11897,10748
33616,11849,10799
33684,11801,10855
33660,11808,10903
33648,11791,10957
33636,11876,10993
33416,11863,11044
33253,11869,11104
33292,11865,11149
33392,11919,11209
33604,11848,11268
33620,11805,11329
33641,11852,11383
33676,11793,11445
33621,11804,11500
33476,11813,11563
33328,11903,11624
33196,11911,11685
33144,11885,11755
33385,11873,11817
33568,11829,11912
33592,11865,11976
33752,11805,12061
33700,11790,12124
33464,11927,12196
33284,11875,12289
33272,11876,12380
33205,11885,12492
33292,11879,12575
33202,11858,12709
33608,11833,12836
33776,11872,12925
33552,11814,13054
33376,11821,13181
33516,11814,13297
33248,11844,13428
33300,11848,13541
33020,11959,13641
33048,11929,13827
33260,11876,14020
33576,11841,14169
33524,11810,14273
33656,11853,14439
33806,11809,14534
33712,11818,14644
33393,11873,14920
33432,11849,15077
33181,11864,15236
33217,11863,15399
32936,11928,15525
33460,11881,15701
33416,11832,15860
33476,11820,15919
33468,11781,16090
33416,11861,16236
33180,11832,16353
33236,11847,16472
33093,11856,16576
33068,11940,16671
33192,11899,16713
33318,11836,16699
33408,11791,16748
33520,11775,16809
33464,11809,16987
33296,11807,17049
33084,11801,17101
32964,11903,17068
32964,11865,17005
32980,11853,17053
33070,11959,17223
33184,11843,17262
33308,11810,17249
33295,11767,17288
33220,11898,17390
33180,11840,17445
33040,11817,17503
32821,11833,17449
32706,11980,17461
32732,11917,17485
32852,11873,17572
32928,11822,17771
32972,11774,17759
33020,11909,17819
33036,11841,17876
32972,11791,17988
32864,11814,18052
32736,11833,18037
32648,11844,18060
32656,11892,18057
32740,11895,18057
32744,11843,18183
32888,11789,18287
32908,11874,18354
32870,11796,18397
32784,11787,18432
32733,11821,18404
32581,11832,18436
32398,11852,18409
32484,11925,18395
32572,11875,18417
32628,11825,18447
32780,11781,18681
32804,11838,18584
32856,11782,18690
32748,11807,18702
32696,11822,18705
32533,11825,18733
32544,11927,18726
32528,11912,18737
32781,11846,18657
32900,11808,18613
33052,11845,18756
32920,11778,18674
32716,11764,18751
32724,11870,18690
32580,11842,18615
32440,11863,18700
32340,11849,18716
32372,11913,18756
32524,11855,18781
32548,11831,18782
32632,11796,18704
32696,11861,18634
32740,11801,18814
32688,11807,18772
32388,11828,18717
32229,11833,18762
32260,11970,18820
32308,11932,18831
32469,11909,18845
32608,11869,18829
32672,11817,18852
32744,11775,18723
32736,11842,18746
32696,11818,18784
32596,11802,18891
32444,11862,18719
32288,11857,18926
32292,11921,18894
32512,11871,18917
32696,11819,18782
32700,11871,18775
32644,11810,18884
32709,11802,18996
32660,11789,18887
32696,11837,18921
32572,11840,19044
32484,11914,19031
32448,11883,18917
32672,11844,19039
32752,11856,18984
32736,11795,19044
32876,11847,18923
32816,11820,19072
32624,11801,19108
32548,11878,19071
32356,11854,19212
32332,11938,19137
32397,11879,19161
32564,11851,19082
32544,11889,19303
32612,11822,19276
32776,11783,19164
32832,11845,19164
32732,11837,19364
32708,11842,19282
32480,11858,19381
32300,11858,19397
32360,11860,19306
32398,11932,19303
32532,11885,19298
32644,11863,19336
32740,11823,19392
32812,11801,19543
32704,11793,19472
32588,11878,19529
32421,11856,19552
32352,11861,19447
32436,11916,19557
32560,11876,19521
32624,11822,19622
32741,11874,19559
32640,11797,19522
32517,11778,19629
32389,11895,19757
32228,11850,19684
32052,11868,19682
32044,11863,19820
31964,11933,19720
31968,11861,19886
32113,11831,19844
32312,11800,19974
32312,11813,19942
32208,11813,19903
32092,11798,20119
31964,11880,20081
31844,11870,20197
31662,11863,20156
31664,11923,20132
31732,11866,20389
31756,11839,20301
31694,11798,20471
31590,11842,20521
31436,11805,20464
31276,11789,20445
31148,11885,20726
31069,11853,20722
30999,11859,20693
30940,11970,20684
30944,11858,20943
31132,11821,20970
31197,11872,21029
31377,11811,20936
31440,11790,20957
31502,11798,21125
31528,11815,21299
31592,11937,21196
31709,11894,21357
31921,11879,21421
32100,11847,21351
32408,11889,21399
32704,11807,21396
32952,11781,21499
33080,11768,21699
33120,11847,21644
33148,11811,21806
33100,11923,21674
32992,11871,21965
33128,11856,21868
33328,11927,21942
33400,11855,21932
33460,11807,22145
33516,11770,22132
33496,11901,22279
33388,11830,22377
33244,11833,22321
33096,11831,22474
33080,11879,22478
33157,11871,22674
33312,11849,22756
33388,11811,22859
33524,11783,22944
33548,11833,22943
33496,11792,22966
33424,11774,23284
33376,11818,23279
33304,11825,23293
33208,11886,23453
33058,11859,23589
33064,11904,23729
33173,11815,23701
33392,11776,23807
33432,11819,24149
33424,11777,24068
33361,11767,24292
33220,11837,24320
33116,11839,24388
32952,11839,24722
32972,11869,24757
33028,11833,24876
33156,11802,24873
33276,11809,25223
33320,11762,25213
33300,11752,25403
33129,11832,25479
32957,11807,25469
32837,11822,25655
32716,11908,25919
32713,11866,26021
32824,11826,26200
32921,11859,26240
33052,11794,26340
33072,11754,26689
32994,11801,26688
32926,11778,26934
32884,11877,26887
32904,11856,27141
32772,11846,27489
32612,11843,27513
32208,11873,27744
31521,11821,27712
30829,11857,28108
30176,11779,28205
29724,11763,28220
29236,11799,28485
28872,11815,28838
28500,11857,28796
27988,11863,29121
27704,11845,29191
27668,11844,29332
27389,11895,29417
26890,11807,29770
26391,11762,29972
26196,11790,30199
26376,11778,30368
27149,11794,30517
29454,11850,30748
33881,11844,30701
38256,11944,31152
41044,11856,31172
42476,11892,31476
43352,11777,31809
43580,11816,31848
43288,11781,31852
42984,11928,32307
42980,11832,32292
43085,11829,32639
43068,11960,32681
42884,11884,33116
42436,11839,33070
41732,11871,33390
40972,11781,33588
40228,11797,33615
39356,11775,33967
38496,11884,34129
37570,11820,34252
36585,11827,34540
35736,11905,34588
34873,11870,34894
34232,11835,35135
33784,11820,35259
33330,11819,35172
32844,11781,35637
32328,11765,36020
31896,11845,35950
31536,11831,36208
31253,11844,36480
31024,11887,36661
30824,11864,36877
30732,11832,37097
30608,11867,37183
30616,11801,37492
30652,11759,37301
30552,11811,37818
30484,11783,38207
30508,11786,38220
30452,11867,38101
30340,11861,38768
30176,11873,38831
30124,11844,38916
