ECG,EDA,RR
32404,19220,31063
32489,19220,31105
32480,19188,30983
32380,19189,30877
32252,19246,31149
32101,19258,31048
31976,19274,30893
31936,19271,31180
31993,19288,31081
32081,19249,30905
32140,19217,31207
32140,19172,31133
32148,19193,31017
32040,19196,31077
31740,19194,31147
31656,19243,31192
31585,19252,31165
31573,19293,31124
31808,19265,31143
32044,19232,31038
32292,19182,31086
32572,19190,31188
32556,19157,31205
32416,19157,31180
32176,19194,31148
32100,19213,31190
32160,19255,31085
32260,19238,31109
32480,19271,31007
32656,19233,31215
32889,19183,31188
33564,19141,31113
33888,19145,31177
34012,19150,31111
33933,19169,31206
33760,19193,31055
33036,19255,31335
32424,19239,31256
32272,19215,31276
32273,19199,31274
32468,19164,31196
32660,19168,31285
32792,19127,31195
32860,19127,31287
32892,19175,31252
32828,19182,31284
32749,19252,31157
32681,19238,31277
32628,19197,31135
32620,19173,31391
32720,19178,31239
32780,19131,31116
32708,19124,31409
32690,19121,31310
32685,19141,31101
32713,19202,31316
32668,19207,31113
32612,19197,31384
32770,19241,31076
32964,19174,31293
32945,19130,31258
32996,19100,31316
32968,19130,31226
32932,19113,31108
32808,19142,31206
32772,19156,31193
32732,19213,31193
32781,19195,31164
32796,19178,31028
32828,19149,31028
33008,19156,31132
32856,19105,31014
32876,19099,30997
32848,19089,30916
32884,19141,31109
32716,19160,31038
32608,19167,31074
32552,19207,30980
32676,19167,30885
32774,19130,30884
32756,19136,30774
32920,19095,31024
33148,19063,30967
33056,19077,30863
32804,19134,30848
32456,19141,30740
31848,19150,30991
31048,19188,30777
30456,19151,31018
30060,19111,30940
29792,19102,31018
29676,19071,30956
29774,19045,31017
29833,19075,30944
29664,19084,30983
29654,19141,30923
29665,19145,30764
29484,19144,31013
29152,19119,30950
28804,19119,30983
28804,19073,30953
29068,19077,30885
29888,19047,30933
32216,19044,30756
35760,19103,30856
38560,19111,30753
40028,19152,30929
40716,19140,30796
41024,19106,30792
41016,19119,30723
40841,19068,30844
40836,19020,30676
40932,19071,30914
40820,19055,30704
40604,19046,30893
40100,19120,30634
39524,19120,30886
38976,19117,30833
38392,19100,30740
37872,19102,30804
37428,19057,30709
36865,19013,30740
36256,19081,30628
35614,19050,30844
34856,19064,30765
34200,19070,30687
33608,19133,30663
33204,19124,30573
32832,19096,30741
32512,19065,30668
32214,19033,30586
31912,19000,30826
31640,19031,30701
31364,19012,30648
31064,19030,30820
30757,19057,30780
30496,19103,30836
30404,19092,30791
30468,19118,30695
30552,19062,30779
30648,19018,30740
30721,19027,30782
30708,18992,30705
30604,18989,30955
30500,19045,30740
30413,19050,30955
30308,19068,30743
30326,19100,30956
30414,19066,30783
30476,19038,31012
30548,19034,31038
30624,18985,31141
30632,18967,30870
30584,18977,31164
30508,19021,31142
30365,19045,31237
30292,19056,31202
30260,19098,31176
30292,19065,31239
30444,19025,31328
30572,19024,31286
30660,18974,31406
30637,18956,31133
30504,18988,31439
30420,18995,31390
30344,19054,31492
30272,19057,31434
30272,19055,31524
30276,19062,31471
30329,19020,31488
30472,19023,31511
30549,18972,31571
30596,18951,31538
30488,18964,31622
30500,18977,31569
30420,19028,31631
30284,19045,31551
30228,19045,31479
30256,19050,31539
30260,19023,31623
30304,18976,31728
30356,18967,31640
30360,18937,31591
30284,18964,31570
30052,18972,31615
29960,19020,31576
29864,19031,31684
29824,19030,31599
29818,19045,31668
29876,19011,31622
30180,18962,31668
30200,18969,31549
30072,18946,31825
29836,18975,31768
29604,18969,31866
29470,18988,31796
29364,19025,31748
29380,19020,31631
29396,19031,31751
29396,19002,31623
29396,18951,31932
29452,18957,31874
29398,18932,31776
29261,18932,31997
28932,18948,31903
28764,19006,31903
28572,19015,31916
28564,19025,31952
28636,18996,31893
28765,19002,31953
28620,18950,32021
28616,18944,32029
28592,18925,32077
28505,18918,32061
28448,18975,32100
28145,18980,32077
27952,18997,32189
28174,19009,31897
28269,18990,32031
28156,18988,31960
28056,18944,32201
28320,18915,32164
28442,18896,32072
28476,18916,32153
28536,18937,32205
28452,18983,32261
28196,18993,32215
28272,19016,32276
29053,18996,32206
29292,18956,32109
29345,18946,32293
29372,18911,32228
29292,18887,32263
29396,18909,32251
29216,18932,32164
28924,18981,32254
28688,18988,32276
28844,18987,32206
29052,18972,32064
29372,18978,32393
29648,18923,32305
29976,18885,32244
30109,18887,32295
30326,18884,32228
30556,18929,32293
30777,18943,32256
31040,19011,32364
31356,18980,32391
31724,18963,32384
32160,18973,32318
32456,18925,32284
32830,18885,32178
33120,18915,32406
33256,18880,32195
33353,18900,32503
33476,18924,32409
33676,18981,32340
33884,18962,32421
34148,18991,32465
34416,18939,32380
34773,18892,32441
34912,18878,32161
35056,18853,32349
35096,18911,32153
35148,18886,32340
35184,18951,32415
35156,18964,32334
35061,19015,32391
35373,18947,32084
35656,18909,32252
35824,18917,32189
35760,18873,32177
35800,18842,31975
35724,18887,32133
35708,18880,31994
35696,18941,32081
35632,18959,31998
35456,19000,32084
35564,18945,32061
35780,18911,32031
35860,18917,32108
35864,18864,31783
35916,18898,31850
35876,18861,31844
35764,18864,31903
35628,18933,31857
35596,18944,31887
35568,18932,31836
35636,18999,31796
35724,18933,31632
35712,18874,31899
35816,18832,31791
35840,18876,31823
35716,18844,31749
35520,18864,31625
35420,18958,31727
35264,18925,31612
35208,18918,31692
35236,18931,31680
35348,18884,31692
35384,18893,31756
35452,18844,31657
35372,18855,31556
35336,18831,31511
35248,18892,31615
35100,18881,31647
34925,18900,31369
34900,18926,31461
35040,18897,31366
35068,18924,31556
35048,18855,31517
35092,18817,31585
35080,18853,31503
34972,18823,31565
34942,18842,31463
34900,18917,31517
34783,18909,31298
34804,18895,31329
34661,18917,31300
34848,18868,31350
34822,18895,31333
34956,18816,31301
35016,18797,31202
34796,18861,31152
34584,18863,30993
34464,18876,31204
34324,18878,31159
34328,18942,30998
34504,18903,30983
34472,18868,30855
34532,18883,31106
34584,18814,30994
34672,18788,30973
34592,18818,30920
34524,18817,30924
34320,18861,30864
34260,18876,30867
34144,18896,30810
34044,18876,30853
34144,18883,30747
34244,18830,30613
34352,18836,30588
34376,18790,30468
34144,18788,30705
33997,18849,30631
33924,18855,30673
33828,18912,30561
33816,18895,30612
33862,18909,30339
33933,18842,30471
34016,18849,30297
34124,18795,30573
34125,18772,30451
34068,18813,30288
33924,18801,30327
33744,18826,30429
33716,18876,30292
33592,18859,30319
33560,18884,30196
33708,18827,30374
33824,18832,30341
33804,18767,30392
34044,18785,30338
34016,18766,30333
33852,18815,30323
33696,18817,30284
33485,18885,30276
33444,18872,30191
33384,18845,30229
33568,18853,30145
33628,18807,30229
33749,18758,30100
33736,18772,30184
33696,18756,30074
33548,18815,30127
33465,18812,30066
33312,18893,30093
33304,18852,30124
33492,18865,30127
33488,18815,30146
33524,18810,29893
33685,18759,30137
33677,18780,29896
33616,18764,30060
33580,18763,30021
33424,18839,29861
33316,18834,29866
33296,18834,29959
33354,18821,29852
33534,18799,29909
33664,18812,29794
33645,18758,29831
33629,18743,29716
33526,18731,29926
33426,18749,29847
33349,18826,29669
33232,18826,29758
33156,18836,29789
33278,18822,29629
33492,18787,29769
33684,18799,29727
33788,18746,29771
33792,18772,29693
33744,18736,29664
33506,18743,29644
33221,18812,29460
33056,18809,29668
33012,18805,29591
33112,18819,29604
33288,18797,29514
33372,18749,29559
33480,18764,29356
33532,18721,29431
33441,18739,29381
33284,18732,29396
33112,18759,29495
33060,18842,29285
33064,18813,29460
33000,18789,29437
33044,18810,29287
33166,18751,29461
33256,18719,29391
33232,18693,29223
33172,18737,29445
33100,18740,29332
33048,18770,29160
33068,18780,29290
33104,18790,29264
33064,18817,29317
33160,18763,29159
33252,18720,29272
33273,18732,29100
33268,18693,29232
33197,18729,29258
33104,18728,29280
32936,18737,29228
32925,18811,29092
33101,18788,29128
33208,18772,29044
33428,18741,29217
33428,18751,29095
33408,18706,29196
33328,18702,29012
33188,18704,29153
33104,18716,29110
33076,18740,29157
33012,18753,29191
33020,18767,29069
33053,18796,29140
33048,18756,29200
33304,18697,29120
33344,18714,28989
33222,18666,29028
33153,18661,29108
33044,18725,29048
32932,18727,29001
32856,18746,29111
32828,18801,29162
32864,18758,29099
32972,18723,29004
