ECG,EDA,RR
33214,17112,34089
33409,17085,34259
33628,17088,34132
33688,17116,34220
33612,17117,34207
33496,17149,34220
33396,17191,34255
33420,17160,34006
33565,17165,34229
33656,17127,34405
33677,17105,34344
33836,17123,34309
33860,17071,34125
33652,17098,34471
33372,17129,34372
33164,17136,34155
32944,17181,34523
32880,17204,34392
33061,17151,34460
33348,17149,34420
33412,17093,34485
33372,17083,34469
33420,17126,34500
33468,17080,34535
33445,17117,34493
33236,17133,34452
32936,17178,34551
32888,17164,34588
33044,17185,34324
33248,17129,34524
33392,17141,34604
33382,17068,34724
33320,17113,34556
33225,17092,34673
33081,17174,34687
32820,17152,34655
32734,17146,34802
32800,17170,34714
32944,17189,34670
33188,17125,34792
33496,17077,34904
33348,17095,34920
33389,17055,34894
33396,17095,34812
33278,17093,34804
33064,17188,34773
32924,17159,34885
32876,17187,34807
32952,17130,35005
33082,17141,34823
33169,17087,34874
33136,17092,34633
33204,17049,34987
33173,17087,34903
33056,17131,34911
33024,17111,34669
32984,17159,34964
32988,17147,34816
33144,17140,34932
33088,17099,34907
33142,17101,34837
33180,17055,35044
33173,17076,34861
32916,17057,34948
32993,17100,34855
32924,17156,35037
32820,17129,34901
32948,17167,34941
33176,17194,34965
33292,17112,35007
33308,17125,34944
33292,17068,34991
33192,17110,34925
32932,17076,35064
32740,17124,34913
32620,17125,35037
32500,17129,35068
32673,17171,34796
32796,17114,35052
32893,17104,35241
32996,17111,35104
33044,17057,35175
32932,17076,34913
32820,17051,35148
32736,17084,35322
32706,17153,35141
32732,17124,35012
32808,17149,35401
32900,17110,35404
33004,17105,35293
33108,17092,35063
33152,17031,35341
32996,17050,35487
32692,17100,35382
32560,17081,35296
32512,17094,35460
32522,17134,35357
32640,17161,35317
32856,17099,35429
33060,17100,35372
33068,17050,35353
32942,17041,35215
32672,17081,35342
32464,17047,35247
32341,17064,35420
32336,17111,35260
32340,17111,34985
32306,17133,35346
32384,17150,35158
32500,17076,35032
32584,17066,35163
32800,17018,34996
32936,17035,34995
32564,17031,34881
32133,17065,35000
31896,17085,34834
31772,17116,34828
31816,17167,34695
32116,17106,34831
32452,17108,34519
32668,17033,34618
32648,17034,34407
32568,17007,34527
32316,17049,34532
32036,17104,34287
31820,17081,34325
31712,17127,33997
31712,17095,34137
31716,17095,34270
31732,17055,33959
31836,17047,34005
31885,17005,34007
31936,17024,33685
31921,17019,33741
31980,17071,33799
32164,17072,33913
32172,17098,33743
32192,17128,33641
32312,17079,33812
32522,17062,33541
32816,17049,33647
32804,16997,33456
32736,17012,33495
32845,17002,33573
32976,17054,33580
32960,17111,33455
32992,17096,33481
33008,17077,33487
32952,17084,33455
32908,17044,33319
32954,17025,33332
33076,16987,33395
33169,16997,33492
33108,16996,33391
32988,17047,33336
32892,17062,33445
32940,17066,33279
33096,17084,33260
33256,17057,33269
33292,17046,33276
33132,17087,33273
33040,17001,33033
33004,17035,33148
33028,16997,33336
32964,17054,33172
32932,17039,33159
32965,17074,33173
33036,17060,32893
32936,17069,33124
33076,17075,33069
33192,16995,33054
33212,16986,32772
33248,16974,32887
33204,17020,32880
33180,17012,32820
33160,17075,32844
33080,17060,32855
33072,17105,32887
33041,17060,32870
33180,17093,32764
33300,16999,32647
33152,17007,32486
32901,16960,32547
32836,16996,32649
32836,17042,32448
32961,17031,32466
32810,17093,32474
32693,17065,32449
32752,17093,32333
33012,17019,32256
33112,16973,32431
33160,16966,32180
33120,16945,32246
33176,16993,32217
33252,16988,32213
33144,17057,31976
32756,17049,32052
32365,17031,32100
31768,17031,32193
31132,16996,32045
30784,16978,32030
30308,16994,32030
29960,16956,31772
29656,17001,31870
29650,16996,32069
29669,17068,31940
29605,17036,31927
29700,17029,31813
29916,17018,31878
30064,16985,31649
29996,16964,31732
29728,16934,31857
29700,16943,31667
29906,16937,31759
30812,16974,31676
33268,17066,31687
36349,17036,31695
38640,17076,31525
39968,17020,31692
40560,17044,31503
40588,16964,31584
40236,16977,31349
40004,16932,31525
39912,16999,31517
40008,16961,31329
40128,17044,31415
40036,17012,31270
39696,17053,31368
39316,16991,31349
38928,16997,31260
38484,17010,31109
37836,16917,31303
37124,16927,31143
36400,17041,30941
35744,16972,31116
35136,17052,30983
34512,17009,31013
33888,17024,30855
33413,16991,31015
33157,16966,30881
32960,16957,30629
32676,16911,30852
32332,16923,30677
31957,16923,30743
31648,16965,30492
31460,16976,30564
31228,17004,30713
31085,16996,30513
31020,16989,30525
30968,17023,30516
31061,16937,30356
31044,16952,30429
30928,16913,30389
30768,16955,30332
30640,16937,30316
30476,16982,30207
30456,16988,30268
30629,17004,30184
30560,17015,30185
30592,16954,29998
