ECG,EDA,RR
33116,14749,32661
33228,14631,32671
33304,14585,32647
33230,14629,32618
33056,14615,32676
32924,14656,32401
32797,14730,32442
32700,14715,32434
32700,14681,32657
32821,14716,32654
33008,14641,32396
33176,14673,32433
33224,14603,32665
33148,14661,32655
32998,14630,32454
32824,14705,32425
32728,14675,32595
32653,14728,32766
32652,14678,32665
32812,14708,32745
32988,14652,32553
33124,14601,32567
33177,14612,32589
33096,14662,32628
32948,14626,32645
32776,14717,32517
32684,14693,32399
32748,14734,32551
32716,14677,32712
32521,14693,32654
31900,14629,32713
31188,14621,32751
30620,14588,32724
30140,14606,32669
29592,14612,32729
29276,14651,32741
29264,14725,32748
29236,14692,32607
29177,14718,32503
29372,14660,32519
29500,14673,32540
29398,14613,32508
29053,14625,32580
28624,14599,32752
28564,14604,32738
28762,14645,32740
29776,14689,32542
32652,14668,32577
36564,14694,32496
39496,14636,32514
41000,14636,32530
41748,14588,32560
41880,14621,32553
41488,14605,32576
41164,14687,32616
41076,14661,32597
41184,14663,32574
41264,14725,32496
41189,14689,32595
40876,14726,32524
40372,14636,32567
39924,14658,32633
39312,14587,32639
38688,14661,32639
37928,14630,32636
37104,14627,32412
36276,14679,32617
35436,14671,32431
34724,14680,32532
34132,14650,32550
33704,14633,32568
33420,14589,32585
33090,14586,32740
32628,14631,32676
32140,14600,32637
31668,14663,32530
31236,14652,32588
30956,14677,32636
30808,14719,32609
30872,14645,32511
31040,14661,32546
31085,14585,32542
31096,14621,32434
30992,14582,32452
30796,14645,32542
30640,14638,32468
30460,14656,32445
30360,14725,32391
30400,14686,32448
30512,14693,32564
30624,14614,32717
30778,14610,32757
30824,14561,32775
30760,14622,32686
30622,14601,32623
30464,14663,32680
30292,14660,32580
30212,14665,32423
30208,14661,32682
30349,14661,32702
30492,14610,32440
30628,14635,32463
30636,14580,32692
30572,14567,32694
30452,14607,32560
30304,14613,32566
30168,14658,32633
30146,14662,32632
30140,14675,32633
30220,14634,32653
30428,14628,32638
30604,14572,32700
30620,14578,32753
30584,14565,32801
30428,14607,32838
30276,14610,32741
30212,14650,32709
30081,14652,32739
30102,14685,32493
30244,14652,32485
30344,14693,32617
30472,14585,32647
30516,14608,32765
30416,14566,32785
30285,14614,32821
30168,14605,32842
30064,14660,32593
29932,14652,32719
29988,14663,32710
30064,14671,32565
30169,14604,32626
30272,14613,32697
30304,14560,32684
30180,14642,32642
29992,14603,32743
29808,14607,32704
29632,14656,32748
29568,14650,32823
29572,14671,32812
29666,14626,32816
29804,14642,32814
29890,14588,32750
29894,14625,32744
29764,14572,32737
29584,14575,32708
29396,14614,32625
29220,14693,32653
29080,14658,32623
29045,14642,32738
29120,14639,32647
29204,14657,32549
29322,14586,32599
29348,14630,32540
29250,14561,32497
29044,14566,32493
28844,14617,32569
28640,14627,32581
28510,14669,32567
28492,14639,32532
28575,14641,32602
28708,14592,32553
28821,14583,32519
28868,14556,32677
28741,14604,32709
28576,14577,32664
28384,14590,32602
28144,14633,32684
28036,14637,32580
28096,14651,32525
28182,14608,32524
28324,14597,32516
28548,14559,32525
28656,14549,32508
28565,14604,32519
28456,14582,32513
28324,14655,32542
28240,14639,32568
28260,14633,32585
28424,14652,32623
28588,14656,32612
28896,14589,32638
29174,14595,32644
29376,14535,32479
29480,14590,32389
29524,14569,32501
29576,14586,32420
29652,14655,32565
29764,14657,32646
30032,14624,32660
30368,14625,32644
30700,14575,32679
31057,14566,32681
31340,14533,32700
31556,14574,32715
31672,14562,32712
31812,14608,32552
31904,14612,32567
32060,14660,32561
32356,14623,32500
32752,14626,32655
33188,14631,32420
33509,14549,32636
33728,14555,32740
33864,14533,32816
33996,14573,32845
34044,14589,32856
34106,14632,32833
34148,14629,32863
34376,14645,32937
34656,14601,32866
34936,14608,32983
35245,14556,32996
35464,14533,32927
35436,14569,32980
35416,14551,32985
35408,14643,32964
35302,14624,33007
35364,14696,33029
35472,14652,32956
35616,14601,33020
35776,14592,33057
35980,14539,33076
36152,14540,33023
36117,14535,33084
35996,14570,33013
35832,14576,33316
35648,14707,33312
35548,14642,33225
35664,14712,33380
35848,14613,33405
36000,14575,33413
36141,14573,33460
36232,14553,33630
36108,14533,33561
35940,14618,33386
35788,14590,33560
35520,14661,33493
35478,14616,33632
35560,14633,33678
35668,14597,33717
35744,14593,33876
35820,14634,33919
35876,14543,34042
35840,14532,34045
35636,14563,34096
35461,14659,34008
35284,14631,34106
35232,14681,34015
35292,14620,34032
35453,14633,34168
35520,14570,34237
35604,14581,34246
35580,14538,34241
35424,14575,34311
35272,14543,34361
35088,14606,34362
34852,14707,34496
34806,14639,34543
34832,14610,34476
35012,14644,34625
35164,14591,34805
35320,14593,34844
35317,14524,34756
35232,14551,34724
35024,14545,34768
34822,14629,34855
34645,14628,35082
34548,14693,35108
34566,14629,35065
34644,14680,35152
34752,14583,35228
34856,14607,35150
34904,14533,35296
34848,14575,35345
34692,14547,35076
34520,14606,35351
34281,14605,35591
34204,14641,35449
34300,14682,35568
34392,14610,35327
34472,14627,35408
34620,14540,35624
34592,14545,35801
34484,14530,35925
34306,14567,35975
34128,14600,36013
33956,14607,36080
33824,14634,35983
33884,14616,35950
34058,14617,36055
34180,14573,36157
34316,14545,36248
34364,14555,36213
34222,14625,36313
34100,14565,36359
33932,14578,36198
33794,14620,36423
33696,14701,36596
33673,14642,36710
33876,14594,36487
34032,14600,36675
34104,14594,36737
34136,14524,36716
34104,14559,36920
33972,14550,36893
33824,14599,36885
33604,14605,37013
33533,14645,37047
33573,14703,36860
33738,14620,36895
33930,14661,37130
34024,14551,37191
34052,14524,37351
33972,14556,37509
33844,14615,37332
33637,14588,37345
33452,14673,37396
33412,14645,37498
33495,14611,37591
33636,14620,37708
33716,14567,37764
33876,14553,37729
33972,14604,37926
33864,14553,38039
33724,14654,38070
33519,14604,37996
33440,14687,38034
33420,14644,38148
33469,14676,37908
33604,14608,38071
33754,14672,38227
33832,14560,38373
33916,14587,38534
33892,14553,38513
33736,14547,38504
33488,14599,38500
33284,14599,38534
33252,14638,38607
33372,14611,38652
33468,14635,38724
33658,14580,38699
33792,14532,38976
33793,14565,39040
33764,14543,39020
33652,14613,38980
33496,14587,38951
33336,14600,39077
33236,14652,39240
33284,14611,39180
33384,14609,39303
33548,14559,38972
33680,14551,39397
33764,14522,39425
33717,14567,39591
33548,14546,39709
33448,14618,39711
33268,14599,39628
33120,14628,39724
33156,14605,39365
33328,14626,39508
33512,14560,39992
33632,14553,39803
33676,14576,39992
33572,14527,40063
33408,14594,39722
33236,14573,40109
33052,14685,40172
32989,14631,40327
33080,14604,40404
33252,14611,40511
33440,14561,40428
33568,14559,40516
33580,14512,40596
33568,14540,40756
33408,14542,40741
33148,14606,40743
32924,14593,40957
32804,14628,40804
32892,14690,40940
33060,14607,41016
33236,14558,41175
33444,14553,41189
33516,14537,41071
33436,14515,40884
33244,14571,41248
33108,14567,41298
32964,14648,41316
32852,14617,41333
32892,14601,41477
33020,14622,41653
33143,14557,41649
33302,14575,41675
33392,14516,41760
33284,14583,41732
33112,14540,41695
32940,14564,41692
32812,14623,41425
32744,14608,41891
32746,14661,41956
32906,14590,42020
33112,14551,42016
33273,14553,42045
33348,14500,42037
33308,14565,42168
33112,14541,42372
32920,14553,42439
32724,14619,42472
32669,14624,42332
32793,14596,42180
32927,14647,42436
33012,14570,42525
33140,14517,42581
33224,14536,42624
33144,14506,42669
33024,14555,42716
32936,14568,42702
32780,14654,42740
32685,14618,42825
32728,14588,42887
32860,14630,42919
32964,14545,42542
33112,14567,42621
33132,14501,43045
33016,14522,43137
32869,14601,43207
32758,14557,43061
32640,14628,43109
32560,14612,43132
32612,14623,43254
32776,14597,43183
32980,14543,43367
33160,14533,43431
33232,14497,43517
33076,14544,43511
32952,14530,43569
32736,14608,43590
32568,14588,43655
32503,14589,43649
32576,14606,43708
32756,14568,43701
33008,14579,43717
33160,14508,43752
33245,14544,43751
33141,14502,43911
32952,14535,43892
32800,14544,43772
32609,14574,43972
32520,14605,43653
32556,14582,43702
32669,14610,43740
32808,14553,44100
32920,14503,43777
32988,14532,43974
33004,14524,44248
32876,14514,44268
32736,14581,44308
32580,14589,44261
32516,14584,44231
32572,14639,44348
32764,14578,44388
32909,14537,44381
33008,14523,44389
33004,14484,44353
32934,14532,44337
32708,14511,44385
32620,14583,44388
32460,14577,44463
32412,14668,44492
32521,14590,44572
32648,14558,44613
32800,14583,44597
32873,14513,44544
32929,14555,44512
32840,14517,44599
32721,14509,44614
32548,14577,44508
32476,14567,44445
32481,14593,44568
32556,14572,44444
32652,14572,44516
32846,14533,44625
33012,14525,44772
33024,14557,44833
32868,14487,44884
32716,14547,44885
32524,14531,44828
32366,14591,44831
32340,14575,44849
32496,14612,44871
