ECG,EDA,RR
32160,25289,30647
32228,25276,30716
32277,25245,30594
32284,25204,30615
32332,25154,30764
32412,25150,30688
32488,25177,30727
32572,25207,30744
32696,25249,30748
32768,25293,30764
32800,25310,30692
32828,25297,30628
32800,25255,30616
32696,25215,30604
32597,25171,30632
32608,25167,30801
32684,25187,30740
32761,25214,30709
32788,25271,30789
32828,25312,30660
32860,25317,30660
32864,25300,30727
32846,25256,30855
32864,25223,30837
32820,25190,30885
32828,25171,30888
32864,25191,30925
32888,25223,30781
32973,25273,30945
33092,25319,30914
33060,25330,30818
33004,25310,30958
32972,25286,30953
32916,25241,30970
32872,25183,30863
32847,25188,30876
32941,25204,30868
33016,25243,31005
33094,25292,30975
33188,25327,31033
33184,25343,30887
33212,25319,31084
33212,25287,31028
33162,25253,30905
33118,25209,31021
33084,25199,31000
33093,25217,31079
33108,25265,30935
33161,25303,30929
33284,25343,30981
33316,25347,31127
33324,25332,31021
33340,25303,31093
33272,25261,30941
33188,25223,31104
33153,25217,31075
33112,25231,31101
33220,25271,30953
33292,25309,31071
33345,25348,31112
33412,25364,31092
33500,25351,30932
33486,25309,31001
33520,25268,31067
33436,25223,30905
33493,25215,31064
33569,25243,31044
33624,25274,30868
33684,25319,31026
33744,25369,30980
33730,25376,30855
33700,25358,30983
33736,25324,30894
33668,25279,30785
33660,25233,30943
33700,25232,30902
33680,25260,30862
33724,25293,30862
33796,25328,30710
33942,25381,30655
34016,25381,30813
34024,25364,30692
34054,25333,30767
34096,25287,30591
34081,25252,30672
34069,25244,30599
34096,25263,30564
34148,25302,30674
34168,25338,30646
34188,25397,30453
34174,25397,30558
34092,25375,30416
33988,25333,30512
33904,25293,30433
33796,25253,30509
33768,25245,30327
33844,25275,30452
33924,25312,30419
33944,25367,30245
33980,25396,30281
33992,25400,30236
33992,25391,30353
33868,25347,30317
33732,25303,30122
33540,25257,30273
33444,25252,30207
33397,25275,30207
33366,25325,30038
33340,25371,30189
33329,25406,30129
33232,25412,30027
33188,25397,29925
33132,25355,30071
33005,25309,30023
32868,25272,29852
32752,25271,30000
32616,25295,29933
32548,25329,29823
32549,25380,29742
32604,25415,29904
32576,25422,29845
32544,25397,29690
32416,25359,29831
32244,25317,29764
32085,25276,29624
31984,25274,29743
31980,25303,29625
31964,25343,29669
31946,25391,29657
31956,25431,29501
31904,25429,29608
31766,25410,29502
31648,25372,29469
31604,25325,29511
31572,25294,29503
31548,25281,29351
31568,25310,29476
31580,25345,29441
31624,25395,29274
31652,25439,29408
31712,25438,29351
31585,25412,29357
31500,25380,29224
31524,25337,29294
31496,25299,29252
31392,25291,29279
31408,25317,29254
31484,25351,29231
31568,25400,29213
31616,25431,29063
31673,25444,29157
31661,25414,29072
31709,25381,29146
31738,25339,28969
31712,25305,29052
31620,25299,29012
31605,25324,29045
31648,25359,28949
31700,25408,28956
31836,25441,29044
31833,25447,28997
31816,25423,28988
31834,25387,28857
31845,25347,28982
31816,25307,28961
31800,25303,28788
31804,25321,28861
31852,25372,28837
31981,25412,28917
32064,25449,28874
32068,25454,28887
32028,25429,28728
31996,25392,28874
31972,25345,28786
31920,25313,28748
31988,25310,28737
32056,25333,28780
32164,25372,28644
32268,25416,28807
32312,25458,28796
32300,25470,28642
32280,25432,28791
32248,25400,28705
32236,25348,28775
32194,25312,28612
32252,25308,28746
32317,25345,28737
32360,25383,28612
32472,25431,28693
32598,25460,28751
32612,25463,28652
32536,25441,28722
32476,25404,28569
32412,25357,28727
32396,25313,28679
32400,25319,28616
32468,25349,28541
32513,25377,28696
32544,25433,28660
32632,25475,28613
32684,25447,28680
32637,25442,28583
32544,25406,28524
32468,25365,28656
32469,25324,28708
32490,25321,28622
32548,25351,28669
32584,25385,28551
32592,25425,28688
32620,25466,28667
32616,25463,28679
32628,25447,28713
32600,25407,28625
32528,25373,28595
32462,25329,28572
32480,25329,28673
32505,25351,28700
32538,25388,28743
32559,25437,28644
32640,25469,28679
32628,25474,28690
32580,25447,28722
32484,25407,28791
32428,25365,28689
32417,25333,28669
32388,25311,28834
32388,25359,28828
32428,25391,28823
32514,25447,28730
32576,25479,28771
32633,25477,28792
32616,25453,28844
32581,25415,28882
32512,25371,28768
32404,25332,28762
32376,25329,28923
32396,25359,28866
32504,25392,28951
32560,25455,28812
32636,25487,28854
32668,25479,29000
32606,25455,28959
32512,25415,28919
32432,25377,28901
32324,25333,29054
32312,25333,29029
32396,25366,29091
32484,25399,28925
32564,25453,29137
32629,25479,29052
32664,25487,29143
32616,25453,29164
32596,25417,29031
32556,25367,29169
32497,25335,29132
32538,25338,29242
32620,25369,29089
32672,25405,29205
32617,25445,29301
32588,25495,29161
32556,25485,29358
32480,25463,29279
32484,25421,29381
32496,25374,29305
32488,25341,29278
32476,25347,29447
32464,25371,29427
32480,25411,29492
32526,25463,29335
32600,25499,29540
32669,25479,29536
32664,25464,29425
32585,25423,29537
32564,25387,29569
32512,25347,29624
32548,25346,29511
32584,25374,29556
32696,25415,29703
32736,25462,29644
32772,25487,29749
32752,25489,29609
32676,25460,29780
32645,25437,29818
32552,25382,29793
32544,25351,29767
32596,25349,29861
32700,25375,29905
32768,25414,29805
32868,25463,29809
32925,25495,29988
32913,25495,29997
32900,25474,29935
32868,25423,30011
32864,25375,30060
32916,25351,30086
32964,25351,30113
33033,25380,30151
33032,25419,30170
33020,25470,30189
33080,25493,30071
33060,25498,30087
33008,25471,30124
32949,25427,30245
32872,25390,30325
32844,25351,30296
32896,25359,30256
32970,25387,30285
33040,25420,30327
33104,25469,30365
33124,25503,30364
33044,25500,30371
32924,25468,30498
32788,25431,30407
32692,25402,30388
32652,25362,30406
32628,25360,30437
32688,25401,30590
32780,25420,30623
32828,25471,30493
32884,25503,30516
32844,25507,30560
32768,25470,30703
32724,25435,30721
32645,25393,30748
32612,25361,30762
32623,25355,30668
32656,25395,30656
32736,25422,30674
32816,25479,30812
32865,25506,30864
32836,25507,30909
32816,25473,30904
32744,25438,30961
32652,25388,30860
32548,25351,30850
32493,25367,31015
32532,25393,31039
32556,25424,30993
32637,25479,31049
32701,25511,31136
32684,25508,31042
32628,25479,31048
32542,25430,31072
32548,25390,31093
32516,25359,31128
32572,25367,31335
32632,25391,31260
32677,25433,31351
32760,25476,31228
32806,25503,31239
32744,25503,31291
32698,25467,31308
32676,25441,31329
32668,25380,31348
32712,25360,31389
32772,25367,31399
32868,25388,31483
33056,25424,31479
33232,25479,31567
33396,25506,31698
33560,25503,31721
33836,25469,31748
34124,25433,31764
34376,25397,31799
34905,25356,31789
35772,25349,31796
36792,25405,31818
38124,25419,31903
39584,25484,31845
40756,25497,31945
41604,25505,31938
42288,25469,31965
42672,25423,31903
42660,25399,31929
42472,25351,32045
41564,25374,32097
40004,25399,31967
37760,25430,31999
35396,25478,32084
33556,25523,32229
31661,25508,32260
28740,25478,32194
25341,25468,32296
23424,25409,32204
23296,25381,32225
24100,25375,32444
25316,25415,32353
26508,25441,32474
27510,25486,32341
28385,25509,32489
29060,25505,32552
29664,25471,32519
30156,25429,32590
30560,25385,32683
30896,25351,32572
31294,25357,32613
31644,25383,32663
31944,25428,32759
32236,25469,32801
32432,25495,32857
32621,25493,32981
32664,25465,32879
32628,25423,32949
32562,25373,33023
32526,25351,33057
32548,25358,33092
32640,25387,33137
32708,25423,33188
32800,25476,33231
32824,25503,33260
32838,25497,33287
32864,25457,33155
32800,25417,33202
32744,25386,33204
32776,25343,33276
32821,25353,33272
32857,25385,33333
32966,25427,33408
33056,25473,33535
33072,25501,33543
33052,25486,33629
33008,25454,33727
32958,25420,33597
32892,25372,33644
32868,25340,33706
32882,25359,33912
32968,25385,33772
33044,25425,33790
33076,25473,33884
33152,25492,33924
33160,25488,34102
33104,25453,34190
33028,25419,34175
32976,25374,34266
32924,25343,34167
32940,25349,34227
32976,25380,34246
33088,25423,34294
33216,25469,34465
33268,25501,34415
33248,25492,34476
33209,25460,34382
33140,25410,34348
33108,25361,34463
33084,25343,34566
33096,25345,34613
33160,25382,34594
33252,25425,34778
33336,25466,34765
33392,25492,34791
33389,25484,34663
33316,25452,34760
33324,25410,34836
33308,25351,35023
33296,25332,35063
33288,25343,35112
33332,25377,35129
33372,25423,35180
33444,25470,35181
33520,25487,35220
33496,25479,35158
33488,25429,35214
33472,25408,35273
33444,25351,35329
33476,25327,35239
33516,25329,35335
33577,25379,35453
33632,25410,35361
33720,25465,35495
33792,25487,35335
33824,25477,35529
33820,25452,35556
33780,25407,35486
33724,25359,35641
33692,25332,35711
33764,25341,35581
33822,25375,35687
33940,25417,35715
34028,25470,35751
34068,25490,35765
34072,25476,35794
34033,25453,35612
33996,25403,35701
33944,25350,35892
33860,25332,35844
33852,25346,35864
33868,25380,35788
33956,25410,35915
34054,25475,35988
34148,25488,35896
34140,25478,35889
34104,25437,35959
34008,25396,35989
33936,25350,35775
33872,25333,35935
33868,25348,36086
33916,25378,36012
33974,25412,35801
33940,25474,35868
33925,25486,35932
33836,25475,36100
33685,25445,36112
33540,25405,35980
33447,25358,36040
33380,25332,36077
33332,25351,36097
33312,25389,36089
33344,25422,35869
33356,25479,36119
33324,25486,35885
33216,25479,35941
33040,25445,36013
32876,25412,36135
32721,25359,36204
32620,25348,36045
32532,25351,36140
32536,25387,36148
32480,25428,36138
32424,25476,36004
32384,25493,36039
32250,25491,36161
32156,25449,36160
32064,25417,36060
31992,25367,36161
31884,25345,36167
31808,25359,36043
31777,25394,36215
31812,25428,36065
31808,25478,36140
31824,25501,36021
31765,25492,36239
31672,25452,36148
31576,25419,36160
31540,25380,35975
31513,25351,36053
31520,25367,36084
31583,25396,36169
31620,25433,36231
31614,25488,36159
31656,25503,36052
31660,25492,36156
31624,25463,36252
31556,25426,36179
31486,25380,36144
31444,25360,36175
31476,25375,36005
31544,25402,36207
31604,25449,36144
31720,25506,36176
31720,25513,36036
31684,25508,36229
31677,25477,36079
31575,25435,36124
31508,25390,36170
31504,25365,35929
31493,25384,35941
31556,25397,36103
31660,25463,36218
31796,25503,36252
31833,25524,36247
31840,25508,36257
31800,25473,36225
31812,25441,36100
31744,25391,36129
31724,25370,36133
31808,25395,36148
31944,25423,36176
32008,25465,35930
32080,25516,36049
32092,25538,36152
32048,25519,36228
31980,25490,36054
31948,25449,36143
31940,25397,36141
31908,25378,36052
31984,25397,36197
32068,25436,36057
32148,25468,36100
32192,25525,36092
32252,25541,36119
32244,25542,36103
32236,25499,36000
32206,25457,36044
32172,25404,36147
32148,25401,36109
32168,25409,35897
32240,25444,36037
32292,25479,36165
32349,25540,36110
32412,25543,36108
32428,25533,35881
32388,25489,36073
32332,25464,36036
32262,25423,36092
32276,25407,35988
32340,25418,36164
32376,25452,35988
32425,25492,36089
32516,25541,35980
32552,25559,36103
32564,25547,36164
32513,25509,36097
32468,25469,35906
32388,25415,35975
32323,25405,36167
32285,25421,35983
32330,25463,36081
32404,25504,35973
32444,25548,36098
32512,25565,35969
32504,25559,36079
32492,25522,35948
32460,25485,36052
32368,25433,36142
32364,25421,35973
32376,25444,36076
32423,25474,35857
32513,25527,36061
32600,25572,36100
32576,25580,36076
32544,25567,35925
32432,25535,36150
32352,25500,36044
32272,25446,35858
32232,25437,35998
32252,25453,36140
32364,25492,36004
32432,25529,36084
32564,25575,35957
32573,25593,36028
32532,25578,36154
32400,25548,36047
32340,25504,36013
32276,25462,36112
32252,25447,35909
32300,25469,36007
32384,25509,36204
32461,25538,36032
32500,25584,36135
32512,25604,36154
32464,25583,35924
32412,25561,36132
32349,25523,36239
32320,25471,36177
32324,25455,35945
32388,25476,36015
32453,25517,36257
32581,25549,36197
32613,25607,35999
32612,25613,36180
32560,25604,36138
32505,25572,36231
32452,25539,36157
32360,25476,36356
32372,25471,36265
32442,25490,36072
32428,25526,36191
32448,25573,36380
32586,25625,36220
32584,25641,36340
32536,25622,36247
32444,25588,36447
32372,25549,36283
32308,25501,36395
32296,25495,36156
32365,25517,36193
32492,25542,36356
32544,25593,36355
32638,25638,36455
32616,25654,36316
32600,25645,36540
32588,25599,36383
32560,25561,36255
32484,25531,36421
32461,25509,36611
32540,25525,36486
32580,25565,36391
32613,25605,36493
32704,25659,36471
32720,25676,36566
32628,25657,36502
32628,25622,36492
32668,25583,36585
32612,25541,36596
32564,25529,36602
32608,25548,36511
32781,25581,36700
32832,25625,36647
32940,25681,36565
32904,25687,36597
32893,25675,36673
32876,25647,36441
32772,25607,36674
32753,25564,36615
32800,25545,36708
32832,25573,36602
32924,25601,36790
32954,25647,36685
33009,25710,36727
33016,25719,36509
33034,25695,36749
32992,25669,36719
32916,25624,36525
32808,25583,36700
32773,25567,36815
32781,25585,36783
32824,25628,36668
32788,25670,36803
32764,25717,36789
32729,25729,36839
32732,25714,36743
32648,25683,36807
32616,25639,36713
32580,25601,36817
32520,25587,36909
32588,25612,36764
32720,25649,36825
32732,25692,36807
32842,25735,36743
32876,25753,36856
32896,25735,36748
32804,25697,36838
32732,25660,36863
32712,25620,36667
32648,25599,36844
32608,25639,36957
32720,25670,36832
32782,25726,36893
32788,25753,36652
32754,25766,36780
32728,25757,36840
32610,25722,36980
32536,25679,36884
32500,25634,36860
32430,25626,36831
32542,25645,36941
32562,25691,36815
32624,25735,36999
32696,25779,36845
32692,25791,36933
32630,25765,36967
32629,25735,36972
32584,25694,36743
32602,25651,36949
32534,25641,36988
32552,25654,36914
32586,25711,36976
32661,25750,36886
32804,25791,36956
32844,25799,36954
32893,25782,36988
32972,25756,36757
32988,25713,37074
33110,25661,37087
33172,25661,36980
33188,25681,36893
33468,25723,37071
33896,25760,37012
34360,25805,36896
34788,25823,37084
35525,25794,36956
36364,25765,36991
37448,25722,37004
38744,25687,36768
39824,25671,36920
40652,25705,37063
41476,25742,37025
42008,25765,36911
42220,25845,36967
42288,25833,36999
41752,25828,36935
40408,25786,37055
38540,25750,36969
36048,25710,36764
33853,25703,36996
32072,25725,36902
30136,25772,36983
26904,25829,36966
24418,25864,36993
23508,25899,37012
