ECG,EDA,RR
32716,28240,41948
32728,28290,42009
32728,28329,42045
32716,28386,41968
32684,28399,41821
32660,28378,41815
32559,28351,41753
32449,28325,41816
32368,28274,41826
32352,28263,41757
32413,28283,41664
32480,28327,41548
32516,28356,41554
32570,28423,41620
32592,28431,41509
32517,28415,41474
32452,28386,41319
32492,28357,41495
32464,28307,41345
32436,28301,41260
32504,28311,41142
32492,28351,40936
32516,28399,41104
32524,28452,40701
32549,28469,41055
32564,28452,40839
32480,28423,40875
32446,28391,40721
32380,28341,40703
32312,28333,40524
32336,28349,40311
32404,28390,40309
32476,28436,40180
32504,28485,40113
32520,28508,40001
32496,28486,40023
32448,28463,39764
32384,28415,39853
32320,28379,39494
32316,28371,39613
32372,28383,39450
32493,28435,39420
32584,28470,39277
32692,28519,39373
32808,28535,39172
32898,28510,38976
32956,28484,38980
32982,28462,38875
33036,28401,38775
33252,28401,38708
33648,28423,38556
34066,28455,38372
34476,28503,38332
35100,28549,38116
35936,28567,38117
36860,28550,37958
37988,28513,37921
39168,28481,37785
39988,28430,37652
40656,28420,37399
41248,28452,37591
41508,28477,37430
41500,28519,37229
41160,28567,37140
40132,28591,36893
38490,28581,37055
36152,28561,36909
33957,28528,36785
32212,28495,36647
30629,28479,36389
27948,28516,36543
25116,28571,36416
23601,28615,36295
23592,28673,36199
24396,28679,35959
25493,28657,35983
26509,28612,35783
27354,28567,35941
28137,28532,35777
28864,28508,35543
29540,28533,35692
30094,28564,35558
30628,28609,35352
31137,28647,35348
31464,28661,35189
31716,28645,35188
31972,28623,35229
32128,28581,35053
32184,28537,34972
32272,28519,35005
32365,28542,34890
32414,28579,34885
32464,28632,34713
32557,28677,34727
32652,28679,34663
32653,28663,34439
32586,28639,34469
32556,28596,34449
32522,28559,34239
32524,28548,34308
32528,28563,34174
32633,28612,34180
32704,28644,33972
32804,28701,33961
32812,28702,33864
32848,28690,33903
32840,28653,33884
32832,28628,33695
32780,28571,33745
32712,28567,33761
32788,28585,33564
32850,28624,33665
32877,28667,33629
32942,28719,33454
32992,28716,33503
32973,28711,33476
32940,28678,33333
32932,28636,33349
32858,28594,33189
32856,28585,33285
32908,28604,33241
33008,28647,33047
33036,28679,33124
33136,28729,33003
33152,28743,33045
33172,28731,32879
33116,28695,32844
33072,28661,32892
33028,28615,32679
33072,28605,32737
33130,28620,32738
33188,28661,32525
33238,28700,32647
33372,28754,32504
33376,28763,32535
33324,28745,32432
33264,28711,32373
33198,28668,32276
33176,28622,32201
33148,28614,32253
33140,28647,32274
33188,28677,32145
33292,28717,32164
33423,28762,31989
33520,28772,32013
33508,28753,32069
33448,28722,31860
33364,28679,31968
33306,28632,31935
33252,28632,31751
33321,28654,31780
33440,28689,31806
33565,28720,31599
33740,28773,31652
33800,28789,31662
33760,28773,31445
33753,28729,31577
33684,28690,31490
33568,28643,31324
33594,28646,31361
33661,28662,31276
33808,28690,31323
33876,28740,31239
33972,28789,31257
33996,28805,31125
33944,28783,31117
33880,28743,30948
33852,28711,31028
33802,28665,30906
33749,28658,30991
33728,28678,30945
33784,28719,30896
33856,28747,30852
33908,28799,30646
33876,28809,30719
33804,28796,30625
33702,28759,30614
33600,28714,30508
33460,28679,30594
33440,28676,30536
33444,28689,30393
33497,28731,30405
33540,28757,30353
33600,28823,30233
33629,28836,30316
33541,28815,30276
33376,28783,30086
33281,28743,30144
33228,28695,30071
33177,28691,30108
33200,28709,30024
33236,28754,29903
33284,28787,29959
33300,28836,29927
33268,28848,29742
33172,28831,29839
33044,28791,29657
32904,28759,29729
32741,28719,29583
32656,28706,29640
32692,28733,29492
32708,28766,29559
32700,28807,29468
32704,28863,29470
32670,28859,29403
32572,28847,29358
32452,28807,29253
32337,28763,29294
32200,28727,29145
32116,28727,29204
32093,28741,29185
32208,28783,29045
32192,28828,29077
32182,28871,28935
32140,28883,28988
32088,28859,28845
32020,28825,28908
31934,28793,28800
31820,28751,28845
31740,28743,28788
31749,28775,28765
31836,28797,28607
31832,28838,28650
31878,28887,28598
31880,28895,28575
31808,28870,28466
31744,28843,28511
31720,28807,28372
31680,28751,28433
31636,28761,28319
31712,28775,28389
31820,28807,28251
31900,28852,28340
31956,28896,28218
31908,28905,28268
31916,28885,28260
31952,28842,28196
32009,28814,28197
31989,28766,28157
31981,28764,28148
31976,28775,28037
31990,28820,28068
32076,28871,27967
32228,28913,28004
32262,28921,27998
32236,28892,27849
32236,28865,27911
32252,28823,27848
32244,28777,27875
32292,28773,27861
32334,28791,27798
32412,28823,27797
32512,28875,27685
32572,28917,27746
32596,28921,27668
32520,28903,27703
32449,28871,27648
32336,28837,27673
32273,28793,27624
32306,28775,27551
32332,28801,27593
32456,28849,27576
32613,28889,27461
32720,28933,27525
32704,28935,27540
32597,28912,27507
32536,28883,27491
32476,28844,27382
32476,28807,27450
32497,28794,27356
32484,28815,27424
32580,28855,27405
32660,28898,27304
32688,28943,27373
32650,28961,27333
32573,28933,27310
32532,28899,27325
32552,28861,27296
32515,28815,27333
32476,28812,27313
32441,28833,27300
32488,28871,27236
32601,28913,27255
32650,28955,27214
32636,28972,27241
32621,28946,27143
32532,28911,27209
32472,28871,27113
32396,28829,27210
32354,28820,27189
32384,28850,27159
32408,28887,27177
32452,28924,27175
32548,28972,27167
32504,28986,27116
32433,28964,27143
32408,28924,27104
32360,28879,27135
32256,28838,27102
32186,28831,27128
32236,28855,27132
32360,28884,27132
32496,28935,27127
32576,28990,27130
32602,28997,27055
32580,28969,27121
32484,28924,27038
32368,28899,27106
32245,28859,27058
32176,28844,27098
32216,28870,27036
32292,28909,27100
32352,28951,27132
32476,28991,27128
32568,28999,27118
32524,28978,27092
32464,28940,27137
32388,28903,27106
32308,28863,27182
32292,28861,27188
32420,28876,27190
32548,28916,27205
32572,28959,27186
32585,28999,27225
32641,29011,27141
32637,28994,27236
32580,28959,27238
32528,28917,27279
32457,28873,27239
32484,28861,27268
32613,28892,27252
32669,28928,27317
32793,28975,27348
32855,29021,27357
32856,29020,27358
32782,29006,27311
32772,28965,27367
32793,28927,27301
32752,28885,27383
32684,28883,27332
32708,28905,27428
32789,28935,27452
32828,28991,27429
32909,29031,27461
32952,29028,27391
32924,29020,27509
32938,28987,27517
32940,28935,27463
32884,28903,27524
32817,28900,27469
32876,28904,27555
32980,28952,27527
33054,28994,27580
33036,29039,27495
33005,29055,27619
32896,29031,27640
32740,28988,27601
32668,28945,27647
32608,28909,27616
32556,28911,27677
32548,28935,27704
32604,28977,27661
32620,29009,27720
32736,29060,27628
32848,29061,27743
32896,29044,27789
32831,29007,27695
32700,28973,27802
32514,28933,27735
32464,28918,27844
32501,28951,27767
32548,28982,27884
32604,29027,27869
32644,29075,27855
32724,29079,27932
32684,29055,27864
32600,29026,27974
32520,28991,27976
32429,28948,28049
32380,28944,28065
32416,28962,27988
32518,29004,28087
32568,29050,28095
32660,29095,28158
32684,29095,28135
32680,29070,28197
32592,29047,28227
32457,28980,28178
32428,28959,28273
32472,28951,28247
32524,28977,28317
32676,29019,28253
32736,29059,28341
32733,29101,28282
32748,29102,28423
32716,29085,28430
32724,29052,28436
32776,29007,28399
32968,28974,28485
33111,28965,28508
33228,28997,28503
33408,29031,28525
33780,29073,28437
34208,29108,28545
34645,29124,28567
35108,29095,28576
35740,29062,28465
36524,29012,28604
37604,28975,28630
38948,28972,28616
40200,28973,28580
41176,29031,28621
42020,29063,28654
42604,29103,28585
42694,29113,28660
42508,29107,28623
41636,29069,28656
40164,29034,28551
38024,28993,28645
35672,28999,28551
33924,29031,28650
32216,29073,28652
29741,29126,28667
26353,29201,28705
24024,29213,28634
23288,29186,28715
23780,29133,28673
24828,29095,28679
25836,29061,28733
26756,29041,28679
27676,29063,28762
28528,29098,28715
29249,29127,28752
29884,29177,28658
30360,29181,28790
30768,29148,28711
31132,29113,28807
31377,29071,28759
31640,29036,28853
31888,29033,28825
32096,29057,28898
32296,29087,28844
32484,29140,28926
32544,29191,28885
32582,29172,28919
32612,29170,28951
32548,29126,28839
32500,29086,28935
32496,29053,28908
32541,29047,28906
32620,29071,28953
32728,29114,28880
32796,29153,28964
32856,29198,29025
32912,29205,28990
32908,29175,29031
32840,29141,28933
32792,29092,29063
32732,29063,29057
32756,29054,29127
32808,29077,29101
32900,29120,29184
32945,29172,29167
33053,29214,29229
33148,29210,29191
33176,29191,29248
33145,29155,29201
33044,29113,29308
32997,29069,29303
32960,29070,29237
32989,29103,29370
33060,29132,29367
33136,29177,29279
33240,29228,29357
33260,29231,29332
33228,29207,29302
33208,29165,29403
33216,29127,29409
33132,29090,29273
33068,29085,29376
33092,29111,29405
33152,29149,29263
33292,29188,29428
33424,29233,29407
33504,29239,29307
33520,29212,29412
33456,29176,29295
33337,29130,29433
33272,29105,29332
33248,29101,29397
33247,29124,29389
33316,29151,29317
33454,29197,29408
33608,29244,29452
33672,29239,29308
33660,29223,29400
33589,29183,29375
33524,29146,29405
33532,29109,29393
33532,29100,29359
33612,29130,29285
33716,29167,29301
33860,29214,29398
33980,29248,29357
34044,29256,29387
33956,29233,29247
33824,29191,29249
33774,29148,29356
33728,29119,29301
33729,29113,29231
33792,29137,29183
33936,29176,29224
34022,29215,29247
34124,29259,29252
34081,29260,29108
34068,29245,29189
34113,29202,29151
34140,29161,29142
34032,29131,29140
33945,29124,29171
33920,29154,29004
33952,29190,29109
34092,29228,29124
34168,29275,29005
34132,29281,29071
34016,29255,28942
33888,29217,29033
33812,29179,28988
33708,29135,29038
33788,29135,29026
33912,29164,28892
33924,29201,28973
33900,29247,28828
33912,29292,28912
33904,29292,28815
33764,29271,28907
33624,29239,28861
33520,29191,28898
33423,29148,28893
33376,29148,28861
33396,29183,28769
33428,29218,28751
33437,29256,28769
33509,29297,28662
33516,29303,28748
33388,29276,28679
33360,29253,28654
33204,29207,28663
33068,29173,28537
32940,29169,28632
32920,29200,28564
32988,29236,28604
33061,29284,28521
33088,29317,28549
32938,29324,28457
32761,29303,28503
32680,29270,28489
32620,29227,28436
32517,29181,28431
32368,29191,28292
32310,29220,28406
32348,29260,28382
32334,29311,28257
32310,29348,28308
32208,29350,28261
32068,29318,28291
31881,29285,28285
31752,29245,28147
31698,29215,28225
31692,29220,28166
31692,29246,28228
31670,29276,28214
31728,29325,28082
31836,29362,28196
31880,29369,28185
31812,29332,28103
31724,29314,28129
31661,29264,28033
31640,29227,28137
31644,29231,28124
31670,29259,28052
31652,29300,28092
31740,29351,27976
31828,29375,28071
31836,29390,28013
31736,29349,28063
31704,29327,27983
31632,29281,28039
31596,29251,27952
31596,29249,28045
31764,29271,28008
31933,29318,27895
32076,29353,27986
32148,29396,27946
32161,29399,27980
32164,29373,27977
32156,29341,27951
32180,29287,27941
32165,29257,27836
32165,29255,27909
32224,29293,27883
32276,29319,27842
32365,29367,27893
32488,29415,27839
32512,29413,27863
32484,29384,27783
32441,29348,27850
32382,29305,27749
32384,29274,27846
32372,29275,27820
32405,29309,27711
32532,29332,27809
32628,29385,27799
32700,29423,27697
32713,29423,27781
32732,29407,27768
32712,29362,27668
32668,29325,27725
32600,29303,27687
32594,29292,27718
32676,29315,27679
32802,29359,27728
32888,29396,27698
32926,29435,27615
32828,29447,27681
32744,29419,27701
32632,29386,27647
32538,29343,27644
32497,29306,27676
32520,29305,27623
32548,29340,27651
32656,29375,27556
32708,29429,27622
32712,29460,27556
32708,29465,27624
32670,29441,27545
32592,29405,27628
32476,29365,27524
32417,29335,27636
32396,29335,27634
32468,29359,27533
32525,29393,27634
32546,29442,27575
32584,29479,27620
32588,29492,27561
32564,29469,27624
32524,29429,27559
32416,29381,27634
32304,29349,27558
32284,29350,27639
32312,29378,27588
32408,29419,27662
32496,29475,27584
32562,29492,27679
32648,29503,27654
32668,29485,27711
32644,29442,27733
32544,29404,27694
32414,29358,27727
32374,29365,27639
32284,29396,27745
32336,29431,27717
32464,29493,27724
32533,29521,27793
32544,29525,27732
32517,29496,27783
32444,29462,27831
32392,29418,27783
32384,29385,27809
32380,29383,27845
32420,29407,27849
32484,29463,27839
32536,29504,27897
32576,29543,27941
32608,29541,27884
32532,29518,27954
32432,29484,27888
32420,29439,27988
32500,29405,27912
32588,29407,28020
32680,29430,27956
32680,29475,28069
32700,29526,28060
32744,29566,28132
32796,29556,28147
32821,29535,28164
32742,29497,28063
32676,29460,28211
32584,29423,28220
32632,29429,28133
32744,29455,28250
32840,29492,28193
32956,29545,28292
32988,29575,28237
33072,29573,28316
33013,29551,28319
32968,29508,28389
32901,29469,28350
32816,29437,28426
32742,29447,28396
32714,29460,28472
32804,29507,28436
32848,29553,28488
32836,29589,28460
32793,29583,28535
32704,29575,28471
32620,29540,28589
32482,29497,28569
32385,29458,28633
32420,29460,28583
32551,29487,28701
32689,29528,28701
32796,29575,28774
32852,29611,28748
32801,29602,28828
32712,29575,28751
32585,29551,28871
32480,29511,28799
32396,29479,28928
32392,29476,28931
32408,29511,29028
32428,29548,28999
32480,29587,29062
32648,29623,29030
32740,29629,29166
32716,29605,29210
32688,29575,29124
32552,29526,29269
32456,29496,29301
32416,29498,29220
32434,29519,29381
32444,29561,29413
32485,29615,29317
32564,29649,29447
32612,29644,29457
32548,29620,29506
32552,29585,29550
32476,29541,29548
32508,29502,29598
32556,29509,29676
32548,29543,29575
32592,29575,29703
32712,29631,29670
32840,29665,29789
32869,29663,29851
32972,29636,29801
33080,29605,29860
33140,29567,29849
33160,29527,29937
33288,29532,29927
33645,29557,30015
34012,29590,29910
34388,29639,30057
34852,29673,29953
35544,29668,30058
36404,29641,30139
37444,29607,30008
38720,29559,30165
39792,29525,30202
40676,29527,30162
41448,29551,30237
41924,29591,30127
41956,29649,30243
41780,29685,30317
40972,29684,30313
39640,29656,30356
37664,29629,30351
35452,29588,30401
33788,29568,30289
32156,29569,30452
29924,29604,30385
26536,29671,30444
24060,29729,30441
23290,29765,30567
23732,29765,30583
24752,29703,30552
25920,29689,30597
26838,29631,30573
27693,29588,30652
28468,29595,30697
29252,29613,30629
29910,29659,30780
30528,29693,30838
31084,29731,30831
31520,29719,30780
31848,29694,30940
32012,29663,30950
32080,29621,30862
32162,29578,30995
32265,29581,30933
32428,29615,31038
32538,29649,31028
32665,29703,31125
32838,29732,31151
32812,29727,31218
32800,29703,31101
32756,29669,31237
32740,29628,31314
32676,29593,31300
32724,29591,31292
32776,29612,31383
32880,29667,31349
33008,29717,31310
33088,29741,31456
33120,29747,31500
33085,29703,31468
33016,29677,31639
32964,29633,31617
32912,29599,31615
32904,29604,31767
32940,29645,31772
33016,29670,31813
33104,29713,31889
33156,29756,31819
33140,29751,31791
33145,29719,31940
33081,29685,31943
33048,29631,32058
32996,29611,31943
33016,29613,32124
33077,29645,32112
33157,29673,32196
33232,29730,32093
33312,29759,32127
33325,29757,32263
33276,29732,32239
33201,29693,32245
33116,29647,32316
33109,29605,32212
33124,29613,32221
33228,29652,32263
33276,29680,32373
33392,29747,32429
33440,29759,32381
33464,29757,32457
33440,29733,32359
33388,29700,32421
33360,29661,32529
33270,29612,32533
33268,29632,32586
33396,29652,32463
33504,29693,32617
33557,29743,32626
33645,29757,32551
33692,29764,32663
33636,29740,32698
33528,29697,32591
33480,29655,32772
33496,29623,32692
33588,29624,32804
33684,29661,32669
33796,29692,32849
33888,29733,32835
33988,29766,32719
33992,29772,32775
33956,29743,32866
33878,29703,32856
33852,29659,32903
33888,29628,32767
33909,29631,32775
33972,29662,32892
34046,29702,32954
34104,29745,32800
34172,29787,32940
34208,29769,32932
34164,29741,32951
34092,29713,32995
34028,29667,32845
33984,29628,32887
33964,29624,33019
33996,29668,33013
34042,29703,32908
34100,29760,32980
34165,29778,33001
34156,29769,33039
34116,29751,32951
34036,29703,33052
33968,29658,33005
33873,29632,33116
33856,29636,33009
33844,29666,33092
33838,29700,33015
33902,29755,33137
33872,29789,33128
33796,29791,33010
33720,29757,33069
33652,29716,33113
33556,29669,33143
33462,29639,33181
33428,29645,33030
33420,29681,33065
33460,29716,33156
33504,29763,33185
33518,29793,33026
33464,29793,33136
33356,29769,33173
33228,29734,33141
33053,29684,33141
32904,29654,33140
32856,29655,33159
32881,29687,33168
32852,29725,33012
32828,29780,33145
32788,29812,33175
32745,29804,33133
32593,29774,33121
32460,29735,33132
32292,29697,32983
32172,29668,33084
32140,29669,33140
32173,29703,33119
32192,29741,33053
32228,29791,33116
32224,29828,32985
32152,29821,33036
32036,29791,33078
31901,29748,33048
31792,29703,33102
31704,29672,32980
31637,29685,32969
31664,29722,32974
31746,29764,33087
31788,29806,33111
31832,29826,33084
31876,29839,33029
31800,29796,33031
31708,29765,33167
31670,29725,33133
31588,29687,33029
31616,29701,33200
31670,29733,33165
31789,29770,33061
31880,29812,33210
31988,29855,33188
32028,29836,33101
31992,29809,33229
31916,29780,33207
31873,29735,33159
31826,29709,33149
31858,29703,33266
31936,29740,33340
31996,29786,33260
32068,29823,33284
32140,29855,33359
32181,29849,33223
32180,29821,33357
32192,29793,33314
32150,29738,33389
32188,29718,33265
32252,29724,33261
32380,29750,33444
32489,29791,33364
32592,29845,33361
32660,29868,33437
32665,29865,33287
32648,29842,33308
32604,29801,33486
32544,29764,33411
32504,29735,33486
32501,29737,33347
32584,29766,33463
32624,29813,33525
32693,29863,33451
32768,29890,33524
32798,29878,33393
32740,29851,33404
32652,29823,33577
32608,29773,33538
32588,29743,33444
32600,29758,33623
32628,29786,33557
32712,29831,33618
32765,29884,33484
32808,29899,33671
32820,29903,33644
32816,29860,33671
