ECG,EDA,RR
32225,36381,24519
32412,36332,24598
32264,36300,24584
32164,36244,24761
32230,36244,24658
32292,36241,24759
32324,36292,24778
32404,36343,24822
32460,36403,24834
32429,36388,24887
32516,36377,24933
32492,36343,25007
32304,36295,25052
32428,36255,25111
32516,36218,25133
32428,36263,25164
32612,36312,25345
32656,36343,25246
32712,36391,25333
32804,36410,25325
32756,36387,25461
32704,36346,25491
32716,36306,25448
32648,36260,25508
32580,36252,25581
32553,36284,25621
32590,36321,25630
32586,36356,25675
32605,36412,25709
32788,36391,25764
32781,36391,25955
32764,36356,26003
32636,36293,25984
32612,36270,26003
32764,36268,26024
32804,36286,26182
32804,36327,26226
32860,36359,26228
32937,36417,26228
32992,36420,26301
32964,36399,26361
32928,36359,26375
32929,36325,26471
32948,36260,26576
32916,36256,26567
32922,36287,26620
32932,36316,26657
32940,36359,26665
32992,36417,26732
32953,36421,26795
32888,36404,26814
32958,36349,26957
32889,36316,26900
32708,36271,26997
32732,36247,27015
32640,36285,27138
32696,36332,27143
32908,36359,27157
32665,36421,27205
32637,36425,27285
32544,36399,27309
32492,36359,27341
32431,36316,27410
32272,36273,27489
32453,36263,27463
32377,36285,27503
32332,36323,27540
32408,36372,27548
32472,36391,27602
32500,36423,27692
32562,36396,27668
32556,36359,27703
32440,36317,27740
32441,36271,27761
32436,36269,27841
32448,36279,27903
32450,36309,27929
32437,36359,27953
32468,36405,28023
32472,36411,28036
32474,36390,28069
32413,36345,28098
32312,36297,28128
32260,36259,28189
32284,36246,28252
32272,36263,28284
32393,36301,28287
32492,36326,28332
32544,36407,28364
32505,36402,28387
32440,36367,28479
32436,36341,28476
32208,36295,28504
32116,36245,28532
32152,36225,28607
32156,36261,28646
32196,36295,28678
32276,36311,28706
32516,36385,28722
32624,36392,28754
32712,36359,28775
32852,36321,28841
32900,36261,28849
33164,36245,28887
33320,36228,28901
33776,36240,28943
34196,36289,28983
34669,36341,29009
35225,36378,29039
35940,36364,29057
36884,36343,29047
37700,36300,29065
38288,36248,29074
38405,36215,29098
38228,36197,29132
37868,36231,29135
37065,36266,29141
36272,36304,29149
34973,36369,29180
33400,36383,29191
31772,36359,29191
