ECG,EDA,RR
32452,35492,39015
32696,35511,38823
32882,35586,38990
32976,35581,38973
32964,35587,38895
32901,35551,38917
32862,35503,38759
32837,35458,38919
32768,35445,38788
32784,35456,38875
32876,35495,38702
32980,35518,38865
33085,35568,38845
33168,35605,38692
33125,35580,38818
33056,35548,38733
32961,35514,38815
32808,35459,38653
32637,35452,38781
32632,35477,38791
32784,35501,38780
32908,35543,38816
33081,35581,38663
33276,35605,38831
33300,35589,38713
33157,35558,38629
32984,35527,38744
32848,35463,38684
32748,35463,38607
32748,35473,38610
32880,35503,38655
33020,35535,38736
33164,35591,38565
33372,35609,38662
33416,35591,38650
33376,35557,38661
33060,35526,38472
32792,35484,38598
32736,35463,38575
32809,35471,38605
32924,35508,38449
33076,35543,38575
33200,35589,38484
33145,35591,38393
33080,35591,38441
33060,35548,38535
33076,35528,38502
33048,35463,38373
32961,35463,38449
33021,35445,38547
33148,35493,38471
33256,35553,38518
33389,35589,38365
33496,35623,38509
33512,35596,38452
33520,35567,38317
33457,35525,38444
33420,35494,38412
33352,35463,38447
33316,35476,38279
33396,35485,38429
33500,35549,38336
33620,35572,38380
33704,35612,38241
33693,35590,38353
33624,35575,38331
33544,35527,38265
33394,35479,38276
33245,35470,38143
33308,35470,38260
33452,35514,38239
33636,35557,38111
33789,35580,38144
33916,35612,37977
33948,35572,38095
33853,35565,38095
33672,35532,37963
33500,35460,38039
33374,35468,37851
33376,35479,37935
33466,35511,37860
33596,35556,37895
33738,35609,37728
33877,35617,37727
33786,35606,37841
33661,35559,37719
33504,35540,37774
33328,35495,37607
33257,35471,37703
33316,35477,37716
33520,35519,37593
33740,35550,37625
33668,35599,37623
33636,35614,37529
33585,35602,37535
33332,35569,37532
33157,35535,37383
33080,35485,37507
33072,35471,37457
33057,35479,37364
33132,35517,37333
33268,35558,37319
33408,35613,37372
33413,35628,37240
33336,35607,37244
33206,35581,37285
33181,35546,37253
33017,35495,37189
32880,35477,37063
32868,35484,37148
33008,35519,37117
33160,35564,36956
33288,35612,37105
33368,35620,37030
33316,35615,36899
33120,35569,36984
32936,35535,36893
32712,35495,36810
32524,35478,36929
32504,35487,36887
32544,35531,36860
32644,35537,36824
32764,35611,36719
32788,35623,36693
32632,35619,36749
32344,35591,36629
32188,35543,36645
32109,35511,36649
31980,35490,36501
32032,35479,36526
32204,35520,36450
32400,35565,36508
32412,35612,36455
32425,35631,36343
32376,35623,36468
32348,35582,36423
32249,35559,36272
32160,35519,36368
32104,35495,36249
32092,35500,36351
32149,35513,36316
32232,35567,36165
32396,35614,36287
32564,35628,36290
32528,35615,36205
32468,35585,36213
32397,35551,36093
32250,35497,36223
32156,35475,36145
31972,35499,36034
31944,35535,36119
32152,35567,36136
32408,35613,35993
32512,35596,36033
32508,35626,35932
32386,35587,36052
32164,35555,35996
31993,35505,35902
32008,35456,36004
