ECG,EDA,RR
33145,33470,49989
33056,33445,49972
32904,33411,49984
32780,33351,49980
32676,33348,49991
32616,33349,49945
32620,33391,49903
32736,33444,49936
32808,33491,49902
32848,33516,49882
32789,33493,49951
32680,33466,49908
32584,33436,49709
32492,33383,49959
32448,33372,49951
32448,33373,49920
32548,33410,49896
32629,33453,49880
32640,33511,49914
32724,33527,49806
32700,33520,49716
32644,33495,49880
32532,33461,49861
32420,33403,49765
32336,33380,49862
32304,33401,49767
32337,33431,49751
32408,33472,49695
32492,33535,49641
32528,33548,49543
32500,33535,49486
32464,33503,49764
32404,33471,49749
32337,33415,49703
32260,33391,49687
32260,33414,49711
32324,33448,49693
32384,33488,49671
32464,33543,49652
32505,33575,49625
32532,33569,49620
32385,33526,49543
32412,33483,49596
32284,33439,49590
32220,33428,49447
32316,33426,49287
32454,33476,49325
32556,33514,49273
32673,33565,49537
32833,33589,49492
33024,33567,49472
33095,33543,49492
33149,33492,49477
33388,33457,49452
33744,33440,49399
34149,33463,49336
34640,33495,49287
35420,33525,49204
36416,33574,49149
37580,33599,49436
38892,33573,49444
39844,33541,49217
40400,33493,49448
40804,33446,49348
40948,33424,49415
40612,33455,49221
40280,33492,49415
39440,33543,49456
38052,33604,49428
36128,33631,49420
33756,33637,49420
31805,33612,49409
30376,33591,49476
28736,33535,49453
25634,33536,49517
22945,33573,49401
21761,33563,49316
22072,33652,49557
23136,33695,49551
24518,33715,49524
25756,33687,49541
26856,33639,49623
27797,33605,49577
28648,33541,49499
29366,33535,49671
30032,33550,49639
30684,33582,49729
31232,33628,49668
31672,33687,49535
31996,33716,49781
32229,33697,49725
32376,33654,49839
32428,33616,49821
32400,33575,49816
32400,33556,49754
32476,33556,49624
32536,33626,49919
32680,33663,49901
32809,33717,49823
32882,33741,49924
32932,33730,49892
32884,33692,49799
32860,33652,49903
32820,33598,49925
32828,33599,49854
32864,33620,49879
32916,33639,49953
33001,33694,49983
33088,33748,49921
33116,33772,49984
33164,33765,50020
33074,33716,50073
33032,33684,50055
32948,33637,50055
32936,33631,49980
32941,33647,50089
32988,33685,50108
33052,33732,50133
33181,33795,50181
33228,33799,50092
33184,33799,49908
33140,33743,50228
33045,33724,50220
32992,33663,50164
32928,33661,50228
32940,33671,50213
33004,33727,50148
33054,33759,50175
33154,33823,50236
33264,33837,50156
33292,33812,50036
33256,33782,50247
33202,33751,50246
33156,33693,50244
33181,33700,50180
33224,33696,50137
33336,33735,50124
33424,33791,50196
33516,33851,50204
33544,33860,50183
33528,33850,50201
33492,33799,50105
33440,33772,50084
33348,33719,49949
33404,33708,49863
33436,33724,50157
33536,33769,50175
33552,33815,50161
33636,33864,50137
33754,33877,50054
33836,33863,50150
33820,33825,50084
33752,33799,50007
33636,33740,49951
33632,33736,49836
33776,33749,50076
33900,33790,50085
33988,33830,49780
34056,33868,50037
34116,33895,50012
34117,33884,49941
34100,33847,49781
34073,33807,49637
33988,33767,49911
33996,33735,49879
34016,33767,49839
34080,33799,49775
34192,33860,49732
34272,33912,49751
34296,33927,49620
34223,33911,49649
34108,33870,49623
33976,33833,49588
33816,33779,49577
33728,33772,49504
33764,33793,49415
33796,33831,49400
33836,33885,49408
33888,33932,49383
33904,33938,49332
33860,33927,49282
33744,33893,49175
33632,33851,49013
33484,33812,48930
33424,33783,49127
33452,33812,49103
33548,33844,48977
33509,33900,48943
33504,33934,48941
33486,33959,48903
33370,33937,48918
33248,33909,48832
33109,33878,48740
32988,33812,48692
32897,33799,48751
32884,33828,48716
32928,33869,48644
32932,33917,48572
32960,33964,48423
32908,33985,48572
32792,33956,48502
32620,33923,48451
32468,33881,48391
32268,33834,48414
32125,33798,48372
32116,33848,48269
32108,33883,48057
32108,33927,48260
32136,33983,48153
32132,33996,48095
32032,33975,48135
31928,33924,48061
31833,33893,47876
31792,33859,48004
31784,33842,47973
31800,33858,47943
31764,33901,47868
31752,33945,47790
31888,33972,47748
32009,34000,47764
31994,33971,47692
31913,33938,47661
31785,33887,47623
31760,33850,47544
31752,33843,47483
31776,33870,47367
31808,33906,47285
31818,33946,47393
31900,33999,47365
31940,34011,47325
31972,33992,47279
31928,33951,47253
31848,33921,47164
31756,33865,47111
31756,33859,47069
31828,33878,47056
31896,33909,47012
31948,33960,46996
31993,34013,46904
32088,34027,46764
32088,33995,46767
32076,33957,46711
32085,33913,46689
32068,33868,46592
32052,33861,46677
32012,33878,46655
31968,33897,46613
32029,33964,46586
32162,34029,46485
32260,34019,46471
32340,34003,46468
32300,33964,46361
32280,33918,46271
32188,33868,46167
32172,33865,46061
32192,33893,46008
32281,33922,46215
32350,33967,46190
32436,34005,46124
32440,34020,46047
32404,34007,45982
32334,33958,45946
32277,33927,45909
32213,33884,45932
32256,33878,45891
32313,33885,45871
32372,33936,45776
32456,33972,45726
32504,34023,45727
32508,34013,45717
32456,34009,45669
32381,33951,45575
32358,33925,45591
32332,33881,45529
32333,33876,45487
32404,33895,45500
32580,33932,45492
32693,33981,45447
32716,34020,45421
32676,34039,45385
32624,34023,45309
32541,33975,45157
32512,33932,45061
32525,33879,45260
32470,33877,45236
32480,33903,45213
32568,33957,45184
32652,33980,45073
32768,34031,45049
32800,34039,45000
32780,34013,44981
32718,33989,44968
32665,33927,44929
32560,33901,44974
32512,33890,44949
32529,33910,44692
32536,33957,44657
32481,34005,44716
32524,34041,44724
32536,34049,44692
32464,34028,44703
32432,33989,44711
32404,33941,44721
32300,33897,44687
32268,33893,44647
32346,33919,44607
32437,33959,44544
32496,34004,44616
32468,34051,44360
32444,34055,44396
32357,34036,44308
32288,34003,44287
32228,33959,44503
32180,33905,44373
32184,33908,44451
32232,33927,44423
32252,33973,44422
32272,34007,44376
32320,34055,44335
32342,34055,44287
32276,34041,44308
32112,33997,44263
32024,33964,44039
31940,33917,44189
31864,33908,44223
31892,33941,44156
31956,33951,44210
32036,34012,44191
32120,34063,44124
32232,34079,44007
32176,34028,43935
32008,34015,43900
31880,33967,44149
31878,33921,44039
31916,33913,44000
31912,33947,44023
31982,33981,44015
32084,34013,44009
32196,34063,43974
32184,34079,43948
32096,34055,43957
32063,34016,43948
32100,33967,43948
32136,33927,43908
