ECG,EDA,RR
32496,24368,30203
32500,24326,30327
32436,24296,30181
32314,24260,30327
32292,24228,30326
32316,24245,30388
32428,24274,30359
32440,24308,30321
32464,24364,30430
32492,24375,30335
32520,24377,30501
32528,24327,30353
32600,24297,30498
32488,24249,30554
32392,24231,30433
32484,24243,30497
32576,24271,30477
32656,24305,30635
32710,24363,30631
32696,24385,30621
32612,24364,30553
32493,24328,30727
32466,24290,30795
32516,24239,30789
32568,24229,30846
32662,24245,30681
32732,24268,30855
32825,24305,30742
32933,24359,30828
32968,24381,30818
32993,24359,30932
32908,24336,31036
32812,24283,31095
32708,24252,30956
32756,24231,31108
32940,24233,31093
33056,24271,31209
33072,24313,31220
33120,24359,31293
33208,24372,31364
33152,24360,31356
32980,24327,31264
32864,24285,31506
32817,24237,31508
32812,24231,31480
32852,24235,31554
32980,24273,31572
33108,24305,31668
33144,24359,31586
33136,24367,31714
33052,24365,31661
32904,24327,31887
32800,24286,31748
32728,24250,31941
32644,24228,31834
32556,24239,31990
32600,24273,31965
32677,24311,32105
32848,24355,32037
32837,24376,32186
32797,24367,32141
32699,24329,32378
32624,24293,32391
32540,24233,32477
32600,24220,32329
32708,24233,32436
32704,24279,32447
32684,24303,32609
32724,24358,32692
32752,24379,32764
32716,24350,32859
32652,24317,32871
32544,24285,32865
32444,24239,32976
32352,24233,32989
32376,24227,33106
32484,24265,33218
32648,24308,33228
32704,24348,33285
32812,24359,33359
32822,24359,33481
32796,24317,33479
32592,24282,33583
32568,24234,33620
32596,24219,33736
32576,24232,33745
32606,24260,33858
32653,24297,33709
32760,24349,33831
32740,24380,33883
32740,24347,33995
32679,24311,33991
32668,24289,34164
32711,24233,34124
32788,24213,34215
32964,24226,34158
33121,24252,34497
33304,24293,34500
33573,24343,34537
33918,24359,34549
34256,24355,34500
34477,24303,34808
35076,24273,34823
35808,24222,34823
36736,24207,34932
37972,24209,34836
39188,24255,35091
40124,24293,35170
40788,24373,35297
41300,24359,35129
41344,24347,35349
41106,24303,35248
40588,24284,35534
39540,24239,35417
37984,24205,35697
35980,24230,35564
34192,24255,35724
32644,24297,35776
30900,24347,35924
28053,24372,36034
25328,24346,36068
23840,24323,36048
23732,24281,36223
24421,24230,36264
25544,24206,36343
26593,24212,36434
27612,24255,36516
28520,24287,36597
29396,24333,36573
30032,24349,36743
30496,24327,36692
30869,24293,36783
31237,24247,36913
31502,24207,36910
31688,24191,36999
32041,24207,37020
32372,24237,37060
32612,24281,37214
32832,24318,37237
32868,24340,37293
32841,24320,37345
32801,24287,37402
32697,24247,37537
32620,24197,37319
32680,24189,37492
32777,24199,37556
32848,24236,37631
32916,24279,37763
33024,24327,37485
33092,24327,37764
33052,24322,37745
32972,24281,37877
32908,24255,38022
32876,24193,38018
32866,24189,38109
32920,24199,38036
32981,24231,38175
33096,24252,38279
33166,24319,38287
33232,24335,38345
33260,24312,38279
33150,24289,38348
33092,24239,38414
33048,24196,38445
32968,24189,38524
32984,24191,38637
32957,24229,38623
33096,24265,38713
33084,24304,38399
33118,24327,38677
33133,24309,38505
33132,24265,38810
33057,24237,38799
33044,24185,38934
33036,24164,38878
33156,24198,39007
33152,24215,38690
33256,24261,39068
33294,24305,39005
33372,24323,39100
33376,24300,39063
33380,24266,39044
33298,24224,39047
33250,24180,39159
33216,24173,39300
33236,24174,39004
33310,24208,39253
33404,24247,39341
33496,24301,39010
33597,24308,39269
33636,24295,39295
33592,24261,39383
33526,24226,39519
33452,24159,39442
33400,24154,39385
33448,24165,39463
33616,24207,39508
33608,24242,39625
33652,24276,39340
33708,24296,39445
33688,24276,39631
33624,24244,39580
33566,24223,39608
33609,24165,39484
33538,24151,39605
33620,24167,39684
33648,24196,39620
33680,24233,39605
33797,24288,39489
33844,24295,39582
33828,24283,39633
33816,24233,39628
33661,24198,39716
33600,24157,39504
33584,24146,39599
33612,24164,39680
33678,24186,39656
33736,24231,39673
33856,24264,39564
33926,24287,39548
34022,24256,39639
33824,24234,39632
33668,24199,39729
33600,24148,39641
33544,24133,39615
33568,24159,39449
33628,24167,39493
33792,24223,39461
33825,24270,39552
33676,24277,39534
33468,24267,39565
33452,24233,39567
33553,24189,39574
33536,24141,39655
33348,24137,39525
33236,24140,39553
33216,24183,39548
33228,24208,39457
33296,24263,39485
33328,24281,39463
33276,24258,39495
33236,24225,39445
33100,24181,39471
32960,24132,39442
32929,24119,39494
32988,24143,39500
32960,24171,39511
32932,24217,39588
32956,24270,39193
32960,24265,39389
32924,24251,39426
32908,24220,39487
32766,24183,39572
32648,24145,39191
32556,24121,39525
32492,24133,39444
32548,24161,39356
32592,24206,39343
32606,24253,39324
32544,24257,39389
32480,24240,39377
32336,24213,39269
32269,24175,39287
32184,24130,39300
32196,24109,39255
32292,24135,39303
32273,24159,39077
32288,24206,39300
32304,24253,39001
32200,24262,39363
32002,24232,39234
31968,24200,39004
31948,24165,39284
31832,24117,39165
31910,24103,38919
31912,24124,39300
32042,24161,39167
32076,24197,39087
32184,24250,39269
32260,24252,39092
32284,24239,38900
32240,24199,39166
32188,24161,39076
32160,24104,39128
32096,24109,39024
32116,24119,39097
32216,24157,38984
32262,24196,38980
32292,24237,38907
32300,24247,38836
32164,24228,38962
31944,24192,38871
32040,24154,38663
32080,24108,38937
32057,24103,38841
32140,24111,38743
32236,24148,38726
32312,24187,38504
32456,24228,38825
32444,24244,38716
32452,24213,38512
32525,24190,38788
32444,24162,38581
32276,24101,38388
32236,24093,38789
32301,24105,38631
32372,24140,38587
32446,24193,38500
32512,24229,38615
32501,24231,38573
32400,24212,38628
32349,24193,38497
32376,24151,38239
32492,24101,38588
32428,24085,38503
32444,24109,38470
32464,24146,38428
32360,24183,38435
32392,24220,38396
32512,24237,38301
32406,24213,38293
32378,24178,38343
32384,24139,38380
32304,24093,38244
32253,24086,38072
32244,24101,38279
32408,24137,38239
32495,24166,38148
32426,24224,38087
32544,24231,38053
32552,24204,38085
32448,24181,38005
32264,24132,38023
32132,24100,37814
32085,24084,38100
32108,24101,37975
32208,24138,37915
32384,24175,37892
32393,24221,37799
32468,24231,37736
32456,24204,37556
32316,24173,37705
32237,24129,37612
32200,24092,37701
32292,24084,37682
32414,24094,37753
32444,24135,37631
32412,24169,37621
32500,24216,37559
32492,24229,37565
32424,24208,37477
32332,24164,37495
32304,24122,37245
32252,24094,37311
32276,24071,37268
32280,24103,37255
32313,24135,37215
32356,24164,37143
32456,24216,37168
32496,24221,37065
32460,24193,36999
32448,24159,36912
32377,24118,36802
32404,24089,36828
32370,24067,36785
32204,24081,36719
32309,24117,36561
32332,24165,36565
32492,24210,36293
32473,24207,36541
32430,24195,36423
32408,24146,36412
32415,24105,36268
32396,24068,36093
32320,24066,36109
32364,24079,35927
32452,24117,35989
32540,24156,35676
32592,24201,35737
32544,24197,35554
32456,24184,35556
32493,24154,35436
32364,24109,35493
32224,24068,35175
32229,24057,35297
32349,24081,35261
32405,24103,34988
32533,24150,34991
32576,24207,34927
32592,24198,34679
32544,24182,34710
32496,24147,34594
32461,24099,34567
32460,24055,34191
32420,24049,34214
32356,24066,34242
32460,24111,33900
32628,24147,33942
32744,24179,33709
32876,24191,33744
32881,24156,33551
32876,24131,33519
32812,24097,33389
32820,24052,33365
32772,24047,33175
32752,24060,33111
32816,24103,33076
32877,24151,32952
32940,24173,32866
32964,24188,32609
32942,24172,32636
32844,24129,32414
32832,24093,32407
32830,24053,32217
32828,24050,32270
32892,24059,32055
32924,24093,32020
32869,24144,31900
32940,24177,31852
32980,24191,31726
32964,24162,31716
32916,24132,31577
32780,24095,31581
32656,24049,31487
32620,24043,31480
32648,24061,31300
32708,24085,31355
32752,24133,31141
32736,24172,31133
32704,24182,31008
32684,24153,31127
32656,24119,30892
32532,24089,31005
32484,24035,30902
32464,24031,30884
32592,24044,30791
32752,24092,30675
32696,24137,30647
32852,24172,30467
32796,24175,30490
32692,24153,30493
32624,24127,30316
32505,24069,30343
32428,24031,30208
32344,24023,30212
32496,24047,30268
32544,24077,30073
32580,24118,30197
32676,24166,30117
32588,24175,29948
32448,24142,30034
32376,24116,30019
32356,24063,29910
32318,24022,29851
32276,24015,29781
32344,24046,29759
32432,24081,29797
32558,24109,29808
32649,24163,29636
32636,24157,29760
32710,24138,29729
32664,24103,29543
32509,24049,29697
32412,24020,29621
32452,24012,29485
32596,24029,29628
32560,24071,29601
32844,24113,29447
33014,24161,29478
33180,24157,29499
33185,24135,29540
33188,24093,29340
33324,24065,29454
33632,24011,29412
33984,24005,29415
34412,24027,29375
35112,24071,29463
35956,24099,29367
36956,24151,29401
38062,24142,29317
39184,24141,29423
40176,24079,29415
40884,24055,29305
41480,24007,29311
