ECG,EDA,RR
33450,11451,34744
33320,11459,34697
33393,11444,34580
33548,11432,34493
33380,11429,34324
33068,11398,34324
32816,11395,34599
32136,11401,34612
31529,11440,34593
31808,11485,34488
32216,11413,34693
32329,11423,34504
32764,11423,34278
33016,11415,34554
32508,11421,34563
32180,11404,34524
32092,11397,34436
31940,11391,34436
31812,11394,34506
32044,11422,34633
32240,11434,34581
32852,11424,34497
34076,11428,34484
34796,11428,34368
33404,11408,34370
31012,11412,34633
30252,11383,34365
31020,11419,34669
32029,11429,34670
32537,11406,34719
34216,11410,34749
35988,11426,34729
35896,11434,34689
33732,11421,34700
32020,11434,34946
31064,11396,34988
30780,11397,34976
31404,11369,34866
32480,11383,34906
33416,11390,34823
35169,11423,34841
36240,11412,34849
36332,11416,34863
35524,11450,35079
34720,11427,35044
34276,11447,34916
33912,11348,34973
33572,11350,34985
33314,11356,34704
33140,11369,34964
33220,11378,34976
33484,11393,34967
33592,11395,34844
33748,11391,34908
33652,11390,34836
33268,11409,34899
32729,11409,34898
32349,11439,34842
32480,11343,34724
32728,11356,34810
32768,11375,34917
33248,11391,34721
33932,11402,34758
33468,11386,34695
32508,11429,34850
32505,11421,34743
32456,11327,34478
32288,11331,34692
32188,11333,34695
31893,11348,34615
31756,11380,34679
32124,11391,34349
33196,11390,34657
33952,11401,34649
33354,11441,34509
31652,11327,34758
30732,11316,34681
30560,11316,34508
30948,11342,34644
31652,11345,34655
32156,11376,34580
33296,11393,34758
34428,11351,34404
34684,11339,34656
34348,11324,34733
33664,11326,34642
33256,11323,34741
33572,11374,34860
34440,11303,34689
34686,11317,34776
33893,11348,34693
33128,11423,34740
31974,11333,34836
30292,11330,34882
29388,11332,34620
29508,11351,34852
30485,11281,35012
33044,11285,34832
34744,11310,34925
35512,11331,34857
35556,11386,35069
35182,11326,34836
34850,11319,34964
34300,11339,35012
33724,11316,34900
33536,11375,34999
33432,11265,34852
33784,11279,35051
33696,11302,34908
33868,11313,35009
34836,11357,34916
34148,11400,35089
32444,11300,34989
32482,11298,34728
32968,11303,34981
32549,11279,34926
32108,11286,34967
32122,11284,34969
32160,11330,35008
32304,11358,34897
32304,11292,34758
32452,11320,34860
32660,11333,34884
32672,11362,34935
32880,11265,34743
32972,11260,34849
32640,11290,34735
31512,11239,34934
30636,11256,34756
30896,11271,34481
31476,11317,34758
32736,11370,34660
33740,11277,34860
33936,11263,34809
33520,11251,34660
32800,11262,34712
32136,11255,34724
32281,11244,34662
32380,11318,34673
31612,11252,34757
30720,11262,34613
31312,11266,34390
32584,11261,34689
34058,11246,34695
34536,11239,34684
33864,11223,34688
33268,11212,34618
33244,11217,34657
32920,11235,34732
32141,11252,34504
32188,11280,34674
32744,11329,34663
33252,11251,34663
33752,11248,34593
33728,11234,34695
33820,11231,34587
33940,11232,34785
33704,11223,34624
33892,11238,34652
34080,11308,34628
34346,11239,34694
34400,11276,34653
34412,11348,34517
34676,11238,34728
34608,11247,34346
34016,11308,34595
32980,11193,34463
32088,11206,34717
32123,11238,34495
32732,11243,34260
33470,11296,34566
34144,11244,34460
33936,11237,34669
32888,11236,34560
31982,11244,34404
32133,11228,34548
32308,11214,34549
32288,11244,34528
32724,11303,34640
33416,11213,34481
34108,11233,34352
