ECG,EDA,RR
35892,16610,25668
34097,16517,25712
33428,16529,25805
33484,16560,25827
33817,16521,25796
33760,16576,25618
33272,16567,25668
32886,16604,25660
32160,16637,25760
31732,16568,25709
31716,16589,25818
31436,16519,25669
30301,16537,25877
29904,16503,25841
29985,16532,25689
30365,16567,25844
30516,16567,25724
30512,16592,25919
30392,16593,25902
30584,16615,25933
30630,16536,25941
29884,16531,25808
29572,16556,26039
29556,16505,26017
30068,16543,25880
31060,16535,26052
32178,16565,26092
32148,16591,26022
32092,16567,26032
31484,16561,26033
30780,16546,26236
30140,16501,26214
29740,16511,26118
30016,16489,26217
31264,16525,26305
31952,16565,26361
31592,16615,26341
30836,16566,26400
30657,16567,26291
30777,16585,26516
31072,16516,26468
31172,16517,26372
31788,16535,26606
31980,16481,26572
31628,16532,26468
31544,16519,26680
31428,16543,26686
31764,16565,26732
31964,16561,26759
32108,16589,26676
32244,16519,26805
32249,16495,26783
31293,16487,27025
30768,16522,26924
31108,16492,27204
32036,16529,27242
32514,16565,27312
32208,16633,27330
31400,16550,27348
30968,16545,27620
30200,16565,27718
29464,16492,27671
28982,16508,27919
29228,16475,28041
30232,16498,28108
31324,16557,28256
32672,16524,28255
33668,16565,28372
33108,16591,28601
31408,16527,28660
30336,16521,28788
30021,16539,28800
29868,16464,28976
30017,16476,29056
30564,16503,29190
31388,16500,29236
31684,16542,29392
32024,16604,29544
31952,16548,29696
31360,16559,29624
31012,16500,29937
31284,16501,29825
32120,16463,29873
32404,16482,30011
32440,16564,30100
32452,16517,30232
32489,16581,30169
32856,16528,30237
33021,16548,30396
32614,16586,30372
31624,16489,30404
31296,16484,30391
32068,16480,30648
31880,16503,30480
31880,16463,30808
32356,16503,30828
33238,16567,30803
34944,16521,30906
35813,16524,31118
35404,16522,31088
34460,16514,31055
33696,16524,31124
32992,16447,31085
31548,16466,31404
30961,16484,31232
31136,16484,31519
31748,16532,31524
32174,16573,31713
32660,16542,31690
32388,16554,31772
30657,16485,31973
30030,16480,32129
30684,16465,32158
31344,16477,32113
32440,16544,32117
34220,16474,32508
35316,16516,32510
34500,16540,32500
33540,16575,32556
33284,16508,32784
33196,16489,32784
33188,16509,32953
33064,16443,32996
32372,16464,32871
31412,16519,33197
30872,16484,33232
31200,16517,33358
32284,16505,33348
32936,16511,33524
33156,16546,33597
32969,16469,33604
32784,16452,33628
32185,16479,33568
31428,16427,33999
31168,16463,33964
31592,16500,33952
31924,16485,34253
32764,16515,34174
33068,16551,34166
33324,16481,34477
33536,16481,34405
33376,16436,34245
31990,16436,34567
31008,16449,34623
31448,16430,34724
31992,16500,34801
32368,16480,34593
33140,16497,35024
33476,16511,34926
33440,16543,34783
33768,16448,35133
34272,16431,34927
34113,16477,35248
33732,16427,35225
34316,16453,35436
35260,16497,35135
35806,16579,35527
34696,16482,35232
32792,16504,35604
31476,16517,35488
30944,16449,35660
30644,16431,35735
30532,16460,35829
30920,16407,35829
30908,16445,35577
30713,16435,35983
31124,16475,35880
31624,16494,35725
32280,16484,36064
32622,16519,35872
33096,16438,36282
33748,16422,36180
33492,16454,36009
33280,16396,36452
32672,16429,36286
32656,16429,36456
32866,16518,36517
32776,16497,36608
32384,16549,36652
32421,16470,36556
32044,16493,36868
31546,16407,36788
31364,16414,36860
31312,16453,36960
31464,16412,37057
32104,16470,37060
32800,16448,37053
33764,16485,37292
33973,16521,37127
33784,16453,37312
33204,16452,37353
32165,16425,37367
31736,16434,37417
32376,16390,37405
34184,16391,37407
34332,16433,37661
32892,16466,37673
31621,16486,37804
31272,16509,37718
31332,16440,37723
32304,16430,37685
33208,16451,37850
32712,16378,37844
31096,16391,37848
31532,16404,37624
32676,16455,38080
33056,16436,37956
33132,16502,37686
33148,16451,37973
33024,16448,37973
33084,16465,37830
32706,16385,38191
32316,16397,38085
32024,16414,38000
31372,16385,38192
31264,16423,38081
31904,16472,37859
33044,16442,38196
33992,16440,38084
33636,16430,38089
32660,16426,38033
32002,16431,38086
31660,16365,38028
31464,16374,38125
31796,16403,37985
32428,16460,37910
32592,16421,37948
32193,16460,37953
31984,16433,37603
32476,16443,37972
32728,16463,37836
32566,16427,37871
32396,16356,37810
32268,16377,37700
32268,16370,37834
32981,16413,37632
33838,16417,37625
34400,16455,37532
34288,16519,37677
33876,16422,37487
33196,16432,37380
32620,16371,37528
31960,16366,37348
31404,16349,37175
31636,16380,37370
32228,16430,37172
32748,16410,37072
33080,16439,37220
32792,16423,36982
32805,16420,37001
32992,16452,37044
33172,16364,36871
34240,16399,36815
35200,16356,36756
36524,16410,36901
37032,16375,36719
35256,16437,36644
34164,16421,36770
34177,16430,36519
33820,16409,36581
32183,16409,36453
30744,16354,36554
30288,16375,36508
30152,16342,36411
30308,16372,36094
31428,16375,36372
32120,16418,36223
33636,16413,36294
35252,16434,36196
35668,16460,36292
34768,16373,36216
33428,16369,36169
32176,16415,35981
30948,16334,36200
30632,16367,36098
31000,16423,36017
31208,16397,35953
31672,16428,36036
32548,16401,35929
33344,16412,36022
33716,16458,36053
33436,16367,35888
32857,16386,35588
32160,16325,35880
31808,16338,35837
32044,16376,35760
32356,16479,35717
33064,16402,35718
33704,16415,35732
33812,16459,35532
33800,16375,35645
34316,16404,35521
33808,16323,35677
32372,16327,35559
32361,16373,35525
34057,16348,35432
36008,16386,35318
37504,16424,35530
37940,16380,35372
36040,16400,35273
33149,16404,35244
30672,16332,35276
28830,16324,35345
28292,16363,35263
29268,16328,35224
30556,16356,35113
31528,16421,35158
32088,16385,35144
32272,16406,35028
32456,16402,34981
32448,16350,35069
32668,16348,34957
33128,16359,35113
33006,16307,34980
32756,16343,34893
32668,16393,35076
32612,16360,34857
32144,16391,34777
31824,16408,34998
31680,16367,34828
31664,16390,34823
31845,16316,34796
32353,16340,34764
32800,16297,34640
33752,16324,34726
34796,16326,34652
34972,16387,34813
34140,16413,34708
33668,16377,34596
33312,16378,34670
32217,16388,34653
31524,16314,34565
31293,16316,34567
31341,16372,34602
31544,16324,34599
32036,16388,34708
32712,16371,34533
33272,16420,34550
33576,16372,34473
33528,16372,34591
33240,16389,34527
32796,16309,34356
32664,16321,34608
33156,16289,34468
33281,16327,34190
33420,16369,34577
33044,16346,34428
33116,16367,34346
32812,16386,34436
32804,16346,34409
33336,16345,34214
33472,16359,34444
32677,16289,34384
32266,16308,34277
31916,16288,34366
32548,16325,34337
33576,16356,34455
33996,16416,34343
34500,16348,34370
33508,16357,34300
32724,16332,34356
33016,16326,34303
33012,16272,34357
32636,16287,34269
32804,16326,34229
33016,16298,34188
33304,16349,34137
33244,16375,34364
33060,16408,34250
32984,16325,34236
33308,16324,34240
33152,16279,34204
33096,16290,33991
32585,16301,34361
32352,16279,34265
32244,16309,34271
32108,16381,34199
31949,16345,34020
32404,16397,34376
33050,16341,34244
33172,16389,34295
33092,16300,34238
33616,16323,34180
33753,16261,34023
32798,16290,34404
32660,16348,34287
32860,16318,34177
32752,16383,34254
31780,16330,34251
30420,16326,34020
29928,16317,34255
29148,16289,34038
28436,16300,34376
28525,16249,34297
29476,16273,34215
30816,16300,34260
32401,16324,34244
33628,16381,34172
34948,16324,34020
35912,16306,34404
36401,16311,34294
36281,16274,34311
37152,16317,34228
37696,16244,34185
37572,16263,34201
37808,16303,34133
38028,16324,34145
38280,16392,34199
38724,16316,34311
38988,16304,34191
39656,16316,34256
40080,16281,34155
40448,16322,34228
40004,16243,34088
39624,16287,33952
39468,16351,34149
39028,16289,33808
38484,16337,34153
38912,16300,34084
39464,16318,33997
39744,16290,33988
39128,16318,33904
38036,16328,33905
37172,16228,33879
36608,16247,33820
36432,16275,33985
36772,16356,33969
36428,16298,33980
35684,16331,33941
34252,16313,33912
33285,16309,33884
33232,16331,33744
32886,16225,34100
31772,16233,33988
30740,16278,33791
31465,16333,34143
32608,16277,34060
32245,16321,34116
30728,16340,34041
29736,16288,33870
29616,16287,34175
30008,16266,34119
29788,16272,34180
29198,16219,34128
29436,16247,34048
29928,16276,34096
30432,16332,33870
30200,16300,34220
29648,16316,34116
29244,16334,34070
29200,16276,34181
29484,16257,34172
29388,16263,34284
29686,16213,34191
30508,16228,34223
31576,16261,34173
32244,16328,34109
32340,16287,34197
32245,16307,34183
32157,16297,33941
31620,16272,34208
31452,16263,34080
31245,16205,34220
31080,16210,34228
30913,16231,34112
31128,16293,34208
31300,16269,34135
31268,16290,34092
30584,16332,34044
30144,16269,34250
30304,16265,34231
31660,16272,34128
33252,16197,34197
35496,16217,34228
36040,16252,34199
33676,16224,34126
31852,16289,33940
31137,16268,34285
30720,16291,34151
30277,16318,34216
30044,16239,34149
30040,16230,34100
30056,16248,34175
29872,16194,34192
29952,16232,34166
30776,16219,34161
31437,16263,34183
31440,16285,34140
31242,16324,34085
31093,16250,33990
31288,16249,34092
31368,16270,33998
31398,16202,34101
30988,16211,34052
30937,16192,33953
31712,16228,34055
32444,16292,34007
32765,16263,33916
33068,16295,34092
33352,16247,33837
33568,16250,33941
33316,16276,33852
32184,16190,33865
31532,16209,33925
31685,16188,33880
32324,16225,33821
32884,16281,33872
32668,16252,33696
31848,16266,33904
31292,16286,33749
31384,16233,33798
31832,16226,33836
32444,16176,33744
32350,16188,33909
32505,16266,33693
32925,16212,33830
33404,16295,33740
34316,16247,33820
35384,16268,33827
35396,16237,33733
34308,16243,33804
33524,16195,33807
32220,16190,33664
31988,16245,33888
31800,16195,33744
32440,16233,33799
32944,16220,33540
33168,16254,33888
33576,16248,33764
33381,16247,33846
33092,16220,33647
32133,16214,33892
31572,16220,33908
32572,16166,33917
34382,16186,33701
34588,16290,33900
33248,16237,34032
32441,16306,34055
32364,16255,34064
32092,16271,33997
31944,16217,34189
32220,16207,34055
32216,16244,34175
31246,16169,34188
29916,16211,34204
29076,16260,34025
29370,16216,34154
30344,16244,34166
31888,16269,34354
32980,16224,34240
33009,16225,34389
32814,16217,34397
32940,16164,34346
32132,16184,34471
31840,16252,34464
32496,16196,34276
33552,16213,34480
33928,16249,34408
33724,16302,34567
32924,16229,34578
32353,16225,34463
31952,16253,34604
31400,16169,34612
31256,16174,34655
32660,16185,34750
33816,16276,34660
33688,16229,34614
32896,16252,34596
33044,16289,34433
32848,16225,34711
32088,16229,34564
31486,16177,34718
31092,16175,34596
30446,16207,34841
30345,16165,34688
31360,16200,34505
31228,16265,34844
31340,16245,34673
31852,16266,34580
32036,16220,34841
32264,16221,34733
32404,16203,34800
31936,16229,34672
31044,16153,34487
30644,16176,34744
31448,16247,34653
32237,16205,34583
32092,16244,34526
31848,16285,34522
32018,16223,34724
32104,16217,34548
32248,16223,34526
32540,16152,34493
33060,16164,34471
32948,16186,34432
32656,16255,34320
32560,16206,34533
32357,16243,34511
32135,16316,34593
32468,16244,34410
32872,16253,34495
33280,16175,34484
33380,16173,34407
32205,16209,34200
31688,16161,34556
31809,16196,34412
32132,16202,34144
32324,16244,34480
32456,16229,34260
32166,16234,34377
31944,16203,34255
31748,16196,34436
32244,16202,34317
32821,16149,34167
32576,16201,34310
31632,16174,34157
31776,16220,34196
32968,16213,34038
33628,16279,34074
33142,16236,34129
32732,16261,34200
31776,16188,33973
31968,16211,34060
32644,16155,34022
33288,16149,33743
33064,16191,33956
32448,16191,33967
32780,16253,33832
33212,16216,33876
32292,16225,33642
31768,16191,33735
31900,16178,33890
32100,16145,33663
31789,16162,33733
31620,16148,33447
31904,16178,33622
32520,16190,33749
33500,16228,33605
34088,16264,33319
33856,16211,33652
32704,16204,33460
31808,16164,33501
31688,16149,33457
31704,16180,33332
31928,16139,33400
32292,16171,33290
32456,16268,33474
32388,16225,33228
33128,16207,33325
34076,16217,33044
33428,16183,33196
31988,16204,33217
31744,16141,33316
32388,16167,33078
32888,16135,33189
33152,16185,32919
33652,16169,33135
34481,16234,33031
34708,16202,33111
34168,16217,32841
33188,16178,33013
31968,16163,33148
31664,16206,32945
31300,16136,33002
31008,16180,32886
31372,16143,33077
32408,16192,32936
32924,16245,32688
33512,16199,32978
33952,16211,32881
32784,16174,32790
32568,16174,32900
33504,16196,32849
34188,16126,32749
34140,16164,32772
33037,16142,32825
32052,16180,32728
32008,16276,32892
32660,16195,32792
33124,16209,32664
33952,16168,32837
34228,16164,32707
34194,16180,32495
33637,16121,32602
32788,16181,32708
31960,16135,32544
31433,16178,32649
31268,16181,32628
31976,16208,32565
32364,16237,32528
31973,16165,32489
31744,16160,32405
31448,16187,32628
31676,16119,32595
32164,16155,32592
32624,16132,32494
32664,16164,32566
32792,16233,32679
33200,16180,32574
33324,16184,32463
33160,16213,32532
32824,16140,32544
32568,16121,32493
32368,16159,32549
32532,16124,32482
32560,16164,32391
32640,16151,32394
32800,16190,32452
34404,16235,32313
35680,16181,32516
35330,16229,32262
34192,16147,32368
32733,16164,32232
32960,16105,32228
34232,16098,32352
33592,16153,32276
32484,16146,32197
32168,16192,32191
32710,16174,32149
33136,16180,32110
33420,16213,32136
33648,16140,31914
33924,16172,31996
33368,16113,32125
32412,16157,31924
32018,16112,31868
31968,16162,32077
31988,16160,31853
32256,16189,31934
32620,16158,31879
32781,16174,32001
33225,16138,31908
33508,16088,31719
33616,16092,31792
32944,16092,31785
32929,16121,31596
32328,16135,31825
32492,16176,31697
32856,16235,31727
32256,16165,31652
31952,16182,31580
32352,16116,31666
31702,16105,31576
31365,16142,31585
31232,16096,31616
31552,16129,31701
31812,16125,31589
31524,16164,31449
31856,16164,31596
31804,16169,31485
31800,16132,31280
31516,16119,31432
31377,16089,31572
31388,16093,31356
31840,16077,31440
32248,16146,31281
32192,16132,31473
32380,16167,31399
33412,16236,31279
34342,16151,31308
34488,16181,31367
34020,16104,31236
33464,16127,31412
33136,16071,31181
33452,16108,31303
33748,16100,31107
33892,16181,31264
33772,16161,31360
33788,16148,31200
34156,16163,31239
34616,16128,31136
34400,16176,31304
33192,16097,31122
32044,16070,30988
31724,16087,31292
32197,16149,31190
32848,16112,31252
32746,16163,31168
32628,16204,31124
32772,16139,31062
32844,16137,31143
32668,16191,31018
33316,16074,31072
33830,16097,31102
33972,16069,30961
33710,16106,31023
33428,16186,31038
33036,16153,30900
33884,16205,31062
34536,16137,30930
33456,16148,30970
33008,16091,30789
33016,16092,31000
32652,16106,30886
32480,16062,30654
33584,16096,30925
33921,16108,30808
33356,16151,30668
33312,16192,30844
32636,16137,30773
31896,16134,30544
32296,16088,30800
33832,16077,30709
33928,16119,30485
32796,16084,30604
31920,16164,30723
31941,16113,30612
32228,16123,30617
32437,16153,30564
32316,16180,30470
31546,16111,30382
30416,16085,30485
29728,16073,30336
29606,16100,30625
30204,16065,30488
31295,16099,30294
32576,16094,30564
33808,16141,30444
34504,16173,30353
34700,16123,30532
34300,16122,30412
33844,16150,30296
34112,16074,30447
35300,16116,30342
37448,16070,30354
39828,16158,30111
40132,16117,30374
40240,16188,30244
40660,16148,30037
41468,16183,30328
42508,16099,30224
43016,16108,30096
42508,16164,30212
41416,16044,30144
40576,16069,30069
40252,16052,30197
40468,16151,29976
41144,16130,30079
41688,16212,29839
40940,16124,29976
40132,16193,30052
38912,16091,30000
37996,16098,29864
37536,16036,29838
36904,16057,29758
36396,16141,30033
35860,16100,29908
35276,16139,29747
34664,16116,29970
33882,16142,29892
33312,16134,29720
32778,16076,29894
32500,16084,29876
31924,16047,29860
31036,16081,29934
30044,16068,29959
30284,16128,29926
30636,16108,29900
30852,16138,29841
30268,16110,29959
29720,16115,29840
29918,16125,29822
30180,16049,29872
29796,16076,30009
30652,16039,30036
31904,16105,29831
32305,16080,29941
31808,16121,29744
31356,16168,29968
31085,16110,29801
30708,16101,29916
30056,16117,29788
29692,16048,29869
29592,16072,29985
29836,16039,29764
29976,16069,29868
30268,16140,29660
30676,16110,29730
31436,16122,29818
31784,16166,29815
31750,16092,29680
32234,16096,29818
32948,16038,29774
32496,16044,29660
31964,16049,29729
31808,16103,29572
31232,16070,29831
31252,16100,29717
31204,16134,29588
31008,16178,29812
31380,16081,29684
31736,16074,29736
31628,16095,29612
31528,16021,29782
31494,16041,29733
31417,16039,29730
31284,16074,29566
30672,16151,29796
30816,16112,29703
30672,16111,29580
30672,16076,29726
30976,16060,29676
30952,16043,29708
31212,16063,29591
32584,16014,29583
33660,16047,29708
33276,16067,29713
32376,16138,29703
31868,16092,29580
31760,16116,29766
31178,16065,29644
29972,16065,29692
29872,16079,29548
29960,16014,29762
30316,16050,29561
31040,16025,29644
31272,16065,29508
31144,16129,29687
31432,16090,29573
32088,16099,29414
32288,16117,29668
32100,16039,29535
31796,16027,29347
31944,16007,29408
32013,16028,29477
31808,16076,29476
32044,16042,29380
32824,16091,29460
33740,16078,29230
33924,16095,29439
33540,16112,29333
32924,16050,29380
32593,16057,29232
32248,16005,29416
32072,16015,29297
32036,16075,29137
32004,16041,29191
32004,16095,29319
32445,16165,29284
32124,16073,29153
31304,16069,29277
30748,16087,29264
31392,16009,29126
32976,16002,29309
34084,16023,29216
33916,16012,29037
33412,16061,29239
32984,16109,29137
32596,16079,29238
32424,16098,29153
32044,16050,29126
32268,16048,29261
32708,16003,29132
32488,15997,29178
32840,16001,29070
33260,16028,29180
33678,16084,29205
33375,16052,29298
32960,16070,29332
32888,16109,29287
33088,16040,29190
32687,16040,29396
31944,16002,29254
31028,15997,29166
30848,15984,29301
31320,16004,29356
32308,16046,29319
32312,16048,29282
31976,16084,29360
32188,16113,29300
32288,16044,29278
32084,16034,29191
31872,16044,29486
31556,15980,29399
31512,15993,29399
31944,16060,29394
32360,16009,29372
32678,16068,29342
32368,16073,29316
31912,16092,29351
31276,16036,29319
31136,16037,29356
31004,16025,29240
30720,15984,29468
31216,15978,29340
32016,16012,29503
32588,16012,29452
32732,16046,29369
32404,16070,29368
33216,16048,29318
33692,16036,29580
33584,16027,29530
32636,16045,29472
32220,15975,29540
31916,15986,29423
31616,16017,29580
31636,16071,29404
32132,16029,29494
33180,16064,29430
33804,16091,29637
33312,16033,29638
32824,16023,29569
33120,15996,29654
33740,16031,29557
33900,15985,29716
32496,16020,29504
31484,16071,29764
31760,16028,29740
32126,16054,29613
32896,16127,29728
33248,16036,29764
32832,16028,29887
32102,16026,29796
31624,15965,29696
31368,15983,29748
31028,15991,29641
31328,16068,29959
31728,16039,29849
32244,16068,29703
32980,16033,29940
33360,16038,29852
33268,16021,29770
32417,16060,30084
31688,15985,29918
31228,15964,30042
31420,15987,29906
31840,16043,30176
32000,16020,30061
32253,16054,30215
32324,16036,30130
32217,16039,30240
32880,16061,30349
33884,15970,30308
33780,15974,30320
32812,15984,30357
32608,16042,30564
32556,15991,30615
32444,16036,30564
32809,16101,30678
33316,16034,30792
33024,16029,30876
32512,16041,30916
32172,15969,31024
31808,15974,31012
31724,15975,31000
32620,16024,31137
33784,15988,31100
33612,16033,31151
32656,16096,31148
31688,16029,31438
30952,16036,31443
31008,16036,31510
32224,15965,31540
33226,15964,31376
33684,15952,31745
33184,15991,31625
33408,15986,31770
33804,16034,31724
33800,16066,31751
33796,16046,31879
33268,16021,31736
32516,16001,31946
32456,15999,31894
33224,15942,32028
34408,15956,31932
34989,15963,32229
34936,15991,32252
34152,16010,32292
33758,16068,32120
33906,16017,32494
33552,16023,32369
33285,16072,32254
32620,15974,32656
32260,15991,32592
31988,15947,32686
32132,15968,32736
31920,16002,32811
32280,16068,32825
32528,16016,32866
32692,16029,32922
32132,16044,32926
32037,15981,33026
32066,15969,33004
31990,15966,33000
32044,15940,32927
32356,15975,33272
33156,16037,33185
33576,15996,33160
34288,16031,33131
34464,16005,33252
33840,16018,33180
33056,16064,33185
32292,15966,33300
31604,15978,33268
31112,15933,33268
30852,15954,33222
31288,16013,33324
32360,15987,33337
33352,16025,33395
33700,16006,33287
34476,16012,33240
34612,16036,33285
33360,15946,33287
32304,15988,33300
32032,15932,33224
32520,15989,33210
33068,15967,33277
33344,16047,33478
33628,16010,33340
34452,16049,33115
35480,15990,33374
34888,16023,33398
33112,15940,33375
32676,15962,33348
32412,15924,33308
32704,15973,33356
33132,15955,33241
33120,16010,33372
33072,16060,33366
32796,15997,33364
32440,16025,33218
32036,15964,33345
32304,15964,33268
31944,15929,33256
31072,15924,33215
30836,15949,33284
31212,15996,33255
32076,15977,33250
33160,16014,33173
33584,15991,33244
33336,15988,33222
33534,16013,33148
34284,15930,33063
34812,15932,33172
34164,15972,33093
32968,15928,33081
32500,15969,32908
32600,16039,32775
32469,15986,32865
32408,16007,32661
31932,15974,32965
31737,15967,32576
31948,15941,32815
32536,15964,32725
33492,15980,32797
34724,15927,32684
35096,15958,32711
34900,16070,32612
33712,16009,32535
33592,16028,32510
