ECG,EDA,RR
35900,15385,44220
35384,15406,44312
34440,15382,44368
32992,15374,44308
32460,15361,44220
33040,15346,44303
32752,15332,44236
32548,15382,44212
32808,15400,44264
33200,15445,43984
33600,15447,44156
33552,15462,44144
33272,15460,44241
33416,15445,44240
33904,15417,43924
33966,15385,44241
34080,15362,44124
34448,15361,44052
35136,15379,44167
35652,15369,44028
35844,15389,44122
35640,15403,43783
35240,15449,44048
34920,15413,44036
34432,15409,43976
33637,15390,43884
33256,15356,43967
33264,15365,43951
33596,15441,43933
33879,15435,43808
34452,15422,43540
35416,15424,43741
35860,15445,43849
35617,15421,43508
35244,15394,43796
34822,15396,43735
34016,15383,43744
33040,15381,43624
33172,15382,43655
33925,15397,43623
34032,15423,43527
34108,15531,43572
34060,15428,43119
33552,15418,43292
33400,15483,43344
33660,15454,43332
34148,15452,43188
34344,15386,42848
34644,15395,43044
35676,15406,43097
36616,15428,43072
36573,15440,43079
35780,15436,42902
35208,15428,42797
35252,15416,42704
34812,15405,42720
34912,15396,42733
35548,15397,42222
35964,15410,42428
35888,15431,42381
35436,15457,42341
34733,15471,42375
34584,15480,42168
34668,15473,42220
34568,15450,41584
34244,15428,41892
34064,15443,41404
34000,15457,41830
34364,15465,41477
34852,15506,41521
34752,15528,41412
34560,15514,41407
34452,15516,41439
34524,15544,41196
34988,15442,41133
35568,15432,40966
35772,15446,40952
35596,15443,40829
35904,15451,40892
36332,15479,40791
36608,15495,40748
36536,15493,40572
36364,15496,40534
35940,15496,40608
35648,15469,40465
35392,15456,40518
35208,15448,40064
35240,15461,40188
35301,15507,40032
35260,15543,40060
35072,15479,40036
35160,15485,39940
35576,15493,39982
35436,15488,39933
35980,15481,39840
36656,15476,39844
36860,15466,39943
36564,15476,39777
36040,15493,39824
35480,15495,39536
34968,15520,39528
34588,15523,39552
35156,15559,39519
36072,15552,39620
36272,15607,39517
35308,15465,39551
33888,15458,39461
32772,15460,39544
33036,15495,39380
34281,15500,39509
35296,15538,39333
35444,15583,39351
35504,15505,39238
35496,15498,39185
34744,15517,39052
34166,15500,39084
33992,15538,39165
33572,15472,39060
33776,15508,39017
34620,15516,38887
35064,15543,38687
34736,15573,38989
34020,15604,38898
33294,15516,38999
32968,15505,38828
32760,15500,38773
32544,15516,38636
32516,15545,38501
32693,15585,38668
32833,15615,38509
32600,15521,38542
32572,15546,38237
33132,15532,38498
33868,15532,38388
34376,15517,38368
34828,15499,38433
35524,15488,38396
36692,15509,38473
37988,15516,38380
39196,15546,38447
39752,15524,38012
39996,15534,38180
40300,15527,38286
40852,15516,38267
40644,15511,38361
39504,15500,37871
39060,15600,38074
39764,15567,38181
40280,15588,38159
40168,15594,38279
39396,15602,38125
38584,15649,38255
38452,15541,38101
39336,15530,38121
39772,15517,38039
40100,15511,38076
40264,15503,38028
40036,15506,38164
40436,15513,38003
40208,15526,38120
38440,15540,37647
37232,15552,37975
36160,15628,37879
34852,15605,37884
33884,15606,37865
33436,15581,37805
33424,15580,37944
32962,15580,37911
32328,15585,38029
32588,15594,37906
32876,15650,38039
32760,15559,37877
32772,15570,37853
32684,15566,37781
32712,15550,37823
32668,15545,37799
32776,15538,37845
32656,15553,37853
33316,15550,37956
34637,15565,37524
34737,15593,37741
34240,15625,37589
33060,15631,37735
31716,15606,37900
31476,15596,37892
31304,15581,37893
31356,15563,37822
32064,15552,37862
32424,15585,37878
32792,15590,37943
32588,15618,38022
31730,15616,37983
31600,15609,38020
31156,15614,37761
30829,15616,37933
30692,15568,38220
30748,15558,37852
30820,15557,38021
31552,15566,38132
32312,15580,38189
32277,15593,38336
31738,15611,38245
31576,15607,38350
31744,15589,38276
32416,15579,38296
32744,15558,38240
32752,15529,38433
32864,15533,38261
32246,15552,38301
31748,15633,38477
32320,15679,37996
33048,15628,38362
33640,15613,38473
33000,15588,38215
32432,15575,38324
31480,15564,38485
31204,15537,38015
32294,15530,38292
33388,15543,38535
33300,15564,38065
33092,15573,38365
32636,15585,38508
32392,15579,38423
32244,15575,38548
32016,15561,38438
