ECG,EDA,RR
33206,10647,33852
32848,10617,33820
32560,10676,33786
32380,10638,33719
32276,10732,33680
32548,10671,33960
32952,10663,33849
33308,10740,33960
33216,10669,33849
32856,10653,33782
32601,10615,33839
32312,10662,33853
32148,10625,33973
32312,10697,33844
32608,10656,33799
33200,10653,33844
33984,10752,33760
34744,10672,33732
34784,10661,33556
33204,10636,33888
31232,10733,33799
30228,10633,33852
30720,10617,33868
32248,10702,33996
33624,10660,33870
34616,10678,33884
34568,10653,33796
33972,10743,33788
33360,10673,33750
33316,10627,33580
33968,10685,33825
34012,10627,33634
32868,10688,33788
32069,10639,33860
32008,10636,33817
33092,10688,33878
34064,10660,33855
33626,10735,33972
33052,10676,33574
32285,10715,33769
31868,10622,33949
31488,10694,33799
31224,10626,33949
31460,10630,33812
32053,10635,33712
32816,10699,33640
33040,10661,33741
32892,10754,33720
32453,10666,33711
32508,10648,33607
33004,10742,33636
32820,10655,33764
31937,10638,33399
31596,10623,33660
31620,10702,33380
31536,10662,33674
31584,10663,33660
31964,10652,33588
32524,10671,33535
32257,10660,33336
31214,10614,33706
30224,10608,33584
29952,10704,33463
30632,10634,33469
32069,10647,33533
32980,10776,33632
32850,10689,33493
31957,10679,33388
31136,10641,33389
30872,10629,33445
31398,10692,33319
32161,10621,33420
32708,10613,33357
32774,10615,33422
32868,10700,33312
32604,10672,33223
32748,10682,33292
32864,10651,33262
33156,10714,33348
32748,10649,33205
31968,10607,33127
31464,10674,33156
31132,10625,32903
31368,10628,33296
32348,10628,33135
33017,10689,33145
33668,10674,33121
33660,10650,32992
33068,10636,33261
32208,10717,33117
31724,10644,33116
31292,10604,33077
31636,10674,33204
31892,10633,33040
32417,10645,32951
32952,10642,33088
33264,10727,33052
32972,10670,33148
32588,10643,32992
31836,10741,32937
31588,10665,32946
31648,10620,32724
31380,10630,33048
31508,10617,32988
32816,10624,32903
33692,10735,33072
33941,10689,32965
33504,10666,33102
32428,10729,32969
31484,10637,33087
31008,10604,32972
31048,10702,32888
31984,10682,32898
33044,10633,32756
33212,10649,32996
32704,10649,32949
32584,10740,32848
33148,10672,33031
33857,10652,32903
33460,10644,32775
33696,10604,33008
33724,10700,32881
32984,10655,32790
32128,10617,32871
32344,10666,32924
32592,10648,32852
32776,10692,32935
32644,10647,32524
32176,10653,32705
31772,10627,32500
31806,10629,32850
32005,10673,32809
32101,10630,32768
32292,10637,32687
32928,10630,32594
33220,10727,32484
33256,10679,32567
33493,10641,32437
33448,10678,32548
32796,10627,32580
31864,10756,32624
31084,10632,32365
31242,10604,32612
31764,10682,32357
32336,10650,32480
33249,10719,32520
34030,10650,32577
33796,10672,32663
33376,10638,32528
32836,10677,32584
32393,10604,32365
32248,10636,32458
32382,10611,32436
33109,10703,32436
33784,10647,32390
33704,10639,32412
33376,10692,32161
33134,10664,32573
32664,10634,32412
32208,10686,32204
32132,10616,32354
32088,10698,32120
32104,10619,32241
32584,10608,32177
32868,10649,32287
33064,10635,32254
33432,10666,32308
33652,10645,32380
33088,10672,32256
32012,10616,32245
31708,10621,32090
31936,10597,32300
31928,10653,31940
32081,10608,32197
32540,10668,31887
32932,10653,32136
33212,10738,31909
33076,10674,31972
32560,10755,31999
32168,10630,32020
32558,10601,31781
32820,10677,32116
32684,10629,32008
32392,10706,32094
32152,10649,31960
32636,10745,31924
34021,10660,31893
34652,10634,31826
34669,10713,31920
33318,10633,31844
32400,10602,31941
32141,10655,31825
32308,10630,31885
33064,10762,31775
33744,10644,31878
33416,10640,31704
33736,10724,31748
34156,10668,31672
33640,10628,31751
32798,10695,31641
32180,10622,31741
32204,10725,31334
32572,10620,31479
32772,10612,31521
33152,10664,31503
33748,10642,31634
33490,10706,31500
32886,10649,31596
32584,10680,31436
32556,10634,31489
32352,10745,31400
32208,10623,31357
32076,10599,31405
31844,10641,31495
31776,10757,31214
32052,10652,31244
32920,10644,31318
33420,10659,31301
33440,10631,31268
33268,10630,31261
32776,10601,31205
31968,10613,31168
31288,10599,31164
30868,10658,31127
31496,10628,31157
32884,10705,31200
34057,10665,31159
34652,10775,31205
34384,10647,31271
33516,10610,31156
32736,10676,31044
31712,10620,31060
31468,10678,31096
32100,10636,31081
33020,10763,31095
33476,10664,31175
33696,10644,31292
33712,10693,31029
33489,10645,31121
33224,10609,31144
33006,10597,31213
32832,10684,31096
32752,10641,31055
32924,10626,31079
33472,10630,31040
33844,10668,31072
33877,10671,31016
33380,10646,31057
32096,10642,31084
31256,10629,31109
31716,10602,31077
32136,10611,31096
32312,10593,31164
32544,10665,31086
32668,10630,31136
32892,10719,31068
33124,10658,31144
33188,10634,31052
33456,10674,31197
33672,10637,31067
33480,10600,30967
32320,10683,30929
31416,10617,31045
30664,10609,31180
30948,10702,31053
32287,10674,31105
33522,10667,31004
33228,10637,30947
33132,10646,31031
32844,10606,31137
32924,10653,30756
32588,10599,30918
32032,10672,30975
31940,10632,30869
32477,10652,30993
33556,10638,31028
34672,10657,30893
34928,10638,30977
34404,10645,31092
33520,10612,30884
32724,10610,30964
32320,10678,30981
32652,10621,30901
32936,10690,30983
33112,10632,31035
33304,10706,30790
33460,10639,30941
33516,10691,31040
33268,10649,30988
