ECG,EDA,RR
32698,45231,23151
32684,45185,22988
32652,45255,23116
32629,45245,23101
32652,45359,23156
32712,45421,23108
32700,45447,23072
32732,45439,23094
32740,45337,23076
32704,45359,23085
32700,45253,22992
32736,45283,23052
32660,45319,22966
32613,45359,22945
32548,45413,23078
32536,45471,23010
32492,45501,22866
32504,45490,23106
32604,45447,22972
32650,45412,22833
32584,45367,23037
32532,45316,22909
32460,45375,22820
32404,45431,23006
32380,45485,22862
32384,45543,22788
32360,45517,22821
32368,45553,22817
32460,45519,22657
32576,45458,22780
32676,45423,22740
32716,45415,22663
32620,45444,22747
32504,45486,22692
32328,45533,22589
32276,45551,22639
32181,45626,22619
32132,45553,22472
32004,45575,22677
31784,45501,22580
31453,45481,22474
31010,45442,22609
30512,45503,22521
30062,45551,22350
29719,45623,22508
29373,45688,22458
29100,45729,22426
28972,45723,22294
28848,45687,22393
28840,45656,22391
29056,45560,22317
29412,45613,22384
29958,45629,22316
30784,45703,22289
31816,45749,22144
33124,45823,22383
34280,45831,22243
34940,45767,22239
35060,45769,22081
34804,45732,22132
34496,45684,22265
34176,45677,22186
33844,45671,22020
33521,45751,22198
33276,45779,22159
33036,45849,21975
32823,45881,22190
32644,45865,22113
32544,45783,22022
32584,45783,22012
32657,45684,22169
32780,45733,22081
32796,45757,22068
32772,45804,21959
32825,45820,22055
32788,45927,22068
32676,45948,22015
32660,45917,21895
32712,45887,22140
32724,45823,22004
32760,45815,22016
32737,45748,21856
32656,45820,22058
32588,45837,21983
32612,45924,21828
32637,45940,22064
32664,46015,21924
32768,45943,21896
32980,45959,21765
33002,45927,21991
33048,45871,21893
33032,45831,21735
32889,45908,21884
32720,45957,21879
32588,46015,21953
32428,46068,21843
32424,46087,21701
32486,46077,21662
32476,46036,21865
32620,45998,21788
32720,45959,21639
32784,45951,21808
32744,45983,21755
32688,46039,21745
32696,46087,21573
32652,46159,21789
32648,46156,21694
32692,46165,21687
32772,46133,21634
32784,46087,21676
32760,46047,21574
32712,46045,21728
32576,46073,21687
32522,46141,21682
32520,46181,21672
32428,46269,21642
32352,46261,21541
32460,46252,21636
32570,46215,21652
32644,46183,21585
32660,46131,21443
32780,46128,21567
32748,46165,21557
32556,46215,21560
32372,46279,21394
32357,46341,21622
32300,46305,21570
32324,46356,21511
32408,46319,21493
32448,46233,21438
32464,46228,21321
32524,46231,21572
32554,46215,21471
32472,46323,21432
32404,46383,21425
32284,46453,21359
32296,46468,21252
32328,46448,21519
32356,46423,21433
32404,46324,21399
32394,46335,21408
32456,46333,21314
32356,46317,21328
32244,46437,21380
32136,46495,21373
32104,46564,21228
32068,46583,21348
32204,46567,21461
32288,46503,21375
32332,46487,21370
32276,46447,21349
32220,46403,21341
32240,46429,21381
32272,46540,21318
32228,46599,21329
32254,46676,21134
32336,46685,21327
32369,46668,21306
32332,46650,21260
32277,46598,21257
32276,46556,21255
32204,46567,21106
32216,46599,21233
32200,46669,21183
32148,46677,21267
32176,46789,21237
32221,46796,21074
32276,46717,21303
32416,46750,21221
32470,46724,21115
32493,46679,21300
32472,46685,21185
32460,46681,21008
32332,46789,21228
32229,46847,21179
32212,46901,21032
32180,46930,21285
32256,46910,21211
32315,46878,21169
32476,46793,21154
32673,46795,21141
32769,46811,20996
32792,46852,21157
32672,46918,21145
32632,46974,21069
32616,47031,20976
32766,47041,21157
32864,47031,21119
32985,46983,21038
33020,46948,21228
33074,46926,21107
33000,46931,20964
32881,46977,21108
32881,47020,21108
32844,47068,21074
32848,47102,21031
32873,47173,20844
32872,47163,21004
32880,47111,21000
32872,47076,20904
32988,47054,21004
33064,46983,20952
33116,47092,20932
33120,47154,20937
33113,47215,20725
33101,47270,20880
33100,47295,20725
33212,47287,20854
33226,47253,20694
33196,47221,20757
33230,47182,20820
33324,47176,20781
33308,47213,20774
33228,47285,20742
33189,47312,20749
33128,47410,20552
33076,47436,20789
33080,47424,20704
33128,47393,20700
33245,47349,20676
33317,47312,20530
33316,47285,20620
33301,47364,20652
33304,47430,20661
33224,47493,20618
33100,47548,20615
33012,47580,20449
33012,47574,20548
33096,47533,20656
33108,47495,20589
33156,47457,20359
33176,47477,20630
33117,47508,20513
33144,47590,20486
33044,47639,20321
32928,47708,20447
32820,47735,20511
32848,47719,20449
33020,47695,20276
33062,47623,20499
33060,47623,20412
33048,47613,20388
33092,47675,20240
33012,47732,20457
32964,47788,20378
32908,47860,20343
32857,47879,20200
32952,47868,20374
32905,47772,20365
32900,47815,20195
32944,47769,20285
32976,47772,20321
32970,47825,20270
32864,47817,20178
32852,47944,20277
32768,48025,20254
32740,47980,20136
32724,48035,20319
32810,47992,20245
32828,47965,20082
32804,47934,20266
32796,47940,20254
32864,47956,20066
32862,48044,20288
32776,48115,20230
32734,48186,20218
32752,48204,20246
32748,48174,20231
32794,48167,20097
32804,48096,20076
32968,48093,20264
32989,48103,20203
32996,48117,20170
32872,48204,20165
32812,48281,20204
32784,48342,20188
32720,48372,20047
32684,48357,20182
32744,48335,20209
32788,48301,20156
32807,48263,20165
32912,48245,20180
32976,48312,20156
33045,48317,19999
33116,48450,20278
33120,48512,20225
33128,48492,20196
32992,48519,20097
32800,48495,19985
32742,48470,20212
32694,48372,20163
32736,48443,20041
32769,48492,20162
32760,48551,20149
32716,48639,20141
32656,48695,20177
32664,48697,20217
32756,48646,20164
32784,48669,20081
32860,48636,20189
32897,48607,20209
32880,48615,20300
32832,48639,20243
32748,48713,20205
32664,48801,20148
32604,48859,20228
32584,48895,20248
32672,48868,20108
32764,48844,20337
32804,48761,20327
32908,48775,20185
32956,48739,20409
32932,48840,20351
32906,48895,20364
33028,48987,20365
33106,49040,20290
33124,49016,20437
33063,49057,20460
32956,49028,20435
32870,48996,20342
32772,48921,20638
32736,48973,20591
32732,49012,20480
32692,49087,20651
32633,49156,20436
32594,49199,20674
32596,49268,20683
32684,49233,20734
32772,49212,20732
32776,49176,20556
32780,49088,20836
32820,49159,20821
32824,49204,20844
32824,49268,20869
32902,49328,20734
32868,49405,20941
32828,49433,21043
32696,49432,20996
32629,49405,21007
32636,49327,21026
32756,49338,21037
32884,49279,20907
32929,49376,20888
32912,49471,21124
32772,49533,21198
32764,49607,21135
32738,49613,20975
32692,49620,21216
32721,49589,21193
32748,49543,21218
32900,49467,21132
32989,49532,21046
32928,49511,21333
32892,49639,21268
32904,49703,21134
32828,49797,21355
32774,49813,21276
32748,49799,21297
32868,49777,21124
32904,49750,21366
32900,49708,21312
32900,49721,21159
32888,49767,21378
32864,49836,21281
32756,49895,21097
32604,49947,21289
32645,49999,21281
32736,49943,21084
32856,49956,21359
32888,49879,21268
32877,49901,21048
32892,49921,21257
32900,49964,21229
32884,50021,21356
32878,50095,21266
32832,50175,21072
32761,50183,21284
32796,50183,21073
32852,50086,21307
32910,50120,21236
32892,50093,21031
32892,50117,21279
32900,50095,21178
32892,50238,21044
32876,50295,21320
32833,50356,21291
32784,50399,21119
32800,50372,21070
32809,50303,21336
32900,50311,21274
32864,50285,21223
32804,50311,21269
32756,50363,21267
32672,50428,21108
32612,50492,21297
32596,50567,21255
32576,50583,21197
32476,50519,21372
32344,50557,21238
32268,50535,21287
31980,50496,21307
31561,50524,21097
31128,50567,21329
30648,50648,21281
30224,50719,21238
29904,50759,21252
29639,50809,21311
29456,50796,21277
29424,50807,21078
29385,50773,21295
29456,50759,21339
29720,50799,21287
30168,50845,21233
30877,50917,21084
31709,50983,21385
32832,51068,21342
33928,51031,21133
34744,51067,21413
35165,51047,21353
35036,51013,21356
34687,50978,21207
34456,50983,21410
34212,51023,21372
34000,51061,21182
33716,51177,21455
33416,51247,21419
33196,51189,21274
33040,51247,21458
32976,51204,21451
33005,51196,21443
33060,51121,21288
33116,51168,21557
33180,51229,21468
33156,51293,21413
33104,51365,21440
33048,51359,21504
33096,51460,21474
33056,51437,21317
33113,51412,21609
33148,51325,21509
33197,51357,21484
33242,51380,21289
33156,51431,21601
33077,51503,21500
32988,51564,21448
32948,51625,21539
32918,51666,21511
32918,51573,21284
32956,51623,21506
32989,51591,21520
33048,51575,21470
33049,51573,21443
33004,51571,21249
32996,51660,21431
32920,51751,21455
32820,51822,21296
32744,51865,21175
32740,51863,21254
32782,51836,21463
32924,51793,21426
33089,51691,21378
33168,51783,21212
33076,51789,21388
32832,51896,21388
32792,51932,21341
32704,52028,21436
32708,52005,21444
32732,52052,21332
32716,51967,21449
32688,51959,21441
32788,51972,21417
32800,52006,21228
32680,52061,21511
32552,52103,21409
32508,52187,21462
32448,52271,21406
32508,52287,21503
32580,52261,21380
32625,52259,21483
32692,52228,21367
32748,52135,21122
32696,52219,21332
32636,52231,21268
32565,52343,21329
32488,52412,21255
32388,52487,21052
32408,52487,21188
32421,52431,21116
32472,52479,20908
32504,52447,21109
32508,52412,20954
32464,52445,21054
32461,52487,20813
32492,52565,20943
32528,52631,20844
32460,52703,20882
32392,52727,20743
32356,52720,20769
32252,52711,20513
32316,52656,20680
32340,52591,20593
32404,52677,20497
32396,52719,20255
32340,52717,20509
32220,52868,20368
32164,52895,20189
32152,52967,20348
32196,52901,20181
32240,52916,20145
32316,52908,20133
32488,52806,19892
32512,52895,20108
32429,52939,19973
32312,52996,19933
32216,53007,19710
32204,53149,19933
32200,53103,19836
32308,53165,19636
32366,53068,19825
32336,53089,19769
32306,53028,19562
32184,53117,19659
32116,53164,19643
32092,53231,19605
32140,53231,19600
32137,53383,19535
32160,53415,19485
32213,53407,19445
32208,53377,19279
32276,53324,19206
32352,53319,19426
32409,53328,19383
32464,53405,19288
32504,53460,19265
32460,53543,19012
32340,53612,19112
32220,53629,18964
32160,53636,19144
32296,53607,19065
32450,53575,18936
32528,53471,18847
32476,53575,18740
32404,53621,18799
32314,53698,18668
32284,53759,18879
32356,53844,18791
32496,53863,18735
32658,53855,18581
32804,53816,18599
32916,53796,18623
32972,53767,18557
33012,53788,18444
32940,53831,18298
32808,53917,18476
32760,53943,18436
32808,54052,18229
32868,54068,18461
32968,54071,18392
33024,53975,18328
33120,53996,18079
33060,53925,18294
33028,54023,18260
33025,54079,18103
33038,54151,18220
33032,54201,18297
33121,54259,18186
33180,54309,18127
33260,54227,17978
33272,54268,18194
33330,54183,18140
33344,54224,17947
33305,54247,18153
33201,54309,18135
33100,54372,18008
33057,54391,18023
33072,54505,18092
33068,54476,18066
33064,54531,17833
33148,54513,18105
33180,54488,18047
33140,54463,18080
33104,54480,18029
33116,54535,17791
33160,54530,18040
33196,54663,17988
33157,54750,17934
33144,54765,18004
33172,54698,18006
33120,54755,17948
33133,54733,18000
33032,54697,18015
32872,54716,17779
32764,54788,18012
32760,54847,17797
32856,54919,18029
32968,54953,17971
33060,55020,17801
33145,55015,17980
33140,54996,18029
33112,54956,17997
33132,54919,17815
33112,54959,18046
33064,55023,18006
32956,55091,17867
32932,55151,18122
32812,55244,18053
32846,55273,17847
32960,55253,18125
33040,55167,18129
33024,55205,18071
