ECG,EDA,RR
33480,62320,30902
33460,62286,30900
33448,62265,30748
33469,62215,30911
33516,62179,30845
33508,62215,30877
33488,62265,30964
33472,62249,30884
33504,62423,30971
33508,62455,30885
33512,62471,30964
33518,62444,30701
33533,62439,30940
33572,62407,30818
33576,62292,30889
33576,62366,30983
33564,62445,30711
33496,62468,30953
33432,62591,30648
33372,62648,30941
33328,62676,30860
33340,62641,30965
33304,62586,30605
33308,62575,30917
33328,62557,31000
33400,62532,30778
33404,62622,30948
33396,62701,30958
33356,62772,30873
33328,62801,30936
33244,62855,30997
33224,62843,30740
33229,62768,30949
33284,62771,31028
33336,62672,30852
33328,62751,30936
33260,62798,31010
33192,62871,30766
33113,62937,31007
33108,63015,31030
33112,63023,30788
33148,62983,30964
33196,62897,30973
33293,62926,31025
33424,62888,30672
33412,62909,30973
33292,62964,30981
33142,63052,30949
32973,63111,30692
32816,63095,30965
32740,63197,31037
32876,63161,30833
33080,63063,31007
33220,63103,31007
33256,63077,30913
33184,62983,30973
33024,63143,30645
32912,63190,31007
32892,63281,30899
32936,63356,30949
32964,63349,30953
32992,63239,30617
33024,63284,30983
33064,63253,30603
33140,63224,30956
33136,63157,30852
33160,63303,30919
33176,63359,30828
33188,63443,30877
33136,63495,30943
33040,63452,30833
32972,63495,30863
33000,63460,30730
33036,63409,30808
33120,63357,30507
33156,63367,30780
33172,63447,30812
33168,63524,30720
33196,63556,30705
33160,63644,30803
33142,63619,30684
33104,63638,30629
33117,63623,30632
33124,63572,30537
33136,63527,30591
33088,63535,30631
33065,63495,30419
33060,63672,30503
33048,63741,30164
32969,63718,30521
32894,63796,30471
32884,63791,30208
32912,63719,30373
32993,63664,30406
33054,63675,30116
33120,63623,30332
33153,63749,30188
33144,63815,30205
33116,63813,30247
33060,63903,30150
33056,63951,30204
33064,63924,29921
33158,63879,30071
33302,63836,29887
33377,63806,30010
33365,63740,29941
33240,63877,29972
33124,63943,29843
32984,64007,29841
32872,64060,29612
32880,64007,29791
32892,64063,29787
32906,64007,29386
32861,63897,29682
32816,63951,29265
32872,63932,29532
32964,64004,29524
33024,64071,29348
33008,64135,29404
32876,64207,29031
32800,64215,29300
32672,64183,29275
32668,64135,29180
32705,64084,29217
32808,64068,29188
32880,64007,28863
32868,64119,29033
32812,64191,29051
32710,64263,28615
32660,64327,28805
32696,64308,28895
32750,64300,28501
32812,64257,28748
32836,64180,28724
32888,64196,28359
32868,64207,28617
32836,64255,28628
32828,64316,28474
32813,64324,28392
32780,64451,28456
32764,64454,28359
32804,64372,28285
32876,64373,28301
32928,64260,28223
32929,64304,28159
32884,64314,28245
32805,64375,28023
32773,64439,28124
32764,64495,28070
32720,64506,27741
32714,64575,27929
32792,64468,27916
32840,64492,27937
32868,64455,27714
32908,64379,27780
32920,64445,27406
32888,64484,27671
32821,64516,27699
32758,64647,27527
32736,64671,27623
32760,64685,27548
32832,64636,27399
32871,64564,27430
32908,64567,27455
33024,64452,27464
33088,64551,27174
33128,64583,27322
33104,64647,27341
33044,64647,27009
32944,64774,27212
32860,64775,27236
32892,64767,27000
32886,64647,27140
32884,64669,27138
32856,64645,27079
32805,64646,26983
32772,64693,27092
32762,64695,26705
32730,64836,26991
32724,64888,27029
32708,64831,26716
32756,64871,26937
32888,64749,26985
33052,64772,26918
33052,64742,26897
32956,64679,26959
32816,64815,26597
