ECG,EDA,RR
32992,52199,37828
32984,52231,37776
32842,52221,37922
32728,52167,37773
32696,52133,37748
32708,52061,37765
32796,52032,37725
32818,52007,37727
32814,52103,37644
32820,52157,37661
32832,52231,37607
32741,52228,37681
32665,52231,37566
32604,52201,37584
32628,52165,37527
32669,52101,37476
32728,52071,37629
32768,52041,37500
32736,52135,37540
32636,52194,37440
32520,52263,37464
32376,52295,37404
32280,52285,37311
32270,52181,37371
32333,52180,37359
32464,52125,37415
32588,52097,37271
32652,52124,37243
32668,52092,37361
32645,52229,37223
32645,52276,37212
32580,52327,37311
32580,52319,37135
32576,52181,37055
32478,52204,37101
32392,52151,37017
32413,52135,37025
32446,52113,37056
32448,52197,36983
32425,52231,37059
32356,52295,36971
32308,52341,37035
32348,52318,36908
32365,52269,36764
32436,52231,36864
32485,52167,36853
32524,52103,36829
32456,52159,36775
32368,52213,36772
32332,52205,36791
32372,52341,36684
32448,52359,36605
32480,52311,36720
32498,52311,36650
32488,52231,36740
32464,52188,36580
32536,52159,36516
32540,52153,36670
32528,52230,36511
32556,52229,36481
32552,52357,36372
32568,52356,36410
32640,52335,36327
32652,52317,36460
32720,52231,36356
32824,52199,36351
32926,52188,36271
32928,52134,36217
32858,52231,36260
32793,52224,36218
32740,52359,36199
32697,52388,36151
32669,52359,36098
32732,52317,36093
32820,52223,36012
32876,52192,36151
32932,52187,36044
33032,52143,36124
33168,52231,35999
33228,52301,35847
33292,52358,35951
33292,52393,35812
33305,52332,35927
33284,52327,35855
33232,52271,35957
33260,52201,35804
33320,52156,35791
33406,52156,35732
33404,52231,35654
33325,52306,35716
33222,52368,35580
33168,52391,35677
33208,52335,35568
33296,52316,35613
33345,52263,35488
33384,52196,35564
33452,52172,35532
33424,52198,35557
33420,52183,35504
33448,52281,35594
33488,52348,35470
33440,52306,35295
33328,52359,35479
33151,52311,35388
33076,52255,35454
33098,52196,35348
33216,52136,35364
33280,52172,35292
33270,52213,35407
33280,52282,35222
33264,52345,35333
33241,52359,35212
33220,52352,35253
33245,52252,35125
33268,52252,35272
33260,52183,35113
33288,52157,35023
33304,52160,35068
33272,52149,34976
33230,52262,35077
33172,52332,34957
33112,52342,35085
33148,52332,34924
33200,52279,34930
33269,52220,34781
33316,52167,34876
33344,52081,34866
33364,52155,34823
33280,52199,34704
33189,52231,34777
33124,52317,34724
33096,52335,34872
33038,52327,34753
33021,52262,34721
33060,52212,34709
33085,52156,34575
32977,52133,34671
33040,52129,34654
33168,52180,34653
33200,52171,34606
33200,52295,34463
33180,52321,34574
33164,52303,34432
33164,52256,34598
33157,52183,34516
33184,52103,34614
33168,52103,34527
33129,52093,34378
33124,52158,34597
33180,52229,34465
33168,52276,34341
33056,52307,34548
32921,52276,34435
32912,52230,34343
32960,52180,34383
32992,52103,34264
33020,52087,34405
33088,52103,34345
33104,52137,34156
33120,52150,34303
33132,52255,34191
33144,52287,34378
33136,52260,34251
33076,52204,34118
32996,52119,34275
32940,52095,34220
32912,52055,34180
32977,52069,34215
32928,52125,34100
32880,52099,34260
32816,52213,34164
32761,52258,34048
32814,52229,34088
32824,52185,34026
32801,52127,34103
32840,52049,33999
32904,52028,34023
32904,52041,33893
32908,52017,34050
32972,52133,33999
32990,52158,33828
33012,52216,33967
33104,52205,33895
33212,52101,33924
33208,52101,33873
33044,52031,33833
32892,52007,33836
32814,52022,33840
32822,52015,33780
32847,52116,33848
32820,52167,33740
32796,52196,33559
32788,52176,33711
32829,52096,33614
32916,52063,33767
33008,51999,33638
33057,51975,33562
33032,51991,33525
32992,52029,33580
32938,52087,33468
32920,52148,33601
32968,52158,33462
33095,52133,33576
33172,52032,33351
33148,52039,33423
33136,51975,33324
33112,51949,33492
33056,51943,33357
32984,51975,33166
32908,52049,33300
32897,52112,33287
32880,52063,33134
32916,52103,33220
32981,52055,33053
33004,52007,33177
32972,51927,33142
32960,51911,33120
32944,51916,33096
32936,51965,33031
32897,52015,32940
32912,52085,33019
32980,52092,32989
33064,52073,32887
33116,51972,32941
33077,51943,32804
32952,51868,32887
32896,51877,32722
32879,51892,32871
32912,51847,32728
33036,51972,32865
33134,52041,32740
33156,51969,32855
33041,52039,32639
32945,51972,32739
32884,51924,32589
32884,51862,32693
32900,51805,32630
32856,51846,32717
32856,51887,32519
33026,51932,32636
33160,51916,32416
33112,52013,32556
32940,51996,32415
32772,51949,32570
32757,51885,32391
32776,51756,32581
32820,51791,32436
32844,51813,32533
32884,51847,32399
32916,51899,32359
32928,51919,32348
32919,51967,32210
32912,51959,32276
32902,51824,32107
32862,51838,32263
32888,51747,32228
32996,51719,32028
33096,51686,32246
33069,51776,32146
33028,51791,31960
32974,51909,32213
32924,51932,32071
32906,51839,32048
32985,51855,31991
33079,51784,32148
33072,51735,31983
33125,51687,31823
33204,51703,32024
33192,51764,31932
33148,51802,31737
33052,51847,31927
32984,51847,31847
32879,51852,31868
32852,51812,31817
32896,51757,31696
32972,51692,31874
33036,51633,31737
33088,51653,31708
33068,51691,31741
33052,51753,31638
33104,51742,31711
33156,51836,31537
33204,51808,31663
33109,51709,31558
33036,51700,31671
32984,51625,31641
32912,51607,31546
32820,51607,31589
32792,51655,31420
32716,51631,31623
32700,51767,31564
32572,51788,31368
32520,51767,31533
32576,51695,31471
32640,51623,31622
32676,51581,31475
32688,51559,31335
32664,51559,31533
32676,51604,31440
32645,51655,31261
32576,51713,31509
32456,51743,31400
32328,51692,31205
32272,51670,31364
32068,51607,31198
31712,51541,31353
31220,51524,31220
30778,51529,31431
30424,51581,31297
30112,51591,31137
29828,51709,31244
29624,51719,31078
29504,51718,31254
29364,51663,31196
29248,51631,31285
29380,51556,31151
29728,51525,31160
30400,51532,31124
31273,51588,30993
32240,51653,31068
33448,51637,31029
34559,51712,31032
35128,51695,31009
35152,51572,30916
34868,51578,30972
34564,51511,30912
34324,51472,30924
34072,51485,30727
33788,51541,30895
33516,51585,30842
33280,51620,30774
33156,51628,30819
33128,51617,30660
33140,51575,30789
33148,51463,30767
33104,51447,30693
33084,51407,30719
33116,51365,30532
33138,51463,30661
33224,51503,30501
33280,51567,30672
33348,51585,30629
33313,51557,30445
33232,51497,30652
33164,51446,30534
33208,51375,30516
33236,51319,30373
33174,51348,30388
33082,51399,30501
33021,51447,30447
33036,51495,30235
33016,51533,30485
33012,51503,30375
33036,51445,30224
33016,51391,30321
32980,51325,30215
32984,51236,30349
33056,51291,30279
33016,51332,30292
32946,51381,30262
32840,51431,30087
32868,51455,30228
32910,51443,30196
32952,51335,30040
32984,51335,30156
33049,51260,30187
33100,51207,30012
33172,51185,30211
33112,51276,30167
33016,51332,30041
32908,51393,30125
32833,51389,30055
32868,51380,30030
32949,51327,30127
33028,51286,30114
33052,51185,30068
33044,51109,30081
33000,51188,29955
32992,51207,30077
32924,51287,29949
32854,51335,30162
32736,51359,30071
32684,51327,29943
32720,51284,30148
32808,51236,29972
32856,51167,30173
32856,51119,30036
32876,51148,30140
32878,51181,30029
32865,51229,29927
32828,51295,30021
32708,51245,29894
32620,51277,30001
32604,51237,29860
32664,51105,30081
32714,51105,29973
32780,51075,29922
32812,51079,29987
32837,51127,29957
32816,51143,29792
