ECG,EDA,RR
33472,40619,36132
33468,40604,36036
33412,40607,36095
33356,40668,36041
33293,40708,36089
33264,40757,36074
33220,40767,36017
33266,40753,36015
33312,40703,36034
33336,40609,36015
33361,40605,35988
33376,40591,36015
33334,40604,35948
33268,40643,36002
33216,40666,36012
33172,40736,35940
33140,40747,35984
33124,40721,35959
33112,40687,35995
33102,40636,35975
33132,40581,35997
33165,40569,35988
33156,40576,35948
33128,40615,35981
33120,40615,35941
33100,40708,35924
33088,40727,35985
33120,40708,35975
33132,40664,35981
33168,40617,35908
33196,40565,35975
33213,40549,35948
33144,40559,35943
33064,40599,35952
33000,40615,35943
32981,40698,35885
32972,40711,35859
32972,40681,35860
33024,40637,35913
33084,40588,35899
33124,40519,35894
33112,40513,35879
33111,40531,35864
33008,40548,35866
32972,40608,35861
32925,40687,35812
32916,40677,35793
32960,40658,35775
33020,40621,35774
33088,40568,35833
33164,40534,35812
33193,40509,35800
33164,40521,35813
33064,40557,35823
32960,40557,35799
32897,40669,35773
32917,40671,35724
32942,40644,35799
32988,40607,35788
33012,40575,35769
33044,40493,35780
33104,40455,35719
33074,40487,35775
33013,40541,35759
32956,40559,35780
32900,40629,35734
32860,40651,35700
32844,40629,35724
32906,40551,35760
32968,40532,35785
33016,40471,35741
33020,40455,35697
33008,40479,35781
32944,40513,35775
32892,40556,35783
32878,40600,35782
32900,40613,35727
32902,40604,35769
32905,40565,35805
32969,40517,35808
33004,40455,35840
33060,40429,35803
33052,40449,35781
33017,40487,35788
32993,40536,35796
32925,40583,35815
32929,40607,35836
32953,40567,35845
33005,40534,35906
33048,40497,35908
33120,40447,35943
33160,40375,35902
33144,40428,35887
33114,40460,35991
33046,40508,35988
32991,40567,36004
32932,40576,36039
32904,40564,36017
32936,40527,35991
32968,40479,36084
33020,40420,36078
33024,40389,36130
33012,40401,36063
33009,40447,36153
32952,40487,36156
32880,40550,36197
32828,40519,36164
32832,40547,36165
32824,40508,36252
32838,40455,36262
32904,40392,36273
32964,40366,36321
32960,40377,36308
32921,40433,36289
32900,40455,36293
32868,40516,36305
32872,40549,36341
32881,40524,36423
32944,40486,36437
32948,40428,36439
33000,40381,36385
33084,40346,36431
33036,40364,36457
32977,40383,36517
32872,40446,36519
32816,40493,36532
32752,40519,36517
32760,40513,36564
32852,40455,36607
32920,40377,36554
32940,40359,36532
32952,40334,36644
32920,40337,36628
32861,40340,36681
32821,40425,36628
32796,40485,36593
32756,40495,36697
32736,40487,36711
32808,40445,36676
32840,40394,36676
32884,40340,36696
32956,40311,36759
32972,40327,36752
32916,40316,36781
32876,40405,36724
32824,40444,36812
32776,40476,36807
32788,40463,36835
32798,40417,36832
32828,40369,36818
32856,40272,36761
32880,40284,36839
32844,40310,36863
32813,40343,36812
32750,40375,36857
32688,40445,36881
32632,40454,36791
32620,40448,36868
32664,40400,36884
32704,40359,36799
32752,40301,36913
32804,40263,36927
32764,40289,36815
32744,40327,36921
32696,40367,36895
32632,40408,36887
