ECG,EDA,RR
32900,55175,35703
32904,55193,35665
32970,55165,35760
32973,55159,35653
32944,55213,35788
32792,55271,35700
32740,55303,35885
32696,55356,35804
32745,55395,35959
32729,55361,35865
32686,55335,35980
32644,55260,35975
32672,55245,36020
32716,55267,36020
32688,55303,36081
32641,55356,35925
32644,55414,36119
32628,55488,36111
32576,55476,36224
32556,55423,36199
32568,55388,36117
32616,55303,36254
32644,55351,36296
32656,55349,36175
32610,55399,36401
32460,55460,36351
32248,55533,36268
31972,55588,36529
31589,55505,36428
31096,55535,36391
30608,55514,36503
30104,55481,36511
29748,55431,36439
29456,55463,36692
29152,55431,36596
28921,55491,36527
28720,55636,36666
28608,55699,36691
28736,55698,36622
29117,55679,36732
29820,55663,36681
30724,55613,36791
31621,55591,36719
32793,55532,36829
34080,55589,36763
34808,55661,36871
35004,55750,36799
34780,55780,37036
34444,55800,36948
34188,55773,36839
33937,55684,37020
33708,55647,36902
33525,55647,37197
33272,55645,37081
33024,55684,36959
32745,55740,37164
32608,55773,37121
32576,55861,37207
32608,55783,37194
32704,55815,37153
32794,55700,37263
32848,55739,37197
32928,55703,37436
33012,55711,37339
33024,55751,37295
33028,55804,37351
33020,55866,37317
32964,55935,37396
32932,55943,37269
32928,55879,37505
32925,55791,37468
32990,55757,37468
33069,55727,37508
33032,55718,37465
32904,55815,37552
32828,55864,37516
32776,55925,37569
32766,55993,37577
32756,56004,37471
32768,55972,37688
32803,55853,37652
32813,55807,37735
32860,55769,37663
32900,55811,37655
32884,55836,37725
32826,55919,37636
32792,55927,37877
32756,55992,37788
32764,56016,37741
32848,56005,37830
32964,55933,37788
32968,55957,37981
32905,55911,37916
32853,55919,37927
32749,55967,37943
32688,56009,37850
32586,56071,37972
32524,56135,37953
32576,56128,38181
32616,56113,38068
32676,56093,38031
32718,56037,38124
32717,55999,38144
32687,55941,38020
32608,56031,38320
32560,56087,38217
32522,56150,38291
32502,56199,38245
32517,56177,38279
32612,56185,38343
32652,56148,38305
32634,56095,38341
32613,56048,38359
32584,56069,38316
32536,56103,38476
32471,56165,38433
32444,56220,38346
32484,56285,38434
32634,56242,38356
32812,56259,38620
32876,56215,38477
32740,56167,38527
32508,56125,38439
32372,56141,38587
32304,56104,38548
32264,56191,38735
32330,56295,38582
32392,56327,38713
32496,56365,38644
32476,56319,38623
32328,56256,38660
32192,56244,38663
32192,56199,38697
32200,56197,38700
32202,56240,38761
32156,56317,38677
32140,56287,38816
32097,56327,38724
32064,56327,38828
32108,56312,38814
32164,56264,38866
32230,56308,38825
32309,56273,38900
32376,56276,38868
32464,56317,38985
32516,56367,38960
32508,56436,39112
32432,56423,39012
32392,56495,39149
32417,56468,39040
32432,56364,38948
32364,56389,39221
32296,56351,39093
32284,56359,39044
32262,56391,39265
32237,56447,39161
32256,56516,39166
32276,56557,39156
32308,56560,39165
32373,56536,39204
32440,56492,39328
32476,56468,39223
32464,56409,39207
32480,56358,39294
32484,56468,39271
32564,56526,39417
32596,56580,39289
32540,56607,39256
32536,56644,39333
32545,56536,39255
32597,56571,39350
32680,56527,39357
32805,56476,39352
32836,56503,39294
32856,56529,39419
32884,56516,39393
32897,56652,39537
32929,56704,39431
32980,56645,39373
33080,56673,39464
33144,56636,39428
33204,56572,39570
33268,56518,39485
33264,56559,39535
33177,56611,39428
33120,56581,39617
33080,56727,39547
33104,56767,39732
33161,56754,39610
33268,56745,39613
33304,56688,39628
33380,56604,39548
33464,56528,39692
33516,56623,39617
33516,56664,39733
33404,56711,39725
33337,56761,39801
33249,56839,39718
33196,56839,39796
33232,56774,39773
33294,56749,39943
33346,56704,39829
33401,56679,39820
33452,56698,39951
33492,56663,39940
33520,56783,40016
33520,56839,39935
33440,56887,39892
33345,56903,40111
33320,56807,40052
33292,56804,40153
33216,56702,40057
33188,56666,40155
33152,56721,40028
33096,56728,40125
33040,56775,40070
32969,56831,40172
32917,56959,40116
32948,56951,40223
32992,56943,40296
33080,56885,40280
33260,56823,40238
33421,56807,40396
33438,56750,40385
33360,56861,40436
33280,56911,40408
33181,56965,40443
33104,57015,40455
33056,57028,40440
33036,56916,40644
33036,56940,40581
33104,56904,40646
33160,56861,40589
33172,56839,40639
33172,56925,40652
33100,56983,40701
33045,56964,40704
32992,57015,40668
33020,57087,40823
33056,57060,40775
33108,57012,40839
33140,56957,40838
33149,56929,40981
33186,56919,40900
33182,56951,41018
33112,57047,40964
33104,57023,41167
33108,57069,41026
33092,57063,40967
33096,57088,41045
33125,57081,41095
33148,57021,41117
33176,56996,41116
33184,56967,41349
33175,57049,41209
33218,57092,41407
33300,57145,41269
33312,57207,41218
33248,57208,41399
33200,57093,41351
33156,57140,41412
33128,57076,41428
33132,57063,41429
33104,57039,41563
33004,57095,41509
32924,57159,41479
32916,57169,41428
32908,57185,41596
33008,57277,41545
33124,57239,41709
33252,57193,41580
33296,57153,41550
33369,57095,41745
33416,57124,41656
33484,57159,41607
33468,57215,41794
33352,57207,41732
33128,57317,41633
32956,57324,41628
32944,57317,41759
32884,57263,41728
32844,57189,41780
32772,57159,41761
32712,57172,41751
32708,57205,41876
32729,57261,41804
32764,57252,41735
32736,57372,41812
32716,57351,41828
32748,57351,41991
32788,57303,41852
32812,57189,42017
32822,57221,41895
32917,57223,42031
32962,57272,41929
32992,57327,42079
32972,57380,41939
32952,57383,41839
32920,57385,41980
32952,57333,42100
33008,57297,42021
33060,57232,42141
33088,57281,42015
33072,57277,42052
33052,57329,42231
33040,57372,42085
32984,57436,42100
32924,57479,42286
32888,57460,42148
32877,57471,42279
32885,57423,42191
33004,57287,42196
33124,57332,42401
33136,57349,42247
33044,57373,42301
32890,57423,42244
32768,57405,42479
32736,57540,42336
32865,57540,42364
33062,57446,42471
33168,57465,42527
33100,57437,42380
33005,57327,42381
32997,57309,42481
32972,57420,42486
32952,57465,42432
32924,57532,42603
32820,57555,42529
32715,57592,42493
32693,57572,42697
32752,57532,42540
32936,57465,42606
33117,57428,42584
33204,57343,42737
33172,57476,42628
33054,57519,42664
32884,57565,42780
32760,57628,42776
32732,57604,42693
32765,57597,42704
32817,57552,42865
32820,57501,42748
32816,57469,42743
32773,57479,42900
32712,57469,42781
32712,57570,42864
32748,57621,42888
32748,57687,42871
32728,57686,43013
32736,57654,42925
32788,57607,43059
32919,57575,42962
32996,57511,43092
32988,57531,42972
32928,57564,43060
32853,57604,43012
32804,57671,43032
32800,57711,43181
32840,57725,43223
32992,57673,43108
33148,57644,43111
