ECG,EDA,RR
33196,13745,29473
32864,13784,29409
32584,13772,29625
32229,13781,29524
31908,13743,29556
31613,13725,29704
31352,13774,29701
31065,13722,29732
30849,13741,29575
30668,13736,29821
30484,13759,29788
30356,13769,29965
30240,13812,29813
30080,13753,29929
29996,13718,29924
29952,13749,30104
29857,13701,29839
29760,13747,30046
29661,13742,30172
29640,13752,29910
29552,13726,30116
29524,13777,30231
29549,13765,30108
29444,13731,30240
29412,13764,30170
29452,13738,30191
29472,13702,30292
29508,13685,30243
29513,13727,30372
29542,13731,30454
29598,13720,30262
29636,13818,30332
29696,13792,30384
29706,13741,30511
29688,13705,30496
29764,13747,30665
29804,13690,30488
29808,13685,30613
29849,13701,30670
29860,13766,30564
29884,13735,30696
29896,13744,30588
29965,13794,30774
30026,13730,30644
30028,13700,30781
30056,13726,30738
30066,13698,30777
30092,13674,30877
30140,13701,30986
30172,13748,30694
30152,13724,30934
30200,13736,30880
30180,13781,30968
30232,13739,31127
30296,13701,30845
30381,13754,31016
30436,13716,30974
30492,13695,31054
30572,13696,31231
30660,13753,31132
30705,13729,31205
30749,13736,31175
30788,13779,31276
30845,13731,31110
30824,13697,31184
30845,13716,31325
30856,13673,31260
30916,13720,31213
30964,13709,31164
31036,13727,31223
31068,13762,31299
31109,13767,31334
31180,13740,31103
31200,13730,31355
31208,13700,31318
31296,13716,31428
31256,13672,31277
31264,13718,31404
31264,13715,31381
31312,13714,31536
31272,13773,31406
31276,13756,31214
31276,13743,31412
31288,13820,31518
31316,13732,31313
31352,13713,31485
31384,13679,31629
31404,13727,31316
31444,13719,31500
31492,13740,31596
31544,13716,31596
31592,13746,31678
31572,13811,31396
31532,13766,31620
31548,13732,31584
31544,13704,31701
31564,13741,31725
31580,13692,31785
31576,13705,31563
31636,13775,31721
31596,13745,31800
31604,13756,31749
31632,13796,31844
31704,13751,31976
31728,13710,31720
31700,13740,31933
31640,13688,31868
31712,13728,32084
31784,13720,31958
31804,13825,31828
31776,13732,32016
31772,13745,32176
31776,13810,31885
31796,13747,32117
31808,13712,32284
31836,13765,32076
31829,13702,32246
31868,13684,32273
31916,13712,32258
31948,13788,32343
31973,13760,32231
31952,13772,32425
31940,13763,32165
31960,13794,32413
31940,13740,32575
31924,13725,32409
31944,13735,32527
31960,13711,32516
31977,13712,32480
31968,13728,32580
32008,13724,32557
32122,13834,32633
32148,13807,32697
32128,13773,32693
32192,13743,32758
32165,13747,32737
32074,13696,32660
32045,13728,32708
32013,13727,32825
32028,13733,32852
32020,13813,32793
32040,13804,32877
32120,13776,32884
32196,13752,32853
32336,13718,32949
32384,13798,32852
32308,13711,33089
32356,13692,32985
32424,13733,32829
32464,13727,33042
32460,13777,32982
32440,13774,33057
32462,13763,32841
32545,13770,33117
32572,13727,33085
32592,13758,33020
32600,13697,33221
32632,13766,33168
32652,13732,32932
32604,13729,33173
32616,13786,33245
32644,13788,33137
32637,13776,33208
32657,13733,33305
32660,13782,33229
32664,13746,33312
32616,13708,33203
32708,13677,33410
32744,13723,33252
32728,13719,33362
32805,13798,33277
32768,13763,33436
32772,13750,33352
32688,13775,33135
32648,13727,33292
32670,13732,33334
32628,13676,33446
32533,13687,33364
32520,13696,33589
32496,13750,33409
32548,13715,33238
32544,13729,33437
32416,13767,33623
32470,13717,33520
32405,13732,33444
32376,13700,33567
32396,13731,33500
32416,13684,33693
32368,13691,33468
32408,13723,33552
32452,13701,33675
32432,13747,33528
32484,13853,33369
32460,13725,33560
32472,13690,33649
32450,13720,33405
32508,13659,33692
32556,13719,33712
32588,13709,33639
32696,13699,33730
32880,13728,33767
33032,13729,33668
33256,13788,33773
33493,13716,33884
33557,13686,33708
33348,13744,33764
33060,13674,33850
32912,13703,33847
32836,13692,33717
32884,13759,33864
33328,13722,33805
34416,13718,33952
35696,13748,33677
36832,13699,33887
38336,13723,33889
40256,13684,33988
42368,13708,33809
44024,13641,33936
44876,13690,33972
45336,13860,33973
45884,13720,33901
46508,13723,34076
44968,13795,33939
41760,13745,34047
34704,13701,34068
24618,13721,34028
19916,13679,33821
19324,13679,34029
20868,13686,34215
22858,13694,34025
24404,13705,33864
25664,13721,34151
26804,13750,34025
27752,13770,34260
28700,13701,34092
29500,13743,33910
30068,13663,34201
30545,13657,34209
31036,13668,34087
31440,13715,34246
31756,13689,34152
32060,13745,34213
32376,13728,34246
32612,13727,34220
32768,13732,34169
32856,13683,34188
32956,13689,34300
33068,13646,33999
33108,13700,34276
33184,13691,34212
33304,13723,34392
33264,13823,34287
33277,13755,33999
33312,13811,34272
33324,13713,34276
33328,13751,34199
33344,13680,34327
33444,13667,34280
33561,13676,34344
33620,13713,34039
33653,13783,34287
33704,13745,34191
33688,13803,34348
33692,13711,34388
33644,13715,34386
33620,13764,34300
33620,13697,34237
33636,13708,34175
33668,13683,34273
33740,13757,34224
33736,13722,34252
33760,13785,34346
33800,13769,34386
33797,13716,34209
33812,13733,34288
33830,13698,34285
33844,13781,34164
33816,13666,34397
33824,13678,34182
33868,13721,34017
33884,13701,34180
33942,13756,34312
34012,13743,34177
34040,13740,33970
34032,13695,34237
34100,13732,34230
34136,13690,34163
34136,13702,33968
34213,13684,33916
34264,13740,34180
34280,13702,34164
34404,13776,34140
34480,13767,34100
34468,13803,34118
34486,13721,34055
34562,13703,34023
34612,13736,34054
34644,13663,34008
34728,13710,33917
34856,13702,33996
34880,13740,34036
34976,13729,33899
35120,13777,33854
35222,13791,33638
35236,13703,33885
35308,13737,33760
35380,13677,33944
35420,13678,33765
35528,13679,33568
35640,13739,33780
35716,13713,33716
35780,13777,33812
35904,13743,33656
36052,13763,33730
36224,13727,33632
36348,13776,33825
36492,13696,33704
36640,13728,33481
36812,13716,33656
36920,13708,33652
36981,13730,33604
37124,13730,33375
37216,13804,33550
37276,13735,33700
37360,13763,33486
37448,13716,33296
37460,13736,33539
37444,13656,33412
37592,13696,33628
37628,13776,33606
37584,13721,33464
37608,13791,33375
37640,13768,33480
37584,13780,33362
37524,13706,33541
37508,13736,33512
37460,13677,33338
37372,13689,33241
37200,13805,33392
37029,13744,33352
36824,13774,33342
36580,13732,33412
36282,13777,33431
35960,13792,33260
35624,13715,33152
35220,13741,33311
34869,13684,33278
34612,13696,33173
34300,13690,33196
33952,13728,33324
33572,13717,33262
33180,13750,33132
32820,13861,32982
32577,13750,33168
32292,13770,33233
32008,13703,33263
31794,13700,33236
31572,13691,33197
31356,13688,33004
31160,13755,33108
30980,13710,33089
30752,13750,33060
30604,13754,32934
30432,13755,33164
30352,13700,33062
30256,13748,32797
30220,13689,33012
30228,13701,32964
30184,13682,33065
30192,13737,32917
30184,13710,32940
30164,13777,32900
30216,13770,33052
30223,13717,32838
30184,13725,32900
30156,13693,32797
30208,13712,32973
30140,13656,32804
30224,13698,32640
30244,13701,32881
30268,13723,32823
30252,13719,32919
30236,13774,32937
30262,13732,32784
30256,13737,32736
30284,13690,32769
30332,13687,32715
30356,13652,32713
30365,13685,32589
30404,13692,32804
30456,13700,32775
30536,13773,32762
30452,13747,32661
30508,13761,32838
30560,13692,32770
30592,13701,32796
30656,13669,32676
30696,13660,32556
30792,13669,32637
30764,13732,32736
30700,13696,32748
30744,13756,32712
30692,13765,32647
30740,13716,32724
30852,13705,32733
30744,13684,32739
30896,13682,32681
30913,13641,32652
30940,13681,32704
30996,13760,32636
31009,13709,32784
31060,13711,32617
31084,13768,32716
31128,13774,32695
31152,13704,32722
31204,13741,32676
31220,13663,32679
31264,13668,32647
31264,13660,32570
31192,13708,32577
31280,13748,32799
31352,13717,32781
31345,13759,32736
31392,13761,32775
31408,13679,32708
31404,13704,32581
31440,13664,32436
31476,13647,32637
31482,13724,32617
31584,13703,32552
31632,13687,32722
31644,13721,32575
31656,13732,32364
31632,13724,32575
31620,13681,32549
31620,13690,32508
31612,13660,32557
31708,13691,32364
31744,13684,32496
31716,13740,32442
31756,13704,32445
31708,13704,32229
31725,13777,32431
31796,13726,32576
31782,13678,32352
31712,13702,32200
31856,13660,32429
31876,13684,32295
31813,13671,32412
31882,13706,32336
31988,13732,32303
32000,13705,32228
32001,13761,32458
31964,13701,32373
31888,13694,32271
31892,13680,32076
31893,13679,32309
31873,13660,32284
31880,13705,32273
31932,13682,32218
31909,13704,32184
31900,13769,32338
31820,13731,32212
31828,13756,31977
31820,13701,32177
31892,13716,32122
32056,13661,32256
32068,13676,32053
31980,13658,31901
31881,13720,32096
31904,13685,32178
32010,13732,32156
32044,13733,31914
32052,13761,32068
32008,13690,32185
32140,13673,31992
32072,13711,32045
32160,13651,32020
32014,13650,32044
32168,13736,31892
32232,13713,31981
32224,13698,32106
32152,13764,31876
32180,13728,31960
32224,13674,32085
32300,13714,31871
32312,13671,31960
32324,13657,31899
32340,13650,32050
32376,13739,31832
32396,13700,31928
32336,13694,31965
32420,13791,31796
32512,13720,31657
32588,13674,31884
32620,13709,31759
32668,13670,31878
32772,13631,31622
32756,13668,31868
32760,13682,31820
32776,13713,31975
32668,13705,31684
32557,13789,31844
32712,13706,31788
32764,13733,31948
32756,13700,31749
32764,13663,31843
32789,13656,31704
32812,13664,31876
32836,13766,31713
32780,13714,31825
32832,13694,31816
32850,13775,31721
32860,13717,31826
32833,13738,31725
32784,13695,31930
32812,13716,31761
32808,13650,31831
32836,13661,31836
32840,13683,31677
32888,13719,31828
32981,13716,31937
32997,13733,31756
32928,13724,31836
32700,13686,31744
32676,13669,31742
32608,13698,31844
32504,13634,31824
32496,13686,31726
32472,13678,31882
32430,13704,31912
32429,13698,31722
32504,13775,31847
32444,13706,31808
32420,13713,31839
32480,13673,31909
32465,13699,31770
32412,13656,31856
32381,13732,31878
32392,13702,31765
32416,13688,31872
32388,13752,31872
32340,13739,31829
32360,13709,31946
32320,13745,31657
32340,13690,31788
32392,13673,32032
32392,13695,31856
32489,13679,31732
32712,13682,31928
32976,13695,31930
33200,13801,31858
33332,13730,31993
33376,13703,32022
33052,13696,31834
32698,13669,31953
32505,13705,32042
32508,13667,31909
32544,13641,31996
33076,13732,32100
34217,13701,31785
35368,13695,32007
36476,13778,31885
37976,13741,32084
39804,13749,31924
41840,13700,32028
43496,13810,31910
44192,13664,32068
44600,13647,31956
45188,13714,32048
45684,13690,32072
43816,13718,31998
40532,13726,32173
33144,13740,31993
23572,13692,31980
19292,13695,32100
18989,13673,32100
20601,13658,32016
22592,13665,32221
