ECG,EDA,RR
31096,53117,24121
31140,53109,24176
31132,53102,24093
31160,53068,24054
31209,53069,23999
31280,53057,23929
31324,53151,23857
31360,53172,23761
31392,53172,23614
31380,53052,23764
31364,53108,23860
31404,53116,23734
31432,53108,23744
31296,53111,23658
30796,53036,23621
30876,53143,23453
31356,53132,23514
31916,53161,23641
32005,53151,23518
31964,53032,23495
31864,53102,23456
31810,53103,23314
31804,53100,23172
31824,53080,23485
31840,53118,23425
31844,53124,23339
31840,53140,23364
31844,53168,23303
31842,53077,23205
31864,53117,23016
31881,53064,23329
31908,53068,23276
31936,53084,23217
31964,53079,23192
31960,53112,23167
31924,53029,22924
31864,53136,23248
31864,53148,23206
31860,53157,22967
31864,53109,23200
31853,53120,23183
31848,53012,23141
31828,53070,23175
31684,53073,23159
31664,53112,23113
31804,53140,23018
31940,53127,23116
32032,53120,23220
32048,53165,23186
32008,53055,23215
31988,53103,23200
31992,53029,23160
31985,53036,23100
31924,53076,23024
31900,53119,23287
31937,53077,23332
31944,53148,23269
31920,53093,23252
31921,53057,23113
31892,53111,23268
31898,53095,23335
31912,53062,23356
31920,53071,23344
31928,53016,23173
31936,53121,23344
31980,53112,23382
31929,53127,23391
31936,53175,23286
31472,53092,23189
31204,53084,23500
31552,53076,23462
32112,53092,23440
32468,53065,23266
32444,53089,23627
32336,53124,23588
32158,53132,23583
32064,53038,23506
32020,53137,23431
31992,53127,23652
31992,53103,23684
31980,53108,23735
31992,53109,23601
31960,53079,23743
31992,52980,23860
31964,53119,23867
31956,53116,23866
31968,53069,23820
32004,53159,23921
32012,53100,24009
31996,53015,24004
32008,53094,23994
32040,53095,23835
32028,53064,24138
32044,53070,24146
32096,53093,24042
32092,53135,24294
32065,53127,24276
32076,53068,24313
32068,53140,24110
32096,53095,24450
32076,53103,24424
32072,53044,24448
32044,52972,24342
32028,53079,24501
32064,53097,24623
32118,53109,24624
32096,53127,24470
32112,53087,24783
32112,53055,24788
31996,53100,24806
31976,53087,24641
32072,53093,24974
32212,53076,24914
32284,53092,24927
32320,53124,25004
32340,53093,25008
32328,53048,24918
32336,53148,24875
32344,53095,25261
32412,53125,25198
32484,53096,25262
32518,53008,25270
32060,53020,25060
31761,53077,25368
32184,53103,25405
32737,53116,25399
33068,53124,25223
33012,53173,25505
32884,53080,25548
32768,53109,25564
32685,53100,25580
32688,53095,25447
32784,53064,25741
32862,53025,25701
32880,53031,25734
32904,53124,25761
32848,53117,25664
32836,53126,25840
32832,53159,25852
32740,53124,25846
32676,53008,25742
32636,53108,26044
32612,53072,25968
32708,53039,26012
32744,53127,25957
32728,53151,25836
32696,53050,26094
32680,53164,26140
32636,53144,26162
32592,53116,25982
32524,53103,26205
32528,53093,26269
32492,53060,26095
32412,53095,26349
32389,53127,26348
32356,53117,26369
32320,53134,26192
32320,53157,26534
32288,53157,26503
32240,53127,26315
32228,53111,26586
32204,53087,26592
32184,53095,26556
32192,53064,26589
32224,53085,26793
32206,53120,26749
32224,53068,26777
32220,53167,26722
32228,53149,26714
32185,53111,26678
32068,53069,26690
32056,53089,26893
32108,53076,27100
32244,53089,27036
32392,53028,27090
32513,53125,27160
32661,53119,27159
32876,53160,27039
33105,53071,27026
33337,53108,27064
33384,53105,27076
33124,53020,27124
32738,53069,27162
32516,53092,27175
32332,53031,27485
