ECG,EDA,RR
32092,27733,22868
31932,27700,22865
32016,27685,22854
31946,27663,22857
31964,27628,22861
31956,27650,22847
31765,27680,22839
32052,27708,22829
31990,27719,22824
31604,27756,22846
32060,27730,22840
32352,27692,22824
32268,27682,22815
32184,27671,22810
32396,27632,22808
32468,27654,22804
32140,27687,22800
32636,27701,22828
32218,27712,22802
32676,27755,22798
32679,27728,22802
32356,27688,22820
32704,27684,22804
32000,27665,22818
32040,27626,22818
32936,27645,22823
32870,27684,22812
32149,27695,22822
32449,27708,22828
32684,27751,22829
32612,27728,22842
32621,27687,22855
32620,27670,22864
32432,27655,22872
32372,27621,22876
32316,27647,22876
32212,27686,22887
32352,27692,22884
32424,27700,22887
32320,27732,22900
32212,27724,22917
32366,27682,22927
32176,27667,22939
32016,27650,22933
32386,27612,22940
32312,27637,22943
32008,27676,22942
31872,27681,22954
32124,27695,22969
31932,27731,22973
32012,27710,22981
31896,27671,22981
32124,27655,22987
31684,27653,22993
31881,27597,23005
32020,27621,23000
31780,27663,23003
32301,27676,23012
31968,27684,23032
31476,27725,23029
32012,27705,23026
32144,27666,23044
31948,27644,23060
31860,27638,23063
32009,27607,23087
31764,27616,23092
32100,27652,23103
32148,27655,23078
32636,27668,23129
32400,27717,23136
32180,27692,23152
33100,27654,23161
32372,27638,23164
32156,27632,23166
31988,27586,23194
32180,27609,23204
31945,27643,23216
32004,27655,23226
32492,27677,23234
33623,27709,23244
34545,27685,23251
35924,27645,23249
37502,27626,23257
39446,27629,23263
41080,27592,23278
41940,27632,23292
42728,27645,23298
43024,27646,23295
42960,27674,23305
43716,27721,23321
41536,27696,23332
38304,27669,23345
31016,27652,23354
22476,27684,23357
18928,27586,23374
19134,27621,23380
20994,27677,23384
22804,27677,23391
24318,27700,23389
25556,27708,23397
26656,27695,23412
27677,27661,23404
28489,27643,23410
29100,27620,23416
30364,27589,23404
30332,27604,23397
30784,27644,23389
31744,27655,23397
32172,27655,23406
31900,27708,23407
32272,27676,23404
32764,27645,23382
33032,27629,23396
32864,27620,23401
32957,27581,23378
32896,27607,23376
33022,27631,23356
32664,27653,23348
33020,27670,23372
32777,27698,23365
33188,27685,23360
33156,27640,23364
33180,27627,23356
33188,27623,23344
32720,27588,23344
33033,27602,23359
32836,27630,23366
33372,27642,23363
33308,27655,23368
33312,27695,23364
33440,27681,23361
33600,27633,23353
33488,27623,23390
33492,27610,23412
33230,27582,23424
33364,27588,23429
33520,27634,23428
33772,27640,23438
33685,27652,23432
33225,27684,23479
33392,27681,23473
33100,27636,23477
33428,27620,23476
33666,27608,23473
33493,27567,23477
33240,27586,23472
33941,27622,23493
33569,27632,23511
33676,27644,23492
33592,27689,23484
33736,27664,23469
33410,27628,23470
32985,27615,23460
33892,27596,23456
33800,27565,23442
33736,27591,23412
33684,27612,23399
34000,27629,23401
33966,27639,23403
