ECG,EDA,RR
34808,42614,35928
34880,42615,35947
34504,42625,35948
34294,42647,35975
34380,42648,35998
34344,42676,36012
34336,42679,36000
34514,42652,36039
34564,42615,36046
34336,42592,36061
34632,42605,36047
34740,42607,36063
34272,42618,36090
33876,42631,36112
33940,42654,36095
34284,42675,36129
34264,42671,36134
34336,42661,36137
34496,42644,36125
34696,42575,36167
34724,42604,36165
34584,42596,36182
35008,42614,36153
35080,42629,36172
34872,42652,36205
34506,42663,36216
34400,42637,36216
34888,42615,36197
34824,42631,36237
34992,42605,36252
35316,42596,36247
35398,42582,36260
35050,42569,36265
34597,42623,36247
34293,42640,36256
34028,42663,36284
33728,42663,36285
33680,42644,36287
34100,42599,36293
34540,42615,36292
34808,42595,36264
34718,42584,36309
35004,42601,36307
34916,42623,36285
34388,42640,36307
34120,42657,36301
34132,42615,36311
34552,42644,36305
35028,42628,36277
35210,42595,36304
35216,42592,36308
34977,42585,36276
34868,42599,36297
34664,42623,36293
34656,42631,36300
34392,42655,36285
34428,42612,36280
34524,42645,36301
34800,42620,36302
35110,42599,36263
35144,42592,36280
34764,42548,36285
34284,42597,36289
33744,42621,36260
33398,42647,36292
33228,42652,36285
33612,42644,36260
34440,42631,36269
35413,42591,36245
35524,42564,36257
35034,42584,36261
34564,42583,36258
34280,42592,36231
34001,42599,36238
33642,42620,36245
33468,42620,36241
33724,42640,36222
34857,42627,36231
35833,42612,36231
35749,42599,36231
35132,42583,36204
35176,42573,36231
35140,42590,36212
34968,42559,36180
34804,42593,36231
34788,42644,36218
35192,42631,36209
35648,42629,36181
35550,42573,36204
35594,42551,36214
35604,42573,36218
35505,42568,36188
35532,42583,36223
35424,42599,36201
35160,42613,36197
34796,42631,36184
34414,42631,36231
34720,42620,36214
35040,42597,36164
35206,42583,36220
35368,42575,36231
35562,42567,36212
35060,42575,36252
34824,42547,36237
34632,42607,36239
34716,42624,36252
34808,42622,36215
35088,42621,36222
35125,42577,36253
35332,42581,36257
35513,42559,36265
35264,42564,36266
34972,42564,36282
34453,42588,36283
34056,42576,36256
33760,42631,36248
33620,42620,36263
33492,42609,36290
33548,42594,36298
34428,42567,36288
35496,42559,36284
36384,42540,36300
36408,42559,36263
35788,42576,36301
35108,42599,36299
34844,42611,36304
34740,42589,36270
34708,42548,36314
34620,42553,36292
34832,42564,36308
34934,42540,36277
35060,42545,36317
34924,42556,36302
34448,42573,36276
34136,42582,36320
34268,42598,36322
34636,42567,36288
34630,42596,36270
34452,42583,36329
34156,42575,36316
33976,42548,36279
34272,42540,36286
34700,42545,36303
35580,42559,36323
36096,42579,36280
35964,42597,36290
35392,42599,36326
35164,42583,36324
35210,42566,36282
35508,42543,36324
35460,42535,36341
35366,42527,36297
35464,42537,36345
35160,42559,36340
34436,42564,36308
34048,42543,36358
34134,42564,36351
34372,42559,36328
