ECG,EDA,RR
32964,37273,36615
32712,37276,36681
32733,37292,36697
32992,37286,36669
33384,37272,36545
33776,37265,36653
34108,37255,36660
34260,37239,36612
34112,37255,36649
33760,37287,36597
33472,37277,36556
33292,37301,36493
33332,37318,36493
33593,37309,36596
33893,37291,36593
34156,37255,36508
34365,37260,36452
34332,37267,36426
34093,37271,36520
33760,37300,36484
33477,37300,36508
33228,37343,36445
33105,37335,36344
33296,37334,36423
33625,37317,36444
33876,37308,36317
34085,37292,36391
34116,37291,36327
33952,37301,36265
33728,37315,36222
33536,37351,36261
33384,37352,36227
33352,37358,36160
33600,37348,36204
33940,37328,36161
34201,37328,36081
34460,37309,36125
34524,37311,36092
34344,37295,35975
34060,37345,36052
33712,37355,36040
33460,37383,35887
33420,37383,35975
33604,37383,35911
33916,37364,35943
34108,37350,35875
34228,37340,35888
34233,37332,35716
34000,37335,35741
33672,37339,35794
33360,37383,35748
33142,37399,35662
33088,37393,35614
33252,37412,35668
33516,37397,35618
33760,37372,35622
33920,37356,35503
33872,37366,35532
33472,37379,35509
32892,37383,35463
32292,37416,35352
31792,37436,35356
31550,37409,35324
31532,37441,35359
31684,37431,35302
31956,37415,35292
32224,37394,35249
32352,37383,35124
32216,37383,35084
31988,37423,35169
31772,37437,35109
31677,37452,35097
32040,37456,35073
32788,37445,35005
33504,37437,34885
34036,37417,34973
34660,37394,34912
35064,37397,34884
34940,37407,34873
34564,37428,34744
34484,37441,34732
34612,37468,34767
34900,37463,34722
35258,37458,34692
35556,37437,34596
35776,37439,34636
35916,37419,34567
35888,37415,34533
35604,37439,34469
34980,37455,34495
34396,37447,34390
33924,37503,34429
33636,37503,34369
33572,37502,34333
33712,37487,34340
33876,37479,34239
33976,37454,34156
33881,37450,34145
33600,37473,34095
33236,37482,34168
32876,37493,34112
32609,37511,34105
32600,37526,34000
32724,37520,34023
33000,37509,34052
33276,37500,34016
33448,37480,34020
33420,37485,33908
33197,37495,33941
32825,37511,33940
32502,37529,33941
32256,37551,33919
32164,37557,33830
32304,37540,33837
32592,37538,33869
32916,37503,33829
33148,37497,33831
33212,37468,33799
33044,37511,33799
32728,37540,33706
32489,37550,33751
32308,37568,33743
32252,37577,33665
32448,37572,33685
32720,37557,33687
32988,37539,33660
33196,37508,33588
33271,37499,33535
33101,37541,33598
32800,37556,33575
32480,37583,33540
32244,37591,33536
32196,37588,33461
32416,37580,33415
32700,37585,33415
32996,37564,33407
33232,37551,33431
33248,37551,33393
32992,37563,33356
32641,37549,33356
32356,37589,33306
32116,37621,33214
32048,37620,33212
32232,37607,33220
32564,37599,33188
32920,37584,33157
33152,37569,33141
33264,37569,33111
33116,37572,33070
32840,37589,33036
32502,37605,33022
32228,37629,32932
32204,37639,32908
32367,37631,32909
32668,37591,32924
32996,37580,32889
33196,37593,32854
33252,37588,32841
33053,37596,32820
32736,37623,32796
32472,37623,32775
32256,37647,32741
32164,37658,32710
32348,37650,32684
32620,37636,32633
32908,37631,32572
33129,37610,32596
33192,37604,32559
33036,37593,32549
32760,37637,32471
32384,37653,32442
32084,37675,32441
32048,37668,32397
32220,37676,32316
32472,37661,32326
32716,37639,32281
32984,37628,32263
33004,37612,32225
32808,37637,32159
32529,37661,32143
32305,37671,32113
32124,37677,32101
32108,37700,32037
32344,37685,31990
32684,37672,31952
32996,37653,31961
33249,37621,31919
33288,37636,31895
33080,37652,31835
32752,37657,31793
32464,37689,31767
32208,37705,31749
32208,37687,31719
32408,37705,31663
32656,37663,31647
32901,37677,31628
33113,37653,31596
33180,37663,31556
32988,37661,31508
32712,37687,31476
32516,37696,31460
32364,37716,31439
32400,37703,31400
32564,37719,31383
32780,37701,31351
33024,37689,31294
33202,37680,31271
33172,37663,31262
32920,37686,31223
32544,37711,31197
32192,37723,31169
31892,37751,31150
31820,37716,31119
32034,37748,31095
32356,37732,31056
32620,37717,31022
32828,37695,30981
32880,37703,30980
32676,37705,30949
32320,37735,30919
32016,37745,30893
31804,37767,30863
31796,37777,30845
31944,37767,30802
32216,37752,30779
32493,37745,30757
32784,37724,30738
32905,37721,30705
32740,37740,30679
32412,37748,30663
32100,37767,30616
31840,37740,30605
31770,37793,30567
31876,37785,30561
32192,37767,30501
32572,37767,30500
32772,37741,30479
32776,37727,30464
32653,37764,30434
32428,37772,30412
32148,37766,30396
31880,37821,30364
31764,37820,30348
31876,37812,30343
32133,37801,30309
32368,37796,30292
32572,37772,30268
32576,37767,30260
32369,37783,30250
32034,37807,30236
31693,37812,30215
31412,37802,30225
31360,37847,30200
31572,37837,30178
31904,37826,30148
32237,37805,30164
32496,37788,30169
32673,37756,30151
32508,37804,30168
32204,37814,30140
31893,37833,30125
31641,37861,30136
31580,37857,30143
31733,37855,30121
31977,37838,30111
32236,37821,30125
32436,37805,30095
32500,37812,30081
32328,37821,30081
32040,37799,30063
31805,37861,30071
31624,37868,30087
31556,37879,30047
31724,37864,30036
32064,37853,30039
32352,37844,30033
32568,37828,30015
32620,37824,30021
32448,37833,30016
32180,37857,30009
31888,37863,29984
31620,37882,30011
31521,37863,29993
31656,37893,29969
31908,37871,29987
32184,37860,29973
32444,37842,30000
32536,37851,29989
32369,37853,29965
32074,37879,29983
31836,37887,29981
31664,37911,30023
31646,37910,29988
31884,37908,29994
32168,37895,30020
32436,37884,30008
32704,37863,29998
32772,37861,30015
32604,37871,30029
32300,37889,30039
32048,37906,30063
31780,37928,30087
31716,37932,30060
31824,37925,30078
32094,37900,30083
32372,37895,30094
32607,37876,30107
32676,37879,30117
32412,37873,30124
32066,37911,30137
31796,37914,30178
31572,37943,30192
31532,37946,30178
31736,37895,30176
32057,37926,30188
32356,37911,30231
32632,37895,30204
32704,37895,30215
32558,37895,30237
32252,37914,30235
31968,37943,30248
31760,37956,30253
31704,37972,30257
31888,37959,30260
32205,37940,30304
32502,37893,30279
32660,37908,30278
32740,37911,30277
32568,37908,30288
32272,37940,30279
32000,37957,30276
31804,37968,30288
31760,37981,30300
31945,37975,30290
32246,37957,30317
32444,37917,30308
32608,37931,30276
32580,37929,30273
32344,37908,30268
32016,37959,30265
31804,37973,30248
31652,37993,30257
31582,38000,30251
31724,37983,30260
32017,37983,30244
32321,37964,30215
32592,37949,30221
32654,37910,30210
32456,37956,30225
32076,37977,30224
31775,37996,30191
31520,38012,30168
31460,38015,30177
31692,38013,30152
32024,38001,30177
32356,37980,30142
32608,37961,30116
32660,37967,30112
32501,37972,30111
32228,37983,30100
31953,38013,30080
31741,37988,30111
31696,38023,30093
31896,38023,30077
32256,37997,30024
32634,37996,30023
32872,37977,30027
32876,37980,30013
32724,37985,29996
32480,38001,29983
32188,38023,29994
31944,38004,30005
31928,38047,29937
32116,38043,29945
32388,37996,29935
32696,38015,29959
32924,37993,29956
32993,37991,29940
32773,38004,29891
32432,38015,29887
32196,38041,29909
31972,38055,29840
31936,38068,29849
32140,38055,29844
32464,38047,29830
32748,38023,29840
32988,38004,29857
33012,38006,29805
32828,38023,29788
32480,38039,29780
32212,38052,29820
32008,38071,29789
31940,38072,29733
32140,38069,29743
32428,38054,29726
32732,38041,29720
32936,38011,29754
32992,38013,29703
32790,38031,29698
32460,38053,29733
32165,38065,29669
31900,38085,29651
31808,38091,29655
32034,38033,29654
32400,38066,29677
32714,38055,29644
32944,38034,29628
32972,38037,29593
32716,38016,29615
32416,38061,29577
32072,38077,29594
31840,38111,29591
31848,38109,29623
32080,38093,29604
32414,38085,29542
32672,38058,29549
32852,38052,29596
32844,38053,29572
32636,38053,29519
32364,38076,29541
32180,38052,29520
32064,38111,29564
32088,38103,29541
32308,38103,29508
32624,38093,29520
32936,38073,29533
33188,38053,29510
33268,38055,29556
33100,38073,29567
32752,38087,29524
32460,38103,29516
32200,38119,29527
32026,38124,29532
32100,38125,29532
32369,38100,29574
32715,38085,29519
33032,38063,29543
33202,38063,29525
33100,38072,29569
32834,38055,29580
32552,38105,29584
32348,38127,29524
32292,38132,29540
32484,38108,29548
32800,38104,29545
33084,38092,29545
33304,38079,29544
33332,38071,29556
33156,38093,29575
32869,38101,29574
32553,38123,29612
32364,38136,29541
32220,38143,29549
32400,38135,29576
32745,38117,29565
33017,38105,29588
33220,38048,29622
33192,38092,29606
32993,38096,29562
32628,38117,29580
32301,38130,29583
32116,38102,29599
32071,38145,29659
32236,38151,29580
32568,38132,29602
32900,38117,29661
33176,38100,29605
33260,38100,29633
33056,38087,29650
32744,38127,29662
32472,38135,29639
32217,38169,29655
32160,38140,29686
32180,38163,29676
32252,38151,29693
32184,38132,29695
32100,38118,29716
31880,38102,29719
31493,38136,29719
31080,38149,29776
30792,38151,29728
30616,38183,29760
30652,38187,29749
30916,38151,29807
31344,38158,29796
31712,38125,29805
32080,38089,29781
32428,38127,29808
32746,38127,29801
32864,38141,29853
32868,38151,29807
33090,38168,29816
33400,38172,29831
33692,38173,29824
34028,38148,29880
34550,38103,29846
35072,38089,29833
35400,38121,29852
35412,38129,29844
35080,38147,29873
34700,38159,29860
34392,38183,29838
34316,38151,29852
34404,38183,29869
34436,38164,29837
34432,38151,29844
34405,38117,29860
34252,38139,29847
33816,38145,29831
33272,38165,29841
32773,38183,29871
32292,38207,29785
32092,38183,29829
32188,38171,29833
32408,38183,29848
32676,38168,29873
32912,38149,29843
32968,38142,29860
32756,38151,29860
32416,38148,29893
32080,38207,29915
31780,38215,29935
31708,38214,29905
31868,38205,29928
32192,38196,29927
32497,38181,29964
32748,38173,29969
32820,38160,29953
32608,38175,29986
32292,38176,29981
32008,38196,30022
31804,38220,30044
31758,38183,30012
31972,38216,30036
32296,38199,30057
32572,38197,30062
32708,38169,30108
32664,38167,30077
32481,38173,30100
32204,38196,30109
31912,38215,30122
31668,38230,30156
31592,38244,30136
31716,38228,30125
31984,38209,30148
32248,38197,30154
32472,38175,30166
32544,38172,30197
32332,38189,30179
32040,38197,30185
31760,38214,30189
31480,38244,30213
31436,38248,30203
31709,38239,30176
32108,38212,30181
32436,38192,30215
32657,38188,30209
32740,38181,30196
32572,38199,30154
32302,38208,30177
32004,38192,30162
31737,38205,30181
31684,38253,30196
31868,38236,30194
32152,38231,30147
32420,38215,30146
32616,38188,30154
32701,38191,30157
32560,38200,30189
32240,38223,30117
31968,38228,30156
31828,38206,30149
31820,38252,30181
32025,38245,30126
32396,38239,30137
32704,38189,30130
32896,38204,30134
32960,38187,30100
32784,38197,30094
32409,38217,30068
32058,38239,30073
31820,38253,30049
31732,38260,30057
31885,38249,30016
32140,38223,29959
32420,38217,29972
32645,38192,29937
32677,38190,29959
32464,38210,29873
32144,38223,29877
31876,38239,29841
31632,38255,29849
31580,38263,29783
31761,38253,29758
32077,38204,29765
32388,38229,29751
32636,38199,29669
32684,38197,29652
32532,38208,29645
32300,38220,29607
32052,38241,29567
31855,38217,29599
31856,38259,29506
32144,38253,29504
32532,38231,29475
32860,38181,29491
33036,38206,29432
33060,38196,29401
32889,38205,29370
32600,38231,29340
32348,38240,29332
32136,38265,29306
32036,38260,29283
32276,38253,29263
32552,38238,29231
32824,38229,29205
33048,38215,29223
33116,38212,29209
32928,38212,29171
32570,38225,29094
32257,38247,29089
32038,38270,29070
31980,38238,29077
32161,38268,29032
32428,38244,29022
32662,38233,29014
32844,38215,29009
32908,38204,29005
32720,38225,28908
32396,38247,28916
32120,38255,28944
31844,38279,28921
31836,38279,28841
32041,38276,28863
32327,38239,28841
32600,38245,28841
32828,38228,28796
32936,38225,28775
32784,38237,28777
32493,38249,28799
32228,38239,28728
32014,38290,28721
31908,38290,28727
32064,38291,28752
32376,38269,28664
32700,38269,28661
32908,38239,28672
32989,38236,28692
32816,38240,28634
32544,38258,28636
32268,38279,28607
32052,38291,28634
32001,38263,28582
32204,38292,28575
32544,38279,28532
32824,38271,28605
33109,38239,28548
33200,38247,28497
33028,38241,28511
32628,38271,28540
32308,38279,28454
32037,38308,28461
31944,38305,28534
32148,38279,28429
32492,38285,28420
32789,38273,28515
33032,38253,28401
33064,38258,28421
32804,38240,28421
32480,38273,28456
32189,38285,28381
31972,38317,28401
31949,38317,28389
32160,38304,28381
32492,38295,28428
32780,38279,28377
32956,38265,28380
33020,38261,28359
32876,38268,28444
32532,38279,28340
32220,38297,28362
31988,38309,28334
31902,38327,28412
32064,38313,28324
32416,38300,28343
32700,38292,28357
32928,38236,28399
32992,38263,28313
32824,38271,28339
32521,38286,28290
32224,38311,28288
31973,38327,28324
31968,38323,28261
32168,38323,28268
32524,38267,28356
32864,38293,28291
33136,38271,28277
33200,38277,28250
33056,38277,28316
32750,38282,28240
32413,38271,28253
32200,38321,28294
32132,38329,28236
32296,38319,28260
32633,38309,28244
32956,38302,28327
33244,38279,28237
33392,38268,28270
33260,38279,28257
32941,38293,28287
32632,38277,28326
32320,38330,28276
32204,38341,28273
32404,38335,28372
32728,38311,28260
33056,38294,28295
33296,38279,28300
33368,38236,28396
33204,38292,28345
32816,38304,28351
32480,38311,28335
32220,38343,28405
32092,38336,28351
32272,38335,28388
32621,38316,28367
32960,38301,28401
33216,38287,28399
33308,38279,28389
33082,38288,28500
32744,38273,28412
32492,38316,28448
32292,38343,28450
32117,38348,28444
32229,38343,28516
32536,38316,28443
32808,38309,28460
33020,38290,28485
33132,38287,28557
32932,38287,28503
32568,38315,28485
32244,38324,28479
32012,38341,28479
31976,38351,28512
32196,38320,28484
32540,38315,28566
32852,38314,28525
33104,38295,28521
33144,38288,28485
32932,38301,28564
32584,38314,28575
32277,38332,28466
32048,38367,28495
31988,38354,28520
32124,38348,28516
32446,38329,28500
32740,38317,28486
33036,38300,28497
33156,38293,28526
33000,38272,28564
32688,38279,28562
32428,38332,28521
32192,38353,28496
32132,38365,28477
32284,38355,28498
32612,38339,28551
32920,38324,28453
33164,38303,28453
33232,38309,28460
33064,38309,28447
32741,38323,28449
32416,38332,28485
32160,38365,28505
32084,38364,28437
32300,38356,28380
32648,38324,28405
32936,38311,28390
33164,38285,28365
33220,38275,28359
32988,38295,28423
32676,38333,28423
32388,38342,28321
32216,38361,28412
32244,38369,28308
32445,38364,28326
32724,38353,28383
33008,38339,28299
33198,38320,28271
33288,38317,28366
33088,38317,28254
32748,38343,28244
32484,38351,28343
32304,38375,28216
32248,38375,28247
32496,38372,28276
32840,38356,28190
33092,38338,28204
33316,38335,28273
33349,38279,28163
33188,38324,28159
32872,38335,28194
32592,38356,28167
32400,38381,28133
32324,38385,28226
32484,38380,28100
32820,38356,28119
33164,38355,28159
33429,38325,28068
33536,38325,28095
33329,38341,28124
32952,38345,28102
32636,38367,28063
32360,38360,28047
32200,38391,28076
32356,38388,28001
32700,38370,28036
32976,38356,28046
33140,38334,28061
33228,38335,27975
33113,38325,27981
32880,38361,27942
32544,38378,27958
32252,38391,28020
32160,38397,27923
32358,38361,27956
32684,38380,27966
33028,38353,27938
33268,38345,27938
33390,38328,27938
33248,38344,27879
32884,38365,27919
32588,38380,27892
32380,38401,27976
32332,38407,27855
32508,38397,27873
32802,38369,27965
33120,38373,27852
33332,38359,27856
33440,38348,27851
33312,38350,27937
32996,38361,27815
32672,38367,27822
32426,38407,27844
32302,38407,27812
32496,38407,27815
32756,38388,27911
32972,38380,27797
33112,38328,27776
33172,38357,27884
33068,38359,27759
32886,38387,27764
32652,38383,27855
32364,38420,27836
32212,38417,27743
32324,38423,27778
32608,38407,27737
32948,38380,27842
33188,38373,27777
33276,38375,27720
33172,38348,27744
32897,38403,27701
32656,38407,27752
32404,38423,27797
32365,38431,27679
32580,38421,27700
32936,38407,27709
33210,38404,27675
33376,38383,27684
33504,38373,27693
33440,38381,27673
33212,38401,27640
33008,38407,27662
32782,38431,27761
32652,38407,27624
32793,38433,27654
33052,38407,27631
33216,38407,27723
33360,38367,27631
33412,38348,27649
33296,38389,27631
33049,38404,27702
32780,38423,27600
32593,38445,27613
32530,38429,27636
32732,38445,27620
33020,38429,27597
33360,38407,27614
33596,38396,27653
33660,38403,27680
33468,38402,27713
33148,38407,27605
32860,38431,27705
32685,38452,27603
32548,38466,27640
32740,38463,27605
33084,38441,27744
33385,38428,27692
33596,38407,27615
33696,38372,27624
33573,38407,27636
33188,38430,27732
32846,38439,27639
32636,38436,27656
32488,38468,27684
32614,38471,27759
32940,38455,27645
33261,38399,27678
33536,38423,27671
33616,38420,27703
33488,38432,27789
33184,38407,27704
32872,38463,27678
32669,38474,27817
32542,38468,27711
32654,38477,27836
32856,38469,27712
32980,38449,27764
32992,38429,27749
32840,38429,27783
32412,38452,27872
31824,38465,27842
31300,38482,27773
30868,38497,27809
30684,38510,27836
30880,38508,27814
31213,38495,27809
31640,38474,27852
32068,38448,27957
32252,38455,27836
32272,38452,27887
32412,38471,27866
32654,38480,27904
32868,38500,28015
33028,38502,28000
33636,38495,27906
34310,38484,27921
34761,38468,27961
35004,38446,27948
35385,38440,28062
35624,38423,27948
35688,38466,27963
35568,38487,28036
35228,38508,28084
34864,38519,27937
34784,38480,28008
34932,38503,28097
35032,38493,28022
34972,38468,28038
34828,38468,28073
34478,38476,28044
33964,38500,28043
33296,38519,28008
32793,38535,28048
32468,38536,28055
32416,38548,28140
32608,38533,28038
32820,38511,28039
33016,38500,28146
33116,38495,28066
32976,38500,28085
32726,38510,28150
32393,38522,28201
32109,38551,28124
31952,38564,28133
32016,38556,28258
32225,38540,28167
32544,38530,28178
32832,38513,28249
32972,38511,28241
32858,38516,28265
32549,38533,28330
32224,38508,28232
32036,38575,28293
31940,38583,28309
32127,38576,28329
32468,38525,28332
32740,38546,28414
32976,38525,28319
33132,38503,28363
33004,38535,28429
32676,38551,28360
32372,38565,28399
32124,38586,28407
32004,38596,28501
32180,38591,28404
32465,38568,28433
32696,38559,28503
32988,38533,28533
33072,38504,28431
32904,38557,28463
32628,38569,28516
32268,38588,28534
31980,38599,28474
31905,38596,28500
32036,38607,28551
32420,38596,28537
32776,38575,28495
32992,38535,28533
33112,38559,28551
32972,38571,28567
32705,38581,28532
32404,38585,28513
32180,38623,28558
32008,38620,28542
32152,38610,28521
32492,38615,28612
32797,38592,28519
33080,38575,28557
33212,38580,28537
33074,38574,28616
32748,38596,28519
32456,38616,28548
32236,38641,28604
32128,38649,28535
32196,38647,28521
32468,38583,28517
32716,38613,28540
32948,38592,28580
33056,38584,28511
32917,38593,28527
32572,38615,28612
32225,38630,28503
31969,38661,28486
31832,38660,28578
32008,38663,28469
32432,38623,28512
32860,38631,28492
33128,38611,28567
33342,38607,28441
33233,38605,28443
32916,38624,28463
32609,38645,28461
32340,38663,28457
32184,38679,28412
32324,38676,28412
32560,38639,28445
32856,38647,28439
33088,38631,28362
33216,38624,28351
33098,38631,28444
32821,38640,28343
32532,38663,28378
32334,38687,28317
32257,38686,28301
32432,38685,28399
32780,38676,28303
33104,38660,28305
33308,38623,28295
33436,38640,28293
33320,38655,28320
33037,38631,28246
32768,38678,28271
32561,38703,28232
32388,38703,28247
32452,38663,28252
32670,38703,28308
33000,38681,28234
33268,38663,28276
33460,38653,28185
33360,38639,28196
33028,38685,28292
32740,38692,28173
32560,38722,28182
32460,38729,28167
32608,38726,28188
32844,38716,28210
33052,38695,28205
33216,38690,28279
33320,38675,28165
33156,38695,28212
32752,38706,28149
32352,38721,28152
32046,38741,28278
31940,38722,28167
32076,38749,28183
32312,38734,28284
32592,38694,28167
32848,38709,28165
33060,38706,28263
32968,38679,28197
32660,38729,28189
32352,38745,28240
32156,38737,28207
32053,38775,28260
32188,38776,28180
32536,38765,28201
32800,38751,28297
33036,38735,28209
33148,38727,28220
33068,38732,28285
32848,38745,28239
32552,38773,28239
32301,38791,28301
32180,38813,28221
32304,38801,28241
32580,38753,28261
32852,38781,28308
33121,38748,28253
33280,38751,28241
33180,38758,28288
32905,38773,28277
32630,38799,28294
32414,38781,28300
32242,38824,28309
32336,38828,28284
32588,38812,28282
32910,38775,28297
33189,38783,28431
33308,38768,28348
33165,38789,28336
32832,38759,28452
32520,38823,28356
32280,38845,28409
32156,38849,28421
32296,38828,28441
32637,38839,28425
32952,38814,28461
33124,38803,28437
33180,38807,28478
32992,38805,28454
32660,38805,28488
32308,38841,28593
32116,38858,28495
31976,38870,28519
32065,38852,28552
32320,38863,28621
32592,38847,28576
32789,38828,28594
32952,38828,28666
32888,38807,28576
32581,38855,28629
32344,38858,28663
32206,38885,28669
32190,38862,28669
32404,38895,28731
32780,38878,28634
33104,38861,28711
33329,38837,28690
33429,38846,28813
33292,38844,28751
32989,38862,28775
32676,38889,28756
32360,38909,28807
32208,38909,28904
32257,38910,28849
32456,38903,28855
32712,38895,28863
32972,38868,28935
33128,38864,28918
33108,38862,28964
32852,38887,28959
32580,38911,29025
32348,38916,29076
32200,38941,29034
32316,38895,29068
32602,38927,29077
32888,38915,29085
33144,38860,29137
33296,38885,29217
33189,38903,29180
32885,38865,29191
32576,38919,29284
32356,38948,29273
32220,38956,29371
32313,38933,29295
32582,38945,29359
32920,38919,29380
33164,38917,29380
33300,38903,29479
33164,38919,29451
32840,38909,29457
32500,38956,29493
32284,38970,29566
32169,38977,29556
32298,38976,29556
32624,38935,29582
32917,38953,29684
33104,38935,29612
33161,38940,29668
33040,38917,29712
32752,38951,29672
32408,38971,29703
32145,38957,29807
32080,39001,29746
32292,39007,29788
32608,38989,29831
32912,38973,29793
33044,38967,29842
33172,38959,29886
32988,38925,29855
32680,38943,29869
32348,38997,29918
32176,39005,29941
32032,39015,30001
32152,39023,30023
32480,39015,29956
32791,38988,29991
32960,38969,30060
33108,38971,30025
32956,38970,30041
32660,38997,30052
32340,39013,30079
32084,39020,30108
31936,39045,30089
32058,39022,30165
32313,39028,30111
32620,39015,30132
32840,38996,30212
32960,38966,30165
32840,38992,30160
32628,39012,30192
32372,39031,30240
32188,39044,30236
32100,39058,30222
32293,39019,30248
32580,39047,30244
32864,39031,30288
33095,39013,30332
33216,39005,30273
33064,39013,30319
32801,39024,30316
32516,39036,30378
32284,39039,30327
32168,39078,30359
32261,39070,30369
32532,39047,30435
32791,39036,30389
32956,39028,30422
33090,39026,30438
32952,38987,30490
32600,39045,30457
32302,39052,30460
32038,39084,30517
31836,39047,30509
31916,39087,30525
32146,39076,30575
32468,39042,30540
32828,39047,30591
33133,39041,30567
33124,39037,30575
32885,39053,30590
32485,39068,30656
32200,39084,30617
31996,39065,30644
32044,39100,30688
32240,39101,30685
32548,39078,30703
32823,39063,30724
33068,39010,30724
33032,39060,30749
32781,39076,30784
32516,39085,30754
32324,39109,30796
32233,39112,30840
32376,39081,30808
32644,39103,30836
32952,39089,30884
33172,39079,30846
33344,39031,30887
33256,39077,30892
33007,39100,30933
32722,39102,30909
32473,39131,30937
32316,39106,30961
32412,39141,30959
32652,39125,30980
32900,39113,30989
33160,39071,31012
33328,39092,31017
33180,39095,31047
32821,39089,31020
32420,39127,31062
32156,39141,31096
32020,39159,31074
32132,39118,31093
32416,39137,31124
32721,39124,31116
32952,39119,31127
33140,39098,31181
33030,39094,31142
32776,39111,31174
32508,39138,31193
32264,39156,31226
32100,39166,31201
32192,39167,31223
32481,39156,31231
32808,39124,31283
33020,39119,31269
33148,39108,31282
33048,39119,31318
32796,39085,31293
32564,39144,31319
32388,39160,31359
32209,39175,31321
32313,39174,31356
32576,39167,31389
32900,39149,31366
33132,39140,31381
33268,39127,31391
33128,39135,31433
32756,39140,31423
32364,39165,31435
32054,39175,31446
31844,39196,31476
31941,39187,31461
32236,39171,31484
32592,39167,31520
32884,39149,31495
33052,39141,31520
32916,39135,31554
32608,39159,31540
32264,39175,31554
32072,39199,31565
31936,39213,31572
32020,39205,31597
32192,39197,31593
32457,39183,31616
32676,39166,31631
32805,39125,31638
32760,39157,31653
32568,39161,31671
32334,39199,31676
32112,39209,31693
31896,39210,31687
31932,39214,31706
32248,39175,31728
32580,39188,31727
32800,39173,31741
32964,39159,31764
32908,39128,31751
32636,39175,31781
32304,39196,31804
32012,39188,31793
31884,39228,31810
31974,39227,31822
32252,39210,31844
32600,39196,31852
32884,39175,31865
33068,39168,31855
32984,39148,31869
32737,39190,31895
32488,39191,31903
32236,39207,31909
32022,39239,31913
32124,39231,31941
32400,39226,31916
32676,39159,31953
32852,39185,31974
33012,39173,31966
33000,39167,31978
32832,39197,31998
32648,39205,31989
32412,39234,32001
32180,39205,32021
32277,39239,32023
32549,39225,32038
32836,39206,32063
32981,39197,32062
33108,39191,32083
32988,39171,32086
32732,39204,32089
32464,39218,32100
32304,39239,32119
32188,39207,32106
32324,39250,32124
32608,39239,32141
32924,39220,32151
33120,39167,32156
33292,39197,32163
33172,39197,32177
32868,39209,32165
32504,39231,32188
32252,39245,32190
32080,39254,32199
32180,39260,32228
32412,39239,32220
32708,39237,32228
32901,39166,32255
33076,39205,32247
32960,39209,32263
32672,39220,32284
32352,39239,32276
32096,39255,32294
31896,39271,32313
31917,39268,32304
32112,39239,32332
32268,39245,32352
32316,39221,32348
32140,39220,32374
31757,39228,32391
31236,39239,32409
30753,39255,32408
30388,39271,32423
30152,39287,32436
30284,39284,32452
30680,39268,32485
31092,39255,32475
31476,39233,32508
31712,39215,32518
31680,39225,32516
31600,39237,32550
