ECG,EDA,RR
31492,40327,33416
31396,40358,33415
31220,40349,33399
31104,40398,33373
31144,40405,33373
31240,40388,33356
31344,40361,33343
31560,40293,33324
31700,40305,33325
31712,40312,33300
31640,40320,33285
31556,40348,33267
31408,40389,33250
31292,40393,33225
31292,40353,33200
31390,40385,33189
31512,40359,33156
31692,40324,33143
31828,40311,33113
31812,40313,33071
31760,40325,33054
31676,40351,33014
31533,40382,32993
31405,40398,32953
31444,40386,32916
31516,40381,32870
31612,40311,32831
31812,40315,32820
31874,40309,32755
31836,40311,32725
31797,40324,32676
31662,40341,32628
31525,40372,32612
31440,40396,32553
31416,40389,32500
31428,40351,32497
31569,40343,32438
31756,40313,32399
31885,40303,32369
31916,40300,32357
31885,40321,32305
31758,40356,32276
31560,40351,32263
31488,40390,32228
31556,40391,32213
31602,40382,32212
31736,40348,32160
31912,40316,32146
32056,40296,32164
32076,40304,32132
32036,40316,32126
31928,40337,32093
31772,40373,32088
31652,40391,32103
31704,40383,32103
31810,40373,32089
31968,40353,32086
32188,40279,32079
32324,40303,32090
32340,40308,32081
32364,40324,32117
32392,40311,32102
32290,40376,32095
32260,40393,32084
32328,40380,32133
32440,40369,32104
32600,40343,32101
32812,40322,32149
32992,40305,32126
33100,40302,32138
33135,40318,32164
33088,40332,32153
32948,40362,32144
32900,40381,32188
32946,40391,32173
33064,40367,32217
33230,40341,32197
33444,40304,32198
33580,40305,32217
33600,40305,32239
33544,40309,32231
33431,40334,32224
33268,40376,32263
33149,40380,32248
33129,40373,32263
33144,40327,32246
33141,40313,32287
33241,40287,32285
33277,40295,32281
33161,40301,32280
33000,40302,32292
32824,40317,32287
32584,40361,32321
32412,40380,32300
32324,40365,32332
32308,40367,32303
32348,40340,32327
32445,40301,32308
32516,40293,32300
32441,40300,32325
32376,40282,32314
32236,40325,32302
32076,40364,32332
31972,40370,32318
31944,40335,32319
31973,40357,32345
32084,40333,32318
32296,40303,32317
32400,40236,32348
32389,40288,32325
32356,40295,32325
32262,40320,32359
32062,40316,32340
31948,40366,32345
31972,40364,32356
32044,40356,32348
32161,40318,32336
32340,40276,32369
32476,40272,32357
32508,40279,32373
32460,40247,32366
32380,40308,32364
32192,40341,32365
32108,40352,32364
32141,40345,32383
32212,40343,32376
32328,40308,32400
32476,40275,32391
32664,40277,32388
32680,40270,32417
32620,40284,32402
32500,40271,32390
32324,40339,32428
32184,40355,32409
32212,40341,32423
32278,40332,32424
32409,40305,32437
32612,40284,32417
32724,40260,32426
32708,40225,32349
32672,40244,32423
32544,40292,32391
32356,40325,32386
32236,40341,32383
32264,40345,32359
32308,40327,32353
32420,40293,32364
32592,40268,32332
32680,40268,32301
32660,40247,32324
32616,40263,32292
32541,40293,32298
32380,40318,32284
32257,40351,32288
32276,40337,32258
32350,40312,32271
32444,40285,32245
32616,40260,32263
32668,40247,32233
32684,40252,32241
32640,40268,32236
32552,40293,32236
32388,40314,32225
32277,40324,32250
32284,40340,32244
32356,40320,32244
32476,40303,32255
