ECG,EDA,RR
31040,35039,34666
31200,35011,34504
31492,34975,34505
31804,34912,34565
31972,34873,34492
32025,34871,34442
31868,34884,34457
31652,34938,34309
31424,35012,34261
31308,35053,34291
31312,35063,34287
31412,35041,34125
31512,34973,34201
31772,34935,34117
32040,34909,34068
32172,34900,34056
32212,34913,33965
32112,34972,33920
31788,35038,33810
31316,35089,33761
31024,35101,33738
31068,35085,33724
31416,35035,33762
31833,34975,33717
32060,34943,33677
32084,34940,33541
32095,34950,33543
31992,35004,33604
31704,35079,33559
31584,35116,33519
31708,35127,33514
31872,35115,33476
31932,35065,33441
31980,35000,33327
31980,34968,33335
31976,34963,33404
31934,34980,33346
32016,35039,33343
32036,35107,33343
32112,35131,33220
32208,35164,33255
32196,35144,33297
32032,35108,33287
32208,35033,33261
32422,34996,33196
32512,34980,33312
32572,35013,33301
32632,35069,33274
32544,35141,33317
32596,35175,33309
32728,35183,33247
32756,35171,33223
32924,35126,33228
33208,35071,33301
33404,35028,33369
33400,35028,33370
33364,35036,33420
33276,35100,33367
33204,35173,33364
33168,35212,33349
33108,35207,33404
33220,35200,33523
33480,35163,33508
33705,35092,33574
33764,35055,33564
33720,35033,33557
33692,35066,33645
33581,35125,33661
33392,35194,33713
33320,35233,33633
33412,35230,33708
33544,35220,33764
33569,35183,33799
33532,35115,33838
33260,35087,33878
32917,35065,33933
32652,35094,33885
32549,35138,33882
32444,35207,33892
32364,35252,33913
32285,35257,34000
32228,35251,34106
32384,35193,34141
32496,35127,34176
32764,35088,34085
32728,35093,34172
32668,35070,34295
32540,35156,34294
32320,35212,34372
32152,35253,34257
32216,35268,34332
32276,35252,34404
32225,35201,34495
32186,35117,34509
32248,35103,34596
32380,35087,34621
32441,35111,34591
32480,35159,34548
32480,35222,34613
32389,35247,34661
32405,35271,34812
32604,35254,34839
32696,35206,34864
32728,35137,34900
32782,35101,34823
32804,35095,35008
32752,35113,35037
32566,35167,35045
32312,35229,35057
32272,35271,35063
32324,35272,35153
32324,35258,35155
32393,35207,35146
32594,35152,35318
32693,35103,35305
32724,35087,35404
32796,35116,35284
32756,35181,35479
32600,35236,35473
32424,35279,35517
32570,35279,35567
32704,35264,35636
32836,35215,35655
33036,35142,35569
33094,35079,35605
