ECG,EDA,RR
31368,44743,39321
31060,44692,39319
30904,44724,39213
30864,44679,39168
30693,44664,39190
30372,44602,39136
30060,44671,39031
29932,44692,39044
30040,44735,38992
30376,44752,38909
31224,44767,38919
32216,44762,38862
33609,44745,38772
35432,44718,38789
36984,44693,38749
38253,44688,38662
39552,44684,38648
40640,44701,38576
41024,44717,38567
40724,44753,38496
39808,44769,38489
38624,44758,38432
37696,44741,38357
37012,44704,38339
36492,44677,38248
35816,44663,38255
35304,44652,38180
34796,44695,38132
34216,44738,38085
33676,44764,38015
33241,44765,38007
32988,44760,37941
32780,44745,37873
32608,44703,37869
32636,44695,37831
32584,44686,37789
32437,44697,37768
32272,44705,37724
32100,44751,37718
31744,44783,37671
31444,44780,37684
31352,44729,37655
31376,44761,37605
31344,44700,37621
31376,44695,37602
31424,44701,37575
31465,44703,37571
31532,44712,37545
31548,44757,37551
31460,44773,37528
31468,44783,37511
31552,44777,37500
31644,44764,37472
31776,44733,37469
31876,44708,37446
31760,44684,37444
31576,44708,37432
31468,44726,37396
31372,44709,37396
31309,44781,37364
31308,44785,37327
31396,44791,37330
31536,44772,37292
31736,44709,37271
31976,44718,37239
32068,44705,37206
32036,44719,37172
31960,44679,37132
31744,44774,37100
31497,44789,37028
31344,44807,37032
31364,44788,36991
31489,44788,36964
31841,44757,36917
32094,44720,36863
32212,44719,36845
32160,44725,36804
32036,44735,36781
31766,44788,36740
31488,44805,36703
31404,44769,36699
31500,44820,36655
31612,44807,36644
31764,44765,36608
31824,44738,36583
31840,44684,36582
31816,44740,36559
31758,44736,36551
31680,44788,36532
31600,44790,36517
31606,44829,36508
31752,44820,36512
31936,44820,36509
32124,44773,36499
32324,44703,36517
32346,44741,36508
32265,44759,36493
32167,44783,36526
32036,44799,36513
31877,44836,36524
31744,44831,36519
31764,44841,36528
31866,44828,36555
32100,44801,36556
32436,44758,36588
32566,44761,36573
32496,44781,36584
32388,44785,36615
32224,44807,36624
32136,44852,36621
32264,44841,36655
32464,44863,36671
32708,44836,36676
32792,44752,36684
32756,44799,36701
32673,44783,36732
