ECG,EDA,RR
31897,34311,37606
31854,34343,37809
31820,34344,37830
31864,34340,37757
31900,34304,37892
31876,34276,37977
31772,34244,37848
31678,34244,37973
31628,34257,38140
31604,34268,38014
31704,34308,38151
31776,34341,38247
31776,34351,38064
31728,34333,38224
31716,34296,38156
31716,34268,38312
31724,34232,38416
31688,34233,38313
31596,34236,38417
31508,34263,38532
31484,34300,38380
31520,34325,38546
31556,34332,38592
31520,34320,38644
31512,34284,38716
31505,34253,38700
31488,34229,38732
31464,34202,38754
31444,34239,38749
31436,34258,38820
31452,34288,38835
31516,34324,38871
31500,34337,38828
31400,34300,38861
31300,34283,38828
31156,34248,38964
31132,34217,38860
31024,34213,39109
30720,34236,39120
30380,34256,39196
30096,34292,38999
29671,34324,39184
29052,34337,39253
28252,34276,39277
27236,34302,39335
26144,34277,39336
25184,34250,39340
24304,34190,39252
23461,34264,39324
22637,34302,39476
21938,34356,39281
21432,34381,39412
20960,34394,39388
20688,34402,39535
20576,34348,39476
21718,34333,39597
24220,34292,39385
27525,34268,39497
31208,34256,39644
34608,34268,39437
37176,34287,39576
38576,34300,39470
39460,34297,39596
40336,34276,39672
40352,34252,39736
39733,34216,39792
39013,34180,39549
38196,34177,39683
37552,34185,39831
37056,34223,39636
36605,34252,39736
36088,34268,39741
35472,34277,39776
34990,34269,39732
34572,34245,39624
34080,34204,39756
33568,34180,39704
33168,34178,39740
32856,34183,39566
32436,34221,39716
32084,34253,39676
31892,34252,39692
31716,34295,39536
31632,34256,39665
31512,34231,39722
31369,34210,39660
31276,34180,39455
31280,34173,39620
31252,34191,39672
31264,34220,39439
31272,34254,39604
31204,34279,39488
31112,34278,39614
31088,34271,39407
31112,34242,39551
31125,34211,39533
31120,34145,39343
31127,34142,39444
31176,34165,39520
31184,34215,39327
31185,34244,39468
31180,34270,39370
31220,34279,39326
31240,34256,39261
31156,34237,39384
31196,34201,39446
31213,34173,39468
31324,34156,39418
31361,34164,39311
31272,34188,39444
31186,34231,39476
31252,34256,39276
31336,34263,39353
31332,34246,39383
31301,34229,39412
31276,34197,39421
31236,34165,39453
31304,34159,39332
31404,34167,39409
31473,34196,39248
31396,34234,39444
31428,34257,39364
31434,34269,39431
31457,34232,39447
31452,34213,39389
31416,34189,39284
31396,34167,39415
31348,34144,39460
31260,34148,39264
31384,34197,39453
31361,34224,39397
31272,34253,39496
31288,34273,39448
31292,34239,39438
31261,34192,39533
31240,34183,39501
31252,34141,39408
31304,34140,39573
31284,34164,39609
31148,34192,39460
31102,34231,39609
31092,34250,39534
31132,34261,39628
31118,34247,39444
31100,34217,39537
31052,34180,39533
31016,34148,39653
30937,34149,39644
30848,34159,39544
30656,34199,39684
30564,34233,39708
30576,34234,39501
30564,34263,39672
30560,34261,39564
30536,34232,39660
30444,34181,39653
30392,34156,39780
30384,34157,39848
30396,34159,39616
30448,34193,39820
30564,34222,39932
30604,34258,39678
30652,34264,39841
30664,34254,39920
30768,34228,39732
30792,34183,39943
30828,34153,39868
30916,34148,39981
31020,34165,39988
31164,34196,40036
31288,34233,39776
31416,34257,39941
31600,34269,40008
31828,34254,39929
32064,34216,39901
32308,34178,39748
