ECG,EDA,RR
34328,33493,28966
34308,33464,29020
34244,33453,28978
34272,33463,29023
34228,33491,29012
34028,33518,28978
34040,33556,28994
34180,33567,28973
34088,33533,28992
34096,33516,28980
34116,33481,28929
34080,33440,28956
34048,33430,28916
34056,33445,28951
34048,33475,28903
33980,33516,28924
34008,33540,28898
34052,33543,28934
34008,33532,28921
33980,33493,28879
33892,33452,28900
33832,33428,28854
33868,33413,28893
33800,33428,28894
33748,33444,28901
33805,33497,28864
33808,33517,28890
33812,33532,28874
33868,33509,28869
33868,33482,28892
33872,33447,28852
33908,33415,28888
33814,33412,28898
33860,33410,28888
33772,33437,28843
33668,33474,28854
33616,33509,28885
33636,33517,28846
33664,33503,28873
33689,33476,28871
33696,33423,28856
33601,33397,28872
33644,33388,28878
33600,33404,28856
33472,33433,28856
33472,33468,28831
33420,33476,28858
33496,33505,28845
33520,33493,28796
33580,33461,28855
33544,33424,28845
33580,33391,28820
33484,33373,28837
33388,33380,28801
33380,33421,28844
33377,33460,28844
33428,33485,28804
33456,33492,28831
33428,33477,28801
33452,33452,28842
33424,33409,28821
33352,33380,28855
33304,33352,28813
33328,33377,28844
33279,33405,28806
33320,33437,28848
33388,33464,28829
33400,33474,28868
33428,33460,28839
33456,33433,28873
33420,33380,28864
33402,33352,28829
33352,33336,28892
33316,33348,28892
33412,33375,28847
33384,33397,28900
33412,33433,28860
33412,33457,28913
33504,33447,28886
33540,33415,28935
33436,33383,28900
33332,33344,28957
33324,33332,28943
33236,33355,28996
33304,33373,28980
33384,33414,29044
33356,33433,29006
33504,33441,29081
33430,33437,29101
33317,33398,29117
33388,33352,29102
33376,33333,29152
33436,33316,29144
33496,33327,29176
33588,33353,29170
33656,33399,29220
33488,33423,29235
33320,33429,29236
33244,33414,29276
33220,33385,29270
33264,33351,29252
33268,33306,29308
33320,33309,29316
33292,33318,29293
33272,33346,29333
33344,33376,29305
33372,33383,29361
33376,33391,29313
33340,33391,29381
33284,33369,29332
33260,33340,29397
33164,33309,29380
33176,33293,29402
33204,33296,29382
33252,33335,29405
33252,33356,29379
33212,33380,29405
33248,33397,29408
33252,33361,29418
33269,33336,29377
33228,33312,29399
33196,33287,29309
33176,33279,29389
33132,33276,29364
33148,33316,29348
33156,33348,29380
33216,33372,29312
33232,33391,29364
33152,33349,29311
33140,33329,29353
33146,33305,29345
33156,33273,29360
33176,33265,29362
33136,33269,29354
33156,33298,29346
33192,33338,29340
33099,33362,29288
33136,33368,29332
33160,33364,29335
33172,33332,29272
33192,33287,29334
33145,33253,29292
33037,33244,29334
33024,33260,29292
33104,33280,29340
33108,33323,29316
33172,33351,29292
33120,33357,29328
32996,33343,29326
33016,33309,29310
33072,33279,29284
33052,33252,29321
33068,33236,29284
32985,33248,29333
33014,33270,29273
33104,33301,29340
33172,33335,29345
33108,33336,29357
33072,33310,29305
33089,33293,29351
33092,33260,29295
33056,33236,29359
33060,33223,29329
32896,33230,29388
32892,33262,29387
32872,33287,29348
32884,33314,29399
32921,33321,29351
33012,33312,29425
32940,33287,29380
32904,33249,29428
32888,33205,29391
32852,33205,29432
32868,33212,29381
32925,33244,29446
32976,33283,29392
32881,33298,29476
32892,33311,29477
32856,33309,29433
32908,33271,29460
32824,33233,29408
32848,33204,29472
32732,33191,29424
32740,33200,29449
32733,33230,29396
32796,33263,29451
32817,33296,29400
32828,33301,29453
32796,33287,29421
32820,33255,29468
32896,33220,29425
32860,33175,29453
32813,33180,29388
32800,33189,29458
32758,33221,29420
32672,33263,29455
32788,33286,29456
32824,33296,29406
32804,33272,29445
32888,33232,29380
32740,33209,29447
32848,33183,29432
32732,33180,29468
32760,33191,29428
32832,33215,29477
32836,33244,29486
32888,33255,29417
32948,33276,29481
32892,33264,29425
32720,33228,29497
32744,33197,29476
32701,33167,29542
32648,33159,29537
32564,33170,29488
32568,33194,29540
32618,33228,29526
32621,33253,29588
32705,33265,29544
32700,33254,29584
32732,33223,29604
32616,33188,29593
32572,33153,29624
32644,33155,29646
32736,33167,29608
32687,33189,29663
32764,33226,29700
32720,33253,29647
32728,33263,29703
32708,33247,29656
32752,33201,29745
32825,33172,29719
32757,33146,29753
32818,33120,29772
32624,33136,29730
32588,33181,29753
32585,33216,29788
32600,33242,29740
32668,33255,29801
32687,33232,29816
32668,33189,29772
32632,33158,29828
32556,33129,29765
32624,33127,29824
32648,33140,29780
32744,33159,29860
32680,33189,29856
32696,33221,29801
32588,33241,29849
32500,33220,29787
32556,33181,29858
32704,33143,29885
32656,33127,29840
32768,33117,29886
32846,33132,29873
32828,33153,29900
32864,33189,29916
32740,33216,29887
32820,33221,29940
32856,33221,29847
32842,33181,29929
32732,33144,29905
32808,33105,29983
32812,33110,29989
32832,33119,29921
32830,33153,30012
32836,33183,29972
32792,33211,30041
32800,33216,30060
32760,33204,29975
32688,33180,30077
32704,33125,30102
32636,33093,30047
32716,33092,30146
32746,33105,30124
32758,33136,30129
32592,33168,30096
32676,33201,30160
32725,33200,30129
32720,33188,30224
32844,33148,30241
32846,33120,30254
32878,33071,30260
32832,33060,30196
32836,33081,30280
32756,33105,30224
32732,33152,30312
32748,33188,30256
32832,33185,30337
32812,33170,30356
32752,33144,30300
32842,33112,30401
32812,33076,30413
32746,33068,30405
32640,33090,30419
32756,33117,30356
32768,33149,30436
32832,33175,30397
32736,33172,30394
32668,33151,30464
32640,33116,30463
32580,33081,30502
32428,33072,30487
32237,33051,30455
32017,33068,30519
31836,33109,30517
31628,33143,30514
31628,33166,30508
31284,33165,30551
30896,33167,30540
30644,33140,30599
30120,33104,30604
29364,33084,30560
28773,33072,30610
28296,33080,30549
27912,33125,30636
27596,33159,30564
27388,33198,30640
27309,33197,30681
27240,33188,30693
27300,33173,30644
27508,33133,30698
28064,33105,30628
29801,33064,30693
32508,33076,30693
35272,33082,30689
37684,33112,30742
39360,33132,30688
40416,33135,30744
40912,33121,30750
40912,33084,30749
40577,33045,30756
39872,33021,30733
38924,33027,30764
38348,33032,30760
37836,33060,30708
37348,33095,30780
36848,33127,30692
36160,33127,30756
35692,33115,30702
35308,33087,30728
35076,33049,30680
34593,33023,30756
33956,33031,30749
33445,33031,30674
33057,33049,30719
32724,33090,30643
32316,33120,30705
32328,33121,30669
32264,33116,30712
32208,33084,30709
32168,33041,30724
32176,33015,30716
31992,33013,30727
31908,33029,30720
31844,33067,30680
31856,33100,30740
31844,33109,30684
31804,33124,30736
31820,33108,30695
31885,33081,30744
31792,33044,30784
31784,33020,30719
31796,33009,30776
31701,33020,30772
31724,33031,30829
31760,33060,30832
31742,33088,30800
31868,33124,30852
31856,33104,30851
31948,33074,30893
31776,33047,30900
31724,33014,30856
31697,33001,30920
31728,33013,30886
31678,33047,30977
31702,33087,30932
31712,33108,31013
31760,33112,30955
31812,33097,31026
31820,33067,30996
