ECG,EDA,RR
32576,33765,29318
32648,33749,29253
32713,33724,29275
32613,33729,29200
32588,33752,29235
32568,33778,29176
32566,33799,29201
32557,33816,29144
32604,33821,29148
32664,33789,29144
32584,33756,29090
32520,33722,29108
32421,33693,29053
32416,33693,29076
32300,33717,29021
32268,33728,29065
32216,33757,29056
32124,33796,28996
32004,33788,29031
31860,33761,28984
31736,33724,29022
31496,33671,29029
31214,33680,28977
30956,33685,29028
30578,33692,28996
30272,33719,29022
29816,33755,28976
29164,33784,28984
28452,33737,28960
27772,33745,28968
27168,33728,28969
26680,33703,28910
26196,33677,28962
25824,33695,28941
25592,33692,28884
25510,33732,28901
25576,33783,28844
25837,33799,28864
26496,33796,28846
28276,33764,28784
31000,33694,28794
34200,33657,28748
37052,33621,28756
39216,33607,28717
40692,33624,28672
41324,33648,28651
41400,33668,28605
40956,33686,28585
40184,33684,28546
39356,33668,28510
38568,33622,28468
37936,33582,28422
37476,33569,28361
36853,33564,28335
36152,33586,28261
35502,33621,28233
34936,33642,28175
34496,33665,28121
34028,33661,28061
33534,33643,27984
33072,33593,27956
32684,33576,27889
32284,33543,27814
31908,33557,27776
31641,33572,27720
31604,33605,27652
31480,33625,27601
31292,33628,27533
31120,33645,27477
31188,33620,27413
31260,33576,27367
31224,33545,27308
31120,33527,27242
30944,33529,27196
30868,33551,27133
30932,33576,27065
30862,33600,27030
30908,33623,26949
30924,33613,26912
30880,33593,26840
30892,33556,26759
30900,33508,26754
30892,33507,26688
30912,33506,26640
30904,33520,26575
30908,33557,26558
30957,33572,26491
30900,33592,26472
30908,33588,26404
30844,33569,26382
30920,33532,26316
30805,33503,26268
30720,33484,26250
30812,33472,26191
30848,33500,26193
30900,33532,26130
30856,33543,26119
30856,33569,26052
31004,33568,26032
31012,33549,25983
30920,33508,25990
30984,33469,25920
30972,33452,25876
30984,33453,25893
30896,33472,25836
30892,33508,25796
30880,33508,25804
30844,33559,25744
31017,33542,25724
30956,33512,25677
31005,33485,25652
30928,33431,25679
30944,33437,25630
30912,33437,25616
30828,33444,25588
30784,33487,25541
30756,33508,25524
30768,33520,25501
30772,33517,25508
30728,33499,25497
30796,33463,25480
30768,33423,25444
30637,33412,25449
30544,33396,25434
30452,33429,25466
30448,33468,25413
30412,33501,25428
30344,33504,25372
30365,33471,25360
30432,33481,25332
30344,33439,25368
30318,33404,25301
30352,33365,25342
30296,33392,25256
30224,33415,25242
30176,33433,25212
30072,33479,25250
30189,33492,25192
30144,33476,25196
30156,33467,25124
30180,33433,25129
30256,33391,25084
30272,33374,25064
30236,33359,25026
30216,33381,25012
30192,33433,25058
30212,33452,24970
30316,33472,25016
30378,33471,24932
30550,33415,24976
30516,33415,24908
30512,33377,24933
30644,33353,24872
30736,33354,24908
30792,33380,24825
30856,33413,24817
30940,33436,24785
31072,33416,24782
31336,33444,24759
31476,33412,24764
31518,33376,24748
31568,33350,24748
31648,33333,24759
31684,33335,24730
31812,33332,24720
31928,33389,24732
32076,33404,24713
32120,33420,24716
32240,33415,24759
32364,33388,24740
32480,33346,24741
32516,33316,24737
32704,33302,24820
32852,33300,24773
32968,33316,24788
33000,33343,24788
32960,33373,24810
32906,33386,24901
32976,33381,24868
33020,33353,24924
33100,33331,24885
33150,33287,24897
33224,33279,24978
33344,33275,24954
33420,33289,24949
33493,33327,25028
33416,33348,25020
33484,33360,25079
33504,33353,25041
33517,33333,25053
33492,33285,25070
33472,33266,25095
33556,33252,25113
33592,33252,25132
33644,33261,25153
33524,33309,25215
33516,33308,25204
33516,33349,25262
33528,33332,25224
33476,33287,25285
33448,33277,25253
33488,33238,25319
33412,33210,25276
33428,33230,25330
33516,33246,25313
33444,33279,25348
33444,33308,25336
33436,33320,25393
33412,33309,25340
33500,33284,25358
33496,33253,25389
33448,33218,25389
33412,33198,25452
33372,33213,25433
33392,33225,25489
33368,33253,25458
33374,33287,25490
33440,33281,25488
33289,33292,25544
33268,33271,25536
33216,33220,25577
33244,33204,25545
33288,33188,25577
33327,33183,25606
33284,33218,25612
33268,33248,25645
33232,33281,25637
33204,33287,25676
33272,33263,25663
33260,33252,25694
33250,33210,25724
33240,33189,25724
33304,33160,25738
33292,33173,25776
33193,33192,25824
33113,33229,25812
33108,33250,25861
33094,33263,25856
33072,33247,25894
33018,33231,25888
33012,33196,25924
33048,33165,25956
33040,33156,25972
33072,33159,25976
32998,33173,25996
32997,33212,26015
33001,33234,26040
33092,33248,26049
32972,33245,26101
33056,33207,26087
33232,33188,26121
33168,33144,26108
32968,33134,26153
32868,33149,26116
32748,33159,26171
32876,33196,26137
32964,33227,26148
32984,33228,26119
32984,33223,26159
33076,33197,26184
33036,33165,26175
33044,33137,26204
33140,33117,26156
33068,33124,26164
33012,33126,26181
32904,33185,26173
32876,33208,26185
32864,33209,26168
32940,33219,26173
33029,33193,26168
33008,33159,26172
33000,33127,26192
33008,33108,26178
33024,33110,26205
33049,33132,26156
33124,33169,26167
33136,33192,26202
33048,33209,26172
32988,33200,26196
33100,33169,26173
33177,33149,26176
33068,33108,26166
32953,33096,26195
32845,33103,26172
32908,33140,26187
32940,33159,26177
33020,33189,26221
33060,33192,26205
33076,33193,26225
32976,33159,26196
32964,33137,26220
32952,33111,26199
32968,33089,26148
32964,33097,26208
32946,33124,26199
32996,33135,26240
32988,33180,26209
33124,33189,26208
33116,33183,26206
33100,33149,26217
33076,33123,26204
32928,33103,26204
32924,33084,26243
32985,33092,26227
32884,33111,26252
32820,33143,26205
32968,33166,26213
32997,33180,26233
32932,33177,26217
33000,33143,26248
33076,33116,26223
33180,33097,26228
33108,33069,26227
33056,33079,26268
32984,33100,26256
33040,33135,26258
33088,33165,26269
33062,33166,26268
32956,33164,26298
32952,33140,26292
33040,33110,26316
32980,33079,26294
33064,33068,26319
32928,33068,26336
32893,33084,26336
33013,33124,26386
32933,33151,26366
32860,33167,26357
32788,33157,26405
32884,33116,26397
32869,33080,26457
33060,33073,26428
33117,33056,26450
33108,33058,26508
33108,33083,26492
33057,33117,26509
33065,33149,26519
33072,33159,26567
33116,33153,26554
33068,33124,26567
33040,33089,26599
33016,33055,26612
32944,33048,26660
32961,33055,26660
32992,33079,26698
32988,33123,26702
33037,33127,26751
32952,33149,26745
33032,33145,26788
33032,33112,26821
33094,33081,26836
33024,33049,26876
33024,33038,26896
33076,33040,26935
33092,33071,26940
33128,33100,26976
33136,33127,26997
33128,33116,27041
33117,33143,27056
33168,33106,27082
33176,33072,27093
33196,33046,27118
33200,33031,27134
33140,33028,27176
33212,33053,27197
33164,33101,27228
33144,33111,27240
33126,33128,27266
33084,33121,27286
33049,33088,27308
33082,33058,27334
33061,33025,27356
33064,33021,27369
33044,33012,27421
33040,33044,27431
33086,33076,27437
33036,33113,27460
33052,33116,27474
33088,33105,27511
33108,33077,27516
33064,33043,27540
33008,33020,27556
33072,32999,27585
33080,33009,27593
