ECG,EDA,RR
31702,37932,28494
31665,37927,28391
31684,37886,28335
31766,37890,28262
31836,37879,28289
31948,37873,28156
31944,37883,28091
32074,37895,28076
32225,37891,27972
32358,37917,27903
32468,37917,27837
32645,37903,27729
32664,37891,27662
32694,37882,27700
32669,37876,27525
32449,37860,27479
32388,37876,27385
32356,37885,27428
32348,37860,27278
32520,37895,27228
32580,37905,27116
32485,37895,27175
32440,37859,27016
32416,37871,26924
32409,37859,26960
32420,37863,26839
32538,37846,26756
32596,37863,26744
32496,37883,26655
32352,37889,26691
32297,37891,26575
32452,37888,26581
32702,37861,26420
32814,37849,26404
32656,37838,26453
32432,37804,26291
32108,37846,26267
31950,37844,26340
31940,37863,26163
32020,37853,26156
32349,37871,26069
32536,37860,26149
32792,37860,26039
32897,37844,25988
32844,37807,25897
32724,37821,25954
32692,37828,25810
32657,37833,25781
32608,37837,25776
32456,37855,25828
32268,37863,25657
32096,37863,25641
31924,37844,25610
32024,37825,25529
32316,37810,25467
32608,37799,25422
32864,37775,25434
33182,37815,25464
33356,37825,25296
33234,37851,25280
32928,37816,25150
32296,37847,25272
31784,37834,25048
31452,37804,24989
31349,37804,25028
31492,37793,24983
32024,37801,24844
32828,37789,24780
33660,37807,24703
33838,37826,24626
33524,37831,24486
33296,37831,24509
33120,37807,24537
32960,37791,24361
32832,37769,24207
32904,37773,24193
32952,37742,24039
32952,37780,24183
32788,37791,23987
32672,37815,23881
32493,37815,23845
32160,37812,23785
31932,37797,23644
31700,37781,23585
31812,37764,23503
32168,37759,23457
32520,37759,23439
32844,37767,23545
32900,37780,23467
32776,37788,23300
32908,37785,23201
33212,37781,23207
33412,37735,23084
33432,37727,23015
33277,37708,23054
32892,37732,23070
32753,37745,22909
32708,37743,22900
32580,37757,22785
32404,37742,22924
32284,37765,22903
32076,37764,22759
32216,37748,22692
32597,37728,22564
33072,37716,22722
33285,37683,22584
32820,37713,22519
32069,37724,22393
31588,37738,22586
31800,37727,22361
32168,37756,22261
32404,37740,22449
32690,37735,22251
33117,37716,22190
33453,37693,22163
33132,37684,22101
32554,37695,22234
32404,37709,22015
32628,37709,21912
32913,37724,22034
33005,37741,21895
32668,37737,21870
32513,37703,21709
32748,37701,21897
33068,37675,21701
33512,37669,21617
33684,37680,21597
33632,37701,21444
33384,37685,21519
32953,37724,21426
32556,37727,21348
32405,37711,21257
32480,37704,21409
32528,37689,21234
32593,37669,21087
32460,37663,21189
32228,37677,21179
31976,37679,21088
31910,37690,20970
32032,37704,20884
32433,37705,20900
32826,37685,20794
33164,37685,20699
33248,37671,20749
33305,37645,20670
33196,37649,20666
33200,37647,20612
33249,37653,20500
33052,37671,20520
32688,37691,20599
32512,37688,20461
32689,37691,20434
32928,37671,20319
33060,37655,20513
33028,37620,20301
32764,37636,20264
32404,37628,20147
32252,37644,20313
32113,37661,20239
32324,37673,20085
32768,37676,20085
33049,37653,19917
32900,37639,19904
32684,37639,20055
32709,37625,19896
32908,37607,19841
33048,37620,19677
33010,37600,19724
33100,37636,19837
33180,37647,19748
33220,37661,19607
33176,37647,19577
33324,37637,19417
33364,37625,19408
33076,37603,19466
32845,37603,19519
32812,37606,19487
32640,37607,19346
32460,37616,19244
32444,37639,19189
32544,37639,19181
32704,37639,19060
32920,37605,18996
33144,37597,19147
33328,37589,19023
33389,37582,18940
33216,37591,18889
33069,37592,18738
32920,37608,18692
32776,37625,18905
32736,37607,18781
32488,37615,18656
32416,37604,18649
32420,37588,18552
32556,37564,18452
32876,37556,18403
32972,37574,18511
32644,37586,18485
32532,37565,18381
32668,37602,18261
32856,37614,18369
32992,37599,18374
33088,37587,18268
33140,37571,18232
32852,37561,18095
32212,37553,18172
31800,37561,18180
31672,37565,18119
31884,37582,17977
32264,37588,18144
32665,37591,18065
32972,37585,17982
33540,37568,17961
33940,37541,17846
33876,37533,17877
33416,37527,17864
33024,37525,17736
32777,37548,17841
32700,37565,17766
32696,37543,17663
32680,37572,17620
32708,37567,17748
32708,37556,17630
32288,37541,17580
32016,37524,17583
31968,37517,17462
31908,37531,17430
31828,37508,17404
31822,37541,17434
32032,37551,17485
32384,37556,17578
32500,37544,17436
32552,37541,17321
32612,37511,17372
32604,37500,17257
32260,37495,17412
32048,37505,17404
32012,37511,17295
32256,37516,17216
32540,37517,17213
33108,37527,17404
33900,37514,17362
34581,37501,17212
35016,37487,17189
35421,37470,17086
35856,37455,17236
36313,37465,17161
36732,37479,17151
36936,37501,17001
37116,37501,17108
37164,37511,17110
36996,37509,17042
36496,37497,16949
36004,37507,17035
35576,37455,16970
35288,37471,16968
35296,37484,16858
35309,37493,16841
35064,37476,16899
34478,37516,16860
33840,37530,16793
33368,37511,16738
33181,37509,16708
32864,37503,16727
32537,37487,16889
32308,37478,16744
32092,37480,16628
32192,37495,16767
32432,37511,16780
32669,37520,16711
32860,37500,16731
32904,37509,16746
32796,37511,16766
32604,37492,16691
31992,37452,16635
31396,37477,16592
30893,37485,16684
30460,37487,16832
30464,37510,16699
30980,37527,16714
32068,37520,16724
33296,37519,16594
33784,37492,16830
33364,37485,16701
32744,37479,16713
32226,37469,16587
31829,37453,16791
31592,37484,16646
31792,37500,16674
31948,37511,16551
31932,37511,16572
31884,37504,16751
31894,37501,16608
31712,37476,16696
31724,37471,16597
31732,37462,16556
31780,37463,16580
31860,37472,16511
31992,37487,16410
32320,37487,16507
32797,37493,16490
33312,37489,16390
33672,37476,16536
33684,37463,16436
33364,37444,16293
33048,37447,16501
32916,37444,16349
32752,37455,16249
32460,37479,16375
32316,37487,16307
32296,37492,16276
32324,37487,16143
32388,37469,16264
32386,37436,16249
32524,37433,16206
32582,37437,16058
32596,37444,16284
32368,37446,16133
31800,37468,16068
31224,37486,16080
30848,37497,15963
30805,37485,16092
31093,37465,16007
31436,37458,15862
32048,37436,15980
32896,37423,15883
33634,37431,15973
33804,37434,15920
33516,37457,15840
33412,37460,15784
33376,37487,15798
33096,37468,15804
32792,37445,15797
32408,37449,15664
32102,37433,15759
32089,37431,15852
32304,37407,15727
32617,37447,15654
32756,37458,15745
32976,37466,15724
33092,37468,15709
32860,37477,15641
32804,37461,15837
32985,37440,15724
33536,37429,15755
33864,37423,15629
33868,37421,15855
33992,37432,15783
33788,37447,15677
33000,37463,15903
32224,37476,15793
31912,37468,15712
31972,37457,15755
32448,37401,15892
33288,37412,15842
34288,37397,15881
34880,37401,15756
34720,37423,15776
34080,37437,15965
33512,37458,15967
33364,37452,15945
33285,37455,15832
33030,37441,16071
32856,37428,15956
32916,37400,15876
33113,37405,16109
33257,37413,15991
33268,37405,15985
33208,37444,16077
32824,37452,16076
32388,37444,16051
32468,37447,15942
32852,37439,16120
33352,37429,16131
33588,37405,16092
33232,37405,16193
32688,37411,16063
32414,37393,15977
32572,37435,16011
32908,37447,16131
33016,37451,16165
33024,37440,16111
32454,37444,16136
31844,37428,16002
31768,37413,16141
32108,37409,16125
32684,37413,16073
33224,37383,16084
33344,37439,16244
32757,37448,16138
31924,37469,16056
31472,37462,16220
31381,37449,16163
31348,37428,16131
31436,37414,16084
32233,37411,16234
32996,37401,16331
33210,37421,16261
32864,37439,16252
32252,37455,16144
31937,37460,16373
31704,37469,16246
31360,37460,16199
31320,37446,16341
31604,37416,16356
31973,37392,16292
32030,37429,16326
31992,37439,16324
31796,37444,16367
31820,37465,16258
31800,37465,16410
31888,37435,16372
32432,37444,16392
33149,37431,16284
33649,37408,16487
33792,37417,16431
33272,37423,16413
32640,37414,16387
32388,37437,16535
32368,37471,16447
32520,37461,16401
32725,37458,16391
32809,37447,16615
32748,37447,16484
32613,37412,16524
32320,37423,16385
32100,37437,16629
31948,37439,16500
31932,37428,16518
32112,37453,16495
32360,37473,16445
32582,37479,16639
32676,37458,16538
32649,37420,16402
32608,37423,16606
32628,37436,16525
32657,37429,16420
32544,37439,16633
32492,37458,16526
32406,37479,16421
32436,37479,16642
32448,37471,16546
32526,37461,16460
32556,37455,16528
32528,37428,16423
32516,37441,16612
32417,37435,16508
32065,37446,16445
31688,37470,16533
31488,37495,16436
31618,37492,16646
31902,37479,16545
32369,37479,16420
32740,37461,16633
32684,37441,16566
31808,37440,16444
30908,37463,16673
30460,37479,16557
30872,37453,16585
31700,37505,16457
32372,37495,16621
32817,37495,16646
32965,37479,16609
33100,37472,16497
33376,37463,16707
33716,37452,16596
33896,37459,16630
33752,37468,16513
32965,37492,16769
32620,37511,16639
32312,37516,16668
32032,37521,16573
31696,37476,16791
31240,37489,16703
31148,37494,16693
31040,37476,16588
31164,37494,16567
31400,37508,16805
31932,37519,16688
32926,37511,16583
33964,37531,16802
34688,37524,16684
34620,37525,16593
34308,37511,16743
33876,37486,16754
33391,37503,16738
32784,37500,16610
32592,37525,16861
32744,37547,16721
32804,37559,16663
32560,37573,16836
32624,37573,16709
33013,37552,16602
33256,37548,16846
33198,37535,16704
32992,37531,16628
32770,37540,16720
32616,37529,16754
32453,37573,16661
32456,37589,16570
32609,37600,16662
32872,37600,16716
32860,37597,16637
32556,37581,16529
32364,37565,16658
32241,37565,16628
31928,37588,16641
31560,37593,16497
31596,37616,16724
31948,37629,16598
32564,37639,16500
33175,37632,16701
33449,37621,16581
33452,37619,16582
33384,37604,16546
33208,37605,16640
32676,37609,16592
31972,37632,16565
31820,37663,16495
31856,37687,16720
32048,37698,16585
32397,37687,16522
33196,37679,16734
33804,37653,16612
33780,37661,16591
33200,37655,16563
33028,37669,16773
33050,37689,16648
32972,37711,16645
32566,37734,16615
32284,37740,16553
32160,37749,16797
32176,37728,16694
32446,37724,16685
32656,37717,16645
32916,37716,16624
33006,37692,16773
32936,37743,16737
33016,37756,16645
33148,37789,16825
