ECG,EDA,RR
32980,38907,39508
32912,38908,39559
32885,38919,39592
32832,38939,39577
32836,38942,39661
32892,38905,39663
32968,38918,39712
32964,38903,39760
32964,38884,39856
32960,38879,39919
32905,38874,39895
32805,38887,39900
32732,38903,39959
32669,38884,40056
32688,38911,40120
32760,38917,40155
32844,38889,40199
32900,38864,40238
32996,38855,40273
33024,38847,40308
32944,38852,40348
32876,38857,40360
32852,38875,40400
32812,38852,40355
32860,38887,40337
32908,38871,40536
32940,38853,40567
32944,38839,40605
32996,38823,40644
33012,38805,40679
32988,38821,40711
32908,38831,40761
32864,38844,40776
32820,38860,40839
32788,38860,40873
32840,38839,40911
32880,38836,40941
32941,38815,40961
32980,38791,40952
32944,38775,41086
32884,38788,41076
32836,38807,40999
32817,38804,40999
32828,38823,41012
32896,38823,41038
33020,38823,41253
33117,38791,41237
33152,38783,41253
33164,38761,41277
33152,38756,41207
33099,38757,41426
33040,38759,41402
33016,38780,41463
32988,38791,41351
32960,38791,41367
32924,38779,41588
32857,38765,41617
32748,38713,41647
32649,38732,41639
32505,38716,41668
32328,38725,41703
32196,38728,41761
32104,38707,41812
32144,38759,41838
32332,38745,41868
32640,38755,41863
33008,38724,41903
33405,38704,41921
33804,38655,42008
34029,38663,42055
34324,38683,42085
34796,38684,41943
35368,38695,42013
35736,38700,42055
35928,38701,42225
36166,38695,42255
36284,38687,42244
36224,38679,42189
36232,38662,42151
36256,38661,42176
36128,38660,42282
35822,38676,42383
35332,38692,42412
34948,38695,42427
34704,38695,42487
34508,38692,42487
34248,38645,42385
33949,38649,42407
33644,38645,42456
33360,38596,42519
33148,38628,42486
32948,38647,42490
32726,38636,42553
32548,38672,42503
32433,38663,42508
32384,38663,42559
32392,38647,42556
32372,38623,42601
32365,38595,42631
32400,38594,42661
32392,38596,42708
32328,38611,42700
32265,38585,42731
32192,38637,42964
32200,38631,43004
32228,38631,43001
32284,38575,43056
32332,38588,43079
32368,38575,43093
32372,38569,42960
32316,38561,43087
32292,38588,43171
32248,38555,43108
32252,38593,43185
32272,38603,43204
32320,38587,43085
32420,38574,43187
32440,38553,43244
32468,38532,43252
32512,38526,43220
32456,38527,43271
32407,38543,43086
32360,38549,43140
32348,38561,43096
32376,38567,43117
32452,38551,43140
32548,38535,43145
32608,38527,43292
32697,38501,43333
32688,38495,43352
32644,38488,43271
32556,38508,43343
32548,38503,43175
32544,38517,43174
32568,38532,43143
32624,38516,43180
32688,38503,43276
32681,38484,43292
32684,38438,43316
32684,38455,43368
32654,38461,43364
32590,38441,43323
32532,38477,43287
32520,38485,43359
32468,38490,43324
32456,38468,43372
32541,38465,43348
32664,38445,43332
32716,38428,43305
32764,38407,43335
32737,38425,43135
32724,38407,43141
32724,38445,43117
32756,38455,43113
32808,38458,43296
32876,38439,43287
32968,38431,43284
33056,38407,43077
33104,38385,43081
33081,38380,43076
33068,38365,43169
32980,38388,43174
32900,38399,43240
32868,38399,43229
32900,38404,43186
32960,38399,43206
32988,38389,43180
33044,38336,43140
33116,38352,43151
33120,38320,43119
33068,38345,43015
32966,38322,43060
32940,38361,43073
32940,38381,43037
32976,38375,42813
33041,38359,42849
33148,38345,42781
33273,38321,42863
33325,38304,42938
33268,38310,42943
33180,38295,42916
33098,38304,42927
33088,38313,42887
33052,38311,42758
33088,38329,42773
33208,38330,42725
33300,38319,42708
33380,38277,42703
33393,38270,42652
33432,38265,42660
33400,38269,42665
33324,38277,42639
33266,38295,42605
33188,38308,42575
33164,38301,42533
33162,38303,42495
33212,38277,42431
33232,38260,42370
33224,38244,42344
33152,38236,42375
33065,38228,42374
32940,38241,42234
32852,38248,42204
32784,38275,42180
32756,38271,42167
32748,38267,42092
32748,38213,42078
32704,38227,42062
32640,38212,42062
32617,38199,41980
32564,38215,41954
32496,38212,41894
32432,38223,41841
32316,38244,41788
32240,38245,41753
32222,38231,41703
32224,38223,41701
32240,38207,41647
32252,38164,41606
32268,38183,41500
32236,38193,41463
32156,38191,41492
32087,38168,41477
32064,38206,41415
32072,38217,41308
32094,38212,41158
32160,38193,41113
32224,38189,41180
32248,38151,41220
32224,38151,41196
32172,38124,41156
32160,38167,41029
32136,38133,40976
32126,38181,40967
32196,38189,40965
32269,38161,40900
32376,38151,40844
32452,38143,40788
32480,38124,40695
32465,38121,40684
32452,38117,40616
32389,38127,40489
32400,38143,40396
32352,38167,40326
32400,38149,40285
32480,38146,40248
32578,38135,40193
32620,38121,40155
32656,38087,40273
32706,38094,40190
32692,38089,40117
32588,38108,40060
32508,38113,40111
32469,38124,40045
32506,38124,39943
32576,38119,39829
32664,38111,39772
32712,38089,39884
32720,38073,39807
32712,38030,39829
32656,38060,39751
32584,38071,39573
32589,38086,39524
32584,38104,39625
32560,38100,39559
32608,38089,39510
32673,38083,39524
32712,38063,39343
32784,38023,39441
32828,38030,39284
32774,38037,39336
32705,38012,39261
32689,38044,39281
32709,38061,39098
32688,38064,39053
32680,38068,39127
32700,38055,39060
32772,38036,39069
32816,38007,38970
32810,38005,38836
32712,38007,38777
32648,38015,38728
32564,38025,38689
32492,38039,38637
32484,38047,38585
32524,38023,38535
32620,38016,38596
32684,38001,38533
32748,37976,38527
32764,37975,38437
32716,37973,38273
32660,37983,38188
32617,37993,38277
32608,38015,38192
32630,38014,38151
32692,37984,38087
32712,37999,37981
32696,37989,37828
32700,37955,37776
32688,37947,37724
32689,37952,37717
32648,37959,37661
32628,37969,37520
32612,37980,37532
32668,37981,37404
32688,37975,37340
32722,37957,37295
32780,37945,37239
32804,37910,37287
32800,37911,37223
32760,37916,37119
32669,37927,37085
32600,37951,36983
32544,37951,36965
32566,37952,36901
32644,37930,36739
32693,37929,36645
32775,37912,36577
32838,37895,36524
32840,37856,36487
32832,37872,36499
32777,37895,36414
32704,37911,36383
32688,37924,36325
32709,37931,36240
32722,37884,36199
32764,37895,36109
32849,37873,35977
32900,37865,35889
32926,37856,35821
32892,37863,35885
32797,37868,35789
32777,37840,35717
32748,37889,35661
32736,37892,35616
32772,37885,35565
32817,37871,35492
32812,37848,35444
32840,37831,35341
32816,37822,35186
32744,37833,35142
32644,37831,35112
32592,37855,35117
32596,37861,35060
32652,37871,34959
32696,37855,34919
32800,37839,34852
32829,37824,34782
32800,37806,34722
32772,37767,34661
32672,37805,34598
32572,37813,34532
32568,37826,34484
32532,37836,34452
32504,37845,34380
32584,37820,34308
32652,37822,34239
32716,37783,34167
32808,37767,34109
32788,37767,34050
32748,37765,33999
32656,37781,33945
32604,37799,33880
32596,37806,33821
32572,37805,33746
32612,37797,33695
32692,37776,33636
32773,37760,33572
32844,37749,33505
32820,37743,33439
32745,37751,33348
32628,37757,33240
32512,37759,33260
32432,37783,33185
32428,37788,33124
32448,37778,33068
32538,37761,33002
32608,37719,32959
32672,37735,32852
32656,37721,32768
32616,37727,32702
32560,37700,32659
32508,37732,32639
32496,37749,32578
32576,37759,32505
32756,37714,32453
32888,37735,32361
32988,37717,32322
33036,37703,32262
33057,37686,32202
33100,37695,32134
33044,37697,32082
32992,37713,32017
32996,37734,31950
33006,37727,31885
32972,37721,31839
33013,37687,31760
33052,37695,31715
33036,37658,31652
32952,37664,31585
32924,37663,31525
32864,37671,31463
32808,37669,31407
32716,37698,31306
32640,37671,31303
32608,37663,31239
32656,37681,31194
32732,37661,31145
32800,37639,31081
32792,37601,31025
32764,37639,30965
32748,37639,30917
32728,37667,30852
32708,37637,30804
32737,37673,30756
32776,37655,30693
32788,37655,30653
32812,37636,30596
32792,37605,30556
32788,37603,30503
32732,37577,30396
32664,37623,30412
32644,37625,30347
32640,37632,30292
32664,37639,30245
32728,37638,30210
32768,37631,30167
32829,37609,30103
32904,37554,30053
32916,37574,30000
32866,37580,29971
32808,37576,29920
32728,37605,29860
32696,37620,29801
32720,37589,29761
32764,37604,29724
32812,37593,29681
32849,37581,29627
32852,37567,29573
32820,37557,29552
32760,37564,29521
32656,37564,29441
32572,37575,29377
32514,37591,29348
32540,37599,29298
32601,37595,29253
32640,37573,29201
32688,37556,29189
32684,37535,29165
32624,37524,29095
32488,37509,29018
32288,37538,28988
32108,37545,28959
31916,37569,28917
31713,37573,28857
31612,37529,28829
31626,37551,28812
31673,37535,28768
31844,37495,28726
32096,37495,28689
32270,37490,28710
32493,37501,28677
32858,37511,28633
33236,37503,28606
33616,37527,28580
34060,37519,28522
34732,37511,28484
35504,37481,28430
35973,37460,28393
36236,37469,28376
36400,37461,28333
36396,37485,28287
36412,37477,28276
36440,37509,28224
36484,37511,28229
36448,37508,28227
36160,37503,28145
35898,37461,28084
35580,37463,28048
35236,37456,28031
34752,37463,28017
34204,37479,27975
33692,37487,27927
33268,37503,27916
32988,37502,27940
32860,37476,27908
32749,37487,27882
32648,37463,27857
32536,37447,27802
32432,37447,27708
32336,37445,27684
32217,37462,27669
32140,37452,27715
32061,37476,27699
32056,37484,27647
32084,37474,27642
32109,37457,27624
32144,37456,27548
32180,37437,27484
32118,37423,27494
32028,37383,27471
31952,37423,27454
31896,37447,27413
31856,37459,27410
31880,37461,27343
31912,37449,27401
31976,37445,27421
32032,37421,27404
32101,37407,27329
32132,37399,27289
32087,37403,27288
32044,37407,27243
31988,37420,27164
31968,37436,27221
32036,37430,27233
32140,37423,27189
32249,37421,27101
32284,37399,27063
32252,37369,27053
32220,37370,27018
32148,37375,26993
32036,37381,26962
31912,37399,26944
31909,37407,26917
31908,37413,26899
31976,37406,26938
32052,37363,26903
32130,37372,26877
32200,37357,26873
32216,37353,26887
32229,37355,26862
32212,37356,26820
32144,37369,26697
32118,37373,26770
32140,37383,26762
32228,37383,26716
32258,37364,26695
32304,37353,26618
32352,37327,26561
32372,37299,26489
32344,37331,26463
32268,37334,26473
32192,37349,26415
32160,37364,26396
32196,37365,26375
32256,37325,26344
32344,37341,26297
32424,37316,26256
32488,37299,26235
32520,37303,26204
32508,37296,26180
32466,37308,26217
32386,37319,26197
32316,37333,26108
32304,37341,26178
32380,37314,26175
32485,37319,26060
32596,37306,25998
32712,37287,25976
32724,37275,25963
32724,37275,25959
32696,37293,25908
32620,37289,25889
32544,37310,25935
32548,37318,25975
32624,37306,25964
32708,37287,25901
32778,37277,25786
32832,37229,25750
32868,37246,25751
32872,37255,25712
32846,37255,25700
32856,37263,25708
32864,37276,25705
32896,37287,25653
32948,37271,25624
33012,37268,25606
33105,37255,25687
33144,37224,25692
33184,37221,25700
33149,37220,25694
33124,37228,25653
33076,37247,25552
33008,37253,25503
32992,37255,25494
33053,37255,25470
33088,37239,25450
33140,37231,25457
33160,37217,25479
33132,37188,25468
33056,37198,25428
32952,37209,25417
32876,37220,25416
32852,37236,25372
32840,37249,25381
32888,37237,25351
32940,37223,25370
32949,37219,25341
32925,37189,25372
32892,37183,25407
32812,37180,25402
32704,37199,25243
32560,37199,25223
32512,37223,25205
32476,37229,25199
32437,37223,25176
32480,37218,25174
32444,37201,25154
32512,37180,25164
32449,37172,25173
32380,37163,25110
32300,37185,25183
32284,37159,25219
32276,37209,25167
32236,37215,25130
32276,37215,25039
32332,37198,25085
32400,37189,25048
32456,37163,25026
32464,37155,25025
32408,37159,24997
32332,37173,25006
32261,37172,25004
32250,37201,24970
32284,37199,24975
32352,37175,24941
32448,37185,24920
32560,37171,24886
32641,37142,24872
32628,37103,24849
32557,37124,24857
32408,37149,24827
32332,37171,24815
32276,37183,24769
32252,37180,24857
32332,37173,24748
32401,37165,24720
32512,37159,24698
32596,37116,24720
32588,37125,24676
32496,37127,24749
32428,37137,24813
32429,37145,24737
