ECG,EDA,RR
32720,61477,36556
32736,61524,36429
32804,61518,36487
32872,61511,36374
32904,61510,36423
32901,61417,36402
32848,61508,36208
32768,61489,36319
32756,61504,36052
32756,61468,36268
32624,61525,36148
32640,61533,36196
32668,61537,35996
32804,61533,36177
32908,61525,36108
32928,61511,36004
32864,61509,36042
32828,61492,35933
32740,61516,36038
32692,61516,35941
32676,61532,35823
32657,61551,35885
32732,61542,35733
32797,61540,35817
32865,61532,35779
32920,61444,35821
32924,61508,35718
32840,61519,35613
32772,61533,35669
32673,61536,35438
32623,61551,35609
32652,61511,35543
32692,61543,35624
32736,61529,35524
32842,61525,35270
32876,61527,35492
32872,61517,35448
32844,61528,35311
32761,61551,35345
32764,61548,35407
32712,61552,35184
32762,61556,35384
32776,61567,35343
32824,61559,35207
32901,61543,35288
32908,61527,35264
32876,61479,35030
32800,61447,35329
32732,61485,35246
32716,61476,34972
32712,61492,35207
32690,61543,35156
32720,61551,35222
32852,61551,35172
32992,61532,35238
32992,61519,35144
32926,61527,35004
32872,61533,35147
32848,61549,35113
32784,61543,34925
32692,61487,35134
32725,61472,35061
32900,61469,34879
32952,61519,35044
32925,61535,35008
32980,61524,34948
32961,61513,34988
32858,61527,34672
32756,61520,34941
32732,61543,34877
32792,61551,34864
32772,61501,34903
32808,61544,34896
32852,61537,34717
32856,61519,34868
32960,61517,34849
32956,61504,34599
32956,61516,34862
32836,61521,34809
32808,61511,34647
32812,61542,34823
32808,61525,34777
32868,61525,34488
32916,61535,34721
32956,61442,34684
33020,61442,34725
33012,61501,34710
32948,61511,34396
32872,61476,34641
32813,61508,34455
32800,61527,34614
32836,61524,34437
32936,61443,34575
33045,61511,34394
33088,61503,34572
33156,61487,34375
33132,61495,34524
33053,61487,34528
32988,61419,34561
33068,61447,34505
33096,61512,34570
33036,61493,34484
33029,61499,34392
33104,61487,34463
33157,61414,34192
33264,61477,34428
33184,61479,34304
33108,61460,34415
33052,61407,34232
33028,61493,34407
32992,61484,34183
33024,61493,34368
33103,61460,34117
33180,61495,34382
33232,61479,34240
33250,61447,34385
33248,61447,34332
33204,61383,34402
33181,61446,34311
33164,61476,34215
33144,61493,34287
33162,61476,34023
33241,61447,34266
33252,61447,34144
33324,61447,34270
33440,61440,34268
33469,61443,33929
33336,61442,34214
33248,61446,34149
33144,61405,34272
33125,61471,34140
33192,61447,34247
33192,61447,34073
33312,61383,34129
33344,61428,34129
33328,61422,34039
33348,61407,34127
33325,61405,33911
33236,61423,34068
33180,61428,33953
33140,61383,34109
33132,61399,34046
33180,61404,33756
33204,61392,34013
33272,61421,33882
33324,61405,34015
33256,61383,33935
33216,61399,34012
33137,61399,33956
33128,61413,33910
33084,61421,33927
33076,61415,33820
33144,61415,33975
33204,61399,33857
33272,61377,33924
33256,61345,33666
33272,61375,33856
33196,61365,33832
33116,61377,33837
33072,61377,33925
32988,61382,33703
32976,61356,33826
33012,61383,33709
33097,61312,33756
33120,61345,33762
33124,61351,33495
33116,61338,33780
33116,61314,33671
33136,61364,33735
33184,61348,33759
33200,61357,33579
33261,61371,33687
33344,61266,33471
33452,61317,33712
33508,61319,33607
33564,61287,33678
33564,61306,33656
33478,61296,33643
33414,61220,33668
33356,61280,33533
33316,61319,33617
33280,61310,33542
33300,61308,33625
33420,61220,33597
33464,61295,33388
33460,61275,33589
33432,61255,33455
33364,61252,33564
33264,61262,33614
33216,61188,33409
33124,61191,33527
33112,61283,33516
33172,61191,33430
33240,61250,33509
33232,61232,33422
33280,61231,33551
33268,61148,33469
33216,61165,33262
33105,61223,33441
33040,61239,33238
33052,61223,33444
32996,61229,33117
33028,61156,33401
33084,61145,33177
33124,61125,33381
33192,61147,33325
33204,61164,33423
33125,61164,33287
33016,61180,33348
32920,61159,33223
32864,61176,33314
32869,61164,33045
32937,61172,33280
33004,61159,33236
33052,61144,33287
33052,61132,33295
33024,61061,33159
32948,61135,33252
32860,61109,33249
32813,61124,33231
32813,61136,33306
32866,61116,33132
32904,61112,33177
32965,61055,32868
33000,61095,33201
33044,61063,33116
33000,61062,33153
32968,61048,32821
32900,60999,33140
32832,61047,32836
32764,61087,33089
32752,61063,32947
32720,61063,33061
32644,61044,32885
32540,60976,33018
32357,61020,32908
32128,61020,33015
31884,60996,32949
31680,61000,33067
31592,61007,32972
31520,61007,32984
31645,60959,32921
31912,60999,32984
32236,60927,32928
32664,60935,32828
33124,60935,32908
33548,60935,32765
33932,60932,32877
34344,60855,32733
34984,60933,32905
35648,60909,32856
36064,60933,32857
36393,60920,32857
36601,60912,32591
36716,60885,32815
36908,60905,32702
36996,60892,32876
37013,60893,32788
36800,60893,32655
36352,60871,32775
35884,60901,32559
35488,60911,32740
35144,60885,32660
34735,60873,32682
34212,60861,32735
33696,60859,32687
33388,60760,32620
33140,60785,32683
32960,60780,32487
32808,60844,32641
32641,60852,32598
32534,60834,32693
32450,60829,32617
32404,60821,32527
32380,60732,32621
32428,60720,32453
32388,60729,32634
32236,60791,32519
32150,60781,32588
32100,60781,32497
32032,60782,32620
32024,60789,32541
32136,60775,32233
32208,60708,32551
32268,60719,32270
32340,60714,32530
32312,60712,32479
32168,60706,32519
32110,60719,32380
32100,60708,32500
32008,60708,32253
32040,60700,32472
32112,60714,32356
32184,60679,32457
32244,60672,32352
32292,60583,32429
32320,60572,32399
32268,60588,32480
32252,60660,32268
32196,60644,32363
32175,60647,32164
32224,60655,32359
32324,60580,32065
32409,60636,32335
32430,60604,32247
32448,60597,32312
32476,60605,32244
32428,60583,32303
32336,60569,32348
32328,60589,32250
32276,60583,32270
32293,60516,32271
32352,60591,32129
32428,60551,32277
32468,60550,32157
32500,60539,32208
32510,60461,32276
32453,60520,32085
32372,60533,32180
32405,60519,32065
32296,60527,32180
32316,60516,32105
32368,60509,32172
32452,60511,32021
32564,60423,32054
32632,60423,31900
32574,60423,32050
32620,60445,32047
32504,60461,31962
32440,60385,32001
32390,60471,31672
32360,60457,31953
32493,60452,31970
32612,60359,31737
32620,60423,31895
32752,60412,31901
32800,60397,31788
32784,60376,31838
32728,60308,31554
32672,60391,31820
32660,60412,31687
32702,60399,31782
32814,60380,31668
32916,60359,31734
32972,60354,31628
33020,60277,31708
33001,60276,31739
32944,60293,31673
32896,60329,31759
32800,60323,31584
32768,60326,31657
32836,60327,31578
32944,60260,31612
33008,60288,31684
33100,60271,31424
33204,60260,31561
33236,60248,31340
33152,60231,31556
33092,60252,31422
33028,60247,31540
32900,60249,31209
32922,60231,31500
33022,60232,31538
33048,60220,31437
33168,60207,31476
33257,60112,31180
33280,60116,31433
33224,60167,31230
33137,60167,31413
33040,60135,31284
33016,60167,31383
33040,60161,31272
33008,60148,31363
33080,60155,31153
33177,60039,31357
33124,60039,31025
33112,60055,31324
33045,60036,31309
32884,60079,31271
32741,60088,31329
32594,60095,31156
32652,60093,31200
32712,60020,30964
32796,60012,31194
32736,60008,30913
32701,60039,31143
32660,60015,31169
32596,60012,31060
32496,60030,31160
32425,59980,30913
32280,60039,31033
32248,60020,30895
32348,60005,31077
32349,59983,31004
32376,59983,31002
32488,59964,30948
32516,59952,30911
32460,59911,30904
32344,59935,30908
32284,59901,30573
32256,59879,30864
32228,59944,30924
32216,59932,30596
32392,59911,30794
32264,59901,30846
32324,59887,30575
32384,59876,30756
32408,59797,30685
32260,59874,30663
32180,59875,30765
31988,59872,30676
32040,59868,30668
32152,59866,30428
32368,59820,30648
32412,59837,30700
32372,59820,30380
32340,59720,30597
32311,59815,30595
32252,59779,30398
32200,59796,30567
32180,59813,30305
32226,59804,30540
32308,59807,30565
32460,59778,30365
32540,59764,30558
32660,59753,30222
32593,59745,30511
32488,59749,30557
32416,59743,30264
32312,59746,30485
32344,59751,30518
32318,59750,30455
32368,59740,30311
32468,59724,30517
32497,59684,30540
32604,59677,30359
32616,59684,30523
32525,59672,30609
32472,59619,30535
32464,59685,30572
32476,59703,30548
32421,59698,30461
32560,59684,30575
32576,59668,30332
32568,59633,30596
32572,59628,30500
32622,59551,30576
32612,59634,30629
32448,59612,30416
32370,59623,30586
32320,59628,30377
32301,59610,30618
32444,59612,30661
32460,59614,30469
32637,59556,30568
32648,59583,30285
32582,59580,30582
32522,59509,30596
32484,59589,30588
32436,59581,30603
32380,59587,30424
32420,59596,30596
32492,59528,30493
32604,59591,30545
32660,59552,30592
32688,59540,30248
32704,59514,30528
32628,59540,30215
32621,59552,30534
32584,59556,30269
32465,59567,30471
32472,59559,30537
32548,59565,30305
32637,59492,30480
32660,59543,30464
32708,59493,30446
32720,59512,30463
32664,59527,30330
32632,59472,30453
32540,59543,30372
32452,59559,30400
32537,59532,30407
32476,59541,30486
32681,59527,30397
32645,59527,30111
32633,59460,30404
32672,59524,30343
32641,59527,30393
32544,59516,30388
32517,59540,30377
32428,59463,30482
32436,59551,30245
32432,59527,30449
32568,59527,30126
32705,59518,30447
32760,59525,30202
32764,59510,30421
32684,59479,30134
32604,59526,30440
32536,59548,30425
32506,59543,30420
32528,59566,30455
32565,59495,30428
32672,59556,30519
32752,59556,30290
32752,59527,30428
32800,59527,30214
32725,59540,30422
32564,59508,30232
32504,59566,30424
32532,59580,30360
32524,59511,30416
32544,59565,30502
32652,59580,30406
32732,59564,30516
32756,59567,30418
32720,59575,30346
32693,59583,30397
32612,59517,30310
32512,59575,30508
32452,59620,30436
32552,59620,30157
32604,59609,30492
32662,59622,30300
32672,59622,30455
32709,59584,30200
32720,59595,30516
32621,59620,30397
32489,59558,30485
32436,59655,30464
32421,59655,30484
32428,59676,30548
32524,59672,30520
32640,59604,30432
32677,59677,30528
32712,59655,30431
32669,59655,30561
32684,59596,30496
32704,59709,30581
32616,59703,30552
32480,59724,30280
32456,59746,30586
32524,59744,30593
32600,59655,30664
32744,59688,30605
32800,59751,30550
32676,59715,30607
32560,59756,30604
32389,59733,30631
32332,59783,30709
32309,59812,30604
32400,59820,30732
32404,59808,30662
32458,59832,30687
32564,59829,30660
32708,59830,30391
32648,59804,30695
32556,59855,30668
32372,59868,30685
32284,59872,30716
32188,59901,30599
32232,59911,30753
32320,59911,30757
32500,59847,30516
32680,59932,30761
32784,59903,30564
32836,59911,30819
32829,59876,30716
32796,59956,30794
32724,59973,30845
32704,59988,30732
32712,60015,30841
32838,59980,30736
32882,60026,30908
32908,60012,30813
33013,60020,30964
32888,59950,30877
32768,59975,30581
32781,59980,30972
32720,60037,30889
32650,60103,30809
32625,60121,30921
32690,60113,30799
32764,60121,30912
32792,60039,30757
32908,60112,30919
32857,60116,30784
32772,60156,30924
32638,60105,30748
32580,60199,30993
32636,60231,30916
32663,60212,30909
32704,60232,30948
32744,60227,30972
32768,60231,30948
32792,60236,30962
32836,60263,30953
32740,60268,30924
32628,60220,30968
32552,60332,31027
32502,60328,30873
32528,60359,30988
32604,60290,30917
32737,60375,31048
32652,60373,30999
32696,60376,30884
32624,60319,30983
32644,60404,30918
32608,60423,31037
