ECG,EDA,RR
33528,56552,41857
33552,56548,42041
33532,56583,41939
33500,56583,41991
33456,56604,42005
33400,56621,42015
33348,56628,42180
33392,56604,42068
33460,56583,42106
33532,56583,42092
33574,56532,42164
33624,56549,42213
33604,56479,42180
33484,56477,42239
33416,56479,42247
33349,56551,42316
33324,56556,42351
33367,56556,42332
33416,56551,42472
33501,56551,42423
33600,56493,42537
33688,56444,42469
33704,56494,42597
33616,56501,42509
33525,56500,42631
33448,56508,42549
33392,56516,42608
33348,56531,42607
33380,56500,42684
33460,56453,42652
33541,56484,42812
33637,56423,42726
33600,56390,42868
33504,56405,42785
33414,56455,42864
33300,56477,42815
33122,56487,42948
33000,56469,42860
32924,56465,42983
32812,56448,42918
32704,56428,42897
32636,56399,43036
32556,56423,42976
32548,56417,43119
32608,56415,43015
32832,56423,43076
33080,56444,43124
33440,56388,43095
33966,56356,43228
34440,56408,43135
34884,56397,43172
35464,56357,43254
36158,56372,43271
36664,56372,43245
36900,56376,43220
37048,56396,43316
37172,56421,43319
37140,56421,43436
37276,56413,43361
37496,56412,43465
37560,56401,43389
37484,56388,43373
37122,56325,43447
36556,56381,43458
36020,56377,43567
35560,56404,43509
35092,56423,43593
34634,56412,43540
34292,56399,43593
34016,56349,43580
33864,56309,43684
33700,56295,43639
33508,56295,43727
33344,56367,43684
33200,56372,43749
33056,56381,43728
32960,56381,43756
32888,56407,43821
32900,56345,43796
32932,56309,43844
32963,56375,43804
33013,56359,43812
33056,56352,43892
32968,56356,43876
32852,56367,43972
32784,56359,43901
32794,56388,43959
32813,56372,44061
32864,56391,44004
32944,56359,44053
32985,56352,44068
33020,56357,44060
32968,56340,44156
32921,56348,44064
32844,56364,44100
32749,56388,44192
32692,56405,44100
32677,56388,44148
32748,56399,44191
32814,56387,44175
32904,56389,44143
32972,56295,44260
32980,56300,44220
32966,56360,44250
32892,56380,44240
32872,56386,44225
32805,56404,44247
32780,56406,44272
32844,56412,44324
32932,56396,44295
32980,56365,44332
33032,56311,44308
33012,56383,44313
32944,56391,44380
32876,56401,44343
32876,56396,44337
32820,56424,44412
32844,56428,44389
32892,56431,44439
32988,56365,44404
33068,56415,44412
33184,56404,44433
33196,56396,44436
33156,56423,44464
33052,56359,44452
32970,56436,44440
32928,56430,44525
32948,56473,44469
32992,56391,44444
33036,56455,44492
33084,56439,44496
33113,56430,44477
33116,56385,44528
33054,56440,44493
32988,56455,44496
32959,56476,44500
32956,56487,44496
33016,56425,44575
33116,56493,44501
33188,56484,44468
33237,56470,44540
33288,56460,44484
33288,56473,44471
33285,56425,44507
33263,56485,44479
33210,56496,44515
33152,56524,44455
33192,56533,44425
33228,56460,44505
33316,56532,44428
33436,56519,44407
33536,56502,44447
33532,56517,44388
33528,56535,44423
33490,56473,44356
33453,56558,44385
33508,56570,44308
33592,56581,44294
33700,56527,44332
33792,56564,44285
33856,56551,44245
33916,56548,44309
33896,56564,44209
33860,56540,44244
33804,56581,44175
33792,56583,44140
33744,56621,44197
33768,56612,44084
33808,56623,44127
33868,56556,44039
33916,56597,44039
33984,56583,43988
34042,56599,43953
33985,56611,43884
33904,56621,43925
33868,56636,43847
33760,56656,43879
33740,56642,43785
33744,56671,43836
33816,56620,43725
33861,56652,43693
33828,56636,43688
33786,56655,43592
33676,56583,43652
33572,56668,43510
33488,56697,43487
33380,56652,43526
33340,56710,43424
33340,56704,43405
33396,56704,43333
33432,56664,43270
33448,56680,43319
33356,56672,43196
33248,56694,43157
33120,56735,43204
33044,56740,43079
32952,56768,43057
32904,56757,42957
32948,56704,43049
33004,56749,42926
33032,56771,42846
33098,56752,42840
33076,56736,42768
32950,56758,42804
32848,56780,42702
32745,56788,42757
32644,56820,42644
32653,56829,42676
32708,56808,42532
32800,56817,42559
32856,56820,42461
32933,56807,42375
32928,56813,42388
32894,56828,42321
32796,56839,42337
32744,56839,42254
32705,56876,42154
32701,56839,42260
32764,56880,42124
32848,56868,42109
32936,56879,41989
33008,56868,41924
33036,56828,41969
32996,56839,41848
32948,56893,41940
32892,56901,41788
32864,56936,41842
32864,56860,41641
32896,56932,41591
32944,56932,41725
32977,56924,41560
33004,56903,41493
33004,56909,41579
32986,56933,41405
32944,56956,41312
32916,56956,41447
32873,56985,41297
32912,56967,41294
33004,56976,41213
33100,56984,41176
33164,56967,41108
33208,56935,41029
33236,56935,41062
33200,56980,41039
33149,56999,41004
33056,57027,40918
32968,57028,40821
32960,57024,40839
33052,57030,40753
33188,57031,40888
33236,57016,40750
33324,57008,40636
33333,57012,40821
33256,57037,40658
33176,56967,40612
33060,57060,40583
32988,57076,40526
33012,57063,40673
33085,57089,40481
33143,57043,40596
33214,57069,40382
33284,57061,40302
33264,57060,40388
33232,57081,40269
33192,57069,40327
33148,57031,40168
33136,57055,40210
33148,57125,40167
33206,57116,40259
33272,57125,40084
33296,57127,40042
33333,57095,39998
33304,57048,40029
33244,57111,39909
33188,57125,39845
33164,57151,39956
33132,57172,39814
33132,57191,39873
33260,57159,39657
33356,57160,39671
33446,57167,39660
33516,57156,39622
33501,57159,39709
33436,57119,39491
33380,57120,39512
33330,57126,39455
33276,57149,39439
33270,57137,39516
33304,57149,39292
33380,57145,39367
33456,57198,39188
33534,57178,39296
33528,57175,39172
33480,57167,39228
33461,57188,39143
33404,57212,39215
33364,57223,39081
33376,57223,39077
33440,57220,38991
33488,57223,38815
33501,57223,38916
33525,57213,38733
33500,57152,38895
33400,57183,38757
33300,57223,38951
33204,57223,38766
33135,57260,38744
33160,57260,38723
33216,57261,38753
33296,57263,38556
33376,57244,38631
33396,57223,38508
33360,57234,38551
33296,57240,38385
33221,57244,38564
33150,57257,38380
33148,57295,38556
33164,57300,38404
33189,57293,38504
33288,57237,38352
33356,57207,38472
33388,57250,38301
33400,57261,38244
33300,57263,38231
33185,57277,38101
33128,57299,38311
33080,57287,38159
33088,57311,37989
33140,57300,38145
33216,57308,38080
33320,57286,37878
33376,57271,38047
33380,57280,37928
33376,57287,37909
33284,57303,37960
33192,57327,37879
33160,57276,37804
33144,57329,37702
33206,57317,37919
33260,57323,37748
33312,57293,37741
33340,57300,37561
33340,57287,37677
33332,57292,37623
33244,57319,37527
33145,57274,37589
33084,57341,37536
33056,57348,37404
33100,57341,37493
33156,57284,37457
33208,57321,37228
33244,57311,37392
33224,57295,37333
33174,57317,37183
33092,57287,37375
33060,57336,37222
33021,57349,37145
33064,57335,37135
33124,57286,37127
33188,57348,36951
33268,57340,37119
33360,57324,37029
33396,57335,36836
33326,57327,37089
33198,57324,36937
33117,57351,36871
33052,57375,36695
33048,57381,36888
33056,57373,36735
33088,57325,36900
33182,57351,36756
33256,57341,36628
33236,57309,36740
33120,57341,36672
33028,57351,36580
32952,57301,36479
32924,57383,36671
32940,57383,36554
33002,57399,36342
33077,57316,36542
33142,57351,36472
33156,57340,36356
33118,57316,36453
33056,57351,36395
32942,57351,36173
32872,57343,36419
32904,57396,36312
32996,57373,36151
33156,57384,36385
33296,57389,36236
33396,57383,36177
33493,57351,36191
33508,57303,35977
33476,57351,36231
33388,57351,36117
33292,57391,36028
33212,57407,35961
33236,57403,36067
33316,57381,36028
33364,57372,35821
33432,57396,35935
33488,57351,35956
33456,57343,35940
33424,57369,35828
33322,57365,35861
33185,57407,35856
33072,57351,35833
33060,57408,35633
33080,57407,35807
33176,57399,35777
33221,57332,35763
33264,57383,35589
33248,57383,35520
33172,57308,35775
33084,57376,35664
32993,57400,35522
32900,57351,35450
32892,57420,35649
32972,57407,35578
33033,57415,35444
33081,57351,35556
33124,57381,35515
33156,57351,35516
33128,57397,35367
33042,57401,35457
32956,57340,35436
32900,57423,35209
32904,57437,35439
32940,57421,35384
33016,57416,35305
33087,57405,35254
33144,57388,35348
33154,57397,35314
33132,57399,35168
33072,57351,35259
32980,57415,35206
32924,57423,35287
32916,57434,35199
32944,57438,35116
33020,57433,35252
33080,57351,35140
33148,57376,34951
33093,57396,35171
33028,57400,35053
32928,57351,35052
32856,57417,34855
32812,57447,35073
32810,57447,34984
32821,57455,34769
32884,57455,34956
32928,57425,34911
32928,57404,34864
32888,57396,34840
32724,57420,34848
32468,57383,34745
32260,57439,34718
32012,57455,34775
31820,57463,34740
31764,57440,34743
31780,57431,34543
31921,57412,34732
32136,57397,34669
32376,57415,34648
32604,57407,34537
32905,57431,34557
33304,57445,34627
33684,57470,34439
34141,57391,34668
34745,57444,34589
35572,57437,34433
36228,57431,34635
36564,57421,34564
36804,57428,34561
36804,57428,34385
36736,57463,34632
36788,57469,34548
36825,57488,34507
36832,57497,34562
36700,57478,34551
36386,57479,34512
36052,57493,34524
35685,57463,34521
35288,57411,34497
34752,57469,34409
34224,57479,34581
33732,57499,34524
33356,57519,34311
