ECG,EDA,RR
32250,47616,22998
32328,47623,22983
32396,47615,22948
32457,47606,23269
32424,47620,23228
32356,47599,23287
32228,47623,23348
32164,47657,23396
32128,47641,23462
32152,47661,23511
32280,47652,23580
32384,47647,23633
32456,47654,23684
32548,47588,23635
32536,47636,23646
32461,47648,23701
32356,47663,24017
32292,47679,23965
32260,47680,24038
32320,47683,24045
32364,47685,23996
32448,47677,24028
32516,47668,24334
32578,47668,24308
32580,47671,24369
32452,47676,24356
32396,47649,24331
32300,47711,24364
32256,47671,24527
32308,47727,24735
32360,47668,24724
32452,47719,24723
32544,47719,24788
32572,47712,24836
32608,47716,24863
32536,47727,24776
32440,47708,24997
32357,47759,25137
32292,47775,25145
32349,47776,25158
32440,47772,25205
32572,47768,25269
32644,47767,25332
32708,47765,25343
32668,47740,25302
32548,47783,25309
32476,47795,25625
32382,47751,25568
32316,47827,25610
32365,47839,25508
32442,47815,25636
32558,47839,25764
32648,47831,25794
32686,47829,25676
32624,47789,25956
32544,47844,25893
32452,47855,25951
32426,47872,25798
32400,47879,26075
32448,47890,26018
32536,47879,25940
32624,47868,26036
32672,47895,26084
32724,47895,26128
32688,47903,26010
32600,47923,26223
32528,47931,26199
32444,47941,26084
32432,47923,26188
32436,47965,26274
32538,47969,26260
32617,47921,26265
32688,47957,26148
32732,47973,26333
32705,47969,26364
32637,47980,26322
32572,48000,26343
32468,48029,26189
32420,47983,26448
32452,48047,26340
32544,48044,26345
32632,48046,26189
32700,48054,26476
32736,48049,26357
32706,48005,26272
32641,48070,26199
32564,48090,26459
32476,48105,26348
32464,48132,26324
32504,48135,26338
32608,48134,26343
32664,48135,26228
32725,48135,26416
32796,48135,26351
32776,48135,26227
32705,48172,26264
32620,48188,26376
32544,48215,26313
32516,48204,26279
32568,48236,26143
32628,48236,26391
32741,48247,26276
32862,48244,26274
32912,48193,26146
32876,48263,26305
32808,48279,26233
32702,48301,26194
32600,48311,26233
32536,48329,26153
32540,48347,26284
32624,48345,26225
32736,48344,26050
32836,48301,26205
32934,48367,26192
32900,48364,26101
32821,48391,26236
32732,48352,26169
32644,48441,26081
32584,48454,26002
32620,48465,26143
32696,48464,26255
32772,48482,26145
32821,48479,26163
32872,48487,26116
32861,48481,26217
32789,48448,26152
32720,48537,26156
32640,48559,26108
32608,48564,25983
32636,48586,26254
32720,48582,26151
32801,48588,26171
32852,48562,26000
32900,48551,26245
32860,48615,26156
32780,48647,26161
32688,48637,26072
32644,48691,26244
32598,48707,26197
32648,48710,26037
32780,48716,26279
32912,48719,26213
33013,48735,26185
33088,48740,26084
33064,48751,26127
32980,48757,26345
32917,48791,26252
32872,48797,26268
32824,48839,26161
32820,48852,26119
32896,48861,26348
32985,48855,26293
33068,48871,26322
33200,48876,26162
33217,48882,26393
33156,48901,26349
33084,48925,26217
33032,48957,26382
32997,48969,26405
33024,48989,26247
33106,48941,26503
33196,48996,26451
33204,49004,26418
33176,49008,26567
33152,49031,26511
33104,49052,26367
33006,49031,26596
32952,49048,26567
32860,49111,26488
32836,49135,26508
32872,49143,26733
32952,49140,26653
33020,49151,26560
33064,49159,26766
33061,49164,26737
32992,49145,26756
