ECG,EDA,RR
31736,42676,14722
32165,42669,14479
33045,42662,14677
33776,42649,14679
33889,42660,14768
33388,42672,14564
33164,42694,14761
32991,42716,14787
32792,42743,14800
32384,42757,14787
32520,42759,14778
32872,42747,14860
33030,42735,14940
32884,42740,14715
32624,42748,14890
32434,42765,14899
32548,42781,14980
32336,42813,14780
32964,42791,14940
33744,42839,14957
34192,42839,14983
33908,42829,15008
33644,42834,15053
33412,42823,14879
33028,42814,15011
33313,42832,15122
33248,42871,14895
33013,42887,15053
32824,42873,15074
32972,42927,15186
32833,42925,14957
32841,42927,15129
32752,42863,15128
32941,42903,15190
32612,42908,15152
32384,42918,15158
32416,42937,15297
32308,42973,15128
32173,42969,15239
32424,43011,15359
32404,43006,15123
32696,42991,15276
32744,42997,15309
32748,42982,15402
32762,42980,15264
32799,42999,15428
32804,43015,15525
32716,43049,15410
32820,43079,15497
32596,43055,15512
32784,43084,15501
33520,43084,15583
33943,43070,15698
33872,43015,15647
33520,43071,15665
33212,43079,15732
33057,43111,15690
32549,43092,15763
32216,43154,15817
32256,43175,15792
32532,43172,15826
32581,43165,15836
32680,43133,15797
32952,43143,15908
33128,43148,15951
33120,43179,16056
32936,43157,15824
32800,43215,16020
33068,43243,16052
33116,43255,16103
32881,43236,16095
32724,43237,16116
32784,43237,16143
32976,43224,16135
32985,43231,16081
32888,43248,16188
32612,43247,16297
32117,43297,16080
31936,43316,16263
31976,43332,16286
32152,43289,16334
32584,43319,16173
33009,43309,16330
33280,43300,16430
33212,43269,16260
33144,43308,16420
33416,43333,16460
33204,43308,16328
32548,43381,16525
32340,43388,16575
32596,43344,16616
32916,43383,16501
32704,43373,16676
32700,43367,16737
32804,43358,16850
32908,43372,16684
32620,43399,16857
32572,43399,16921
32712,43452,16980
32788,43447,17082
32765,43407,17048
32400,43445,17004
32496,43433,17194
32492,43380,17318
32588,43433,17127
32508,43447,17325
32746,43463,17380
32932,43487,17358
32870,43500,17383
32740,43504,17517
32605,43511,17620
32780,43508,17688
32920,43497,17550
33046,43435,17608
32992,43489,17757
32666,43510,17847
32408,43513,17743
32296,43492,17857
32557,43572,17951
32832,43575,18004
33308,43527,18143
33572,43569,17932
33476,43564,18029
33272,43527,18153
32996,43521,18238
32868,43564,18290
32808,43525,18392
33112,43603,18413
33278,43623,18202
33310,43621,18381
33216,43639,18430
33004,43623,18446
32312,43615,18439
31636,43593,18396
31448,43607,18507
31768,43613,18658
32320,43628,18433
32660,43652,18605
32876,43679,18648
33084,43677,18692
33324,43673,18808
33432,43679,18600
33176,43669,18772
32816,43655,18839
32186,43655,18962
31792,43673,18768
31568,43655,18938
31984,43711,19036
33192,43735,18893
34188,43734,19086
34230,43715,19111
33624,43729,19244
33380,43719,19065
33084,43712,19144
32636,43711,19215
32182,43732,19279
32156,43732,19399
32124,43761,19433
32656,43783,19511
33256,43735,19436
33452,43783,19552
33460,43783,19619
33132,43759,19658
33084,43759,19694
32988,43716,19840
32960,43759,19665
33028,43783,19685
32948,43800,19813
32496,43833,19909
32298,43837,19916
32036,43783,19850
32348,43839,20037
32586,43812,20164
32304,43805,19975
32273,43807,20146
32716,43818,20167
33124,43783,20294
33768,43853,20108
33944,43879,20231
33388,43846,20305
32621,43885,20452
32124,43879,20270
32192,43871,20405
32233,43852,20481
32404,43845,20336
32685,43846,20511
33148,43876,20617
33280,43905,20577
33164,43925,20711
33048,43890,20565
33144,43925,20677
33252,43927,20541
33324,43911,20718
33216,43879,20850
33108,43905,20772
32708,43911,20852
31749,43932,20706
31562,43953,20860
31584,43924,20876
32158,43976,20916
32864,43975,21020
33784,43959,20932
34296,43956,20989
34049,43940,20971
