ECG,EDA,RR
32796,7586,27221
32756,7520,27271
32796,7499,27114
32782,7564,27089
32780,7531,27220
32820,7502,27253
32897,7535,27348
32952,7536,27237
33005,7541,27343
33060,7545,27503
33044,7549,27311
32984,7513,27221
32984,7492,27438
32976,7558,27508
32885,7519,27528
32798,7505,27396
32760,7521,27634
32708,7513,27670
32653,7524,27773
32677,7528,27561
32688,7587,27830
32704,7530,27783
32701,7502,27810
32712,7488,28153
32744,7517,28007
32816,7523,27952
32892,7503,28207
32974,7514,28239
33012,7570,28196
33016,7542,28356
33016,7540,28625
33028,7509,28614
33000,7540,28551
32984,7494,28474
32956,7485,28823
32965,7489,28884
32997,7546,28828
32988,7527,29172
33032,7521,29181
33052,7596,29085
33084,7552,29319
33056,7524,29246
33037,7505,29567
33007,7486,29372
33008,7535,29655
32992,7511,29724
32981,7506,29686
32916,7510,29917
32888,7586,29906
32860,7541,30068
32952,7516,30153
32988,7576,30253
32996,7515,30460
33036,7519,30332
33089,7481,30223
33064,7556,30592
33036,7530,30670
33016,7515,30707
32980,7592,30773
32928,7555,30945
32896,7528,31063
32937,7599,31036
32976,7544,31147
33005,7505,31172
33068,7504,31449
33116,7506,31300
33152,7523,31486
33068,7519,31404
33000,7598,31599
32988,7544,31575
32984,7524,31777
32976,7611,31990
32960,7530,32070
32952,7518,31968
32961,7487,31935
32957,7559,32140
32924,7531,32160
32892,7526,32324
32888,7527,32402
32892,7535,32431
32956,7594,32477
32962,7533,32527
32964,7523,32780
32992,7497,32709
32956,7497,32662
33004,7588,32871
33060,7545,32880
33086,7533,32885
33057,7537,33117
33048,7596,33063
33024,7561,32881
33025,7605,33225
33008,7549,33322
32996,7529,33361
33014,7503,33452
33028,7511,33636
33007,7571,33604
33021,7544,33661
33028,7548,33640
33009,7594,33622
32960,7559,33783
32944,7553,33690
33012,7516,34007
33112,7553,33951
33117,7534,33926
33078,7511,34036
33017,7619,34092
32937,7589,34020
32916,7580,34220
32916,7551,34257
32944,7635,34344
32929,7591,34074
32928,7535,34359
32964,7534,34392
32969,7512,34461
32960,7517,34512
32920,7590,34211
32873,7574,34567
32828,7568,34587
32817,7574,34785
32772,7558,34757
32704,7613,34652
32720,7596,34540
32752,7548,34444
32758,7524,34445
32780,7642,34476
32820,7557,34548
32881,7562,34907
32896,7560,34913
32908,7634,34902
32901,7585,34917
32921,7550,34838
32982,7558,34892
33052,7551,35057
33068,7523,34964
33036,7533,34964
33060,7593,34813
33068,7583,34737
33038,7564,35101
33028,7569,35088
33072,7604,35038
33132,7562,34984
33180,7532,34997
33192,7526,35258
33128,7561,35313
33052,7565,35236
33088,7557,35063
33152,7557,35055
33208,7645,35229
33204,7637,35103
33184,7629,35286
33146,7573,35206
33081,7555,34925
33028,7526,35252
33021,7593,35300
33092,7561,35314
33124,7560,35272
33128,7556,35330
33110,7637,35452
33090,7581,35468
33084,7565,35463
33044,7589,35510
32992,7542,35492
32956,7590,35511
32932,7556,35519
32904,7533,35503
32887,7589,35439
32790,7592,35325
32552,7571,35316
32224,7596,35332
31881,7570,35319
31572,7557,35053
31365,7614,35390
31140,7574,35303
30932,7567,35260
30704,7539,35312
30536,7609,35463
30801,7583,35468
31600,7589,35301
32956,7579,34951
34772,7639,35296
36960,7598,35304
39632,7557,35266
42668,7538,35175
46008,7614,35293
49248,7574,35388
51760,7587,35320
52972,7580,35164
52404,7592,35196
50812,7685,35226
48900,7623,35197
46868,7594,35196
44612,7583,35156
42296,7603,35112
40113,7583,35268
37854,7574,35220
35968,7579,35141
34676,7651,35124
33936,7628,35075
33436,7596,35053
32984,7639,35004
32612,7608,34928
32340,7560,34772
32160,7576,34768
31996,7558,34782
31888,7694,34780
31719,7600,34865
31477,7576,35029
31228,7647,34744
31044,7605,34993
30856,7585,35020
30670,7663,34870
30492,7600,35127
30352,7548,35079
30273,7617,34886
30204,7558,34869
30188,7557,34630
30116,7596,34653
30096,7583,34904
30068,7589,34770
30057,7590,34880
30085,7564,34988
30125,7592,34836
30190,7550,34538
30256,7542,34917
30304,7575,34889
30372,7586,34884
30437,7567,35024
30509,7600,35061
30568,7580,35103
30636,7661,35027
30676,7578,35084
30716,7554,35012
30740,7541,34984
30768,7564,34871
30816,7561,35061
30892,7548,35119
30968,7567,35063
30993,7628,35031
31028,7588,35156
31038,7575,35330
31108,7618,35261
31192,7563,35101
31253,7563,35335
31289,7533,35374
31304,7580,35383
31272,7566,35452
31220,7560,35605
31180,7625,35585
31140,7602,35644
31144,7575,35495
31168,7600,35391
31160,7554,35306
31192,7545,35601
31252,7559,35620
31272,7549,35625
31312,7627,35631
31344,7594,35612
31388,7605,35576
31413,7584,35804
31447,7638,35773
31452,7593,35521
31461,7564,35764
31492,7619,35761
31566,7567,35723
31592,7555,35648
31648,7561,35903
31661,7610,35727
31684,7609,35763
31740,7589,35809
31808,7652,35703
31864,7596,35837
31913,7572,35933
31937,7687,35885
31956,7559,35770
31952,7548,35719
31917,7612,35733
31894,7609,35393
31876,7585,35767
31916,7640,35743
31968,7602,35743
32000,7571,35792
32033,7630,35839
32034,7566,35706
32080,7547,35709
32120,7617,35668
32149,7575,35591
32134,7577,35620
32169,7662,35569
32240,7622,35540
32280,7589,35518
32256,7639,35493
32238,7578,35198
32220,7555,35505
32248,7680,35492
32261,7606,35354
32277,7581,35559
32308,7583,35420
32352,7746,35352
32360,7636,35191
32368,7598,35316
32383,7574,35324
32446,7615,35283
32452,7575,35236
32420,7548,35093
32388,7640,35308
32360,7604,35173
32342,7591,35116
32348,7594,34891
32372,7649,35148
32388,7620,35051
32397,7583,35183
32390,7567,35131
32388,7620,34999
32430,7580,34849
32441,7559,34661
32472,7573,35013
32540,7645,34963
32582,7615,34948
32592,7615,35072
32592,7596,34860
32596,7582,34908
32533,7572,34886
32472,7617,34834
32356,7585,34709
32264,7583,34773
32186,7570,34764
32153,7653,34905
32153,7646,34693
32156,7617,34516
32108,7605,34695
32076,7584,34679
32152,7625,34628
32192,7586,34532
32159,7557,34451
32084,7589,34429
32061,7581,34508
32092,7671,34447
32192,7617,34428
32294,7612,34415
32324,7752,34428
32353,7629,34564
32364,7589,34415
32380,7569,34351
32316,7558,34053
32284,7557,34311
32304,7624,34244
32300,7597,34204
32310,7594,34403
32356,7597,34193
32410,7683,34199
32509,7640,34223
32512,7591,34215
32528,7561,34231
32586,7556,34073
32584,7616,33901
32596,7588,33769
32632,7583,34093
32624,7647,34055
32628,7613,33889
32616,7597,34112
32584,7581,34029
32504,7636,33879
32492,7579,33684
32512,7555,33890
32492,7630,33868
32500,7593,33767
32525,7618,33828
32557,7598,33914
32608,7676,33825
32636,7625,33820
32644,7586,33758
32686,7667,33631
32732,7607,33476
32768,7585,33615
32828,7562,33620
32764,7627,33597
32778,7607,33466
32764,7612,33543
32776,7608,33647
32804,7693,33501
32864,7629,33245
32887,7602,33473
32912,7575,33391
32876,7727,33276
32856,7618,33493
32922,7616,33535
32924,7594,33453
32964,7655,33412
32970,7621,33281
32917,7754,33239
32940,7621,33233
32964,7589,33222
32964,7648,33084
32988,7603,33258
32980,7586,33255
33004,7656,33213
33009,7639,33231
33039,7782,33196
33032,7665,33212
33012,7653,33172
32990,7610,33139
32988,7641,33028
32988,7610,33053
33004,7587,33231
33012,7644,33301
33060,7618,33159
33124,7621,33076
33205,7630,32932
33210,7659,33044
33292,7637,33024
33301,7667,33135
33292,7625,33159
33276,7593,33159
33256,7668,33133
33284,7623,33157
33304,7618,33060
33289,7700,33281
33260,7650,33333
33236,7641,33180
33240,7663,33140
33194,7635,33169
33188,7767,33169
33176,7621,33068
33136,7598,33189
33076,7620,33261
33118,7613,33303
33145,7689,33356
33159,7644,33459
33128,7719,33413
33116,7671,33452
33108,7634,33436
33116,7654,33491
33156,7612,33564
33176,7630,33592
33140,7615,33519
33104,7620,33335
33080,7683,33541
33072,7677,33583
33092,7651,33562
33068,7713,33476
33092,7646,33525
33105,7700,33588
33136,7651,33713
33132,7610,33887
33172,7686,33851
33196,7646,33925
33196,7755,33965
33166,7674,34013
33148,7658,34036
33184,7687,33991
33212,7650,34012
33196,7629,34140
33206,7655,34167
33212,7615,34191
33229,7634,33949
33262,7708,34101
33216,7646,34173
33208,7695,33871
33192,7664,34014
33192,7721,34255
33184,7671,34300
33200,7711,34319
33200,7650,34333
33196,7668,34242
33196,7622,34503
33202,7678,34602
33180,7660,34573
33160,7661,34669
33145,7677,34655
33144,7663,34612
33156,7686,34502
33136,7638,34598
33124,7694,34660
33111,7640,34728
33072,7622,34738
33124,7662,34801
33164,7652,34837
33132,7718,34877
33096,7684,34901
33088,7663,34940
33097,7723,34972
33120,7655,35025
33164,7631,34959
33212,7689,34967
33236,7642,34975
33300,7638,35063
33348,7704,35079
33300,7700,35207
33268,7673,35221
33256,7715,35399
33253,7690,35332
33264,7642,35262
33256,7636,35248
33232,7668,35260
33205,7638,35296
33160,7713,35255
33172,7666,35364
33160,7723,35391
33192,7694,35406
33220,7740,35419
33188,7679,35489
33153,7649,35439
33144,7657,35191
33177,7629,35236
33196,7678,35221
33196,7644,35575
33156,7713,35620
33136,7705,35631
33112,7677,35511
33040,7745,35792
32960,7687,35676
32960,7654,35636
32968,7725,35553
33016,7665,35719
33032,7663,35702
33052,7645,35637
33082,7728,35885
33136,7709,35745
33228,7709,35389
33280,7672,35777
33356,7762,35629
33408,7713,35867
33412,7653,35716
33408,7631,35719
33388,7705,35676
33385,7668,35445
33372,7663,35799
33344,7758,35799
33326,7707,35737
33336,7705,35719
33368,7671,35874
33364,7705,35927
33268,7661,35822
33212,7635,35710
33208,7701,35641
33216,7684,35533
33238,7668,35745
33269,7744,35735
33301,7718,35701
33300,7703,35741
33344,7673,35812
33368,7716,35764
33380,7668,35668
33388,7642,35375
33352,7752,35637
33292,7671,35620
33218,7667,35543
33152,7715,35514
33152,7691,35437
33181,7803,35559
33252,7690,35591
33328,7665,35631
33408,7666,35540
33428,7643,35530
33380,7716,35404
33282,7674,35238
33120,7775,35359
32796,7696,35439
32416,7736,35463
32056,7695,35327
31789,7705,35191
31516,7664,35183
31220,7681,35100
30988,7648,35063
30876,7797,35287
31216,7682,35299
32064,7681,35242
33353,7736,35080
35076,7725,34733
37284,7695,35085
39852,7748,35037
42824,7706,34975
45996,7762,34934
49172,7678,34908
51920,7657,34958
53736,7709,35064
53716,7697,35018
52444,7751,34949
50632,7719,34820
48544,7828,34502
45932,7740,34796
43109,7704,34759
40564,7786,34719
38276,7716,34585
36308,7676,34646
34788,7728,34543
33900,7698,34407
33368,7774,34484
32936,7725,34597
32613,7781,34401
32392,7725,34355
32120,7684,34243
31832,7701,34113
31608,7659,34119
31296,7707,33878
31020,7672,33959
30808,7727,33836
30722,7700,33918
30536,7781,33852
30368,7727,33556
30224,7692,33814
30084,7741,33685
29948,7689,33658
29840,7806,33735
29724,7691,33683
29776,7781,33623
29912,7702,33486
29984,7693,33300
30040,7733,33325
30064,7707,33195
30044,7745,33127
29988,7670,33106
30052,7714,33015
30112,7687,32943
30100,7654,32991
30190,7705,32903
30216,7690,32650
30277,7844,32548
30324,7718,32769
30388,7703,32741
30494,7765,32689
30540,7695,32800
30474,7663,32695
30416,7729,32508
30400,7691,32461
30388,7670,32476
30444,7743,32461
30472,7714,32343
30500,7703,32223
30556,7762,32391
30560,7703,32355
30604,7676,32287
30660,7690,32197
30692,7683,32004
30700,7658,32068
30748,7675,31990
30692,7743,31951
30656,7715,32045
30678,7716,31879
30752,7703,31713
30848,7724,31623
30924,7679,31564
30924,7667,31580
30868,7695,31535
30888,7679,31460
30844,7671,31333
30876,7763,31245
30872,7715,31167
30857,7708,31133
30862,7794,31079
30852,7719,30877
30844,7676,30989
30896,7726,30983
30992,7682,30892
30972,7658,30679
30990,7735,30496
31100,7703,30445
31166,7699,30278
31190,7772,30102
31124,7735,30154
31086,7687,29913
31024,7716,29944
30944,7669,29889
30984,7715,29831
31045,7675,29716
31136,7673,29583
31280,7740,29488
31325,7733,29288
31453,7711,29112
31536,7724,29185
31544,7702,29087
31540,7731,28926
31548,7705,28724
31488,7719,28845
31472,7710,28783
31436,7687,28661
31392,7735,28588
31416,7720,28482
31436,7716,28300
31576,7749,28319
31690,7729,28263
31773,7776,28112
31792,7697,27854
31776,7670,27769
31776,7722,27777
31734,7709,27828
31716,7699,27585
31764,7782,27461
31844,7739,27373
31896,7716,27254
31916,7754,27143
31924,7724,27227
31948,7679,27167
31948,7731,27092
31877,7708,27023
31824,7686,26951
31860,7773,26836
31912,7731,26784
31988,7718,26751
32080,7754,26700
32150,7717,26655
32204,7776,26607
32228,7703,26551
32192,7682,26292
32140,7711,26318
32160,7698,26299
32206,7778,26255
32301,7758,26213
32344,7724,26289
32356,7793,26254
32372,7748,26317
32392,7701,26314
32380,7743,26209
32320,7702,26140
32293,7687,25997
32316,7735,26093
32345,7715,26119
32344,7796,26097
32340,7742,25982
32364,7727,25999
32428,7773,26149
32466,7712,26109
32492,7850,26179
32520,7737,26045
32532,7713,26007
32580,7694,26032
32620,7726,26052
32625,7716,26023
32645,7779,26020
32688,7753,26221
32720,7713,26065
32720,7748,26305
32788,7721,26276
32816,7681,26277
32924,7766,26309
33028,7708,26418
33116,7736,26336
33158,7718,26485
33152,7773,26506
33136,7750,26727
33144,7712,26692
33157,7787,26508
33180,7745,26719
33216,7715,26749
33248,7695,26900
33294,7703,26860
33333,7705,26815
33348,7780,26837
33348,7741,26775
33369,7715,26851
33381,7743,26885
33388,7717,27143
33380,7683,27228
33413,7706,27279
33448,7681,27316
33530,7753,27378
33608,7719,27426
33632,7713,27471
33668,7779,27474
33668,7731,27646
33669,7715,27876
33724,7698,27931
33724,7715,28029
33708,7700,28081
33693,7676,28111
33708,7726,28225
33756,7717,28166
33756,7715,28232
33760,7757,28300
33748,7728,28383
33717,7711,28413
33732,7781,28408
33748,7719,28747
33748,7715,28844
33774,7682,28945
33832,7726,29027
33848,7705,29129
33864,7821,29209
33888,7751,29270
33924,7733,29278
33902,7709,29549
33882,7764,29697
33893,7703,29725
33974,7689,29652
34008,7679,29703
34024,7754,29643
34030,7725,29988
34032,7742,30099
34020,7731,30148
33972,7794,30248
33948,7734,30275
33940,7705,30380
33935,7740,30471
33952,7716,30276
34002,7685,30532
33992,7751,30615
34024,7714,30852
34040,7812,30940
34009,7747,31004
34040,7728,30923
34052,7787,30993
34012,7741,31065
33988,7695,31085
33996,7716,31237
34010,7722,31250
34000,7697,31300
33952,7765,31337
33936,7744,31405
33932,7895,31448
33960,7772,31485
34018,7727,31582
34020,7782,31697
34012,7717,31876
33944,7695,31938
33896,7716,31952
33792,7703,31915
33792,7794,31966
33812,7759,32112
33824,7743,32154
33876,7730,32151
33861,7780,32133
33856,7727,32069
33844,7712,32004
33872,7692,32217
33832,7773,32263
33772,7775,32263
33780,7745,32466
33804,7756,32381
33808,7749,32116
33764,7751,32460
33748,7721,32335
33772,7777,32489
33812,7714,32569
33829,7701,32734
33852,7696,32657
33788,7769,32591
33760,7736,32577
33784,7728,32663
33790,7792,32685
33764,7747,32749
33728,7809,32761
33672,7745,32652
33648,7719,32903
33676,7729,32951
33728,7694,32947
33764,7754,32916
33774,7742,32954
33742,7731,32945
33680,7787,33060
33626,7775,33013
33580,7729,33021
33584,7778,33055
33600,7733,33140
33620,7698,33157
33640,7756,33201
33668,7736,33258
33688,7781,33301
33692,7754,33031
33660,7826,33151
33636,7767,33323
33641,7740,33493
33548,7753,33567
33532,7713,33594
33512,7780,33580
33415,7759,33617
33416,7740,33652
33472,7729,33584
33472,7802,33597
33437,7784,33652
33400,7750,33649
33388,7761,33732
33432,7731,33759
33452,7806,33761
33444,7726,33789
33401,7715,33808
33404,7723,33728
33436,7768,33776
33488,7748,33823
33540,7834,33831
33594,7773,33879
33628,7748,33893
33624,7758,33788
33636,7724,33660
33604,7764,33669
33520,7731,33764
33497,7727,33759
33506,7773,33790
33524,7751,33841
33492,7818,33861
33477,7785,33851
33469,7752,33862
33452,7809,33840
33516,7751,33893
33489,7739,33895
33476,7755,33892
33465,7727,33915
33448,7792,33927
33440,7753,33858
33458,7781,33996
33464,7762,34072
33456,7802,33936
33480,7766,34119
33540,7824,34127
33620,7735,34157
33652,7721,34159
33612,7761,34055
33564,7867,34055
33504,7788,34073
33424,7766,33751
33376,7804,33764
33340,7760,33917
33293,7811,34054
33300,7743,34116
33304,7798,34168
33268,7760,34322
33140,7857,34280
32857,7766,34087
32512,7766,34063
32148,7802,34181
31861,7775,34239
31664,7825,34257
31372,7769,34249
31097,7746,34260
30838,7739,34224
30800,7749,34285
31244,7748,34244
32276,7824,34284
33888,7796,34281
35916,7779,34304
38365,7839,34301
41236,7809,34266
44524,7843,34328
48008,7775,34348
51220,7755,34351
53548,7883,34365
54196,7807,34375
53064,7795,34377
51224,7884,34039
49216,7836,34108
47169,7816,34305
44776,7865,34367
42328,7813,34357
40029,7791,34370
37900,7851,34484
36308,7795,34550
35205,7775,34554
34444,7825,34563
33816,7806,34533
33172,7878,34588
32752,7815,34685
32489,7861,34511
32268,7814,34479
32068,7762,34545
31920,7824,34577
31748,7765,34614
31496,7848,34629
31280,7805,34700
31068,7903,34729
30892,7829,34725
30688,7873,34393
30524,7800,34433
30424,7779,34520
30364,7785,34713
30317,7753,34735
30328,7770,34837
30352,7764,34896
30402,7799,34993
30436,7791,34850
30476,7828,34806
30528,7811,34885
30584,7857,34951
30607,7796,34604
30596,7824,34853
30612,7780,34904
30622,7763,34911
30676,7830,35001
30704,7790,35056
30740,7866,35108
30728,7813,35141
30756,7797,35221
30796,7816,35313
30852,7774,35409
30900,7765,35391
30933,7799,35485
30966,7767,35476
