ECG,EDA,RR
33628,6771,33349
33596,6648,33356
33532,6668,33258
33440,6655,33287
33476,6685,33405
33548,6688,33031
33648,6725,33205
33732,6846,33215
33737,6718,33271
33719,6729,33412
33664,6664,32980
33613,6681,33205
33564,6727,33253
33500,6649,32946
33492,6698,33206
33473,6734,33358
33492,6697,33092
33516,6735,33214
33548,6697,33332
33532,6715,32973
33536,6775,33111
33537,6647,33344
33528,6671,32917
33488,6766,33114
33438,6673,33196
33400,6715,33276
33360,6824,33251
33304,6725,33132
33232,6760,33136
33232,6675,33358
33252,6685,33116
33312,6679,33287
33336,6742,33393
33352,6652,33276
33340,6741,33301
33364,6681,33246
33376,6741,33276
33376,6709,33437
33396,6720,33332
33393,6686,33317
33334,6697,33255
33252,6727,33202
33148,6636,33425
33164,6664,33348
33180,6783,33469
33200,6703,33373
33193,6758,33523
33176,6711,33141
33154,6727,33413
33128,6753,33236
33052,6661,33350
33020,6679,33431
33037,6725,33431
33088,6648,33501
32936,6703,33436
32856,6688,33511
32964,6735,33470
33085,6746,33604
33157,6701,33455
33222,6677,33415
33218,6685,33494
33157,6677,33508
33108,6676,33399
33161,6725,33655
33204,6754,33429
33148,6686,33524
33156,6706,33388
33088,6721,33596
33056,6753,33232
33088,6774,33399
33128,6660,33521
33112,6663,33523
33056,6729,33629
33012,6644,33213
33008,6690,33535
33052,6716,33668
33078,6797,33337
33068,6710,33534
33064,6726,33671
33028,6743,33252
32972,6662,33401
32952,6680,33479
32964,6773,33505
32941,6659,33645
32980,6698,33231
32994,6720,33543
32999,6777,33604
33048,6703,33557
33097,6731,33677
33084,6732,33206
33135,6829,33429
33132,6655,33340
33088,6666,33469
33096,6739,33631
33084,6673,33540
33124,6729,33681
33140,6697,33200
33173,6730,33391
33148,6796,33540
33154,6689,33524
33184,6708,33665
33172,6655,33497
33136,6675,33384
33167,6704,33495
33181,6872,33503
33216,6719,33626
33240,6710,33481
33328,6803,33431
33308,6724,33355
33252,6696,33439
33304,6700,33447
33358,6718,33479
33400,6645,33460
33380,6677,33543
33416,6866,33445
33388,6698,33581
33380,6737,33423
33424,6830,33349
33408,6707,33357
33341,6742,33320
33304,6670,33352
33296,6677,33327
33280,6653,33403
33249,6692,33318
33233,6757,33346
33284,6724,33345
33278,6818,33075
33300,6751,33457
33362,6798,33365
33400,6713,33500
33346,6773,33388
33270,6697,33367
33258,6661,33220
33274,6691,33263
33312,6771,33330
33288,6711,33121
33256,6783,33197
33232,6723,33165
33280,6741,33303
33244,6699,33198
33188,6711,33223
33154,6670,33241
33188,6678,33287
33220,6730,33444
33228,6692,33324
33188,6721,33452
33180,6757,32984
33196,6733,33278
33188,6757,33020
33198,6756,33205
33134,6690,33119
33088,6707,33279
33052,6749,33361
33064,6674,33294
33028,6723,33415
33029,6717,33284
33040,6760,33311
33024,6806,32935
32944,6725,33194
32988,6733,33188
33048,6813,33191
33128,6675,33335
33108,6705,32997
33152,6733,33188
33200,6805,33272
33252,6731,33198
33310,6779,33065
33304,6740,33244
33277,6751,33198
33302,6754,33302
33301,6708,33164
33312,6708,33159
33328,6709,33116
33281,6793,33153
33224,6711,33280
33160,6761,32835
33165,6742,33116
33152,6780,32926
33144,6801,32949
33124,6725,33013
33120,6711,33029
33108,6708,32976
33100,6839,32903
33124,6710,32967
33080,6744,32996
33028,6861,33126
33004,6745,32702
33044,6778,32857
33036,6741,32824
32996,6743,32806
32956,6844,32902
32960,6723,32938
32924,6784,33029
32860,6690,32903
32876,6724,32972
32812,6774,32792
32768,6748,32836
32674,6767,32764
32444,6816,32799
32096,6736,32877
31712,6768,32804
31396,6695,32901
31164,6755,32745
30920,6695,32788
30654,6767,32452
30264,6732,32767
30024,6807,32677
30296,6758,32645
31220,6772,32559
32592,6816,32484
34380,6735,32534
36553,6790,32580
39132,6720,32655
42092,6785,32553
45392,6713,32446
48708,6787,32399
51508,6750,32448
53336,6809,32585
53400,6785,32487
52112,6819,32429
50264,6832,32372
48164,6773,32437
45728,6868,32512
43088,6788,32440
40604,6864,32425
38268,6786,32352
36284,6820,32406
34824,6963,32551
33864,6828,32397
33248,6869,32255
32677,6749,32469
32236,6753,32401
31962,6813,32271
31696,6730,32411
31480,6778,32391
31292,6845,32332
31076,6790,32303
30784,6840,32223
30580,6905,32340
30420,6757,32341
30216,6759,32485
30024,6761,32321
29856,6832,32220
29656,6718,32244
29484,6763,32284
29448,6757,32254
29528,6796,32295
29684,6830,32370
29708,6771,32293
29704,6784,32355
29720,6813,32292
29708,6712,32237
29686,6741,32212
29664,6716,32194
29652,6743,32165
29718,6875,31972
29780,6784,32364
29833,6772,32135
29888,6783,32292
29904,6744,32249
29949,6759,32252
29982,6712,32124
29989,6732,32327
29974,6705,32318
29948,6804,32387
29952,6769,32289
29976,6848,32213
30008,6787,32407
30032,6758,32359
30044,6772,32295
30071,6828,32327
30128,6740,32305
30168,6801,32252
30164,6736,32182
30148,6751,32478
30184,6757,32273
30236,6757,32404
30264,6789,32541
30301,6760,32386
30320,6777,32141
30372,6717,32400
30416,6735,32340
30452,6799,32261
30512,6725,32214
30556,6777,32263
30610,6741,32119
30560,6843,32452
30476,6776,32325
30520,6835,32132
30588,6771,32485
30650,6722,32325
30704,6737,32442
30680,6700,32239
30625,6739,32185
30653,6729,32209
30701,6775,32236
30720,6764,32056
30708,6781,32233
30705,6839,32125
30725,6761,32079
30776,6791,31992
30832,6718,31975
30856,6744,31957
30884,6711,31924
30901,6762,31916
30892,6760,31894
30892,6806,31751
30896,6783,31862
30910,6836,31927
30888,6767,31751
30876,6843,31767
30892,6757,31743
30888,6802,31679
30916,6758,31597
30916,6751,31760
30900,6784,31591
30912,6781,31437
30944,6864,31626
30918,6820,31380
31016,6767,31492
31092,6839,31545
31124,6764,31415
31177,6826,31407
31284,6756,31319
31340,6754,31212
31376,6818,31446
31432,6819,31190
31456,6797,30976
31512,6857,31207
31484,6793,31276
31422,6757,31161
31306,6819,31146
31340,6752,31015
31424,6730,30837
31504,6817,31175
31544,6795,31019
31548,6879,31117
31572,6812,30956
31546,6790,30853
31572,6802,30791
31612,6757,30797
31665,6767,30796
31681,6817,30727
31672,6753,30701
31656,6815,30700
31692,6765,30727
31756,6865,30660
31788,6819,30828
31728,6882,30714
31668,6792,30683
31660,6753,30524
31649,6756,30471
31640,6724,30716
31632,6757,30597
31604,6744,30602
31588,6797,30574
31576,6859,30693
31548,6805,30517
31536,6871,30421
31521,6788,30383
31488,6852,30287
31456,6756,30607
31446,6716,30399
31432,6776,30158
31476,6737,30508
31542,6837,30393
31672,6776,30343
31792,6837,30368
31838,6790,30373
31872,6762,30236
31856,6761,30285
31878,6713,30109
31925,6721,30468
31948,6715,30329
31956,6749,30248
31976,6741,30465
32032,6789,30260
32078,6765,30119
32128,6791,30451
32116,6743,30341
32049,6770,30440
31984,6719,30321
32084,6900,30120
32204,6731,30426
32320,6847,30367
32352,6749,30436
32336,6757,30368
32325,6783,30381
32280,6802,30410
32260,6736,30422
32220,6747,30476
32264,6757,30597
32332,6687,30496
32340,6719,30574
32330,6707,30533
32360,6748,30465
32392,6748,30439
32448,6794,30581
32400,6767,30580
32328,6828,30524
32261,6732,30460
32224,6689,30642
32188,6743,30615
32200,6677,30582
32220,6736,30551
32253,6718,30527
32308,6756,30613
32388,6741,30365
32416,6755,30693
32352,6801,30489
32345,6719,30657
32336,6674,30617
32340,6704,30745
32352,6676,30616
32416,6711,30631
32468,6713,30535
32456,6746,30471
32416,6743,30583
32416,6764,30564
32404,6794,30660
32408,6722,30543
32440,6719,30492
32472,6676,30407
32436,6711,30381
32428,6747,30465
32446,6720,30437
32469,6757,30448
32477,6852,30446
32484,6778,30373
32508,6821,30422
32504,6743,30477
32568,6791,30528
32597,6694,30420
32632,6788,30391
32684,6725,30380
32705,6812,30226
32633,6754,30507
32626,6783,30214
32680,6758,30535
32808,6789,30415
32816,6730,30540
32760,6832,30430
32730,6734,30689
32708,6715,30518
32672,6762,30484
32660,6747,30580
32697,6790,30348
32764,6877,30528
32772,6776,30493
32760,6792,30518
32770,6731,30448
32757,6763,30655
32728,6706,30503
32692,6720,30631
32716,6762,30693
32696,6741,30734
32668,6795,30582
32672,6882,30853
32640,6801,30871
32648,6754,30913
32650,6759,30876
32606,6814,30834
32604,6737,31100
32588,6803,30967
32552,6734,30910
32524,6809,30877
32478,6767,30879
32412,6807,31005
32384,6761,30901
32456,6764,31013
32492,6875,31109
32572,6719,31258
32688,6747,31143
32736,6896,31288
32788,6727,31174
32804,6762,31056
32714,6938,31127
32730,6783,31119
32800,6758,31172
32866,6748,31291
32911,6750,31404
32932,6703,31311
32940,6713,31296
32882,6741,31386
32792,6757,31518
32756,6740,31129
32784,6783,31345
32788,6850,31405
32830,6749,31495
32836,6770,31615
32832,6891,31531
32832,6710,31561
32884,6724,31616
32952,6697,31636
33040,6743,31654
33052,6829,31606
33048,6747,31712
33077,6783,31802
33076,6754,31823
33056,6752,31824
33038,6713,31733
32992,6744,31898
32968,6691,32092
32960,6751,31943
32908,6719,31768
32889,6784,32165
32884,6742,32096
32896,6788,32135
32896,6751,32070
32924,6757,32111
32980,6711,32089
32993,6711,32033
33016,6684,32415
33048,6771,32324
33069,6737,32354
33076,6804,32396
33120,6769,32507
33088,6853,32442
33080,6769,32460
33030,6810,32497
32984,6723,32540
32952,6825,32444
32832,6704,32540
32758,6765,32635
32860,6711,32453
32996,6817,32711
33056,6751,32647
33095,6773,32749
33144,6905,32847
33140,6731,32810
33060,6744,32956
32960,6697,32556
32864,6715,33007
32840,6743,32599
32828,6709,32825
32825,6742,32887
32796,6874,32948
32824,6772,33007
32834,6928,33001
32856,6751,33010
32850,6776,32936
32821,6702,32781
32808,6752,33213
32760,6687,33127
32724,6773,33272
32784,6757,33037
32868,6745,33220
32948,6809,33241
33000,6776,33193
33001,6815,33016
32973,6737,33332
32976,6782,33325
32968,6712,33261
32972,6694,33212
32937,6729,33070
32864,6861,33356
32836,6775,33129
32876,6805,33360
32900,6754,33326
32924,6773,33561
32918,6709,33469
32868,6724,33656
32756,6757,33519
32604,6695,33688
32681,6743,33575
32828,6735,33533
32928,6905,33622
32892,6756,33615
32905,6778,33793
32912,6858,33661
32908,6753,33836
32924,6762,33701
32940,6801,33735
32976,6737,33721
33072,6823,33895
33084,6759,33782
33072,6794,33924
33017,6869,33798
32956,6769,33956
32985,6783,33831
32972,6828,33975
32940,6717,33799
32936,6735,33888
32916,6859,33525
32916,6746,33925
32876,6781,33709
32844,6861,33757
32804,6781,33838
32793,6805,33897
32796,6843,33959
32860,6742,33937
32856,6753,33975
32848,6764,33617
32848,6768,33853
32869,6755,33892
32933,6806,33924
32964,6971,34023
32984,6791,34005
32960,6853,34055
32968,6773,33992
33036,6799,33951
33044,6736,33960
33064,6745,33773
33117,6822,34197
33152,6784,34079
33070,6927,34028
32904,6815,34013
32869,6887,34039
32918,6810,34012
32989,6879,34012
32994,6780,34140
33016,6785,34076
33012,6851,34102
32912,6743,34221
32885,6791,34212
32929,6778,34306
32988,6817,34258
