ECG,EDA,RR
33093,7582,31429
33068,7593,31668
33092,7587,31504
33116,7564,31278
33133,7604,31513
33128,7526,31723
33148,7565,31366
33144,7587,31622
33137,7657,31828
33128,7563,31545
33125,7589,31629
33125,7629,31777
33116,7548,31773
33124,7559,31806
33152,7557,31705
33128,7588,31828
33100,7685,31785
33128,7527,31902
33153,7550,31924
33120,7583,31629
33108,7570,31924
33100,7574,31961
33105,7583,31965
33128,7601,31941
33122,7510,32036
33144,7501,32014
33152,7528,32204
33189,7542,31917
33192,7578,32135
33188,7649,32067
33236,7540,32222
33220,7561,31878
33204,7561,32208
33208,7556,32371
33228,7506,31964
33241,7492,32161
33252,7516,32276
33265,7573,32338
33285,7601,32297
33328,7535,32309
33349,7556,32421
33343,7556,32503
33328,7663,32484
33308,7504,32173
33320,7497,32495
33336,7516,32421
33348,7509,32652
33388,7569,32295
33392,7518,32553
33384,7555,32762
33400,7586,32320
33416,7526,32636
33388,7564,32383
33296,7498,32565
33213,7504,32805
33224,7583,32431
33280,7490,32628
33352,7532,32871
33380,7565,32668
33404,7525,32780
33400,7541,32655
33388,7565,32909
33385,7509,32793
33372,7525,32679
33368,7547,32849
33344,7479,32643
33324,7486,32848
33408,7519,32752
33412,7528,32869
33404,7559,32957
33392,7612,32795
33393,7514,32620
33396,7496,32877
33412,7491,32809
33416,7508,32870
33372,7499,32936
33341,7541,32754
33352,7482,32869
33344,7527,32696
33328,7526,32943
33292,7585,32631
33273,7501,32838
33241,7496,32687
33160,7489,32847
33116,7551,32830
33113,7461,32852
33101,7482,32744
33076,7527,32807
33020,7487,32950
32992,7510,32725
32994,7518,32775
33004,7524,32775
33056,7551,32709
33124,7471,32813
33160,7467,32751
33149,7485,32735
33212,7477,32692
33288,7519,32852
33316,7603,32589
33375,7489,32719
33373,7505,32732
33376,7541,32620
33388,7559,32709
33366,7455,32647
33376,7459,32693
33376,7452,32371
33334,7459,32645
33352,7480,32508
33356,7490,32775
33364,7515,32459
33384,7561,32596
33380,7479,32645
33348,7482,32349
33336,7476,32642
33316,7449,32578
33300,7477,32681
33304,7519,32629
33276,7442,32322
33296,7458,32638
33296,7482,32495
33276,7517,32739
33264,7542,32558
33288,7454,32638
33278,7442,32535
33297,7478,32745
33288,7599,32460
33260,7420,32629
33261,7461,32760
33284,7463,32684
33280,7521,32556
33308,7464,32621
33304,7457,32687
33265,7466,32630
33260,7459,32509
33268,7443,32335
33268,7442,32647
33261,7447,32506
33228,7465,32775
33157,7444,32560
32916,7457,32647
32576,7485,32561
32220,7463,32750
31910,7487,32357
31652,7490,32585
31441,7412,32719
31177,7437,32548
30942,7436,32295
30796,7489,32567
31232,7435,32497
32136,7446,32706
33566,7453,32346
35544,7466,32573
38047,7490,32487
40936,7415,32532
44336,7418,32564
48000,7439,32582
51956,7396,32465
55572,7455,32519
58232,7487,32676
58932,7452,32540
58028,7488,32452
56116,7537,32466
53584,7464,32439
50328,7488,32544
46668,7565,32571
43416,7432,32638
40712,7457,32277
38160,7519,32534
35996,7452,32599
34496,7490,32623
33595,7487,32537
32968,7517,32775
32593,7441,32324
32296,7448,32527
32024,7491,32657
31720,7409,32677
31442,7428,32785
31060,7473,32589
30648,7434,32668
30302,7451,32804
30018,7480,32410
29784,7460,32655
29589,7455,32741
29428,7482,32612
29348,7404,32480
29285,7423,32713
29280,7435,32582
29325,7502,32862
29372,7421,32582
29400,7453,32772
29460,7462,32646
29512,7502,32925
29516,7425,32763
29520,7420,32519
29498,7416,32870
29516,7428,32824
29568,7458,32993
29620,7404,32879
29682,7416,32740
29708,7452,32975
29760,7462,32935
29809,7471,33167
29856,7492,33044
29880,7406,32846
29921,7399,33140
29965,7405,33181
29988,7439,33204
30033,7468,33047
30106,7418,33272
30164,7437,33423
30174,7455,33265
30184,7492,33380
30232,7422,33405
30253,7413,33325
30309,7407,33374
30365,7429,33557
30360,7558,33551
30384,7435,33685
30400,7491,33405
30408,7424,33632
30420,7455,33772
30476,7511,33623
30520,7417,33487
30540,7423,33726
30548,7393,33726
30596,7387,33608
30628,7415,33909
30664,7416,33725
30688,7464,33780
30758,7502,33732
30788,7429,33888
30772,7421,33812
30777,7416,33744
30784,7412,33791
30785,7423,33827
30812,7404,33821
30828,7406,33829
30868,7424,33748
30916,7420,33740
30984,7438,33756
31037,7445,33692
31049,7432,33703
31044,7431,33755
31080,7419,33752
31120,7409,33741
31074,7392,33643
31070,7417,33729
31060,7435,33759
31096,7456,33580
31140,7411,33634
31148,7419,33593
31129,7439,33709
31140,7438,33479
31149,7390,33564
31212,7379,33660
31242,7375,33609
31268,7381,33461
31292,7402,33287
31292,7414,33428
31332,7473,33537
31372,7418,33317
31392,7414,33325
31404,7406,33325
31376,7391,33221
31392,7405,33415
31368,7406,33159
31368,7428,33196
31420,7383,33038
31470,7402,33159
31508,7440,32958
31544,7440,33093
31524,7480,32932
31520,7402,33067
31540,7390,32845
31568,7404,32945
31612,7439,32973
31632,7375,32897
31669,7385,32653
31702,7400,32839
31717,7431,32849
31688,7490,32749
31702,7536,32436
31744,7466,32447
31776,7464,32684
31776,7418,32605
31812,7406,32551
31844,7427,32596
31900,7470,32519
31948,7391,32497
32024,7435,32385
32032,7445,32556
32025,7444,32372
32078,7463,32375
32112,7475,32365
32084,7376,32228
32116,7364,32428
32122,7390,32153
32117,7444,32255
32120,7397,32205
32100,7412,32281
32088,7437,32180
32090,7443,31860
32140,7421,32093
32192,7418,32095
32210,7412,32012
32224,7422,32025
32212,7415,32103
32220,7422,32052
32288,7427,31953
32332,7431,31848
32377,7456,31744
32440,7476,31876
32484,7444,31879
32505,7455,31797
32520,7365,31716
32504,7359,31911
32540,7356,31792
32592,7365,31668
32628,7379,31440
32620,7393,31715
32648,7399,31656
32644,7427,31524
32660,7409,31774
32690,7388,31537
32724,7408,31597
32792,7434,31557
32792,7357,31579
32801,7362,31589
32832,7396,31230
32836,7424,31509
32828,7438,31397
32822,7466,31639
32805,7479,31414
32817,7449,31353
32824,7359,31451
32872,7345,31383
32868,7353,31396
32820,7373,31321
32813,7400,31332
32820,7465,31275
32804,7393,31408
32832,7402,31093
32834,7397,31249
32864,7395,31374
32864,7416,31141
32881,7351,31214
32892,7347,31255
32917,7378,30979
32924,7482,31005
32924,7385,31122
32944,7405,30841
32934,7459,31055
32928,7375,31097
32916,7392,30840
32944,7407,30977
32957,7420,30924
32950,7348,31060
32958,7365,30685
32964,7395,30843
32972,7465,30981
32968,7389,30604
32948,7388,30815
32957,7389,30790
32936,7376,30693
32960,7395,30764
32964,7348,30656
33007,7370,30574
33033,7431,30580
33048,7373,30465
33025,7423,30516
33036,7488,30623
33060,7386,30615
33052,7410,30535
33033,7429,30620
33036,7524,30564
33068,7350,30509
33034,7374,30655
32976,7405,30279
33008,7420,30564
33040,7468,30492
33052,7394,30570
33060,7412,30527
33070,7422,30507
33074,7434,30596
33109,7451,30538
33112,7343,30542
33116,7351,30437
33095,7371,30577
33056,7387,30484
33048,7455,30544
33036,7391,30398
33076,7389,30661
33060,7377,30485
33021,7367,30256
33034,7378,30560
33040,7373,30439
33016,7414,30677
33056,7359,30477
33056,7380,30551
33040,7409,30684
33060,7483,30294
33056,7391,30583
33080,7380,30528
33076,7367,30645
33084,7358,30581
33084,7367,30602
33108,7377,30551
33102,7401,30735
33096,7446,30636
33100,7475,30525
33096,7385,30639
33116,7404,30682
33144,7407,30561
33148,7384,30373
33176,7419,30629
33177,7433,30662
33188,7350,30814
33216,7357,30706
33176,7380,30683
33156,7421,30631
33140,7408,30727
33156,7418,30724
33120,7445,30708
33100,7443,30842
33104,7437,30772
33144,7351,30564
33164,7383,30823
33152,7390,30764
33140,7393,30700
33116,7425,30951
33104,7465,30769
33128,7397,30886
33140,7381,30847
33152,7403,31038
33165,7378,30828
33149,7420,30798
33169,7353,30953
33188,7394,30997
33164,7427,31078
33156,7475,30912
33148,7396,30997
33164,7411,31013
33141,7404,31052
33124,7400,31172
33119,7391,31125
33124,7419,31005
33160,7439,30893
33196,7368,31134
33197,7404,31011
33181,7428,31305
33164,7485,31109
33150,7395,31205
33148,7414,31169
33128,7401,31321
33096,7429,31171
33064,7446,31030
33064,7351,31289
33048,7362,31229
33073,7387,31473
33089,7409,31367
33060,7413,31197
33096,7438,31369
33076,7457,31327
33032,7479,31517
33044,7362,31353
33024,7361,31356
33020,7360,31445
33032,7369,31465
33049,7409,31369
33038,7414,31615
33048,7413,31511
33012,7423,31380
33016,7416,31519
33024,7435,31495
33016,7437,31679
33025,7437,31515
33036,7359,31550
33016,7363,31572
33016,7391,31595
33033,7417,31652
33000,7455,31453
33012,7551,31630
33012,7397,31485
33000,7379,31607
32997,7369,31801
32985,7362,31762
32997,7358,31638
33023,7365,31429
33060,7381,31708
33056,7396,31668
33052,7401,31564
33032,7401,31740
33040,7415,31855
33028,7414,31663
33036,7423,31751
33014,7359,31708
33032,7364,31901
33012,7397,31813
32976,7399,31697
32970,7441,31495
32989,7472,31813
32988,7455,31718
32988,7393,31861
32992,7385,31978
32988,7384,31847
32997,7399,31564
32992,7440,31884
32948,7382,31876
32960,7383,31853
32964,7400,31813
32960,7419,31983
32992,7437,31997
32976,7434,31963
32984,7401,31872
32982,7372,32054
32956,7364,32015
32964,7366,31972
32976,7372,31903
33026,7392,31980
33028,7428,32012
32984,7440,31967
33004,7439,32141
33028,7446,32066
33008,7439,31967
32976,7412,31988
32956,7388,31977
32956,7408,31831
32916,7398,31994
32927,7413,31948
32916,7436,32067
32908,7428,31828
32908,7446,32145
32896,7427,32161
32879,7418,32140
32858,7404,32148
32900,7407,32055
32900,7399,32092
32892,7405,32223
