ECG,EDA,RR
32700,21378,25080
32676,21340,25169
32680,21298,25020
32684,21284,25184
32680,21273,25147
32720,21284,25263
32736,21312,25223
32736,21357,25196
32776,21384,25353
32796,21403,25312
32758,21389,25404
32712,21349,25441
32678,21301,25404
32658,21266,25349
32660,21240,25526
32696,21265,25520
32692,21301,25468
32694,21349,25569
32664,21387,25636
32640,21408,25588
32640,21375,25669
32660,21358,25663
32680,21309,25785
32700,21279,25640
32744,21255,25758
32784,21260,25844
32789,21304,25889
32804,21339,25805
32820,21370,25976
32752,21393,25976
32704,21391,26012
32664,21348,26006
32636,21308,25955
32609,21261,26148
32608,21242,26181
32624,21256,26167
32696,21289,26085
32748,21359,26212
32770,21389,26237
32726,21400,26343
32692,21386,26273
32620,21354,26396
32597,21310,26484
32580,21276,26362
32576,21258,26477
32589,21281,26414
32613,21308,26615
32672,21349,26615
32700,21375,26557
32704,21398,26540
32680,21376,26759
32668,21342,26741
32672,21329,26811
32632,21261,26884
32620,21244,26836
32644,21255,26782
32676,21289,26953
32692,21328,26899
32676,21372,27072
32700,21399,27118
32684,21383,27153
32648,21357,27190
32640,21316,27238
32648,21277,27244
32688,21243,27212
32716,21249,27264
32740,21316,27255
32764,21330,27443
32780,21373,27494
32773,21391,27406
32780,21375,27495
32785,21345,27463
32724,21306,27609
32688,21263,27501
32724,21244,27692
32716,21253,27761
32752,21289,27682
32760,21330,27801
32784,21370,27710
32761,21385,27804
32756,21377,27903
32733,21344,27833
32712,21286,27989
32736,21277,28068
32781,21253,27924
32805,21257,28106
32844,21293,28070
32836,21349,28099
32852,21368,28076
32852,21404,28245
32780,21387,28237
32749,21357,28333
32732,21297,28177
32728,21260,28369
32772,21237,28348
32808,21275,28303
32844,21300,28332
32870,21338,28457
32900,21375,28538
32897,21389,28430
32856,21380,28572
32824,21343,28512
32748,21303,28498
32784,21258,28517
32760,21244,28656
32752,21270,28700
32768,21294,28716
32800,21340,28586
32836,21378,28683
32840,21382,28815
32840,21369,28644
32828,21338,28815
32784,21297,28847
32782,21257,28700
32800,21244,28862
32796,21265,28781
32812,21292,28932
32844,21338,28767
32852,21373,28919
32857,21387,28924
32884,21367,28788
32872,21337,28949
32868,21297,28952
32881,21266,28956
32876,21247,28836
32852,21265,28975
32836,21287,29032
32836,21348,29021
32840,21381,28868
32852,21387,29019
32860,21383,29015
32828,21356,28871
32794,21304,29044
32760,21266,28953
32748,21248,28908
32759,21252,29068
32780,21285,29045
32816,21324,28932
32852,21364,29060
32876,21375,29120
32908,21368,29031
32904,21349,28948
32825,21297,29092
32716,21260,29135
