ECG,EDA,RR
32876,21823,29653
32676,21843,29606
32420,21848,29530
32416,21811,29591
32454,21779,29570
32460,21732,29512
32544,21737,29508
32744,21750,29431
32872,21783,29340
32772,21853,29316
32732,21892,29213
32672,21923,29181
32556,21894,29172
32500,21877,29169
32540,21830,29228
32552,21789,29191
32584,21790,29238
32589,21812,29055
32668,21852,29028
32720,21909,29015
32768,21947,28999
32832,21974,28986
32864,21956,29126
32768,21935,29111
32760,21901,29072
32785,21853,29055
32736,21865,28982
32654,21873,29068
32564,21912,28882
32540,21962,29028
32604,22016,28919
32700,22028,29029
32768,22050,28820
32736,22003,28829
32696,21949,28966
32728,21927,28943
32760,21912,28869
32772,21927,28806
32692,21990,28812
32532,22043,28904
32570,22072,28920
32708,22109,28772
32780,22107,28874
32828,22056,28898
32848,22021,28792
32860,21991,28769
32824,21987,28903
32672,21998,28908
32556,22058,28816
32620,22110,28943
32708,22156,28750
32836,22165,28772
32880,22152,28892
32900,22144,28939
32892,22093,28746
32868,22074,28783
32916,22049,28870
32900,22065,28935
32772,22124,28760
32800,22179,28906
32892,22215,28844
33016,22251,28876
33084,22231,28776
33040,22205,28880
32968,22158,28916
33004,22126,28809
33124,22132,28823
33184,22145,28749
33190,22176,28917
33112,22236,28959
33121,22276,28935
33248,22319,28949
33444,22300,28812
33564,22263,28954
33556,22223,28904
33324,22207,28941
33080,22189,28876
33236,22202,28921
33384,22256,29063
33408,22306,28892
33424,22362,28973
33428,22364,29100
33433,22372,28933
33488,22336,29068
33532,22302,29093
33568,22257,29024
33544,22249,29016
33472,22263,28992
33416,22318,29009
33440,22365,29012
33464,22421,29184
33508,22423,29173
33584,22432,29132
33632,22394,29229
33544,22348,29065
33328,22328,29220
33056,22308,29220
33032,22325,29189
33100,22373,29092
33204,22418,29244
33277,22470,29148
33224,22489,29199
33100,22480,29105
32996,22463,29237
32984,22405,29186
32969,22375,29224
32952,22375,29099
32928,22382,29261
32844,22423,29212
32692,22489,29298
32660,22526,29129
32608,22543,29253
32552,22547,29300
