ECG,EDA,RR
32428,16157,32621
32388,16133,32620
32302,16109,32704
32210,16073,32742
32182,16049,32628
32168,16077,32673
32204,16002,32605
32216,16022,32672
32244,16069,32573
32272,16106,32505
32256,16140,32588
32220,16143,32596
32109,16144,32463
32032,16119,32551
32004,16018,32488
32016,15999,32561
32036,16017,32313
32024,16036,32477
32140,16096,32429
32132,16140,32481
32160,16122,32356
32116,16127,32440
32060,16115,32504
31993,16102,32241
31976,16010,32385
31996,15992,32303
32056,16013,32472
32132,16054,32263
32176,16056,32311
32194,16121,32274
32280,16143,32316
32337,16166,32276
32348,16093,32228
32320,16132,32154
32300,16014,32252
32273,15988,32160
32272,15993,32333
32284,16022,32204
32312,16081,32031
32364,16123,32079
32397,16159,32214
32385,16151,32066
32308,16135,32156
32292,16096,32108
32276,16049,32015
32224,15990,32151
32264,15981,32032
32332,16012,31866
32416,16053,32060
32428,16111,32097
32420,16143,31941
32388,16156,31847
32376,16161,32004
32332,16085,31908
32392,16052,32036
32440,15983,31975
32442,16008,31985
32454,16018,31908
32516,16061,32034
32521,16116,31884
32548,16152,31980
32588,16111,31888
32548,16105,31932
32484,16064,31949
32501,16040,31920
32500,15981,32037
32468,15981,31832
32480,16023,31896
32528,16093,32016
32540,16084,31749
32528,16107,31897
32532,16130,31816
32525,16087,31957
32520,16070,31800
32484,16050,31648
32476,15980,31820
32520,15976,31780
32544,16020,31708
32560,16061,31820
32632,16115,31727
32652,16149,31866
32600,16149,31717
32536,16079,31560
32480,16083,31580
32508,16033,31582
32540,16006,31717
32516,15973,31632
32544,16041,31748
32584,16092,31714
32552,16084,31516
32564,16107,31725
32592,16101,31604
32558,16074,31802
32497,16060,31504
32472,16014,31685
32444,15999,31684
32412,16006,31725
32448,16068,31572
32517,16036,31678
32568,16083,31708
32604,16113,31560
32588,16141,31666
32600,16150,31556
32557,16035,31660
32528,15992,31537
32456,15993,31653
32445,15982,31613
32469,16014,31632
32500,16065,31425
32520,16111,31604
32514,16098,31738
32577,16098,31513
32572,16077,31634
32544,16046,31596
32548,16050,31513
32529,15962,31610
32493,15970,31596
32508,16004,31644
32558,16053,31676
32604,16082,31495
32616,16117,31596
32604,16132,31548
32560,16111,31684
32536,16092,31513
32520,15986,31584
32520,15968,31503
32536,15988,31678
32580,16015,31468
32625,16081,31564
32648,16068,31644
32641,16094,31471
32616,16103,31456
32556,16083,31527
32504,16069,31604
32452,15989,31417
32416,15956,31509
32480,15965,31468
32568,16009,31580
32640,16046,31367
32665,16107,31469
32700,16087,31437
32676,16090,31430
32652,16073,31461
32620,16045,31384
32608,16031,31468
32556,15957,31228
32548,15973,31329
32580,16009,31432
32585,16093,31413
32648,16061,31350
32648,16082,31456
32704,16084,31348
32680,16059,31254
32612,16020,31373
32541,15977,31325
32497,15977,31444
32542,15969,31167
32596,16021,31309
32616,16017,31357
32664,16060,31137
32708,16084,31306
32708,16083,31189
32676,16063,31261
32584,16019,31176
32601,15977,31269
32580,15966,31229
32624,15965,31232
32644,16000,31231
32645,16039,31043
32728,16093,31111
32744,16164,31193
32724,16082,31025
32700,16050,31156
32668,16009,31281
32648,15977,31112
32688,15967,30967
32728,15970,31120
32700,16010,31132
32688,16059,31165
32712,16053,30938
32748,16078,31114
32780,16080,31087
32760,16057,31157
32756,16035,30956
32744,15996,31068
32668,15986,31085
32624,16039,30932
32660,15975,31029
32732,16026,31085
32812,16089,30912
32828,16079,31016
32824,16078,30937
32816,16063,31071
32708,16031,30910
32704,16012,30959
32696,15947,30932
32702,15948,30854
32728,15973,30896
32732,16009,31012
32752,16057,30828
32820,16089,30711
32844,16082,30881
32812,16057,30930
32768,16033,30788
32732,15988,30741
32705,15969,30873
32696,15983,30757
32724,15973,30915
32788,16007,30740
32856,16055,30833
32820,16094,30729
32777,16086,30788
32717,16076,30605
32712,16047,30796
32754,15972,30812
32716,15936,30791
32704,15940,30605
32764,15983,30765
32836,16024,30828
32896,16068,30792
32892,16113,30757
32888,16067,30676
32805,16038,30745
32762,16015,30549
32760,15973,30741
32745,15972,30828
32788,15940,30727
32824,15964,30621
32820,16014,30616
32888,16082,30727
32893,16071,30800
32896,16070,30612
32865,16052,30718
32800,16007,30702
32704,15983,30604
32684,15984,30716
32772,15934,30785
32864,15978,30564
32856,16024,30639
32856,16072,30752
32880,16103,30588
32877,16116,30693
32888,16033,30679
32823,16004,30574
32784,15980,30672
32788,15947,30754
32772,15953,30579
32813,15980,30674
32864,16049,30607
32896,16039,30672
32932,16066,30645
32964,16061,30554
32948,16036,30680
32896,15993,30583
32828,15956,30693
32748,15949,30565
32772,15944,30678
32772,15991,30572
32828,15995,30636
32892,16053,30676
32932,16090,30774
32940,16114,30529
32892,16032,30669
32860,16006,30751
32860,15987,30500
32824,15975,30655
32820,15991,30782
32828,16004,30625
32841,16042,30564
32864,16074,30566
32900,16100,30700
32896,16108,30674
32797,16033,30748
32788,15990,30648
32740,15950,30510
32756,15936,30689
32780,15953,30703
32864,15970,30734
32924,16015,30616
32957,16068,30522
32960,16093,30727
32932,16098,30681
32889,16027,30815
32840,15994,30608
32845,15967,30727
32824,15936,30726
32836,15941,30790
32836,15985,30703
32900,16007,30521
32904,16030,30713
32928,16063,30712
32928,16070,30592
32888,16071,30724
32873,16079,30674
32852,15948,30611
32908,15949,30688
32908,15946,30734
32928,15999,30549
32968,15988,30694
33016,16031,30581
33036,16072,30585
33000,16052,30668
32976,16023,30667
32864,16009,30468
32704,15975,30598
32644,15924,30625
32664,15947,30630
32720,15976,30679
32772,15986,30418
32792,16036,30533
32808,16071,30644
32801,16102,30404
32736,16026,30596
32729,15993,30467
32668,15959,30591
32608,15962,30524
32636,15914,30556
32608,15966,30581
32670,16025,30494
32768,16025,30556
32812,16101,30492
32860,16050,30372
