ECG,EDA,RR
32744,14308,29102
32740,14353,29044
32668,14311,29172
32517,14277,29073
32324,14219,29172
32196,14195,29230
32228,14205,29209
32320,14229,29295
32332,14270,29238
32400,14313,29351
32372,14305,29077
32308,14385,29244
32312,14332,29220
32248,14271,29300
32216,14215,29376
32224,14183,29233
32228,14183,29265
32320,14208,29225
32469,14252,29337
32620,14398,29313
32700,14369,29401
32660,14348,29492
32608,14311,29222
32544,14242,29421
32484,14211,29324
32544,14191,29431
32642,14198,29284
32584,14240,29422
32480,14255,29473
32341,14284,29528
32277,14309,29461
32384,14349,29584
32488,14279,29440
32536,14241,29574
32552,14190,29627
32568,14168,29471
32588,14269,29605
32644,14267,29653
32628,14324,29628
32620,14386,29664
32684,14388,29606
32656,14349,29537
32572,14298,29637
32566,14233,29663
32532,14215,29652
32520,14208,29671
32548,14228,29740
32640,14271,29683
32708,14337,29776
32762,14357,29473
32777,14395,29588
32736,14343,29775
32732,14277,29584
32708,14242,29686
32672,14208,29652
32680,14165,29703
32692,14262,29500
32720,14255,29697
32764,14273,29777
32728,14307,29596
32748,14329,29703
32792,14298,29821
32812,14257,29628
32798,14261,29742
32760,14190,29639
32712,14172,29699
32748,14172,29748
32728,14276,29740
32748,14278,29757
32812,14308,29605
32896,14300,29741
32900,14328,29765
32744,14276,29761
32616,14216,29564
32520,14180,29727
32504,14215,29765
32580,14186,29610
32684,14210,29776
32759,14248,29826
32813,14399,29641
32832,14372,29772
32796,14348,29856
32776,14304,29797
32780,14257,29904
32744,14201,29595
32648,14191,29768
32590,14178,29877
32676,14281,29716
32776,14272,29626
32840,14311,29825
32840,14303,29784
32800,14286,29935
32788,14284,29860
32804,14240,29716
32812,14185,29840
32844,14159,29957
32824,14173,29769
32808,14260,29892
32800,14283,29863
32812,14298,29917
32788,14309,29714
32768,14290,29924
32780,14324,29888
32776,14268,29932
32768,14232,29967
32750,14202,29917
32820,14191,30038
32928,14227,29792
33030,14265,29945
33068,14313,30031
33006,14324,29821
32804,14288,30004
32604,14254,30152
32588,14272,29935
32684,14220,30060
32736,14190,30116
32760,14188,29959
32800,14223,30088
32808,14249,30012
32852,14361,30172
32932,14353,29920
32984,14301,30116
32908,14265,30196
32797,14231,29920
32752,14177,30087
32729,14158,30244
32746,14226,29964
32804,14242,30063
32832,14268,30103
32880,14312,30172
32928,14324,30292
32928,14301,29977
32885,14263,30173
32844,14209,30026
32828,14182,30095
32889,14163,30108
32957,14170,30201
32976,14205,30284
32944,14245,30055
32984,14285,30229
33000,14292,30236
32952,14287,30230
32804,14248,30190
32525,14249,30084
32400,14213,30343
32500,14177,30183
32652,14199,30244
32756,14215,30292
32841,14364,30111
32876,14332,30223
32852,14313,30385
32768,14311,30330
32736,14245,30319
32692,14211,30255
32680,14221,30372
32648,14181,30463
32700,14183,30281
32788,14220,30276
32852,14276,30180
32896,14309,30329
32881,14304,30313
32820,14308,30425
32696,14242,30540
32664,14263,30356
32644,14192,30459
32664,14164,30582
32653,14181,30492
32696,14229,30389
32716,14262,30416
32688,14305,30396
32584,14300,30409
32540,14274,30367
32616,14241,30580
32620,14196,30521
32624,14165,30592
32592,14153,30552
32548,14218,30671
32556,14225,30360
32660,14273,30460
32816,14290,30361
32872,14292,30596
32864,14276,30404
32796,14243,30628
32720,14201,30613
32656,14266,30728
32621,14207,30484
32668,14194,30540
32732,14218,30541
32825,14263,30604
32820,14282,30548
32716,14286,30616
32672,14370,30697
32676,14287,30692
32696,14220,30808
32709,14175,30693
32776,14173,30813
32808,14190,30620
32808,14228,30660
32736,14247,30679
32748,14278,30716
32916,14284,30821
33052,14271,30512
33132,14238,30653
33112,14309,30674
32964,14213,30765
32581,14183,30837
32368,14183,30697
32468,14197,30764
32592,14303,30740
32704,14310,30877
32908,14306,30581
33160,14293,30765
33280,14242,30916
33368,14195,30724
33408,14162,30836
33396,14213,30732
33464,14214,30884
33672,14224,30633
34024,14268,30816
34336,14278,30976
34524,14285,30669
34828,14334,30769
35288,14271,30791
35672,14213,30877
36048,14166,30965
36404,14150,30844
36744,14220,30908
37004,14223,30925
37060,14264,30980
36908,14277,31013
36485,14426,30894
35798,14312,31028
34948,14260,31142
34104,14222,30828
33104,14173,31132
32137,14148,30957
31154,14169,31072
30488,14238,31196
30380,14269,30922
30532,14298,31123
30560,14289,31260
30600,14330,31097
30724,14272,31225
30969,14225,31292
31312,14175,31148
31644,14153,31252
31860,14165,31208
32116,14254,31365
32424,14269,31116
32661,14305,31348
32756,14291,31261
32712,14269,31337
32592,14278,31304
32412,14221,31200
32412,14181,31364
32484,14145,31549
32480,14164,31341
32516,14256,31468
32629,14279,31360
32652,14291,31524
32616,14304,31508
32628,14265,31397
32636,14229,31430
32645,14190,31476
32692,14214,31604
32788,14188,31445
32832,14181,31445
32832,14225,31540
32820,14236,31449
32929,14360,31612
33044,14300,31601
32940,14297,31714
32685,14231,31519
32452,14244,31417
32464,14183,31629
32560,14160,31751
32676,14180,31536
32852,14200,31660
32992,14244,31745
33048,14315,31770
33012,14307,31623
33008,14293,31725
33000,14253,31855
32948,14217,31527
32948,14161,31705
32976,14175,31675
32984,14195,31750
33000,14222,31828
33036,14276,31793
33132,14300,31830
33168,14290,31870
33180,14270,31612
33136,14234,31783
33096,14251,31915
33065,14207,31588
33036,14191,31727
32976,14190,31879
33068,14226,31600
33184,14257,31785
33232,14277,31933
33240,14343,31801
33208,14308,31836
33176,14249,31728
33140,14208,31840
33126,14160,31860
33112,14148,31744
33201,14209,31944
33364,14223,31797
33504,14275,31888
33588,14276,31911
33604,14281,31870
33568,14350,31933
33460,14289,31975
33289,14204,31884
33176,14174,31944
33274,14180,32084
33312,14196,31751
33176,14212,31905
33036,14241,31918
33101,14310,31806
33200,14295,32020
33244,14284,32174
33261,14235,31991
33232,14192,32109
33284,14210,32140
33373,14182,32046
33500,14191,32152
33584,14212,32277
33544,14260,32079
33412,14305,32197
33377,14295,32297
33412,14273,32190
33432,14309,32308
33384,14245,32277
33364,14205,32372
33468,14164,32143
33576,14191,32364
33740,14200,32436
33912,14315,32316
34044,14339,32441
33975,14340,32528
33616,14311,32465
33364,14254,32479
33264,14186,32465
33348,14240,32644
33280,14225,32463
33244,14213,32356
33304,14221,32564
33348,14255,32647
33428,14276,32519
33461,14334,32657
33428,14289,32676
33413,14263,32503
33352,14221,32717
33300,14160,32775
33344,14152,32638
33428,14250,32727
33450,14264,32775
33388,14297,32840
33375,14297,32751
33413,14303,32789
33374,14300,32911
33252,14258,33029
33168,14192,32933
33024,14160,32980
32960,14223,33109
32992,14224,32789
33108,14231,33055
33148,14260,33101
33080,14279,33053
32932,14287,33143
32640,14338,33056
32468,14293,33092
32448,14249,33200
32456,14188,33132
32496,14174,33212
32576,14199,33045
32744,14203,33280
32804,14309,33320
32568,14304,33285
32320,14308,33349
32356,14269,33345
32348,14231,33472
32248,14247,33353
32200,14176,33462
32212,14178,33524
32240,14169,33520
32292,14200,33286
32344,14310,33513
32437,14321,33692
32448,14320,33530
32388,14287,33505
32372,14261,33608
32304,14188,33670
32304,14158,33709
32304,14204,33661
32344,14194,33743
32368,14222,33863
32356,14274,33772
32390,14276,33917
32480,14287,33562
32668,14265,33781
32740,14229,33740
32741,14184,33765
32596,14151,33736
32400,14144,33840
32320,14226,34060
32420,14231,33709
32580,14264,33933
32616,14303,33996
32652,14285,34028
32758,14339,34087
32774,14279,33988
32700,14202,34113
32576,14184,34116
32406,14145,34102
32304,14169,34188
32449,14255,34136
32636,14276,34181
32628,14315,34248
32568,14309,34359
32558,14300,34029
32600,14245,34270
32684,14202,34460
32728,14149,34285
32664,14244,34380
32648,14193,34407
32684,14204,34405
32752,14280,34441
32844,14300,34476
32972,14276,34575
33036,14311,34462
32904,14247,34580
32664,14209,34649
32600,14162,34617
32676,14158,34719
32760,14191,34446
32864,14224,34793
32913,14249,34485
32960,14271,34650
32942,14375,34725
32854,14311,34794
32756,14263,34852
32716,14210,34868
32676,14177,35007
32684,14157,34842
32764,14160,34932
32948,14204,35014
33044,14283,34921
32985,14292,34983
33000,14277,34933
33080,14316,35108
33048,14241,34921
32825,14193,35089
32572,14149,35273
32548,14206,34985
32712,14211,35169
32924,14214,35244
33072,14253,35248
33132,14307,35248
33072,14306,35266
33028,14271,35340
33056,14233,35248
33012,14207,35301
32833,14149,35368
32732,14150,35364
32830,14181,35447
32932,14203,35384
32932,14245,35490
32808,14271,35612
32700,14280,35375
32716,14319,35539
32776,14272,35615
32800,14244,35620
32816,14222,35743
32828,14187,35394
32856,14185,35629
32932,14222,35692
33024,14273,35743
33088,14290,35748
33108,14305,35703
33008,14277,35805
32904,14218,35829
32884,14180,35556
32912,14146,35822
32978,14153,35678
33004,14168,35865
32952,14219,35941
32988,14255,35956
33045,14289,36004
33060,14296,35980
33024,14287,36076
32928,14242,35740
32850,14200,36061
32896,14164,36036
32948,14164,36100
33041,14159,36044
33112,14200,36180
33172,14249,35865
33133,14356,36103
33104,14366,36224
33096,14314,35961
33092,14271,36134
33053,14201,36311
32960,14171,36269
32944,14165,36332
33028,14186,36035
33069,14206,36280
33188,14254,36410
33336,14271,36364
33408,14280,36364
33280,14260,36144
33040,14225,36316
32788,14183,36368
32800,14160,36382
32897,14176,36440
32988,14168,36512
33016,14217,36615
33064,14272,36519
33068,14308,36592
33065,14297,36380
33088,14276,36452
33086,14242,36484
32972,14202,36564
32844,14180,36612
32856,14160,36264
32984,14200,36625
33060,14208,36549
33144,14245,36560
33252,14275,36716
33196,14340,36340
33064,14319,36743
33072,14290,36615
33212,14228,36743
33216,14215,36631
33200,14208,36753
33160,14214,36556
33120,14224,36639
33116,14260,36732
33140,14301,36612
33144,14287,36516
33128,14257,36664
33116,14330,36615
33080,14291,36712
33088,14215,36286
33088,14204,36708
33168,14231,36588
33288,14275,36704
33384,14324,36564
33408,14326,36597
33288,14300,36452
33072,14276,36485
32884,14238,36508
32848,14204,36500
32964,14151,36644
33060,14143,36485
33168,14168,36509
33304,14293,36401
33408,14346,36356
33428,14282,36313
33312,14286,36453
33084,14274,36439
32972,14236,36492
32945,14211,36401
32984,14167,36339
33032,14169,36356
33076,14167,36484
33088,14319,36063
33072,14339,36335
33156,14336,36103
33184,14340,36212
33152,14309,36201
33156,14258,36233
33080,14207,36280
32860,14170,36241
32812,14162,36136
32952,14169,36262
33076,14212,35916
33104,14327,36120
33156,14349,35982
33221,14330,36084
33304,14295,36177
33340,14260,36094
33316,14197,36116
33260,14169,36069
33184,14178,35977
33164,14188,35701
33164,14235,35948
33176,14271,35676
33208,14295,35869
33264,14288,35855
33220,14261,35904
33165,14320,36008
33184,14167,35873
33208,14208,35780
33224,14152,35792
33232,14170,35897
33172,14217,35799
33144,14258,35838
33008,14287,35740
32988,14288,35785
33064,14271,35703
33100,14222,35794
33088,14182,35412
33128,14150,35646
33120,14149,35408
33160,14175,35447
33208,14216,35504
33308,14258,35484
33344,14285,35453
33348,14279,35400
33340,14263,35367
33180,14222,35381
33093,14261,35437
33040,14230,35375
32980,14213,35408
33024,14221,35316
33100,14244,35252
33096,14285,35212
33028,14308,35240
32973,14285,35335
32996,14262,34936
33008,14223,35133
32965,14245,35236
32949,14179,35015
32972,14175,35057
33041,14197,35135
33108,14249,35021
33124,14318,35111
33176,14348,34698
33200,14379,34992
33176,14365,34632
33168,14221,34919
33120,14180,34599
33133,14148,34793
33193,14150,34882
33242,14257,34516
33232,14264,34679
33165,14274,34820
33144,14309,34430
33189,14308,34712
33124,14270,34573
33032,14220,34612
33042,14180,34654
33121,14149,34308
33256,14149,34509
33268,14176,34532
33230,14213,34511
33292,14312,34404
33096,14318,34518
32800,14305,34429
32668,14271,34290
32689,14233,34284
32684,14203,34293
32732,14163,34423
32796,14164,34221
32864,14285,34100
32860,14255,34261
32712,14272,34191
32772,14301,34207
32820,14281,34174
32844,14255,34165
32840,14305,34038
32812,14208,34081
32880,14173,34020
32952,14164,34032
33064,14182,33993
33124,14238,33995
33144,14261,33953
33056,14289,33956
32940,14282,33716
32788,14263,33869
32800,14240,33645
32889,14181,33753
32956,14146,33877
32956,14148,33752
32968,14174,33709
33012,14327,33600
33036,14308,33671
32916,14306,33577
32800,14295,33505
32816,14283,33572
32788,14215,33644
32772,14173,33325
32792,14205,33445
32828,14175,33512
32940,14199,33324
33072,14212,33388
33132,14316,33287
33120,14307,33376
33108,14308,33100
33048,14252,33252
32948,14275,33108
32940,14213,33268
32948,14163,33064
33008,14156,33135
33056,14173,33205
33104,14199,33013
33224,14295,33052
33352,14296,32964
33420,14280,33040
33404,14253,32913
33401,14314,32912
33489,14226,32914
33714,14167,32808
33920,14169,32840
33976,14183,32914
34081,14241,32680
34228,14269,32726
34476,14287,32706
34844,14296,32679
35352,14246,32772
35872,14285,32436
36340,14239,32497
36772,14187,32604
37168,14170,32570
37478,14231,32615
37548,14277,32508
37444,14316,32583
37100,14379,32464
36540,14277,32502
35696,14254,32417
34816,14263,32376
33701,14191,32505
32532,14152,32287
31208,14152,32233
30284,14171,32237
30048,14209,32313
30160,14325,32431
30232,14315,32066
30336,14296,32270
30516,14263,32325
30806,14206,32127
31128,14161,32244
31468,14143,32325
31780,14180,32224
32092,14192,32007
32388,14198,32152
32640,14300,32268
32752,14295,31933
32712,14281,32032
32552,14264,32135
32372,14222,32124
32324,14163,32223
32364,14129,31857
32449,14130,31953
32492,14213,31925
32588,14239,31964
32656,14290,31892
32640,14322,31893
32608,14320,31912
32532,14280,31944
32472,14219,32001
32456,14173,31657
32488,14152,31748
32600,14125,31822
32686,14151,31818
32780,14191,31868
32828,14226,31756
32780,14256,31769
32796,14263,31485
32788,14229,31718
32716,14181,31567
32720,14160,31552
32812,14173,31628
32972,14169,31596
33140,14165,31680
33156,14195,31332
33148,14220,31500
33004,14244,31588
32784,14312,31462
32660,14271,31365
32680,14217,31328
32728,14168,31399
32756,14140,31407
32780,14137,31367
