ECG,EDA,RR
32576,20330,41100
32600,20344,40735
32644,20400,41008
32684,20444,41116
32696,20457,40632
32720,20472,40888
32741,20453,40956
32736,20422,40940
32756,20361,40760
32712,20333,40804
32668,20333,40769
32696,20352,40647
32744,20370,40707
32722,20418,40570
32628,20461,40583
32661,20455,40600
32752,20444,40436
32720,20431,40506
32608,20363,40423
32568,20330,40582
32604,20286,40223
32632,20338,40292
32672,20381,40308
32700,20419,40256
32740,20454,40334
32692,20436,39885
32692,20427,40039
32658,20385,40031
32664,20347,40055
32632,20311,39937
32612,20315,40108
32664,20316,39790
32692,20344,39914
32733,20405,40007
32788,20422,39508
32824,20441,39700
32817,20415,39736
32714,20374,39732
32532,20343,39748
32508,20293,39300
32569,20295,39544
32641,20298,39489
32704,20341,39524
32736,20394,39621
32724,20445,39362
32732,20419,39431
32730,20404,39496
32696,20384,39054
32648,20319,39192
32608,20300,39289
32624,20292,39240
32612,20288,39095
32656,20334,39137
32696,20370,39136
32728,20397,39076
32757,20420,39054
32741,20409,39140
32717,20387,38914
32712,20315,38957
32696,20292,38860
32672,20264,39013
32632,20284,38791
32697,20334,38833
32756,20351,38823
32728,20404,38703
32561,20392,38693
32513,20393,38856
32550,20353,38703
32552,20325,38372
32576,20262,38644
32584,20262,38652
32624,20285,38681
32656,20300,38452
32708,20348,38556
32764,20397,38482
32776,20385,38439
32748,20380,38501
32694,20329,38583
32604,20294,38164
32584,20275,38340
32609,20241,38312
32640,20263,38396
32684,20311,38404
32688,20341,38045
32736,20384,38238
32780,20376,38252
32804,20367,38316
32792,20356,38380
32741,20284,38265
32624,20255,38157
32508,20229,38244
32564,20258,38253
32669,20292,38360
32736,20317,38221
32648,20359,38324
32626,20361,38188
32660,20344,38185
32636,20320,38101
32644,20265,38044
32622,20239,38077
32628,20251,38037
32657,20232,38151
32671,20276,37813
32690,20332,38048
32689,20336,38204
32732,20359,37973
32788,20357,38045
32756,20333,38076
32740,20253,37947
32733,20238,37983
32677,20207,37977
32608,20225,37983
32652,20279,38053
32704,20295,37682
32800,20341,37956
32860,20341,37798
32869,20340,37770
32804,20284,37797
32708,20244,37540
32688,20221,37711
32733,20189,37745
32772,20216,37759
32788,20268,37783
32672,20293,37684
32620,20337,37700
32696,20331,37340
32764,20327,37672
32756,20273,37561
32752,20254,37588
32728,20207,37461
32686,20182,37343
32728,20201,37460
32820,20228,37271
32912,20292,37334
32900,20343,37420
32856,20329,37327
32838,20320,37294
32698,20261,37156
32648,20230,37156
32636,20205,37292
32648,20168,36893
32680,20195,37044
32696,20220,37028
32705,20273,37072
32688,20325,37103
32708,20309,37017
32740,20303,36983
32744,20278,36913
32680,20207,36948
32663,20180,37032
32692,20196,36904
32712,20176,36925
32732,20223,36752
32792,20247,36780
32844,20292,36800
32832,20317,36812
