ECG,EDA,RR
32133,26359,24727
32149,26358,24717
32156,26415,24764
32202,26517,24784
32240,26612,24804
32228,26677,24772
32224,26676,24812
32228,26609,24839
32232,26517,24804
32256,26424,24849
32260,26367,24772
32260,26367,24876
32236,26430,24813
32252,26528,24899
32276,26621,24830
32280,26679,24916
32268,26691,24870
32228,26623,24868
32200,26517,24941
32212,26427,24888
32244,26372,24945
32270,26372,24964
32260,26439,24960
32324,26537,24974
32354,26631,24996
32384,26693,24949
32344,26687,25017
32280,26624,24962
32193,26532,25060
32212,26441,25057
32304,26383,24980
32352,26389,25066
32425,26443,25005
32449,26552,25095
32472,26644,25064
32444,26702,25129
32448,26694,25092
32404,26631,25142
32392,26538,25180
32352,26441,25132
32416,26387,25216
32448,26394,25157
32476,26459,25261
32508,26556,25207
32524,26653,25316
32528,26711,25282
32532,26711,25343
32580,26641,25300
32568,26545,25357
32548,26452,25336
32572,26397,25396
32624,26402,25427
32662,26471,25314
32686,26566,25412
32696,26662,25348
32702,26724,25441
32692,26712,25402
32720,26655,25444
32732,26557,25359
32749,26460,25469
32749,26407,25484
32736,26405,25448
32744,26476,25498
32648,26577,25511
32488,26663,25498
32228,26721,25525
32144,26716,25472
32252,26656,25520
32548,26562,25448
33024,26461,25521
33628,26406,25479
34364,26412,25558
35068,26490,25575
35749,26584,25494
36376,26676,25562
36724,26728,25564
36816,26733,25572
36776,26660,25601
36412,26572,25573
35796,26477,25626
34964,26431,25607
33776,26438,25524
31652,26498,25629
28748,26607,25548
26633,26711,25647
26668,26759,25588
27892,26743,25689
29180,26677,25710
30280,26569,25712
31140,26481,25740
31916,26425,25680
32448,26431,25718
32808,26503,25649
33060,26596,25760
33204,26688,25797
33280,26744,25781
33312,26736,25808
33304,26671,25769
33284,26570,25819
33286,26476,25803
33276,26430,25833
33280,26429,25821
33344,26502,25736
33413,26604,25836
33444,26695,25787
33453,26748,25858
33428,26738,25808
33380,26672,25907
33368,26570,25924
33368,26483,25848
33332,26432,25927
33332,26436,25868
33352,26505,25952
33364,26604,25858
33408,26701,25951
33460,26756,25909
