ECG,EDA,RR
35560,22696,26990
35580,22769,27023
35660,22823,27001
35676,22790,26944
35696,22713,26908
35740,22629,26978
35764,22549,26929
35788,22486,26772
35812,22519,26748
35884,22591,26717
35910,22692,26685
35956,22783,26681
35944,22840,26760
35933,22791,26688
35894,22729,26661
35900,22627,26733
35904,22548,26752
35872,22510,26680
35890,22508,26719
35868,22594,26705
35886,22692,26689
35800,22777,26628
35720,22830,26568
35580,22796,26575
35408,22724,26626
35252,22640,26604
35120,22549,26602
34964,22517,26552
34772,22535,26570
34560,22590,26514
34320,22693,26530
34080,22783,26516
33868,22829,26489
33640,22821,26494
33388,22724,26452
33124,22632,26382
32908,22552,26437
32700,22507,26420
32496,22532,26419
32309,22597,26397
32124,22703,26302
31917,22784,26265
31720,22836,26196
31512,22810,26215
31328,22740,26206
31150,22633,26148
30992,22564,26180
30900,22505,26197
30797,22521,26173
30724,22598,26212
30682,22704,26201
30632,22780,26084
30568,22835,26041
30512,22823,25999
30436,22740,25958
30356,22645,26076
30334,22560,26000
30308,22513,26029
30384,22535,26036
30428,22608,25944
30444,22708,25855
30452,22789,25804
30448,22836,25788
30425,22826,25799
30384,22748,25914
30376,22654,25874
30428,22565,25824
30452,22525,25824
30520,22535,25766
30580,22612,25749
30628,22707,25737
30668,22799,25728
30656,22840,25692
30665,22825,25677
30652,22752,25714
30657,22656,25692
30665,22573,25642
30704,22529,25591
30728,22543,25578
30800,22622,25566
30840,22714,25567
30856,22800,25562
30860,22859,25573
30864,22828,25580
30880,22766,25557
30888,22663,25540
30888,22591,25535
30892,22529,25468
30896,22556,25468
30953,22628,25530
30981,22718,25484
31000,22812,25344
31021,22852,25340
30968,22845,25362
31012,22759,25364
31056,22666,25362
31076,22581,25385
31080,22538,25460
31125,22548,25380
31144,22621,25376
31204,22733,25388
31236,22813,25444
31249,22863,25377
31236,22844,25246
31221,22777,25276
31260,22677,25340
31284,22588,25407
31296,22544,25393
31332,22566,25381
31360,22636,25377
31420,22733,25366
31452,22814,25365
31432,22869,25357
31452,22855,25260
31432,22785,25342
31432,22677,25265
31408,22594,25327
31440,22554,25287
31472,22579,25268
31528,22637,25278
31564,22736,25272
31584,22834,25266
31624,22875,25258
31636,22861,25143
31612,22786,25103
31600,22690,25073
31616,22596,25110
31629,22562,25163
31660,22570,25164
31677,22644,25103
31724,22759,25004
31736,22834,25061
31776,22887,25100
31780,22865,25029
31765,22798,25028
31772,22702,25016
31796,22604,25034
31792,22569,24976
31788,22588,24989
31813,22645,24997
31825,22757,24958
31852,22848,24809
31868,22887,24860
31904,22873,24878
31920,22807,24924
31876,22709,24922
31856,22610,24900
31860,22569,24892
31889,22590,24876
31948,22654,24807
32020,22758,24790
32048,22848,24790
32029,22892,24838
31976,22884,24822
31928,22801,24723
31941,22698,24700
31932,22637,24694
31968,22580,24711
31996,22600,24675
32044,22671,24612
32080,22760,24624
32092,22851,24583
32084,22899,24608
32080,22885,24574
32088,22815,24582
32101,22712,24615
32100,22629,24639
32132,22577,24615
32152,22596,24628
32172,22671,24676
32184,22765,24652
32216,22857,24607
32190,22908,24640
32188,22894,24623
32192,22814,24621
32204,22720,24505
32212,22644,24448
32208,22580,24434
32212,22612,24455
32209,22679,24473
32196,22775,24512
32172,22857,24483
32136,22916,24553
32100,22901,24541
32064,22819,24512
32020,22721,24465
32004,22641,24473
32032,22588,24470
32060,22615,24496
32104,22673,24473
32130,22780,24373
32156,22871,24447
32165,22924,24447
32172,22895,24449
32160,22824,24391
32160,22727,24384
32181,22649,24382
32204,22611,24365
32236,22601,24391
32248,22675,24404
32300,22785,24408
32332,22879,24311
32372,22921,24288
32392,22916,24302
32332,22833,24305
32384,22739,24267
32356,22653,24295
32313,22588,24302
32256,22613,24290
32252,22690,24304
32280,22797,24353
32296,22869,24349
32288,22923,24337
32268,22911,24325
32232,22832,24284
32210,22738,24334
32216,22655,24305
32224,22623,24231
32248,22618,24172
32268,22693,24222
32288,22799,24238
32308,22887,24204
32324,22919,24181
32312,22912,24228
32280,22842,24313
32284,22756,24303
32318,22644,24268
32332,22605,24264
32356,22629,24329
32360,22690,24238
32420,22796,24208
32448,22885,24235
32460,22925,24193
32508,22915,24239
32540,22858,24268
32508,22733,24254
32508,22652,24288
32548,22621,24324
32596,22628,24346
32652,22712,24380
32684,22796,24354
32673,22884,24338
32676,22937,24368
32717,22922,24386
32732,22850,24410
32749,22749,24417
32752,22672,24359
32772,22606,24281
32836,22625,24264
32852,22699,24352
32872,22804,24365
32892,22890,24409
32868,22925,24391
32836,22918,24348
32828,22855,24333
32884,22740,24328
32916,22657,24334
32964,22615,24335
32944,22619,24364
32878,22692,24353
32736,22796,24349
32469,22887,24346
32272,22927,24337
32376,22919,24292
32665,22846,24268
33201,22740,24311
33840,22669,24284
34564,22621,24276
35364,22623,24207
36040,22698,24228
36712,22810,24215
37132,22904,24188
37208,22927,24201
37276,22924,24148
36956,22855,24105
36280,22775,24103
35376,22661,24139
34332,22618,24226
32612,22631,24252
29776,22704,24260
27128,22799,24219
26460,22887,24265
27560,22928,24262
28973,22917,24264
30180,22837,24246
31184,22744,24261
32050,22659,24208
32640,22614,24216
