ECG,EDA,RR
31358,27188,30238
31377,27117,30386
31380,27084,30324
31428,27092,30381
31468,27169,30292
31496,27268,30245
31556,27336,30343
31588,27367,30417
31568,27363,30340
31564,27284,30389
31554,27194,30408
31576,27119,30440
31608,27081,30468
31644,27104,30471
31668,27175,30468
31724,27266,30479
31700,27346,30480
31700,27385,30409
31724,27358,30400
31725,27290,30380
31706,27192,30402
31726,27120,30376
31772,27087,30504
31776,27111,30500
31844,27180,30405
31864,27271,30351
31884,27343,30435
31896,27386,30512
31894,27367,30462
31880,27297,30461
31864,27207,30481
31849,27129,30409
31872,27094,30439
31881,27117,30413
31900,27187,30405
31936,27276,30420
31952,27353,30404
31953,27389,30400
31928,27369,30484
31900,27300,30303
31905,27205,30471
31904,27138,30376
31917,27094,30449
31944,27122,30470
31973,27185,30343
32004,27279,30304
32016,27349,30329
32016,27393,30285
32004,27376,30308
32005,27305,30429
32008,27217,30373
32014,27142,30425
32016,27101,30429
32048,27122,30268
32096,27191,30361
32112,27284,30340
32116,27343,30398
32140,27383,30316
32138,27378,30247
32144,27305,30356
32116,27218,30398
32130,27143,30405
32156,27108,30310
32164,27124,30324
32220,27196,30364
32268,27279,30384
32312,27352,30276
32333,27394,30228
32316,27374,30316
32320,27301,30385
32328,27221,30301
32332,27143,30395
32344,27100,30229
32344,27115,30393
32352,27195,30344
32388,27287,30372
32400,27363,30396
32412,27397,30401
32416,27377,30285
32388,27316,30269
32381,27230,30255
32408,27149,30423
32400,27108,30320
32436,27124,30341
32480,27188,30397
32524,27277,30435
32574,27360,30276
32609,27397,30391
32604,27389,30444
32612,27319,30357
32600,27228,30429
32581,27151,30456
32596,27111,30304
32640,27129,30479
32652,27200,30455
32664,27286,30350
32696,27363,30460
32724,27405,30468
32728,27384,30357
32697,27316,30389
32712,27229,30485
32694,27151,30416
32684,27113,30514
32660,27127,30402
32644,27193,30388
32652,27285,30386
32652,27365,30453
32640,27399,30548
32617,27390,30537
32616,27321,30544
32613,27236,30436
32628,27161,30400
32640,27114,30592
32680,27130,30500
32710,27197,30575
32764,27279,30493
32764,27365,30480
32792,27399,30585
32780,27391,30580
32784,27327,30618
32800,27238,30535
32780,27156,30515
32796,27108,30672
32812,27124,30604
32844,27199,30639
32880,27284,30684
32912,27367,30572
32912,27403,30616
32953,27385,30679
32910,27329,30702
32852,27234,30605
32837,27153,30549
32844,27114,30729
32824,27124,30629
32840,27188,30727
32857,27279,30589
32897,27356,30567
32900,27399,30574
32900,27388,30692
32892,27321,30764
32872,27236,30702
32872,27157,30727
32860,27110,30645
32884,27127,30600
32908,27188,30647
32908,27276,30788
32884,27359,30700
32884,27401,30793
32884,27389,30656
32872,27330,30747
32864,27233,30820
32848,27156,30764
32856,27117,30820
32880,27119,30700
32916,27189,30702
32924,27284,30780
32928,27356,30877
32932,27399,30798
32888,27389,30856
32848,27324,30906
32846,27238,30755
32848,27156,30915
32876,27109,30924
32880,27126,30816
32904,27185,30778
32904,27279,30958
32936,27361,30924
32952,27396,30991
32960,27388,30847
32932,27320,30972
32904,27243,30919
32908,27157,31015
32900,27111,30855
32904,27121,31033
32972,27185,31043
33004,27279,30874
33000,27356,31049
33016,27399,31054
33024,27386,30922
33052,27332,30964
32996,27239,31054
33004,27161,30951
32976,27111,30996
32900,27124,31068
32782,27184,31087
32609,27276,30983
32352,27356,31019
32342,27403,31111
32516,27392,31143
32865,27327,30988
33325,27236,31178
33904,27161,31169
34552,27109,31026
35197,27109,31160
35904,27183,31196
36448,27271,31082
36648,27359,31072
36800,27399,31239
36724,27399,31152
36204,27335,31254
35380,27252,31116
34321,27168,31183
32809,27125,31316
30524,27143,31224
27877,27200,31316
26372,27293,31234
26974,27376,31340
28384,27422,31316
29696,27407,31343
30752,27335,31330
31664,27248,31457
32400,27162,31486
32856,27113,31444
33180,27122,31428
33365,27180,31537
33452,27276,31591
33520,27358,31525
33544,27399,31509
33568,27399,31610
33520,27327,31711
33500,27245,31759
33488,27167,31616
33480,27111,31746
33520,27116,31785
33582,27172,31818
33620,27270,31879
33637,27356,31746
33656,27398,31912
33662,27392,31951
33652,27333,31820
33648,27245,31926
33616,27159,31982
33652,27117,31983
33684,27113,32084
33668,27183,31944
33688,27268,32072
33694,27354,32073
33684,27399,32152
33693,27393,32200
33648,27335,32068
33660,27249,32201
33644,27167,32180
33644,27116,32305
33668,27117,32180
33740,27180,32388
33756,27269,32313
33736,27355,32412
33716,27396,32320
33676,27397,32332
33660,27334,32529
33636,27246,32464
33636,27165,32607
33652,27110,32474
33669,27116,32694
33706,27173,32610
33752,27266,32590
33784,27351,32741
33764,27404,32788
33797,27396,32681
33806,27333,32914
33780,27250,32900
33757,27159,32803
33780,27116,32954
33828,27119,32984
33860,27173,33068
33916,27266,32992
33928,27343,33093
33952,27399,33149
33952,27399,33028
33944,27337,33176
33960,27251,33135
33972,27167,33135
34000,27120,33177
34064,27112,33329
34092,27175,33369
34112,27263,33225
34148,27340,33442
34180,27399,33361
34228,27384,33428
34261,27332,33500
34248,27247,33412
34252,27161,33423
34272,27109,33554
34324,27110,33508
34376,27172,33484
34452,27260,33614
34500,27346,33633
34564,27399,33626
34592,27393,33486
34632,27332,33633
34692,27244,33587
34745,27167,33692
34816,27113,33556
34872,27116,33714
34928,27162,33692
34968,27256,33740
35012,27337,33605
35072,27394,33719
35100,27393,33772
35108,27336,33710
35116,27251,33793
35183,27166,33645
35292,27119,33830
35366,27113,33783
35460,27173,33729
35500,27253,33850
35560,27336,33686
35592,27392,33732
35609,27395,33900
35612,27341,33912
35640,27253,33869
35656,27165,33848
35710,27113,33967
35762,27112,34015
35772,27175,33856
35793,27254,33955
35838,27343,34120
35872,27390,34140
35904,27398,34028
35912,27343,34165
35908,27252,34020
35820,27167,34097
35768,27117,34197
35740,27111,34209
35716,27168,34311
35656,27260,34356
35588,27340,34196
35528,27394,34288
35436,27396,34469
35288,27335,34460
